step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,0,0.0,0.0,10.908768005236595,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838168337323859
24.0,1,0.0,0.0,7.433151306025313,7,0.0,0.0,0.0,0.0,1,0.0,0.0,4.997035476103261,0.0,0.0,5,1,0.0,0.3315585181081839
32.0,0,0.0,0.0,12.970946470466975,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.844466713834812,0.0,0.0,4,0,0.0,0.8635415365250677
40.0,0,0.0,0.0,12.450504669200084,6,0.0,0.0,0.0,0.0,0,0.0,0.0,13.64423445058687,0.0,0.0,4,0,0.0,0.9348921423526418
48.0,0,0.0,0.0,9.490573552342903,9,0.0,0.0,0.0,0.0,0,0.0,0.0,9.148828885063285,0.0,0.0,7,0,0.0,0.6050087726145309
56.0,1,4.0,0.4,8.758331628676554,10,6.0,0.6,6.0,0.6,1,4.0,4.0,6.5148861327803385,0.5714285714285714,0.5714285714285714,7,1,4.0,0.3938499586040225
64.0,1,0.0,0.0,8.43626489029589,12,12.0,1.0,6.0,0.5,1,0.0,0.0,7.23168357968138,0.0,0.0,7,1,0.0,0.4145529120406634
72.0,1,4.0,0.3636363636363636,11.71948729302822,11,6.0,0.5454545454545454,0.0,0.0,1,4.0,4.0,6.883316561560951,0.8,0.8,5,1,4.0,0.3890073838783344
80.0,1,0.0,0.0,7.020838962323313,11,7.0,0.6363636363636364,1.0,0.0909090909090909,1,0.0,0.0,6.6717037593264426,0.0,0.0,10,1,0.0,0.4234049501521912
88.0,1,0.0,0.0,9.589013942628268,16,3.0,0.1875,0.0,0.0,1,0.0,0.0,10.105599892425426,0.0,0.0,11,1,0.0,0.6497455325469519
96.0,2,0.0,0.0,10.342214966202889,19,0.0,0.0,0.0,0.0,2,0.0,0.0,8.881176314327739,0.0,0.0,14,2,0.0,0.5952749626665039
104.0,2,4.0,0.2105263157894736,10.40099833818415,19,4.0,0.2105263157894736,4.0,0.2105263157894736,2,4.0,4.0,9.040078822698412,0.25,0.25,16,2,4.0,0.5938332320107544
112.0,2,4.0,0.1739130434782608,7.321783305625274,23,13.0,0.5652173913043478,9.0,0.391304347826087,2,4.0,0.0,8.103319727110408,0.25,0.25,16,2,4.0,0.5154933315002728
120.0,3,9.0,0.375,8.88096540164785,24,24.0,1.0,11.0,0.4583333333333333,3,9.0,5.0,7.570621988378073,0.5294117647058824,0.5294117647058824,17,3,9.0,0.5045313793817262
128.0,6,40.0,1.818181818181818,8.628648173495447,22,40.0,1.818181818181818,16.0,0.7272727272727273,6,40.0,31.0,5.616094906504116,2.857142857142857,2.857142857142857,14,6,40.0,0.3872034474824307
136.0,1,4.0,0.1904761904761904,7.084469755022139,21,71.0,3.380952380952381,31.0,1.4761904761904765,1,24.0,0.0,6.707972080925024,1.5,1.5,16,1,24.0,0.4634096713542338
144.0,6,35.0,1.8421052631578947,8.386125237511147,19,45.0,2.3684210526315788,0.0,0.0,6,35.0,11.0,5.788711552706691,2.6923076923076925,2.6923076923076925,13,6,35.0,0.4267041313107518
152.0,3,4.0,0.1818181818181818,7.290921740489568,22,67.0,3.0454545454545454,22.0,1.0,3,16.0,0.0,6.678497786051233,1.0666666666666669,1.0666666666666669,15,3,16.0,0.4518101122843322
160.0,5,21.0,0.9130434782608696,9.870354441684476,23,43.0,1.8695652173913044,0.0,0.0,3,12.0,0.0,9.41145514206147,0.8,0.8,15,3,12.0,0.5918287128514699
168.0,8,57.0,2.590909090909091,6.977517951738011,22,67.0,3.0454545454545454,24.0,1.0909090909090908,5,28.0,16.0,7.0451485590578375,1.6470588235294117,1.6470588235294117,17,5,28.0,0.4491548118922537
176.0,5,7.0,0.28,7.357813734698798,25,101.0,4.04,34.0,1.36,5,30.0,2.0,6.916520666563462,1.4285714285714286,1.4285714285714286,21,5,30.0,0.4459437129411031
184.0,5,21.0,0.7,8.684711165357745,30,100.0,3.333333333333333,0.0,0.0,5,21.0,0.0,7.458475843910091,1.05,1.05,20,5,21.0,0.4928916843355481
192.0,1,4.0,0.1428571428571428,8.978751461532486,28,95.0,3.392857142857143,0.0,0.0,1,12.0,0.0,8.210145320117729,0.5714285714285714,0.5714285714285714,21,1,12.0,0.514567007989379
200.0,6,31.0,1.0,9.23929347386416,31,88.0,2.838709677419355,0.0,0.0,6,32.0,20.0,7.450527546685405,1.5238095238095235,1.5238095238095235,21,6,32.0,0.4856503080389595
208.0,1,1.0,0.04,7.758155148164605,25,61.0,2.44,0.0,0.0,1,17.0,0.0,7.3329993169876815,0.85,0.85,20,1,17.0,0.4777750625087941
