step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.161456665934871,11,0.0,0.0,0.0,0.0,0,0.0,0.0,8.047971135094402,0.0,0.0,4,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,1,0.0,0.0,9.154700793538105,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.276747613139792,0.0,0.0,2,0,0.0,1.0,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,3,3.0,0.1304347826086956,7.949053780181587,23,3.0,0.1304347826086956,3.0,0.1304347826086956,1,3.0,3.0,4.090308163444194,0.6,0.6,5,0,0.0,0.4446406273600866,1,3.0,0.2722803810732592,0,0.0,1.0
40.0,6,11.0,0.3666666666666666,7.21821341920417,30,24.0,0.8,21.0,0.7,4,3.0,0.0,4.574902521917929,0.3333333333333333,0.3333333333333333,9,3,3.0,0.2310477960284272,1,0.0,0.4589869335955748,0,0.0,0.729724504733074
48.0,3,0.0,0.0,9.434788499399316,39,31.0,0.7948717948717948,7.0,0.1794871794871795,2,6.0,3.0,8.959991684349143,0.6,0.6,10,0,5.0,0.8898141955507156,1,1.0,0.6260481301993437,1,0.0,0.0
56.0,7,24.0,0.5714285714285714,9.421737810088436,42,57.0,1.3571428571428572,26.0,0.6190476190476191,4,17.0,11.0,6.388125289380722,1.8888888888888888,1.8888888888888888,9,2,10.0,0.3226967255671804,2,7.0,0.5530333604706735,0,0.0,0.9416661425721804
64.0,6,35.0,0.7142857142857143,9.73231218982566,49,95.0,1.9387755102040816,38.0,0.7755102040816326,2,13.0,0.0,9.211729855237069,0.9285714285714286,0.9285714285714286,14,1,7.0,0.546022454900039,1,6.0,0.7986214273850266,0,0.0,0.767662461682636
72.0,11,44.0,0.8461538461538461,7.373454954043909,52,130.0,2.5,35.0,0.6730769230769231,5,15.0,2.0,5.228499300533801,1.0714285714285714,1.0714285714285714,14,3,11.0,0.3915682062932047,1,4.0,0.3234860988905429,1,0.0,0.5408821772338178
80.0,8,52.0,0.9285714285714286,8.619047763826824,56,178.0,3.1785714285714284,48.0,0.8571428571428571,5,33.0,18.0,5.102359450122652,1.8333333333333333,1.8333333333333333,18,3,11.0,0.1336477291692682,2,19.0,0.4468318622450011,0,3.0,0.7900498437942551
88.0,6,28.0,0.509090909090909,8.412968003431887,55,218.0,3.963636363636364,40.0,0.7272727272727273,3,46.0,13.0,6.89816987838408,3.5384615384615383,3.5384615384615383,13,3,14.0,0.046890682747837,0,25.0,0.7251409657601376,0,7.0,0.7231777261213647
96.0,4,19.0,0.3220338983050847,9.01730948112187,59,240.0,4.067796610169491,22.0,0.3728813559322034,1,38.0,0.0,7.975955704866684,2.7142857142857144,2.7142857142857144,14,0,4.0,0.6739150244638845,1,34.0,0.5661722204393358,0,0.0,0.5470852163820843
104.0,10,45.0,0.8035714285714286,8.89795561891295,56,262.0,4.678571428571429,22.0,0.3928571428571428,5,90.0,52.0,6.173592881908153,6.923076923076923,6.923076923076923,13,2,23.0,0.3941003407187131,3,67.0,0.4320484958200736,0,0.0,0.9625655923963734
112.0,13,57.0,1.0,8.2189762035849,57,267.0,4.684210526315789,5.0,0.087719298245614,5,31.0,0.0,7.267291298409641,2.2142857142857144,2.2142857142857144,14,4,28.0,0.4751663936814663,1,3.0,0.5387753423130568,0,0.0,0.9480157963065576
120.0,5,71.0,1.1833333333333331,8.762896466556311,60,297.0,4.95,30.0,0.5,0,16.0,0.0,7.989035231525585,1.1428571428571428,1.1428571428571428,14,0,5.0,0.5065113925843078,0,11.0,0.7047205834185508,0,0.0,0.63063635286264
128.0,10,123.0,1.9523809523809523,7.939082762667409,63,342.0,5.428571428571429,45.0,0.7142857142857143,3,38.0,22.0,7.073920078293772,2.7142857142857144,2.7142857142857144,14,2,28.0,0.3846149016224063,1,4.0,0.5069138928631157,0,6.0,0.916231259292647
136.0,10,139.0,2.0144927536231885,7.885618083574849,69,390.0,5.652173913043479,48.0,0.6956521739130435,3,37.0,0.0,6.786267805201961,1.947368421052632,1.947368421052632,19,2,26.0,0.5520172188015108,1,8.0,0.4279703291919158,0,3.0,0.5633397887296413
144.0,12,197.0,3.283333333333333,7.864026717064084,60,398.0,6.633333333333334,8.0,0.1333333333333333,3,19.0,0.0,7.023481485602575,1.2666666666666666,1.2666666666666666,15,0,2.0,0.5298954838753012,2,11.0,0.5914540898183369,1,6.0,0.3745955983309744
152.0,10,125.0,1.893939393939394,7.528667908697485,66,449.0,6.803030303030303,51.0,0.7727272727272727,5,45.0,26.0,5.449251146821148,2.25,2.25,20,2,12.0,0.2409786283476403,2,32.0,0.4404792243244378,1,1.0,0.5192795002392288
160.0,14,60.0,0.8695652173913043,8.215681998121298,69,472.0,6.840579710144928,23.0,0.3333333333333333,6,99.0,54.0,6.100577040001156,5.5,5.5,18,5,89.0,0.3625997799833683,1,10.0,0.4784030116254544,0,0.0,0.959118935550488
168.0,9,61.0,0.9384615384615383,8.287092873456253,65,483.0,7.430769230769231,11.0,0.1692307692307692,6,151.0,52.0,5.405707050569951,8.882352941176471,8.882352941176471,17,3,80.0,0.4585132626392417,2,71.0,0.3632332872282987,1,0.0,0.5978437493479387
176.0,7,56.0,0.9333333333333332,9.00864070829036,60,458.0,7.633333333333334,0.0,0.0,4,102.0,0.0,7.592835802428549,6.375,6.375,16,3,62.0,0.2661031118014268,1,12.0,0.6767799788607699,0,28.0,0.9183229127005572
184.0,1,13.0,0.2203389830508474,9.937657482782187,59,474.0,8.033898305084746,16.0,0.2711864406779661,1,80.0,0.0,7.932513610041266,5.333333333333333,5.333333333333333,15,0,43.0,0.4989212566239357,1,31.0,0.7424206201773579,0,6.0,0.7466804615033529
192.0,5,29.0,0.5576923076923077,9.767775597467343,52,394.0,7.576923076923077,0.0,0.0,4,127.0,47.0,7.067244959435022,8.466666666666667,8.466666666666667,15,3,75.0,0.4385860805009318,1,49.0,0.6194354518254482,0,3.0,0.4065953446925842
200.0,5,15.0,0.3,8.54860472164903,50,390.0,7.8,0.0,0.0,3,43.0,0.0,5.528525991056306,3.909090909090909,3.909090909090909,11,1,20.0,0.3120290648578294,2,23.0,0.4459097860767793,0,0.0,1.0
208.0,7,23.0,0.4791666666666667,8.270563526154277,48,270.0,5.625,0.0,0.0,6,69.0,26.0,4.394131306293611,4.928571428571429,4.928571428571429,14,1,23.0,0.2436049132080953,5,43.0,0.2837857875349588,0,3.0,0.7879934767453506
216.0,4,5.0,0.1041666666666666,8.882837758878681,48,236.0,4.916666666666667,0.0,0.0,2,12.0,0.0,7.722438479576038,0.75,0.75,16,1,2.0,0.5031450158207592,1,7.0,0.56207435932516,0,3.0,0.8411458683217957
224.0,7,19.0,0.3584905660377358,8.718274111512727,53,235.0,4.433962264150943,0.0,0.0,5,17.0,5.0,4.866486241207165,1.4166666666666667,1.4166666666666667,12,2,4.0,0.1871303907926592,3,13.0,0.4179995439793474,0,0.0,0.8834601082659069
232.0,8,44.0,0.8,8.713951323223913,55,256.0,4.654545454545454,21.0,0.3818181818181818,4,27.0,10.0,7.150618173051933,2.076923076923077,2.076923076923077,13,2,9.0,0.4830717394888797,2,15.0,0.6438431745188478,0,3.0,0.6416264163272685
240.0,5,39.0,0.7222222222222222,8.817644564805748,54,236.0,4.37037037037037,0.0,0.0,2,14.0,0.0,7.455586370460284,1.2727272727272727,1.2727272727272727,11,1,9.0,0.5908910863152258,1,5.0,0.548925364373314,0,0.0,0.9423490748887844
248.0,10,92.0,1.7037037037037035,8.799448232584504,54,234.0,4.333333333333333,0.0,0.0,5,50.0,36.0,5.991276906348638,3.571428571428572,3.571428571428572,14,0,4.0,0.7150812808681364,5,46.0,0.3226105098138346,0,0.0,1.0
256.0,3,29.0,0.6170212765957447,8.70386957070437,47,217.0,4.617021276595745,0.0,0.0,1,6.0,0.0,5.760658019847538,0.6,0.6,10,1,4.0,0.157763689589545,0,2.0,0.5733041995216116,0,0.0,1.0
264.0,10,40.0,0.8333333333333334,8.76581697247878,48,239.0,4.979166666666667,22.0,0.4583333333333333,4,32.0,26.0,8.101028249671922,2.0,2.0,16,1,6.0,0.5550039362483552,3,26.0,0.4794013325655854,0,0.0,0.9381983338734506
272.0,9,59.0,1.2291666666666667,8.350196296814396,48,229.0,4.770833333333333,0.0,0.0,5,51.0,19.0,5.912780988175101,3.4,3.4,15,2,13.0,0.5528026253304461,3,38.0,0.3622185644780617,0,0.0,0.4772339761129409
280.0,4,8.0,0.1538461538461538,9.4362359056432,52,254.0,4.884615384615385,25.0,0.4807692307692308,2,44.0,0.0,9.239663069866628,2.4444444444444446,2.4444444444444446,18,1,4.0,0.4968065119580089,1,37.0,0.6887793570807468,0,3.0,0.850469996799944
288.0,4,17.0,0.3469387755102041,9.531384899102498,49,216.0,4.408163265306122,0.0,0.0,4,73.0,29.0,5.981155458720647,4.866666666666666,4.866666666666666,15,2,25.0,0.4625633339452915,2,45.0,0.4985084946799807,0,3.0,0.6565582169443808
296.0,6,17.0,0.3617021276595745,8.356130173359105,47,224.0,4.76595744680851,8.0,0.1702127659574468,5,49.0,0.0,6.10198508123742,3.769230769230769,3.769230769230769,13,1,17.0,0.568129762997636,3,27.0,0.4642858119793178,1,5.0,0.4785695712755549
304.0,5,17.0,0.3541666666666667,9.405513265417689,48,250.0,5.208333333333333,26.0,0.5416666666666666,2,28.0,0.0,8.135425198664123,2.333333333333333,2.333333333333333,12,0,0.0,0.5874975853079398,2,28.0,0.6060233345767282,0,0.0,1.0
312.0,8,36.0,0.7346938775510204,8.42904896354471,49,236.0,4.816326530612245,0.0,0.0,7,34.0,6.0,5.8610249513994015,1.7,1.7,20,5,14.0,0.1501493480497911,2,10.0,0.5466335453618869,0,10.0,0.6714213301063698
320.0,5,42.0,0.7924528301886793,8.022397860253697,53,233.0,4.39622641509434,0.0,0.0,4,33.0,0.0,5.714724165079502,1.5,1.5,22,1,6.0,0.2186770879508766,3,24.0,0.3283419085568804,0,3.0,0.8058079696239014
328.0,1,6.0,0.1132075471698113,9.374272896273528,53,227.0,4.283018867924528,0.0,0.0,1,42.0,9.0,8.390235157683863,2.625,2.625,16,1,6.0,0.6412270532309755,0,36.0,0.5704669888135073,0,0.0,0.7900477403217561
336.0,3,7.0,0.1458333333333333,9.827348769365686,48,157.0,3.270833333333333,0.0,0.0,2,13.0,0.0,6.271456911583881,1.3,1.3,10,2,6.0,0.0656434983160718,0,3.0,0.922342915222828,0,4.0,0.7505896096809037
344.0,4,26.0,0.5531914893617021,9.682588156074605,47,179.0,3.808510638297872,22.0,0.4680851063829787,3,32.0,19.0,8.33957523539338,2.4615384615384617,2.4615384615384617,13,2,28.0,0.4679056094201035,1,4.0,0.7293492384629436,0,0.0,0.9024444875833252
352.0,3,6.0,0.1276595744680851,9.471243208798928,47,179.0,3.808510638297872,0.0,0.0,1,29.0,0.0,7.898145933568232,2.230769230769231,2.230769230769231,13,1,16.0,0.4345265598066659,0,9.0,0.7243762589768776,0,4.0,0.9467286843408212
360.0,4,11.0,0.2115384615384615,9.439765901102865,52,189.0,3.6346153846153846,10.0,0.1923076923076923,4,28.0,0.0,6.459222700103963,1.5555555555555556,1.5555555555555556,18,2,14.0,0.3203121685725563,1,9.0,0.6047690518524415,1,5.0,0.6357326997229504
368.0,2,10.0,0.1886792452830188,9.839139066404536,53,184.0,3.4716981132075477,0.0,0.0,1,10.0,0.0,8.678390982357184,0.7692307692307693,0.7692307692307693,13,1,4.0,0.6499446655589294,0,6.0,0.4860636387656061,0,0.0,0.7017103930034445
376.0,4,34.0,0.6415094339622641,9.024230047844464,53,177.0,3.339622641509434,0.0,0.0,2,15.0,5.0,7.886311652948564,0.8823529411764706,0.8823529411764706,17,1,6.0,0.5433622453390619,1,9.0,0.6456612493473027,0,0.0,0.6998018780495072
384.0,3,22.0,0.4150943396226415,8.829587932266586,53,160.0,3.018867924528302,0.0,0.0,2,18.0,3.0,6.097992715065934,1.6363636363636365,1.6363636363636365,11,1,2.0,0.2260146258251804,1,16.0,0.7082018691514755,0,0.0,0.6833170311179967
392.0,7,10.0,0.1639344262295081,9.174258488960724,61,174.0,2.8524590163934427,14.0,0.2295081967213114,3,5.0,0.0,8.503864174881208,0.2941176470588235,0.2941176470588235,17,1,0.0,0.6608488634255257,2,5.0,0.450370048571162,0,0.0,0.6738494299746085
400.0,7,13.0,0.2131147540983606,9.100714196692566,61,144.0,2.360655737704918,0.0,0.0,6,17.0,12.0,6.669728786224616,1.0625,1.0625,16,3,11.0,0.4721456039252165,1,3.0,0.7393854222450061,2,3.0,0.3102729422943409
408.0,4,19.0,0.2923076923076923,9.530950970507517,65,163.0,2.507692307692308,19.0,0.2923076923076923,1,27.0,10.0,8.066497316210755,2.076923076923077,2.076923076923077,13,1,21.0,0.3992150106117102,0,6.0,0.8351642884101244,0,0.0,0.842621070564956
416.0,5,14.0,0.21875,8.788907089731984,64,161.0,2.515625,0.0,0.0,2,10.0,0.0,6.667448307032081,0.7142857142857143,0.7142857142857143,14,0,5.0,0.568724724106129,2,3.0,0.3465255060890005,0,2.0,0.9191288225096416
424.0,13,39.0,0.6290322580645161,7.291016707572202,62,179.0,2.8870967741935485,18.0,0.2903225806451613,6,44.0,34.0,5.225180414335799,2.933333333333333,2.933333333333333,15,3,14.0,0.2270121080786374,2,27.0,0.5104897005590288,1,3.0,0.4759045794387192
432.0,12,80.0,1.3793103448275863,8.148538062889193,58,243.0,4.189655172413793,64.0,1.103448275862069,2,15.0,0.0,8.05465085946909,1.3636363636363635,1.3636363636363635,11,1,5.0,0.4821135521917227,1,9.0,0.6822891541982973,0,1.0,0.9502818451773118
440.0,11,108.0,1.8,7.850691778478156,60,262.0,4.366666666666666,19.0,0.3166666666666666,4,15.0,0.0,5.676947186973606,1.1538461538461535,1.1538461538461535,13,3,5.0,0.2452967653430904,1,10.0,0.7390464351819531,0,0.0,1.0
448.0,13,153.0,2.593220338983051,7.652031058862408,59,333.0,5.6440677966101696,71.0,1.2033898305084745,4,49.0,34.0,7.044056024674674,2.7222222222222223,2.7222222222222223,18,2,16.0,0.505225514819202,2,30.0,0.5327083425984327,0,3.0,0.5643041682002528
456.0,4,50.0,0.8771929824561403,7.5939080177249885,57,366.0,6.421052631578948,33.0,0.5789473684210527,1,51.0,2.0,7.123199972298424,3.4,3.4,15,0,6.0,0.4171529630355318,0,45.0,0.5026653861279325,1,0.0,0.7136408032302101
464.0,10,65.0,1.1607142857142858,8.513154380690034,56,364.0,6.5,0.0,0.0,3,32.0,0.0,6.146012227976021,2.909090909090909,2.909090909090909,11,2,21.0,0.4308144946758461,1,11.0,0.4947763827535599,0,0.0,0.9338197806480396
472.0,8,65.0,1.181818181818182,7.831405885551199,55,420.0,7.636363636363637,56.0,1.018181818181818,2,7.0,0.0,7.054673731739904,0.7777777777777778,0.7777777777777778,9,1,6.0,0.3599050759014912,1,0.0,0.3367038643026309,0,1.0,0.9239228316975348
480.0,2,4.0,0.0769230769230769,9.729644658487391,52,361.0,6.9423076923076925,0.0,0.0,1,81.0,74.0,8.923515765184215,6.75,6.75,12,1,42.0,0.5625549146133434,0,39.0,0.9404110885531036,0,0.0,0.5437816337971474
488.0,4,13.0,0.2452830188679245,9.580224302405597,53,272.0,5.132075471698113,0.0,0.0,1,47.0,0.0,9.553005805028452,3.9166666666666665,3.9166666666666665,12,1,43.0,0.5621251835338796,0,4.0,0.909783281127463,0,0.0,0.6825621807188108
496.0,6,40.0,0.7407407407407407,9.315336618836662,54,275.0,5.092592592592593,3.0,0.0555555555555555,3,19.0,0.0,8.596931760017416,1.9,1.9,10,2,12.0,0.4065114245599129,1,4.0,0.6477233530609944,0,3.0,0.9324499606070198
504.0,5,12.0,0.24,9.381902436760395,50,235.0,4.7,0.0,0.0,3,95.0,76.0,7.330946680642064,7.916666666666667,7.916666666666667,12,2,63.0,0.5004359106810733,1,29.0,0.5075321137963151,0,3.0,0.948184635156016
512.0,4,22.0,0.5,9.627174225322,44,254.0,5.7727272727272725,19.0,0.4318181818181818,0,33.0,0.0,8.926601993592378,3.6666666666666665,3.6666666666666665,9,0,16.0,0.412734622735275,0,17.0,0.8370112663652691,0,0.0,0.9122277535291576
520.0,5,32.0,0.7804878048780488,9.651093028312776,41,220.0,5.365853658536586,0.0,0.0,3,7.0,0.0,7.913437781655149,0.7777777777777778,0.7777777777777778,9,2,6.0,0.3189088057901704,0,0.0,0.8768058615758362,1,1.0,0.6336097546316389
528.0,7,52.0,1.181818181818182,9.441006890050264,44,208.0,4.727272727272728,0.0,0.0,3,26.0,19.0,7.961984032819503,1.8571428571428568,1.8571428571428568,14,2,13.0,0.5265891776815544,0,6.0,0.7510826317121765,1,7.0,0.4967821276247219
536.0,3,9.0,0.1875,9.808851008837642,48,194.0,4.041666666666667,0.0,0.0,3,69.0,43.0,9.489325479228729,4.0588235294117645,4.0588235294117645,17,1,7.0,0.6299904495889795,2,55.0,0.5477299638841766,0,7.0,0.881658913992684
544.0,5,11.0,0.2244897959183673,7.602698527030942,49,206.0,4.204081632653061,12.0,0.2448979591836734,5,89.0,20.0,4.6548844432671,5.5625,5.5625,16,1,21.0,0.3759712862535183,4,68.0,0.3208020488940344,0,0.0,0.3157351836024819
552.0,7,24.0,0.4137931034482758,8.29774094494815,58,257.0,4.431034482758621,51.0,0.8793103448275862,1,45.0,0.0,6.259185766520042,3.75,3.75,12,1,22.0,0.3724691637972189,0,23.0,0.445153846899065,0,0.0,0.9334119531638048
560.0,8,54.0,1.0384615384615383,8.837336721435538,52,221.0,4.25,0.0,0.0,2,12.0,0.0,7.146528955484171,1.0909090909090908,1.0909090909090908,11,1,1.0,0.2649787857809013,1,11.0,0.7047894829281708,0,0.0,1.0
568.0,9,58.0,1.0740740740740742,8.06869763877847,54,255.0,4.722222222222222,34.0,0.6296296296296297,4,26.0,14.0,5.403581936355854,2.0,2.0,13,0,3.0,0.6308895989849028,4,20.0,0.2464859231048493,0,3.0,0.9277965301438782
576.0,8,19.0,0.3220338983050847,8.238667975880341,59,266.0,4.508474576271187,11.0,0.1864406779661017,3,47.0,21.0,7.825359603862945,2.238095238095238,2.238095238095238,21,2,29.0,0.5591524405422185,1,15.0,0.5850596032149828,0,3.0,0.857859430677621
584.0,10,52.0,0.9629629629629628,7.530030739593973,54,264.0,4.888888888888889,0.0,0.0,7,48.0,1.0,4.1523273860755925,3.4285714285714284,3.4285714285714284,14,3,14.0,0.2459254967992423,3,31.0,0.314561517353093,1,3.0,0.3150216318388609
592.0,14,58.0,0.935483870967742,8.00178801933566,62,283.0,4.564516129032258,19.0,0.3064516129032258,8,45.0,0.0,5.349711907208217,2.3684210526315788,2.3684210526315788,19,5,22.0,0.3093041798671643,3,23.0,0.4273363739347989,0,0.0,0.8011609322289746
600.0,7,17.0,0.265625,8.660486086831009,64,294.0,4.59375,11.0,0.171875,4,62.0,17.0,7.295713670379015,3.4444444444444446,3.4444444444444446,18,2,43.0,0.4516944319286029,2,16.0,0.4851420943406562,0,3.0,0.9109720782698474
608.0,11,61.0,0.8840579710144928,9.27684191291165,69,340.0,4.927536231884058,46.0,0.6666666666666666,3,58.0,0.0,8.106408560641253,4.142857142857143,4.142857142857143,14,1,29.0,0.5626192260758537,2,27.0,0.5666706561756775,0,2.0,0.9168851684445514
616.0,6,61.0,0.9104477611940298,9.401957702507373,67,364.0,5.432835820895522,24.0,0.3582089552238806,2,19.0,0.0,7.250471945977771,1.7272727272727273,1.7272727272727273,11,1,8.0,0.4173815434192403,1,6.0,0.4571481187638705,0,5.0,0.7948557230925122
624.0,6,61.0,0.9384615384615383,9.897562528893822,65,395.0,6.076923076923077,31.0,0.4769230769230769,2,19.0,0.0,9.038160320239571,1.5833333333333333,1.5833333333333333,12,1,9.0,0.5615909890825319,1,10.0,0.5898057789994825,0,0.0,0.9721103861777936
632.0,7,80.0,1.4814814814814814,9.311294474837396,54,313.0,5.796296296296297,0.0,0.0,3,72.0,53.0,8.10057673675617,5.142857142857143,5.142857142857143,14,2,26.0,0.5106272911635317,1,42.0,0.6537435893635295,0,4.0,0.959269810925211
640.0,9,23.0,0.4107142857142857,7.37457747818351,56,324.0,5.785714285714286,11.0,0.1964285714285714,7,99.0,27.0,4.8066642146822085,6.1875,6.1875,16,4,36.0,0.341294091813444,3,63.0,0.3526724759214392,0,0.0,0.5218739062061047
648.0,5,14.0,0.2545454545454545,8.249350901833237,55,332.0,6.036363636363636,8.0,0.1454545454545454,2,61.0,0.0,6.982750442951975,3.8125,3.8125,16,2,17.0,0.3100686744209063,0,10.0,0.4626258641131391,0,34.0,0.9586957978966724
656.0,9,27.0,0.4655172413793103,8.843643237864368,58,339.0,5.844827586206897,7.0,0.1206896551724138,6,48.0,0.0,6.11979197041783,3.692307692307693,3.692307692307693,13,4,37.0,0.1808984026708352,1,10.0,0.7189626055769689,1,1.0,0.485836027399905
