step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,6.987318956965487,11,0.0,0.0,0.0,0.0,0,0.0,0.0,5.534552172771068,0.0,0.0,4,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,1,0.0,0.0,8.272791463697715,17,2.0,0.1176470588235294,2.0,0.1176470588235294,0,0.0,0.0,5.967873678803671,0.0,0.0,3,0,0.0,0.093798116336793,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,4,6.0,0.25,8.726777108322034,24,8.0,0.3333333333333333,6.0,0.25,1,5.0,5.0,6.507876434658507,1.6666666666666667,1.6666666666666667,3,1,5.0,0.4373204637312797,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,4,4.0,0.1379310344827586,8.3564137459872,29,20.0,0.6896551724137931,12.0,0.4137931034482758,3,1.0,0.0,4.8496218994933376,0.125,0.125,8,2,1.0,0.345644983636635,1,0.0,0.4782283621680181,0,0.0,0.7573355720538923
48.0,6,4.0,0.1081081081081081,8.48062324993752,37,31.0,0.8378378378378378,11.0,0.2972972972972973,4,7.0,6.0,7.023489310302079,0.5384615384615384,0.5384615384615384,13,2,7.0,0.5054124370290881,1,0.0,0.6198965732373198,1,0.0,0.0037574057701184
56.0,7,25.0,0.625,8.537790551161157,40,70.0,1.75,39.0,0.975,4,13.0,6.0,4.472512183760052,1.4444444444444444,1.4444444444444444,9,2,7.0,0.243502613224473,2,6.0,0.3965195508863249,0,0.0,0.9164506908232906
64.0,7,40.0,0.8163265306122449,9.542200386093793,49,121.0,2.4693877551020407,51.0,1.0408163265306123,4,18.0,5.0,6.805944155311909,1.6363636363636365,1.6363636363636365,11,4,15.0,0.3002069059555023,0,3.0,0.8817469424078659,0,0.0,0.644600466548569
72.0,12,47.0,0.8703703703703703,7.845773837402413,54,161.0,2.9814814814814814,40.0,0.7407407407407407,7,28.0,10.0,5.367072521125095,1.6470588235294117,1.6470588235294117,17,4,14.0,0.2877939712649096,1,8.0,0.4834758638587273,2,6.0,0.5371383872186974
80.0,9,48.0,0.8727272727272727,7.916104098328902,55,208.0,3.7818181818181817,47.0,0.8545454545454545,7,57.0,29.0,4.369296350017125,2.85,2.85,20,3,19.0,0.296506765705618,3,35.0,0.2960984016988288,1,3.0,0.4953967122321331
