step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,7.131852017233379,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.684315741721536,0.0,0.0,5,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,1,0.0,0.0,9.021350452406596,17,2.0,0.1176470588235294,2.0,0.1176470588235294,0,0.0,0.0,8.276747613139792,0.0,0.0,2,0,0.0,1.0,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,3,1.0,0.0434782608695652,8.76698317730798,23,3.0,0.1304347826086956,1.0,0.0434782608695652,0,0.0,0.0,6.597454501978286,0.0,0.0,3,0,0.0,0.4482677495532168,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,6,11.0,0.3666666666666666,8.164940733349408,30,18.0,0.6,15.0,0.5,4,3.0,3.0,4.289498550775341,0.4285714285714285,0.4285714285714285,7,3,3.0,0.2309786172015724,1,0.0,0.4782283621680181,0,0.0,0.7573355720538923
48.0,3,0.0,0.0,9.904392739101429,39,22.0,0.5641025641025641,4.0,0.1025641025641025,2,5.0,2.0,10.029470283690037,0.5,0.5,10,0,5.0,0.9151629260092332,1,0.0,0.6719329552030932,1,0.0,0.0
56.0,6,24.0,0.5853658536585366,9.418485072252285,41,43.0,1.048780487804878,21.0,0.5121951219512195,4,20.0,15.0,3.987543890230489,2.0,2.0,10,2,13.0,0.1519434507629801,2,7.0,0.4832755031055789,0,0.0,0.9416661425721804
64.0,3,13.0,0.2765957446808511,9.833105285147274,47,76.0,1.6170212765957446,33.0,0.7021276595744681,0,0.0,0.0,11.660211453939109,0.0,0.0,10,0,0.0,0.9126527384321874,0,0.0,0.9039469190978984,0,0.0,0.7749987343661668
72.0,9,39.0,0.75,8.156927333155256,52,99.0,1.9038461538461535,23.0,0.4423076923076923,5,19.0,19.0,5.844128813443906,1.2666666666666666,1.2666666666666666,15,3,13.0,0.3896160879748567,1,6.0,0.3259348977892594,1,0.0,0.6681906108116771
80.0,7,22.0,0.4,8.463551547612285,55,156.0,2.8363636363636364,57.0,1.0363636363636364,6,51.0,32.0,5.0490506404368585,2.833333333333333,2.833333333333333,18,4,19.0,0.238129524197947,2,29.0,0.3568038493862526,0,3.0,0.7899384571046532
88.0,5,20.0,0.3773584905660377,8.157339482599031,53,195.0,3.679245283018868,39.0,0.7358490566037735,3,44.0,0.0,6.456472478993718,2.933333333333333,2.933333333333333,15,3,14.0,0.1496082200574284,0,27.0,0.7658359660037318,0,3.0,0.4928392051123971
96.0,6,23.0,0.396551724137931,9.073012800149218,58,222.0,3.827586206896552,27.0,0.4655172413793103,3,19.0,0.0,7.499286662095527,1.2666666666666666,1.2666666666666666,15,1,14.0,0.6374537065640362,1,2.0,0.4802711779018073,1,3.0,0.4779907324547741
104.0,9,38.0,0.6909090909090909,8.713529290629989,55,229.0,4.163636363636364,7.0,0.1272727272727272,3,10.0,0.0,5.170642277153535,1.1111111111111112,1.1111111111111112,9,2,3.0,0.1353188227044784,1,7.0,0.6524545189833297,0,0.0,0.4622483507317441
112.0,11,70.0,1.206896551724138,8.826728618187857,58,258.0,4.448275862068965,29.0,0.5,3,6.0,0.0,9.485305110617704,0.4285714285714285,0.4285714285714285,14,2,3.0,0.5437803172693642,1,3.0,0.7185026788875176,0,0.0,0.9722368163279924
120.0,2,37.0,0.6271186440677966,10.073603519822417,59,249.0,4.220338983050848,0.0,0.0,0,47.0,41.0,8.799264427356928,3.357142857142857,3.357142857142857,14,0,16.0,0.7034107184361567,0,31.0,0.67115662111471,0,0.0,0.7629412220937348
