step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,3.0,0.2142857142857142,8.284117628126944,14,4.0,0.2857142857142857,3.0,0.2142857142857142,1,4.0,4.0,8.714928758677427,0.4,0.4,10,0,0.0,0.6673908485509094,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,8.435226160451844,20,11.0,0.55,7.0,0.35,0,2.0,0.0,8.451892230191737,0.1333333333333333,0.1333333333333333,15,0,0.0,0.5829723183660007,0,0.0,0.5666594439076266,0,0.0,0.7336603251845109,0,2.0,0.2525436441693368,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,2.0,0.08,9.069257895839222,25,13.0,0.52,2.0,0.08,1,2.0,0.0,9.168044660956236,0.1333333333333333,0.1333333333333333,15,1,2.0,0.5173972221224611,0,0.0,0.5559529433403697,0,0.0,0.8136829376685097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,2,2.0,0.0571428571428571,9.70813323565508,35,18.0,0.5142857142857142,5.0,0.1428571428571428,2,2.0,0.0,9.409978215670144,0.0909090909090909,0.0909090909090909,22,0,0.0,0.9531274525935136,1,0.0,0.734882321652848,0,0.0,0.8212239863131557,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0001201337203244,0,0.0,1.0
48.0,4,7.0,0.1891891891891892,8.968370752165196,37,22.0,0.5945945945945946,4.0,0.1081081081081081,4,7.0,5.0,7.491981417012063,0.3333333333333333,0.3333333333333333,21,2,4.0,0.3260112879240965,2,3.0,0.6272517469519747,0,0.0,0.7435662115433974,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,5,22.0,0.5365853658536586,8.030360702757646,41,43.0,1.048780487804878,21.0,0.5121951219512195,4,22.0,15.0,7.088592988821784,1.0,1.0,22,0,0.0,0.5116144973011779,4,22.0,0.489813400390764,0,0.0,0.9326399282560264,0,0.0,0.935254064560296,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,1,5.0,0.1162790697674418,8.70744425054769,43,66.0,1.5348837209302326,23.0,0.5348837209302325,1,15.0,0.0,8.288363396204065,0.6818181818181818,0.6818181818181818,22,0,6.0,0.6964365443753123,1,9.0,0.6598482797348268,0,0.0,0.9884574554103897,0,0.0,0.8365813462802537,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,3,11.0,0.2391304347826087,8.655334477484338,46,83.0,1.8043478260869563,17.0,0.3695652173913043,3,30.0,15.0,7.8869729844228225,1.2,1.2,25,0,13.0,0.9030497856138712,3,14.0,0.4972502032215926,0,0.0,0.9206827749896288,0,0.0,0.8369941384128313,0,0.0,1.0,0,3.0,0.8530953214549767,0,0.0,1.0,0,0.0,1.0
80.0,1,6.0,0.1276595744680851,9.027277907856504,47,91.0,1.9361702127659572,8.0,0.1702127659574468,1,20.0,0.0,8.374056148896234,0.9523809523809524,0.9523809523809524,21,0,7.0,0.9174005653086104,1,13.0,0.6868443754351929,0,0.0,0.8250988638134427,0,0.0,0.737372649755116,0,0.0,1.0,0,0.0,0.6446484903349674,0,0.0,1.0,0,0.0,1.0
