step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
8.0,0,0.0,0.0,12.464058667981597,1,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
16.0,0,0.0,0.0,6.959476811355966,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.498592848222081,0.0,0.0,3,0,0.0,0.5217923530258367
24.0,1,0.0,0.0,8.514893037914872,10,0.0,0.0,0.0,0.0,0,0.0,0.0,8.807412016783317,0.0,0.0,4,0,0.0,0.6176489613514201
32.0,0,0.0,0.0,9.330620604759558,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.955133171279652,0.0,0.0,4,0,0.0,0.6065444516681708
40.0,0,0.0,0.0,9.504832330080669,15,0.0,0.0,0.0,0.0,0,0.0,0.0,8.003510870560739,0.0,0.0,8,0,0.0,0.5829695731877933
48.0,1,0.0,0.0,9.489618329978807,17,0.0,0.0,0.0,0.0,1,0.0,0.0,7.809480543835431,0.0,0.0,8,1,0.0,0.5986437931077395
56.0,2,10.0,0.5555555555555556,9.304696100441582,18,10.0,0.5555555555555556,10.0,0.5555555555555556,0,0.0,0.0,8.814808386752114,0.0,0.0,9,0,0.0,0.6535464665897249
64.0,1,1.0,0.05555555555555555,8.2240201633773,18,26.0,1.4444444444444444,16.0,0.8888888888888888,1,5.0,5.0,6.221797245488641,0.5555555555555556,0.5555555555555556,9,1,5.0,0.48583654488887834
72.0,0,0.0,0.0,9.295443717812187,20,14.0,0.7,0.0,0.0,0,0.0,0.0,8.221386084693417,0.0,0.0,11,0,0.0,0.6131082909594713
80.0,4,3.0,0.14285714285714285,8.207282954823523,21,3.0,0.14285714285714285,0.0,0.0,2,0.0,0.0,6.79302908574113,0.0,0.0,9,2,0.0,0.494223020542398
88.0,5,27.0,1.2272727272727273,7.118845533647203,22,27.0,1.2272727272727273,24.0,1.0909090909090908,3,8.0,8.0,4.772833495830862,0.6666666666666666,0.6666666666666666,12,3,8.0,0.3544990558901417
96.0,1,2.0,0.1,5.837311036487884,20,42.0,2.1,15.0,0.75,1,9.0,1.0,3.7298575637386855,0.6428571428571429,0.6428571428571429,14,1,9.0,0.26640746101122825
104.0,2,1.0,0.045454545454545456,5.481224066511851,22,31.0,1.4090909090909092,0.0,0.0,1,4.0,0.0,3.840498910428088,0.2857142857142857,0.2857142857142857,14,1,4.0,0.27554677181765
112.0,1,0.0,0.0,6.9409525771187255,22,14.0,0.6363636363636364,0.0,0.0,1,3.0,0.0,4.334919938297044,0.2,0.2,15,1,3.0,0.3027013829565969
120.0,1,8.0,0.38095238095238093,7.675163626528111,21,12.0,0.5714285714285714,0.0,0.0,1,10.0,7.0,6.230611193670099,0.6666666666666666,0.6666666666666666,15,1,10.0,0.43774925991296215
128.0,1,1.0,0.047619047619047616,6.6901633546116255,21,15.0,0.7142857142857143,3.0,0.14285714285714285,0,2.0,0.0,5.160877604635398,0.2222222222222222,0.2222222222222222,9,0,2.0,0.35586542683431543
