step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
8.0,0,0.0,0.0,12.802473036036828,1,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0
16.0,0,0.0,0.0,7.344821678157147,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.199907935422741,0.0,0.0,3,0,0.0,0.5593871836512104
24.0,1,0.0,0.0,8.112777616348154,9,1.0,0.1111111111111111,1.0,0.1111111111111111,0,0.0,0.0,9.821785893191906,0.0,0.0,4,0,0.0,0.699974796103055
32.0,0,0.0,0.0,9.991823807100872,14,1.0,0.07142857142857142,0.0,0.0,0,0.0,0.0,9.295501319214356,0.0,0.0,4,0,0.0,0.6663902709074794
40.0,0,0.0,0.0,9.59032489871965,15,0.0,0.0,0.0,0.0,0,0.0,0.0,7.705618100540333,0.0,0.0,8,0,0.0,0.5754695765183351
48.0,0,0.0,0.0,10.5280492931591,17,0.0,0.0,0.0,0.0,0,0.0,0.0,9.254632638763809,0.0,0.0,8,0,0.0,0.6633614740527651
56.0,1,0.0,0.0,9.846443782055669,20,1.0,0.05,1.0,0.05,1,0.0,0.0,7.318219219354724,0.0,0.0,10,1,0.0,0.5197412394685481
64.0,2,3.0,0.16666666666666666,8.6952716242649,18,5.0,0.2777777777777778,4.0,0.2222222222222222,1,0.0,0.0,9.684278329913724,0.0,0.0,8,1,0.0,0.6744238928869348
72.0,1,0.0,0.0,9.725016095990824,21,8.0,0.38095238095238093,3.0,0.14285714285714285,1,0.0,0.0,8.067252923516534,0.0,0.0,9,1,0.0,0.5542895957112803
80.0,2,4.0,0.21052631578947367,8.337765998521421,19,4.0,0.21052631578947367,0.0,0.0,1,0.0,0.0,6.525059342605331,0.0,0.0,9,1,0.0,0.47412185855141775
88.0,2,2.0,0.09523809523809523,8.64359523393243,21,9.0,0.42857142857142855,5.0,0.23809523809523808,2,4.0,4.0,6.103849279247158,0.3333333333333333,0.3333333333333333,12,2,4.0,0.4577077356218122
96.0,2,2.0,0.11764705882352941,6.533420491063218,17,12.0,0.7058823529411765,3.0,0.17647058823529413,1,4.0,0.0,6.335658088736472,0.4,0.4,10,1,4.0,0.446465965943763
