step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,5.829335249983705,7,0.0,0.0,0.0,0.0,0,0.0,0.0,4.90535773319037,0.0,0.0,3,0,0.0,0.13721511528255004,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1655141668484369,0,0.0,0.8345404228749661,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.334879546898465,13,0.0,0.0,0.0,0.0,0,0.0,0.0,8.029661431541175,0.0,0.0,5,0,0.0,0.9502581333389595,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5393112732681788,0,0.0,0.5362019267283855,0,0.0,0.1814420335659459,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,3,11.0,0.55,9.611571968620911,20,11.0,0.55,11.0,0.55,2,11.0,11.0,9.626852430589727,1.2222222222222223,1.2222222222222223,9,1,3.0,0.0009126065659132346,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9808756672290074,0,0.0,1.0,0,0.0,0.9471440304268086,0,0.0,1.0,1,8.0,0.445898861749535,0,0.0,0.7877884389171808,0,0.0,0.7138604250531874,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,2,16.0,0.6153846153846154,10.162655631735657,26,22.0,0.8461538461538461,11.0,0.4230769230769231,1,16.0,5.0,10.131635521455973,1.4545454545454546,1.4545454545454546,11,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8722578136967253,0,0.0,1.0,1,16.0,0.48389932539540015,0,0.0,0.6785560731838318,0,0.0,0.5964620334674319,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,1,24.0,0.7741935483870968,10.198063680133,31,30.0,0.967741935483871,8.0,0.25806451612903225,1,24.0,8.0,10.803741706588841,2.1818181818181817,2.1818181818181817,11,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7628973519142747,0,0.0,1.0,1,24.0,0.5480837013285812,0,0.0,0.5605159047585062,0,0.0,0.9496776132067615,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9087402331448893
48.0,5,38.0,0.926829268292683,10.0081016044339,41,44.0,1.0731707317073171,14.0,0.34146341463414637,3,38.0,14.0,8.789550233293038,2.7142857142857144,2.7142857142857144,14,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9670294980359673,0,0.0,1.0,2,38.0,0.0,0,0.0,0.8178911609652105,0,0.0,0.5028695095120718,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9210651026442978,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7587741104830067
56.0,4,8.0,0.18604651162790697,10.435711275001806,43,59.0,1.372093023255814,15.0,0.3488372093023256,4,11.0,0.0,8.025014820958239,0.6470588235294118,0.6470588235294118,17,0,0.0,0.9914849627201673,0,0.0,0.9048056517230614,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.0007813720456107375,0,0.0,1.0,1,4.0,0.3769452044051367,0,0.0,0.7963486982608878,1,3.0,0.2182192615168076,0,0.0,0.694658933313125,0,0.0,0.936358287241175,0,0.0,1.0,0,0.0,1.0,1,1.0,0.006955814969779835,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,2,4.0,0.07407407407407407,9.327642055278394,54,91.0,1.6851851851851851,32.0,0.5925925925925926,2,20.0,9.0,5.994712311921777,1.25,1.25,16,1,0.0,0.5834678275808126,1,4.0,7.578446608911963e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,13.0,0.3879551720747487,0,0.0,0.24868435947076173,0,3.0,0.13004183156431656,0,0.0,0.45667337530274427,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,3,4.0,0.06349206349206349,10.56792232547187,63,94.0,1.492063492063492,3.0,0.047619047619047616,2,18.0,0.0,10.33864703071926,1.0588235294117647,1.0588235294117647,17,0,0.0,0.8096752194368991,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,14.0,0.7777572227020179,0,0.0,1.0,0,0.0,0.6262067508888678,2,4.0,0.2311182563394516,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9659125208211399,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
