step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,8.072560559325696,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.09840685252566,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5683437310962332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16977276867308813,0,0.0,0.8893036321700223
16.0,2,0.0,0.0,5.422185552730148,15,0.0,0.0,0.0,0.0,1,0.0,0.0,4.730939028272474,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,1,0.0,0.15961510681154942,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5330055594776942,0,0.0,1.0
24.0,2,0.0,0.0,7.891229653753543,23,8.0,0.34782608695652173,8.0,0.34782608695652173,0,3.0,3.0,9.08349062650421,0.3333333333333333,0.3333333333333333,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6254227212582846,0,0.0,1.0,0,3.0,0.7819827827774608,0,0.0,0.4801837275444956,0,0.0,0.7291893202109755
32.0,0,0.0,0.0,8.970599415547248,31,10.0,0.3225806451612903,2.0,0.06451612903225806,0,3.0,0.0,9.918362478099452,0.375,0.375,8,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9089991103037665,0,0.0,1.0,0,3.0,0.9842731359691408,0,0.0,0.5756128107469556,0,0.0,0.8494131385565993
40.0,0,0.0,0.0,9.633939324578057,40,12.0,0.3,2.0,0.05,0,7.0,4.0,9.904401184968284,0.2916666666666667,0.2916666666666667,24,0,0.0,0.35747131243389696,0,5.0,0.7074817206570553,0,0.0,1.0,0,0.0,0.3911330485778904,0,2.0,0.904305902070612,0,0.0,0.7221807581272642,0,0.0,0.8438576159668291
48.0,5,4.0,0.08333333333333333,8.305281502009015,48,27.0,0.5625,15.0,0.3125,3,11.0,4.0,7.592904057514534,0.6111111111111112,0.6111111111111112,18,0,0.0,1.0,1,3.0,0.49346014910420055,0,0.0,1.0,0,2.0,0.6909967489425975,0,3.0,0.72249379829236,1,1.0,0.537348657809024,1,2.0,0.0013236090850823716
56.0,7,17.0,0.3617021276595745,8.147694381433691,47,50.0,1.0638297872340425,23.0,0.48936170212765956,5,21.0,10.0,5.84993847221787,1.105263157894737,1.105263157894737,19,0,0.0,0.03759520289157302,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6164654054042398,0,4.0,0.85630384321038,2,12.0,0.3220061242709617,2,4.0,0.14542404698307715
64.0,7,21.0,0.42,8.444320556038567,50,90.0,1.8,40.0,0.8,4,12.0,0.0,9.030683150065677,0.75,0.75,16,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9832230501710634,2,4.0,0.0003916472369548924,1,1.0,0.6800302912985923,0,4.0,0.7680982718579339,1,0.0,0.28483464005211745
72.0,8,13.0,0.22413793103448276,8.317235395011297,58,122.0,2.103448275862069,32.0,0.5517241379310345,6,39.0,27.0,7.16879800607497,1.4444444444444444,1.4444444444444444,27,2,8.0,0.010668793711533701,0,0.0,1.0,1,2.0,0.4886932918350605,1,2.0,0.5586982388273762,1,17.0,0.7025308226291469,1,10.0,0.49027580050389385,0,0.0,0.7737996090183207
80.0,2,2.0,0.03508771929824561,8.429275253792404,57,125.0,2.192982456140351,3.0,0.05263157894736842,1,12.0,0.0,8.2619817975898,0.6666666666666666,0.6666666666666666,18,0,0.0,0.9079076206184084,0,0.0,1.0,1,2.0,0.38019322787496596,0,0.0,0.9927069091816182,0,2.0,0.7449952663491431,0,3.0,0.4421816042149989,0,5.0,0.7938871163741791
88.0,7,25.0,0.423728813559322,8.03568520093109,59,143.0,2.4237288135593222,18.0,0.3050847457627119,2,16.0,4.0,8.153478191037523,0.64,0.64,25,0,0.0,1.0,0,0.0,1.0,0,0.0,0.37923049612643284,0,0.0,0.19817819611019377,0,5.0,0.9358939195772056,2,7.0,0.4745298679380388,0,4.0,0.820936589423647
