step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,7.671602299738847,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.136997673199538,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6557301611873534,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1558528985821444,0,0.0,0.9589026869916317
16.0,2,0.0,0.0,6.666786107029241,15,0.0,0.0,0.0,0.0,1,0.0,0.0,4.322738974662981,0.0,0.0,5,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29231601234455457,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3514847901356508,0,0.0,1.0
24.0,3,8.0,0.34782608695652173,8.367739726527038,23,8.0,0.34782608695652173,8.0,0.34782608695652173,1,8.0,8.0,9.330027036655682,0.8888888888888888,0.8888888888888888,9,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6744095627960878,0,0.0,1.0,0,0.0,0.8471320348372706,1,8.0,0.47554115975205385,0,0.0,1.0
32.0,2,20.0,0.625,9.203729614989118,32,20.0,0.625,12.0,0.375,1,16.0,8.0,10.385248132127124,1.2307692307692308,1.2307692307692308,13,0,0.0,1.0,0,0.0,0.9473393293461414,0,0.0,0.9764090704847943,0,0.0,1.0,0,0.0,0.8678676834001763,1,16.0,0.5137249631961658,0,0.0,1.0
40.0,5,10.0,0.23255813953488372,8.634966799960427,43,34.0,0.7906976744186046,14.0,0.32558139534883723,4,13.0,0.0,7.988846770051038,0.5909090909090909,0.5909090909090909,22,0,0.0,1.0,0,0.0,0.6873762608289761,1,4.0,5.725832088861074e-05,0,0.0,0.9503723741644802,0,3.0,0.7777673271726011,3,6.0,0.4719548825586874,0,0.0,0.6932420317637139
48.0,4,17.0,0.3541666666666667,8.538045339750141,48,58.0,1.2083333333333333,24.0,0.5,2,24.0,11.0,8.296078099656643,1.1428571428571428,1.1428571428571428,21,0,0.0,1.0,0,0.0,0.50060927755805,1,12.0,0.0,0,1.0,0.529369619341032,0,6.0,0.9008254347792638,1,5.0,0.5412087350947457,0,0.0,1.0
56.0,6,34.0,0.6938775510204082,8.826894721570554,49,93.0,1.8979591836734695,35.0,0.7142857142857143,5,48.0,24.0,7.951420084472328,1.92,1.92,25,0,0.0,1.0,0,0.0,0.9483478282004913,1,20.0,0.0,1,5.0,0.49574022587508304,0,9.0,0.8759170230344706,3,11.0,0.3694539238400042,0,3.0,0.953796740046837
64.0,6,46.0,0.8679245283018868,8.732438719107034,53,96.0,1.8113207547169812,3.0,0.05660377358490566,5,52.0,4.0,8.065130459197864,2.4761904761904763,2.4761904761904763,21,0,0.0,1.0,0,0.0,1.0,1,31.0,0.7223519966003242,2,14.0,0.38983026735630405,0,6.0,0.888936083111971,1,1.0,0.418967519128894,1,0.0,0.4695590474733821
72.0,8,79.0,1.3620689655172413,9.030316335489093,58,151.0,2.603448275862069,55.0,0.9482758620689655,4,62.0,10.0,8.084384465713596,2.9523809523809526,2.9523809523809526,21,0,0.0,1.0,0,0.0,1.0,2,39.0,0.0,0,0.0,0.6515854398408788,0,9.0,0.8497327523531344,2,14.0,0.2581229658608765,0,0.0,0.6024189004763304
80.0,10,24.0,0.4,7.475427437394356,60,197.0,3.283333333333333,46.0,0.7666666666666667,7,40.0,0.0,6.036920701768271,1.4285714285714286,1.4285714285714286,28,0,0.0,0.9111061815203463,0,0.0,1.0,0,0.0,0.5988910488955557,1,2.0,0.500823473597651,0,0.0,0.6235175608429988,3,28.0,0.33278250822655014,3,10.0,0.10328696775939124
88.0,4,6.0,0.10714285714285714,7.5620904707883785,56,184.0,3.2857142857142856,0.0,0.0,1,37.0,0.0,5.942513116461414,1.3703703703703705,1.3703703703703705,27,0,0.0,1.0,0,0.0,0.937078578756419,0,1.0,0.5484393158037036,0,0.0,0.6124006772486416,0,3.0,0.4159032469876934,1,30.0,0.22810035705520856,0,3.0,0.7196197159340901
96.0,9,45.0,0.8181818181818182,6.520579390699869,55,206.0,3.7454545454545456,22.0,0.4,6,67.0,30.0,5.18128228741673,2.310344827586207,2.310344827586207,29,0,0.0,1.0,1,8.0,0.7443250864475791,1,4.0,0.32540886285010556,0,0.0,1.0,3,27.0,0.4077573823213592,1,28.0,0.20413862198291247,0,0.0,0.9617786156524122
104.0,12,99.0,1.9038461538461537,6.325776767062807,52,251.0,4.826923076923077,45.0,0.8653846153846154,7,95.0,28.0,3.7015111404391168,3.9583333333333335,3.9583333333333335,24,0,0.0,1.0,0,3.0,0.9548946231239982,2,9.0,0.24707325858688142,0,0.0,1.0,5,59.0,0.2685882639008368,0,24.0,0.14400214695830413,0,0.0,1.0
112.0,16,169.0,3.25,5.3033158144490375,52,325.0,6.25,74.0,1.4230769230769231,13,164.0,69.0,2.873460432424414,6.3076923076923075,6.3076923076923075,26,0,0.0,0.9762775685710312,2,12.0,0.4863614011020766,0,0.0,0.32211759277100566,0,0.0,1.0,6,109.0,0.10811036292961469,5,43.0,0.11315723388337277,0,0.0,1.0
120.0,3,13.0,0.24528301886792453,6.49883815286721,53,379.0,7.150943396226415,54.0,1.0188679245283019,2,124.0,0.0,4.7712902262822,7.75,7.75,16,0,0.0,0.4662252000020816,0,0.0,1.0,0,3.0,0.9395056513562715,0,0.0,1.0,2,98.0,0.19435257641637818,0,23.0,0.34676832621056813,0,0.0,1.0
128.0,12,54.0,0.9,7.4041847614822585,60,383.0,6.383333333333334,4.0,0.06666666666666667,7,152.0,28.0,6.36162216020856,4.903225806451613,4.903225806451613,31,1,5.0,0.49541645563961995,0,7.0,0.9836391325568865,0,0.0,0.3697510156514326,1,2.0,0.11521889044253375,4,126.0,0.41490025899922683,1,12.0,0.4331450480117808,0,0.0,1.0
