step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
8.0,0,0.0,0.0,7.6889942313234,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.022985790297387,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6533794097760702,0,0.0,1.0,0,0.0,1.0,0,0.0,0.19409805324626672,0,0.0,0.7710038957724903
16.0,2,0.0,0.0,6.7537211729495334,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.181193372758408,0.0,0.0,5,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0796519409644583,0,0.0,1.0,0,0.0,0.4989313771922791,0,0.0,0.7128274851507208,0,0.0,1.0
24.0,2,0.0,0.0,8.491149354081069,23,0.0,0.0,0.0,0.0,0,0.0,0.0,8.768531893694467,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6236621347569457,0,0.0,1.0,0,0.0,0.9594015898684078,0,0.0,0.5106908262121566,0,0.0,0.6322974167184128
32.0,1,5.0,0.15625,9.35471195832112,32,5.0,0.15625,5.0,0.15625,0,0.0,0.0,11.560995283150662,0.0,0.0,13,0,0.0,1.0,0,0.0,0.9359315290538452,0,0.0,0.9338751277212861,0,0.0,1.0,0,0.0,0.8771793289711672,0,0.0,0.7122964312433544,0,0.0,1.0
40.0,3,14.0,0.32558139534883723,9.726209510077474,43,15.0,0.3488372093023256,10.0,0.23255813953488372,0,0.0,0.0,10.045648646124372,0.0,0.0,17,0,0.0,0.9288344733191267,0,0.0,0.2777778313902472,0,0.0,1.0,0,0.0,0.9061396752859723,0,0.0,0.9390432272978667,0,0.0,0.5973112668064211,0,0.0,0.857655899434214
48.0,5,7.0,0.14583333333333334,9.197004675277212,48,29.0,0.6041666666666666,14.0,0.2916666666666667,3,11.0,11.0,8.377761657155395,0.5789473684210527,0.5789473684210527,19,0,0.0,0.9418431891074251,0,0.0,0.971886252823295,0,0.0,1.0,1,2.0,0.4291047614170131,0,3.0,0.7754133754256494,2,6.0,0.5124376437238441,0,0.0,0.6573669512266888
56.0,8,37.0,0.8043478260869565,8.78971234719613,46,58.0,1.2608695652173914,29.0,0.6304347826086957,6,38.0,27.0,7.096776395715435,1.8095238095238095,1.8095238095238095,21,0,0.0,1.0,0,0.0,0.9481312100676615,0,0.0,1.0,1,5.0,0.3390656328700181,0,4.0,0.8736907433044835,5,29.0,0.40764082553107867,0,0.0,1.0
64.0,7,32.0,0.64,8.067403276537183,50,111.0,2.22,53.0,1.06,4,29.0,0.0,8.588693424322006,1.45,1.45,20,0,0.0,0.9582586348368031,0,0.0,1.0,0,2.0,0.9358699779149878,3,15.0,0.0003469618714380036,0,6.0,0.8796334360077248,0,6.0,0.5734807479299194,1,0.0,0.5505147708858641
72.0,6,32.0,0.5818181818181818,9.158429256954596,55,149.0,2.709090909090909,38.0,0.6909090909090909,3,31.0,2.0,8.833223066160532,1.3478260869565217,1.3478260869565217,23,0,0.0,0.9803862311710769,0,0.0,1.0,1,3.0,0.0004262345087693469,0,0.0,0.8144181775158056,0,18.0,0.8245155139669528,2,10.0,0.34939814426299326,0,0.0,0.6135093446145141
