step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
16.0,1,0.0,0.0,6.882811910564568,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,2,0.0,0.0,10.426079722289094,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.576918736053369,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.9893870444370304,0.0,0.0,0.9788689477878696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4198259692527563,0.0,0.0,0.2713123409985625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9411392903624172,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1,3.0,0.1578947368421052,10.788016604264158,19.0,4.0,0.2105263157894736,4.0,0.2105263157894736,1.0,3.0,3.0,9.115614909479934,0.75,0.75,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9528066561514804,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.4073107410275526,0.0,0.0,1.0,0.0,0.0,1.0
40.0,3,0.0,0.0,10.518875380326108,33.0,7.0,0.2121212121212121,3.0,0.0909090909090909,1.0,0.0,0.0,8.236270434985776,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6126692310992407,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9410333856031388,0.0,0.0,0.3492554145527705,0.0,0.0,0.1218745937635638,0.0,0.0,1.0,0.0,0.0,0.9390314387637267,0.0,0.0,1.0,0.0,0.0,0.4710637078190277
48.0,1,1.0,0.0263157894736842,12.888340833003546,38.0,8.0,0.2105263157894736,1.0,0.0263157894736842,1.0,1.0,1.0,7.888816597993708,0.1,0.1,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3473243690993375,1.0,1.0,0.1455752707930661,0.0,0.0,0.6368367975938235,0.0,0.0,0.7636910805045233,0.0,0.0,0.4108847700160828,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6396745408822799
56.0,6,13.0,0.3023255813953488,10.747606783797186,43.0,25.0,0.5813953488372093,17.0,0.3953488372093023,6.0,13.0,12.0,5.491091376136989,1.0833333333333333,1.0833333333333333,12.0,0.0,0.0,0.714206689537861,0.0,0.0,0.9888091588022968,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.2685098571270775,1.0,1.0,0.4799382238363325,0.0,0.0,1.0,1.0,1.0,0.0019402355231479,0.0,0.0,1.0,0.0,0.0,0.9365456734289024,1.0,4.0,0.0
64.0,6,44.0,0.9565217391304348,11.54167009136798,46.0,61.0,1.326086956521739,36.0,0.782608695652174,6.0,44.0,31.0,7.561560478233837,3.142857142857143,3.142857142857143,14.0,0.0,0.0,1.0,0.0,0.0,0.9200244826035566,0.0,0.0,0.9476416050695458,0.0,0.0,1.0,0.0,0.0,0.7832764216252217,4.0,33.0,0.1994935448181894,1.0,9.0,0.4605099435206324,0.0,0.0,1.0,1.0,2.0,0.2851867698215286,0.0,0.0,0.9549553110574698,0.0,0.0,1.0,0.0,0.0,1.0
72.0,4,6.0,0.1224489795918367,11.572317135336508,49.0,83.0,1.6938775510204085,22.0,0.4489795918367347,4.0,6.0,0.0,7.904278095033981,0.4615384615384615,0.4615384615384615,13.0,0.0,0.0,1.0,0.0,0.0,0.7599835931500498,2.0,5.0,0.0001721625623821,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4748235488527923,0.0,0.0,0.7141055791772336,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.484099994208937,0.0,0.0,1.0,0.0,0.0,0.8100922151403046
80.0,3,2.0,0.0357142857142857,12.035481171318375,56.0,82.0,1.4642857142857142,0.0,0.0,3.0,8.0,2.0,11.25965791304752,0.3809523809523809,0.3809523809523809,21.0,0.0,0.0,1.0,1.0,1.0,0.005538223119801,1.0,0.0,0.349265559052978,0.0,0.0,0.811408973791994,1.0,1.0,0.0042120165986632,0.0,0.0,0.8101108748403809,0.0,3.0,0.6762507211956083,0.0,0.0,0.9263045945054657,0.0,0.0,0.9671506320255172,0.0,0.0,0.8165892178714034,0.0,0.0,1.0,0.0,3.0,0.7670985809556656
88.0,7,20.0,0.3174603174603174,11.00027955628947,63.0,109.0,1.7301587301587302,27.0,0.4285714285714285,6.0,34.0,26.0,7.996921193333828,1.619047619047619,1.619047619047619,21.0,0.0,0.0,0.9576027297746436,0.0,0.0,1.0,0.0,0.0,0.9651770438258124,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.3212878916159241,1.0,13.0,0.1194971643467876,0.0,0.0,0.9969986761246966,2.0,5.0,0.2357653274516863,1.0,3.0,0.492083465333698,0.0,0.0,1.0,1.0,7.0,0.7245882739106416
