step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
16.0,1.0,0.0,0.0,7.439073575599322,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,2.0,0.0,0.0,10.05277134693769,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.689679437539535,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.9586769473759036,0.0,0.0,0.979304196856025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3556029079095447,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8405694648380999,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,2.0,0.1052631578947368,11.436527615694189,19.0,2.0,0.1052631578947368,2.0,0.1052631578947368,1.0,2.0,2.0,10.35808467128104,0.4,0.4,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9402502315339464,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.306751691929677,0.0,0.0,1.0,0.0,0.0,1.0
40.0,5.0,14.0,0.4242424242424242,9.711418456446406,33.0,14.0,0.4242424242424242,12.0,0.3636363636363636,3.0,14.0,12.0,5.529333486089452,1.5555555555555556,1.5555555555555556,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5233007208200883,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9629883018224856,0.0,0.0,0.4140013239018919,0.0,0.0,0.1245956375937902,0.0,0.0,1.0,2.0,14.0,9.713587253443258e-06,0.0,0.0,1.0,0.0,0.0,0.3579087272282064
48.0,1.0,4.0,0.1081081081081081,11.004759012998536,37.0,25.0,0.6756756756756757,11.0,0.2972972972972973,1.0,4.0,0.0,7.531601724964018,0.3076923076923077,0.3076923076923077,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3432277328581368,0.0,0.0,0.508680974995374,0.0,0.0,0.6337605916622618,0.0,0.0,0.4829195998297309,1.0,4.0,0.125830195890203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9637012259292732,0.0,0.0,1.0,0.0,0.0,0.634230419317719
56.0,5.0,16.0,0.3636363636363636,10.239622025214205,44.0,49.0,1.1136363636363635,24.0,0.5454545454545454,4.0,14.0,10.0,4.895744914495602,1.1666666666666667,1.1666666666666667,12.0,0.0,0.0,0.1795423773066835,0.0,0.0,1.0,0.0,0.0,0.5873186865254943,2.0,11.0,5.388274035519262e-05,0.0,0.0,1.0,1.0,0.0,0.4386445133056779,0.0,0.0,0.9740123655598978,0.0,0.0,1.0,0.0,0.0,0.1357028576855789,0.0,0.0,0.0278399420159721,0.0,0.0,0.8899622749626516,1.0,3.0,0.0006402495688627
64.0,2.0,17.0,0.3617021276595745,11.400659139262782,47.0,59.0,1.25531914893617,10.0,0.2127659574468085,2.0,25.0,11.0,10.507155880060536,1.7857142857142858,1.7857142857142858,14.0,0.0,0.0,1.0,0.0,0.0,0.9398551885267952,0.0,0.0,0.6637306050164942,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.6527130572129719,0.0,0.0,0.9702693899772584,0.0,5.0,0.8913752142809808,0.0,3.0,0.2731039655455218,0.0,0.0,0.9816401600169096,0.0,0.0,1.0,1.0,11.0,0.0
72.0,3.0,7.0,0.1372549019607843,11.399995322783449,51.0,77.0,1.5098039215686274,18.0,0.3529411764705882,3.0,13.0,0.0,9.682544897435422,0.5909090909090909,0.5909090909090909,22.0,0.0,0.0,0.0179431011536198,0.0,0.0,0.723781608321781,1.0,5.0,0.3035252536294878,0.0,0.0,1.0,0.0,0.0,0.4243236786734958,0.0,0.0,0.9534264390818908,1.0,2.0,0.4892410209289697,0.0,3.0,0.9808843150443752,0.0,3.0,0.6622601255197201,1.0,0.0,0.4564954148448871,0.0,0.0,1.0,0.0,0.0,0.969198268511993
80.0,8.0,28.0,0.4912280701754385,10.43713207517597,57.0,96.0,1.6842105263157894,19.0,0.3333333333333333,7.0,31.0,18.0,8.000289485187702,1.4090909090909092,1.4090909090909092,22.0,1.0,8.0,0.0,1.0,2.0,0.323282091698036,2.0,7.0,0.2389277741027826,0.0,0.0,1.0,0.0,0.0,0.076422853792329,0.0,0.0,0.8499150173655095,1.0,2.0,0.6196010362327685,0.0,0.0,1.0,2.0,12.0,0.3092973907074064,0.0,0.0,0.8183731139526442,0.0,0.0,1.0,0.0,0.0,0.4582735930490996
88.0,9.0,70.0,1.1111111111111112,10.94817833651061,63.0,142.0,2.253968253968254,46.0,0.7301587301587301,8.0,76.0,45.0,8.234405737202277,3.619047619047619,3.619047619047619,21.0,1.0,16.0,0.0,1.0,10.0,0.0,0.0,0.0,0.5296294262697592,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6083002583635924,1.0,10.0,0.0,0.0,0.0,0.9324855745681986,3.0,31.0,0.3542671363874081,0.0,0.0,0.8753289419541423,0.0,0.0,1.0,2.0,9.0,0.4845078126032785
