step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
16.0,1,0.0,0.0,7.200684903031184,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.101911297898566,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.913719138662321,0.0,0.0,6,0,0.0,1.0,0,0.0,0.9093451272439852,0,0.0,0.9352103948933588,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4103705362762856,0,0.0,0.2832207578160911,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8823076441878851,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.090979844136667,19,2.0,0.1052631578947368,2.0,0.1052631578947368,0,0.0,0.0,14.84033652934132,0.0,0.0,3,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9753917903217824,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9776939637889316,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,11.0691058511225,33,2.0,0.0606060606060606,0.0,0.0,1,2.0,2.0,8.457583547210152,0.2222222222222222,0.2222222222222222,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.273789605575617,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9264568837600584,0,0.0,0.3717409435433964,0,0.0,0.1447340764964298,0,0.0,1.0,0,0.0,0.8996952781415465,0,0.0,1.0,0,0.0,0.5256035373061301
48.0,1,1.0,0.027027027027027,12.632482597173963,37,3.0,0.081081081081081,1.0,0.027027027027027,1,1.0,0.0,9.45320870663753,0.0909090909090909,0.0909090909090909,11,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3637809499897065,1,1.0,0.0001802067389187,0,0.0,0.594778518629757,0,0.0,0.5950317341656588,0,0.0,0.2887110564575097,0,0.0,0.994323210278761,0,0.0,1.0,0,0.0,0.9347333940474372,0,0.0,1.0,0,0.0,0.6878581892315361
56.0,2,5.0,0.119047619047619,11.600912813433563,42,12.0,0.2857142857142857,9.0,0.2142857142857142,2,5.0,4.0,10.797602839677966,0.4545454545454545,0.4545454545454545,11,0,0.0,1.0,0,0.0,0.9850691445521872,0,0.0,0.5793994633251173,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4079578118033398,0,0.0,0.9187495916511056,0,0.0,1.0,0,0.0,0.9106467246922568,0,0.0,1.0,0,0.0,1.0,1,5.0,1.7717388210640748e-05
64.0,4,12.0,0.2608695652173913,11.515386581308544,46,28.0,0.6086956521739131,16.0,0.3478260869565217,4,13.0,8.0,8.924768577768107,0.9285714285714286,0.9285714285714286,14,1,3.0,0.0002124044441622,0,0.0,0.9294041878419468,0,0.0,0.7786266892772454,0,0.0,1.0,0,0.0,0.0145573804090107,1,3.0,0.476778688593282,0,1.0,0.8200367010308096,0,0.0,1.0,1,3.0,0.2983249817090584,0,0.0,0.9882332810491088,0,0.0,1.0,1,3.0,0.0003867981309753
72.0,3,16.0,0.3333333333333333,11.288623284942588,48,48.0,1.0,20.0,0.4166666666666667,3,16.0,3.0,7.297502190467942,1.4545454545454546,1.4545454545454546,11,0,0.0,0.9993626678378964,0,0.0,0.7989398073882026,1,5.0,0.0041099868668008,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506301145031246,0,0.0,0.5573540926673404,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4758629748714476,0,0.0,1.0,1,11.0,0.0
80.0,4,6.0,0.1071428571428571,10.533995453387003,56,63.0,1.125,15.0,0.2678571428571428,4,12.0,0.0,8.32930392927988,0.5,0.5,24,0,0.0,1.0,1,3.0,0.4657929232139673,1,0.0,0.0556161217681972,0,0.0,0.5598041176099212,0,0.0,0.0973432441750671,0,3.0,0.8711336111900776,1,4.0,0.4697318230868735,0,0.0,1.0,0,0.0,0.6388813647589684,0,0.0,0.8969465845433822,0,0.0,1.0,1,2.0,0.3816830931039685
88.0,7,28.0,0.4444444444444444,10.315586100457889,63,101.0,1.6031746031746033,38.0,0.6031746031746031,6,37.0,25.0,7.05130893448901,1.947368421052632,1.947368421052632,19,0,0.0,1.0,1,11.0,0.0,0,0.0,0.7064401678463715,0,0.0,1.0,0,0.0,1.0,1,5.0,0.4223391833187644,1,7.0,2.4164878266423903e-05,0,0.0,0.0106421550468899,1,5.0,0.4649454880210865,0,0.0,0.9966193957997918,0,0.0,1.0,2,9.0,0.3224240536504185
