step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.927222043694927,0.0,0.0,1.0,0.0,0.0,0.6897058233002138
16.0,0,0.0,0.0,10.908768005236595,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857113367598505,0.0,0.0,1.0,0.0,0.0,0.6838168337323859
24.0,1,0.0,0.0,7.433151306025313,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.997035476103261,0.0,0.0,5.0,1.0,0.0,0.3315585181081839
32.0,1,4.0,0.6666666666666666,9.248067705245823,6.0,4.0,0.6666666666666666,4.0,0.6666666666666666,1.0,4.0,4.0,9.248067705245823,0.6666666666666666,0.6666666666666666,6.0,1.0,4.0,0.5769676804777523
40.0,1,4.0,0.5,9.480065325863569,8.0,15.0,1.875,11.0,1.375,1.0,4.0,0.0,10.915742440796723,0.8,0.8,5.0,1.0,4.0,0.7479304847623247
48.0,0,0.0,0.0,9.689148993073298,10.0,11.0,1.1,0.0,0.0,0.0,0.0,0.0,9.076335467639929,0.0,0.0,7.0,0.0,0.0,0.5937612968336897
56.0,1,4.0,0.3333333333333333,8.768097506908575,12.0,15.0,1.25,4.0,0.3333333333333333,1.0,4.0,4.0,6.427985133263556,0.5714285714285714,0.5714285714285714,7.0,1.0,4.0,0.3873850015191475
64.0,5,26.0,2.0,5.504958652333205,13.0,33.0,2.5384615384615383,18.0,1.3846153846153846,5.0,26.0,22.0,3.90497161078269,2.363636363636364,2.363636363636364,11.0,5.0,26.0,0.2330986775199739
72.0,1,0.0,0.0,6.710050667533129,16.0,54.0,3.375,21.0,1.3125,1.0,10.0,0.0,4.356986342188262,1.0,1.0,10.0,1.0,10.0,0.2455430324268076
80.0,1,0.0,0.0,11.7520436067317,15.0,10.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,8.567155112875524,0.0,0.0,8.0,1.0,0.0,0.5436097241859539
88.0,0,0.0,0.0,11.403171887152638,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.971647084850206,0.0,0.0,9.0,0.0,0.0,0.6648362443436522
96.0,1,4.0,0.2352941176470588,7.959345110672594,17.0,5.0,0.2941176470588235,5.0,0.2941176470588235,1.0,5.0,5.0,7.959345110672594,0.2941176470588235,0.2941176470588235,17.0,1.0,5.0,0.5287310599230404
104.0,1,0.0,0.0,9.183544648090985,21.0,13.0,0.6190476190476191,8.0,0.3809523809523809,1.0,1.0,0.0,9.443783211297184,0.0625,0.0625,16.0,1.0,1.0,0.6249705944943621
112.0,5,18.0,0.782608695652174,8.965831506742527,23.0,19.0,0.8260869565217391,6.0,0.2608695652173913,5.0,19.0,18.0,7.023450919020413,1.0555555555555556,1.0555555555555556,18.0,5.0,19.0,0.4486029254454016
120.0,8,68.0,3.238095238095238,7.688020450166702,21.0,69.0,3.2857142857142856,50.0,2.380952380952381,8.0,69.0,50.0,6.070430104007005,3.8333333333333335,3.8333333333333335,18.0,8.0,69.0,0.4133835047686799
128.0,3,2.0,0.08,5.935737495553733,25.0,109.0,4.36,40.0,1.6,3.0,24.0,0.0,5.902350148276992,1.411764705882353,1.411764705882353,17.0,3.0,24.0,0.391649531936383
