step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,1,4.0,1.3333333333333333,7.402747044725895,3,4.0,1.3333333333333333,4.0,1.3333333333333333,1,4.0,4.0,4.180441902363138,2.0,2.0,2,1,4.0,0.3227476744776441
24.0,3,15.0,1.875,5.178021727530455,8,15.0,1.875,11.0,1.375,3,15.0,11.0,3.886656704174025,2.142857142857143,2.142857142857143,7,3,15.0,0.2579097500482264
32.0,0,0.0,0.0,9.480965238836864,8,24.0,3.0,9.0,1.125,0,2.0,0.0,10.33414045406077,0.3333333333333333,0.3333333333333333,6,0,2.0,0.6472212370126563
40.0,1,4.0,0.4444444444444444,12.215015200569878,9,13.0,1.4444444444444444,0.0,0.0,1,4.0,2.0,10.915742440796723,0.8,0.8,5,1,4.0,0.7479304847623247
48.0,1,12.0,1.3333333333333333,8.752059858781914,9,12.0,1.3333333333333333,0.0,0.0,1,12.0,8.0,7.437969339667017,1.5,1.5,8,1,12.0,0.4897598034699867
56.0,3,32.0,2.909090909090909,6.014203287207146,11,33.0,3.0,21.0,1.9090909090909087,3,32.0,20.0,4.999543992538323,3.555555555555556,3.555555555555556,9,3,32.0,0.3012994456260036
64.0,5,26.0,2.0,4.735848093709639,13,61.0,4.6923076923076925,28.0,2.1538461538461537,5,26.0,0.0,3.90497161078269,2.363636363636364,2.363636363636364,11,5,26.0,0.2330986775199739
72.0,9,74.0,4.625,3.7043807064852974,16,109.0,6.8125,48.0,3.0,9,74.0,48.0,2.067546885613623,5.285714285714286,5.285714285714286,14,9,74.0,0.1171908365488112
80.0,3,6.0,0.2727272727272727,5.837721931188716,22,158.0,7.181818181818182,49.0,2.227272727272727,3,54.0,0.0,4.080401870489331,3.375,3.375,16,3,54.0,0.2546260299617436
88.0,1,0.0,0.0,11.663440386942192,24,89.0,3.7083333333333335,0.0,0.0,1,0.0,0.0,9.446324076198067,0.0,0.0,13,1,0.0,0.5953722415050624
96.0,5,13.0,0.65,7.188848654015848,20,14.0,0.7,0.0,0.0,5,14.0,14.0,6.820974596269773,0.7368421052631579,0.7368421052631579,19,5,14.0,0.4556890397566562
104.0,2,4.0,0.1666666666666666,8.083589556040076,24,36.0,1.5,22.0,0.9166666666666666,2,9.0,0.0,7.989684610314251,0.45,0.45,20,2,9.0,0.5200638154576366
112.0,12,49.0,1.8148148148148149,4.930385893250023,27,54.0,2.0,18.0,0.6666666666666666,12,53.0,44.0,4.782840416678514,2.0384615384615383,2.0384615384615383,26,12,53.0,0.3072054086824092
120.0,10,90.0,2.903225806451613,5.20605842191554,31,150.0,4.838709677419355,96.0,3.096774193548387,10,115.0,62.0,4.435100368659599,4.423076923076923,4.423076923076923,26,10,115.0,0.293224611061414
128.0,14,100.0,3.125,4.114926022532022,32,198.0,6.1875,48.0,1.5,14,134.0,19.0,3.151865516697892,5.153846153846154,5.153846153846154,26,14,134.0,0.2177168298471147
136.0,13,113.0,3.4242424242424243,5.389531092691843,33,263.0,7.96969696969697,65.0,1.9696969696969695,13,187.0,53.0,3.588283325797621,6.925925925925926,6.925925925925926,27,13,187.0,0.2519097419833938
144.0,11,49.0,1.5806451612903225,4.515299592291202,31,288.0,9.290322580645162,25.0,0.8064516129032258,11,200.0,13.0,3.3057702738414285,8.333333333333334,8.333333333333334,24,11,200.0,0.2360936282862243
152.0,10,92.0,2.787878787878788,7.951383470615016,33,273.0,8.272727272727273,0.0,0.0,9,160.0,0.0,5.354177162557563,7.272727272727272,7.272727272727272,22,9,160.0,0.3527094705341648
