step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,7.131852017233379,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.684315741721536,0.0,0.0,5,0,0.0,0.897173809132291,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,3,9.0,0.5625,7.560034964699397,16,11.0,0.6875,11.0,0.6875,2,9.0,9.0,4.138407253831942,2.25,2.25,4,2,9.0,5.325765212457764e-06,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,4,1.0,0.04,8.122010659073393,25,19.0,0.76,8.0,0.32,1,0.0,0.0,4.948090876483715,0.0,0.0,4,1,0.0,0.2988451663688112,0,0.0,0.7205931375175709,0,0.0,1.0
40.0,6,11.0,0.3548387096774194,7.945147704849261,31,29.0,0.935483870967742,10.0,0.3225806451612903,5,8.0,8.0,3.7552686499303887,1.0,1.0,8,4,8.0,0.1850683224065314,1,0.0,0.4782283621680181,0,0.0,0.7573355720538923
48.0,4,1.0,0.0256410256410256,9.228106297909973,39,30.0,0.7692307692307693,1.0,0.0256410256410256,2,5.0,0.0,8.049338168741535,0.4545454545454545,0.4545454545454545,11,0,5.0,0.7237942606801836,1,0.0,0.6115040437040776,1,0.0,0.0037574057701184
56.0,8,27.0,0.6585365853658537,8.771662461910386,41,62.0,1.5121951219512195,32.0,0.7804878048780488,4,12.0,7.0,4.657722262785864,1.3333333333333333,1.3333333333333333,9,2,7.0,0.3069871820095615,2,5.0,0.384791818078262,0,0.0,0.9164506908232906
64.0,5,35.0,0.7142857142857143,9.704191333846964,49,103.0,2.1020408163265305,41.0,0.8367346938775511,2,8.0,0.0,9.24059554207104,0.7272727272727273,0.7272727272727273,11,2,8.0,0.439905129618616,0,0.0,0.881393209565316,0,0.0,0.8852406529108944
72.0,10,37.0,0.6727272727272727,8.081692626079905,55,132.0,2.4,29.0,0.5272727272727272,7,24.0,16.0,4.416410607675084,1.411764705882353,1.411764705882353,17,3,11.0,0.2946059293299075,3,11.0,0.2199592909846273,1,2.0,0.6475380687778629
80.0,7,51.0,0.9272727272727272,8.403396545028137,55,184.0,3.345454545454545,52.0,0.9454545454545454,4,36.0,12.0,5.507480543411848,2.0,2.0,18,3,20.0,0.2836622362285272,1,16.0,0.4309244977847302,0,0.0,0.7384447827841464
88.0,5,33.0,0.6,9.55102194568476,55,209.0,3.8,25.0,0.4545454545454545,1,38.0,2.0,6.872474116438721,3.8,3.8,10,1,15.0,0.2359145592996697,0,23.0,0.8387319462873631,0,0.0,0.6879379639707889
96.0,8,50.0,0.8620689655172413,8.76947872886984,58,231.0,3.9827586206896552,22.0,0.3793103448275862,2,53.0,15.0,8.134727927382803,3.7857142857142856,3.7857142857142856,14,1,21.0,0.6291191451255993,1,32.0,0.5935845732663596,0,0.0,0.5673163277410149
104.0,8,56.0,1.018181818181818,9.104042324660885,55,237.0,4.3090909090909095,6.0,0.109090909090909,5,67.0,14.0,7.105947545667919,4.466666666666667,4.466666666666667,15,3,24.0,0.4221279834032064,2,43.0,0.5088198253587511,0,0.0,0.9699810640002406
112.0,13,29.0,0.5,7.717821877676317,58,267.0,4.603448275862069,30.0,0.5172413793103449,9,70.0,3.0,3.78844033524788,4.117647058823529,4.117647058823529,17,2,7.0,0.2911966557543722,5,55.0,0.254429248057245,2,8.0,0.3192941078904692
120.0,0,0.0,0.0,9.93523331161391,58,255.0,4.396551724137931,0.0,0.0,0,25.0,0.0,9.230096989362528,1.3888888888888888,1.3888888888888888,18,0,17.0,0.6291326811820865,0,8.0,0.6794689792390487,0,0.0,0.7629316413414559
