step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,6.987318956965487,11,0.0,0.0,0.0,0.0,0,0.0,0.0,5.534552172771068,0.0,0.0,4,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,3,8.0,0.5,7.560238850296943,16,10.0,0.625,10.0,0.625,2,8.0,8.0,4.139222796222128,2.0,2.0,4,2,8.0,0.0001351782361109,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,6,28.0,1.1666666666666667,7.453156973455634,24,30.0,1.25,20.0,0.8333333333333334,3,27.0,19.0,3.3638011025436056,4.5,4.5,6,2,24.0,0.2891288943587664,1,3.0,0.2722803810732592,0,0.0,1.0
40.0,4,1.0,0.032258064516129,7.887446953873735,31,50.0,1.6129032258064515,20.0,0.6451612903225806,4,1.0,0.0,3.687638457045547,0.125,0.125,8,3,1.0,0.1862694677345105,1,0.0,0.4377484262501026,0,0.0,0.7573355720538923
48.0,6,7.0,0.1842105263157894,7.815597810819628,38,48.0,1.263157894736842,0.0,0.0,5,14.0,13.0,5.269913614835312,1.0,1.0,14,2,9.0,0.3668436664789019,2,5.0,0.4472261552924954,1,0.0,0.0037574057701184
56.0,10,42.0,1.0,7.269230181128084,42,97.0,2.3095238095238093,49.0,1.1666666666666667,9,47.0,33.0,3.5070578122862126,3.357142857142857,3.357142857142857,14,3,9.0,0.2397193867816249,6,38.0,0.2228508308860277,0,0.0,0.9899590123064912
64.0,6,20.0,0.4081632653061224,9.090073054223724,49,146.0,2.979591836734694,49.0,1.0,5,37.0,0.0,7.017923459179436,2.055555555555556,2.055555555555556,18,4,26.0,0.3486958105467861,1,11.0,0.7079674666599813,0,0.0,0.7720544879715379
72.0,10,41.0,0.7735849056603774,8.300919987648395,53,180.0,3.39622641509434,34.0,0.6415094339622641,9,50.0,13.0,4.009893272423871,2.9411764705882355,2.9411764705882355,17,4,11.0,0.0015008426617105,4,39.0,0.365051525378917,1,0.0,0.6046476468407185
80.0,10,72.0,1.309090909090909,8.001729888655042,55,236.0,4.290909090909091,56.0,1.018181818181818,10,102.0,52.0,3.791394284388253,4.434782608695652,4.434782608695652,23,3,31.0,0.2818283882523192,7,71.0,0.2021565068847202,0,0.0,0.74259325299921
