step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,6.987318956965487,11,0.0,0.0,0.0,0.0,0,0.0,0.0,5.534552172771068,0.0,0.0,4,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.525499812690749
24.0,1,0.0,0.0,8.272791463697715,17,2.0,0.1176470588235294,2.0,0.1176470588235294,0,0.0,0.0,5.967873678803671,0.0,0.0,3,0,0.0,0.093798116336793,0,0.0,0.9368411773922416,0,0.0,1.0
32.0,5,9.0,0.375,7.452654770293478,24,11.0,0.4583333333333333,9.0,0.375,2,8.0,8.0,3.408590136203495,1.3333333333333333,1.3333333333333333,6,1,5.0,0.2964270849067244,1,3.0,0.2722803810732592,0,0.0,1.0
40.0,5,17.0,0.5666666666666667,7.598367807010129,30,37.0,1.2333333333333334,26.0,0.8666666666666667,4,14.0,6.0,4.226128797817734,1.75,1.75,8,3,14.0,0.2658287423886521,1,0.0,0.4377484262501026,0,0.0,0.7573355720538923
48.0,6,3.0,0.0769230769230769,8.895221746625692,39,44.0,1.1282051282051282,7.0,0.1794871794871795,4,10.0,0.0,7.199293554809334,1.0,1.0,10,0,4.0,0.8920618432273869,3,6.0,0.4378710074690969,1,0.0,0.0
56.0,8,33.0,0.7857142857142857,8.918069849069695,42,82.0,1.9523809523809523,38.0,0.9047619047619048,3,12.0,2.0,5.383769284759531,2.0,2.0,6,2,11.0,0.3153820630768012,1,1.0,0.4576800410029861,0,0.0,0.922991182139352
64.0,5,26.0,0.52,9.917488906535004,50,121.0,2.42,39.0,0.78,1,7.0,0.0,9.782079253375333,0.5384615384615384,0.5384615384615384,13,1,7.0,0.5591426348900933,0,0.0,0.8813758067996728,0,0.0,0.9016743863891896
72.0,13,43.0,0.8113207547169812,7.136789136289598,53,135.0,2.547169811320755,14.0,0.2641509433962264,5,33.0,26.0,4.035967117028258,2.5384615384615383,2.5384615384615383,13,3,8.0,0.0032301758638041,1,25.0,0.5097931414500463,1,0.0,0.360213074923724
80.0,7,63.0,1.125,8.66927902573544,56,204.0,3.642857142857143,69.0,1.2321428571428572,4,54.0,21.0,6.818262833840426,3.6,3.6,15,1,15.0,0.5663975595109996,3,39.0,0.3891693880574842,0,0.0,0.7130481177487321
