step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1,1.0,0.0714285714285714,9.118018483899032,14.0,2.0,0.1428571428571428,1.0,0.0714285714285714,1.0,2.0,2.0,9.38447227265393,0.25,0.25,8.0,0.0,0.0,1.0,1.0,1.0,0.4058697878285949,0.0,0.0,0.6975508425041043,0.0,1.0,0.960403044182212,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,0,0.0,0.0,9.30378980874887,20.0,5.0,0.25,3.0,0.15,0.0,3.0,1.0,9.506049422812422,0.2307692307692307,0.2307692307692307,13.0,0.0,3.0,0.3917378285883957,0.0,0.0,0.6044487403637576,0.0,0.0,0.7336603251845109,0.0,0.0,0.9532817613399316,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,0,0.0,0.0,9.913157729112598,25.0,5.0,0.2,0.0,0.0,0.0,3.0,0.0,10.296184840331296,0.2,0.2,15.0,0.0,3.0,0.7521760451040376,0.0,0.0,0.5810912136030595,0.0,0.0,0.8136829376685097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8976478809477064,0.0,0.0,1.0
40.0,2,2.0,0.0588235294117647,9.323987312741863,34.0,7.0,0.2058823529411764,2.0,0.0588235294117647,2.0,2.0,0.0,8.852263672874349,0.0869565217391304,0.0869565217391304,23.0,0.0,0.0,0.9531274525935136,1.0,0.0,0.7393881476736214,0.0,0.0,0.7000903115000666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0001201337203244,0.0,0.0,1.0
48.0,2,3.0,0.0833333333333333,8.494813532338567,36.0,14.0,0.3888888888888889,7.0,0.1944444444444444,2.0,3.0,1.0,7.578101809493603,0.1428571428571428,0.1428571428571428,21.0,0.0,0.0,0.9742090127445258,2.0,3.0,0.6390359218558841,0.0,0.0,0.5887814746859709,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,3,6.0,0.1463414634146341,9.012990795543852,41.0,26.0,0.6341463414634146,12.0,0.2926829268292683,2.0,12.0,9.0,7.961138017928171,0.5714285714285714,0.5714285714285714,21.0,0.0,6.0,0.6249233042216098,2.0,6.0,0.5600205559031847,0.0,0.0,0.8902605896744479,0.0,0.0,0.946421237543218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,2,9.0,0.2093023255813953,8.969461779692878,43.0,46.0,1.069767441860465,20.0,0.4651162790697674,2.0,21.0,9.0,8.764546296340946,0.7777777777777778,0.7777777777777778,27.0,0.0,6.0,0.8204627898781791,2.0,12.0,0.6658271649019435,0.0,0.0,0.9873936377540864,0.0,3.0,0.8865085591148759,0.0,0.0,1.0,0.0,0.0,0.8583902955482943,0.0,0.0,1.0,0.0,0.0,1.0
72.0,7,45.0,1.0227272727272727,7.410142991327115,44.0,82.0,1.8636363636363635,36.0,0.8181818181818182,7.0,52.0,31.0,5.474573743247699,2.363636363636364,2.363636363636364,22.0,0.0,4.0,0.8808386794304306,7.0,45.0,0.3497900081952748,0.0,0.0,0.9206827749896288,0.0,3.0,0.6052467304306932,0.0,0.0,1.0,0.0,0.0,0.354854553959387,0.0,0.0,1.0,0.0,0.0,1.0
80.0,4,28.0,0.5957446808510638,9.027829513503969,47.0,117.0,2.48936170212766,35.0,0.7446808510638298,4.0,46.0,0.0,8.120695427069418,1.7692307692307692,1.7692307692307692,26.0,2.0,16.0,0.5484054254563425,2.0,30.0,0.6371693942396989,0.0,0.0,0.8502345353483989,0.0,0.0,0.7023422295711648,0.0,0.0,1.0,0.0,0.0,0.9802273848497348,0.0,0.0,0.934201661639209,0.0,0.0,1.0
