step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,2,4.0,0.2857142857142857,7.461200469196081,14,5.0,0.3571428571428571,4.0,0.2857142857142857,2,5.0,5.0,7.562844736174219,0.5,0.5,10,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,5,32.0,1.6,6.736323012319917,20,33.0,1.65,28.0,1.4,5,33.0,28.0,6.112379009746405,2.0625,2.0625,16,0,0.0,0.224224072790711,1,9.0,0.3522828982796708,0,0.0,0.7336603251845109,4,24.0,0.0650309975104953,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,7,80.0,3.2,6.798409169935557,25,81.0,3.24,48.0,1.92,7,81.0,48.0,6.398565061813764,3.6818181818181817,3.6818181818181817,22,0,0.0,0.6688090828813836,1,17.0,0.4219543268945204,1,2.0,0.6622751110189021,5,62.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,5,22.0,0.6470588235294118,7.200339821088583,34,130.0,3.823529411764706,49.0,1.4411764705882353,5,71.0,0.0,6.8572944068042965,2.6296296296296298,2.6296296296296298,27,0,3.0,0.6700597181953372,1,0.0,0.6734053195041855,4,22.0,0.4527071750903588,0,46.0,0.2041525124588537,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,5,12.0,0.3076923076923077,7.482905781043271,39,170.0,4.358974358974359,40.0,1.0256410256410255,5,42.0,0.0,6.889861801841961,1.6153846153846154,1.6153846153846154,26,0,3.0,0.7881142207235483,3,8.0,0.5858926014008758,2,31.0,0.432747999731198,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,12,49.0,1.1136363636363635,6.331733780891691,44,217.0,4.931818181818182,47.0,1.068181818181818,11,81.0,39.0,5.305214454354672,2.53125,2.53125,32,2,8.0,0.5197169658257316,5,37.0,0.3698182471877856,4,36.0,0.3947536566421012,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,15,125.0,2.6041666666666665,5.124920279175847,48,293.0,6.104166666666667,76.0,1.5833333333333333,15,163.0,82.0,3.884246555516093,4.794117647058823,4.794117647058823,34,3,27.0,0.2317688638052518,10,97.0,0.3059699711119191,2,39.0,0.2481788182494374,0,0.0,0.8553689682525215,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,11,135.0,2.647058823529412,6.052020114882393,51,379.0,7.431372549019608,86.0,1.6862745098039216,10,157.0,0.0,3.750629167902562,6.28,6.28,25,0,5.0,0.8373848019390646,7,128.0,0.2216820605804255,0,15.0,0.4023484317446857,3,9.0,0.0734769146781764,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,8,80.0,1.4814814814814814,7.838133818124837,54,460.0,8.518518518518519,81.0,1.5,8,173.0,16.0,5.806505643433894,5.766666666666667,5.766666666666667,30,1,15.0,0.7215656317855297,3,116.0,0.4797420363630712,0,1.0,0.8466036188166577,4,41.0,0.2843943556435168,0,0.0,1.0,0,0.0,0.9320619067813974,0,0.0,1.0,0,0.0,1.0
