step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1.0,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,2.0,4.0,0.2857142857142857,7.461200469196081,14.0,5.0,0.3571428571428571,4.0,0.2857142857142857,2.0,5.0,5.0,7.562844736174219,0.5,0.5,10.0,0.0,0.0,1.0,1.0,1.0,0.4058697878285949,0.0,0.0,0.6975508425041043,1.0,4.0,0.333659754375158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,4.0,23.0,1.15,6.925632645224465,20.0,28.0,1.4,23.0,1.15,4.0,27.0,22.0,6.63051916917722,1.588235294117647,1.588235294117647,17.0,0.0,3.0,0.3659997079114849,0.0,0.0,0.6044487403637576,0.0,0.0,0.7336603251845109,4.0,24.0,0.054321111141388,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,0.0,0.0,0.0,9.125443513605555,25.0,51.0,2.04,23.0,0.92,0.0,25.0,0.0,9.004819259997197,1.3888888888888888,1.3888888888888888,18.0,0.0,3.0,0.7521760451040376,0.0,0.0,0.5810912136030595,0.0,0.0,0.8136829376685097,0.0,22.0,0.1734683102525603,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8976478809477064,0.0,0.0,1.0
40.0,5.0,7.0,0.2,8.129128816436928,35.0,58.0,1.6571428571428573,7.0,0.2,5.0,7.0,0.0,7.625057792738855,0.28,0.28,25.0,2.0,3.0,0.5671629484100282,1.0,0.0,0.7245155284370123,1.0,2.0,0.635720549874409,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0001201337203244,0.0,0.0,1.0
48.0,2.0,2.0,0.0526315789473684,8.003370350085973,38.0,79.0,2.0789473684210527,21.0,0.5526315789473685,2.0,9.0,2.0,7.138661387609036,0.375,0.375,24.0,0.0,0.0,0.7226628027461904,2.0,5.0,0.6038306331821436,0.0,4.0,0.5433862584515536,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,7.0,34.0,0.8095238095238095,8.053768751766928,42.0,97.0,2.3095238095238093,18.0,0.4285714285714285,6.0,37.0,28.0,6.891298655910163,1.4230769230769231,1.4230769230769231,26.0,1.0,5.0,0.6112203628614165,5.0,32.0,0.3899024811995527,0.0,0.0,0.8072347159588685,0.0,0.0,0.946421237543218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,16.0,125.0,2.6595744680851063,5.773905900008381,47.0,179.0,3.808510638297872,82.0,1.74468085106383,16.0,128.0,91.0,4.247024714036275,4.0,4.0,32.0,3.0,21.0,0.1864646610039597,10.0,96.0,0.3663293817712446,3.0,11.0,0.3254502155768304,0.0,0.0,0.8343167017325098,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,13.0,115.0,2.346938775510204,5.711046725256498,49.0,296.0,6.040816326530612,117.0,2.3877551020408165,12.0,189.0,61.0,2.9543638630682385,7.56,7.56,25.0,3.0,38.0,0.2290453587215936,9.0,135.0,0.2133783720677779,0.0,13.0,0.3949685502147324,0.0,3.0,0.8615259767346582,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
80.0,8.0,109.0,2.0961538461538463,7.938584140718674,52.0,364.0,7.0,68.0,1.3076923076923077,8.0,133.0,0.0,6.132140117510862,4.925925925925926,4.925925925925926,27.0,0.0,1.0,0.659397284312425,8.0,132.0,0.4492002018937485,0.0,0.0,0.7920243257917883,0.0,0.0,0.660824362324746,0.0,0.0,1.0,0.0,0.0,0.8959535996161665,0.0,0.0,1.0,0.0,0.0,1.0
