step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
16.0,0,0.0,0.0,7.077364171378236,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638231859218123,0.0,0.0,3.0,0.0,0.0,0.5438592353746117
24.0,1,0.0,0.0,8.67413756426682,10.0,1.0,0.1,1.0,0.1,0.0,0.0,0.0,9.71716223039694,0.0,0.0,3.0,0.0,0.0,0.7036272138225695
32.0,0,0.0,0.0,10.024026880421031,14.0,1.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,8.829224614288016,0.0,0.0,4.0,0.0,0.0,0.6019121351664716
40.0,0,0.0,0.0,9.598522072604904,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31480511827611,0.0,0.0,8.0,0.0,0.0,0.568982662626898
48.0,0,0.0,0.0,10.095582866418551,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.703510430151558,0.0,0.0,8.0,0.0,0.0,0.7020165126089849
56.0,3,11.0,0.55,9.085383371041171,20.0,11.0,0.55,11.0,0.55,1.0,0.0,0.0,7.732894052369376,0.0,0.0,10.0,1.0,0.0,0.5857389116299563
64.0,1,1.0,0.0555555555555555,8.8242681314149,18.0,17.0,0.9444444444444444,6.0,0.3333333333333333,1.0,1.0,1.0,7.380391735697994,0.1111111111111111,0.1111111111111111,9.0,1.0,1.0,0.5575156683667436
72.0,2,4.0,0.2,8.726728794121115,20.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,8.199364904714589,0.0,0.0,10.0,0.0,0.0,0.6030719279671016
80.0,4,4.0,0.1739130434782608,8.031687015397225,23.0,15.0,0.6521739130434783,5.0,0.217391304347826,4.0,4.0,4.0,5.58374932766133,0.3333333333333333,0.3333333333333333,12.0,4.0,4.0,0.4099875304462361
88.0,5,22.0,1.0,7.782979400627711,22.0,23.0,1.0454545454545454,8.0,0.3636363636363636,5.0,23.0,19.0,5.370782260334428,1.6428571428571428,1.6428571428571428,14.0,5.0,23.0,0.4038874139941808
96.0,1,0.0,0.0,5.903715505124164,19.0,38.0,2.0,15.0,0.7894736842105263,1.0,8.0,0.0,5.264773210722035,0.6666666666666666,0.6666666666666666,12.0,1.0,8.0,0.3992984636702417
104.0,2,3.0,0.1428571428571428,7.394152754211997,21.0,39.0,1.8571428571428568,1.0,0.0476190476190476,2.0,7.0,0.0,4.949824218720895,0.5833333333333334,0.5833333333333334,12.0,2.0,7.0,0.3571414061111404
112.0,2,4.0,0.2105263157894736,5.105067131236606,19.0,25.0,1.3157894736842106,0.0,0.0,1.0,11.0,4.0,3.41751908362478,0.8461538461538461,0.8461538461538461,13.0,1.0,11.0,0.2478220840133663
120.0,0,0.0,0.0,7.464933296841407,21.0,27.0,1.2857142857142858,2.0,0.0952380952380952,0.0,4.0,0.0,4.913877126200835,0.3076923076923077,0.3076923076923077,13.0,0.0,4.0,0.3492474953144817
128.0,0,0.0,0.0,6.26270594322199,20.0,13.0,0.65,0.0,0.0,0.0,1.0,0.0,3.61857027374206,0.1,0.1,10.0,0.0,1.0,0.2587670601395253
136.0,0,0.0,0.0,7.005759700853192,17.0,2.0,0.1176470588235294,0.0,0.0,0.0,1.0,0.0,3.517362574551917,0.125,0.125,8.0,0.0,1.0,0.240898318742023
144.0,5,10.0,0.5,5.797936950832321,20.0,14.0,0.7,12.0,0.6,2.0,8.0,7.0,5.138120422829933,0.8888888888888888,0.8888888888888888,9.0,2.0,8.0,0.3901096602287987
152.0,2,25.0,1.1363636363636365,8.501475167917219,22.0,37.0,1.681818181818182,23.0,1.0454545454545454,1.0,18.0,10.0,7.242806583474481,2.25,2.25,8.0,1.0,18.0,0.5232340478131282
160.0,3,41.0,2.1578947368421053,8.332425545153864,19.0,44.0,2.3157894736842106,7.0,0.3684210526315789,2.0,25.0,7.0,7.988558182025763,3.125,3.125,8.0,2.0,25.0,0.5588938440850707
168.0,4,63.0,3.7058823529411766,8.093550571040192,17.0,64.0,3.764705882352941,20.0,1.1764705882352942,3.0,38.0,13.0,6.399349829892022,4.222222222222222,4.222222222222222,9.0,3.0,38.0,0.4159786369064531
176.0,6,103.0,9.363636363636363,5.306521247117896,11.0,103.0,9.363636363636363,39.0,3.5454545454545454,5.0,70.0,32.0,2.0143167108765714,11.666666666666666,11.666666666666666,6.0,5.0,70.0,0.1326126004147013
184.0,2,89.0,9.88888888888889,7.446303901572175,9.0,133.0,14.77777777777778,30.0,3.333333333333333,1.0,48.0,0.0,0.0,48.0,48.0,1.0,1.0,48.0,0.0
192.0,0,0.0,0.0,11.5712820620653,7.0,125.0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,9.095367424259894,0.0,0.0,1.0,0.0,0.0,0.7047170029537496
200.0,1,3.0,0.75,9.551857852894743,4.0,99.0,24.75,0.0,0.0,1.0,3.0,3.0,5.749521583541253,1.5,1.5,2.0,1.0,3.0,0.3783750008810893
208.0,1,0.0,0.0,6.378615023077479,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
216.0,0,0.0,0.0,8.269449141757972,7.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,6.941535164605131,0.0,0.0,3.0,0.0,0.0,0.5634378995880654
224.0,0,0.0,0.0,7.979071729592013,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,7.484752001075019,0.0,0.0,4.0,0.0,0.0,0.512292126379214
232.0,0,0.0,0.0,11.286905510602246,10.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,9.584091965762015,0.0,0.0,4.0,0.0,0.0,0.6687892258369532
