step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
16.0,0.0,0.0,0.0,7.895064763101939,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799918220571553,0.0,0.0,3.0,0.0,0.0,0.571774485565588
24.0,1.0,0.0,0.0,9.006245398787183,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651864377615818,0.0,0.0,3.0,0.0,0.0,0.7116713828729583
32.0,0.0,0.0,0.0,9.622673637412118,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.065247537410203,0.0,0.0,5.0,0.0,0.0,0.5903099350457948
40.0,2.0,1.0,0.0625,7.382448643942036,16.0,1.0,0.0625,1.0,0.0625,2.0,1.0,1.0,6.322802372217649,0.1,0.1,10.0,2.0,1.0,0.4561056225332573
48.0,1.0,2.0,0.1052631578947368,8.593184091619875,19.0,9.0,0.4736842105263157,8.0,0.4210526315789473,1.0,2.0,1.0,6.663290264218477,0.2,0.2,10.0,1.0,2.0,0.480516429757312
56.0,1.0,0.0,0.0,9.917870192134242,22.0,15.0,0.6818181818181818,6.0,0.2727272727272727,1.0,0.0,0.0,7.762786579034024,0.0,0.0,9.0,1.0,0.0,0.5827361381693313
64.0,0.0,0.0,0.0,9.50038694849085,18.0,11.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,8.44507657918592,0.0,0.0,7.0,0.0,0.0,0.6460659747715365
72.0,1.0,0.0,0.0,9.715669942974897,21.0,3.0,0.1428571428571428,0.0,0.0,1.0,0.0,0.0,7.318266458747157,0.0,0.0,9.0,1.0,0.0,0.5440755125192895
80.0,0.0,0.0,0.0,9.5606187384797,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.032271697936375,0.0,0.0,10.0,0.0,0.0,0.5703123069417
88.0,3.0,5.0,0.25,8.575878079625491,20.0,7.0,0.35,7.0,0.35,1.0,2.0,2.0,6.813775556820592,0.2,0.2,10.0,1.0,2.0,0.5075967894974877
96.0,6.0,32.0,1.7777777777777777,4.672269526094047,18.0,35.0,1.9444444444444444,28.0,1.5555555555555556,4.0,13.0,11.0,3.639682751144183,1.0,1.0,13.0,4.0,13.0,0.2605435511984754
104.0,2.0,3.0,0.1363636363636363,5.415893814208263,22.0,57.0,2.590909090909091,22.0,1.0,2.0,19.0,6.0,3.1932708887366994,1.2666666666666666,1.2666666666666666,15.0,2.0,19.0,0.2348774092576526
112.0,1.0,0.0,0.0,5.573421539724966,21.0,30.0,1.4285714285714286,0.0,0.0,1.0,9.0,0.0,4.156693932220224,0.5625,0.5625,16.0,1.0,9.0,0.2996235896482339
120.0,1.0,8.0,0.3636363636363636,8.014537433058267,22.0,24.0,1.0909090909090908,0.0,0.0,1.0,12.0,3.0,6.050814623093386,0.8571428571428571,0.8571428571428571,14.0,1.0,12.0,0.4260380464262551
