step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
16.0,0,0.0,0.0,6.851321724634714,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.721802323279593,0.0,0.0,3,0,0.0,0.5974497754124011
24.0,2,5.0,0.5,7.563191619378332,10,5.0,0.5,5.0,0.5,1,5.0,5.0,7.961498888177778,1.25,1.25,4,1,5.0,0.5513437660039031
32.0,0,0.0,0.0,8.982543611734252,14,8.0,0.5714285714285714,3.0,0.2142857142857142,0,0.0,0.0,9.028707636878114,0.0,0.0,5,0,0.0,0.6097470236614797
40.0,1,0.0,0.0,9.824924589886017,18,8.0,0.4444444444444444,0.0,0.0,1,0.0,0.0,8.394521841434763,0.0,0.0,8,1,0.0,0.5456266810683205
48.0,2,1.0,0.0526315789473684,9.969527956904807,19,1.0,0.0526315789473684,0.0,0.0,1,0.0,0.0,8.244064540623377,0.0,0.0,9,1,0.0,0.5885253526947938
56.0,3,13.0,0.7647058823529411,8.980122974924065,17,13.0,0.7647058823529411,12.0,0.7058823529411765,1,1.0,1.0,8.641748868999219,0.1111111111111111,0.1111111111111111,9,1,1.0,0.6403999632690821
64.0,0,0.0,0.0,8.549264496849034,19,30.0,1.5789473684210529,17.0,0.8947368421052632,0,2.0,1.0,7.535672518724477,0.25,0.25,8,0,2.0,0.5681239919949422
72.0,0,0.0,0.0,9.671655751175669,21,17.0,0.8095238095238095,0.0,0.0,0,0.0,0.0,7.895523404313558,0.0,0.0,10,0,0.0,0.5577305895270451
80.0,6,9.0,0.4090909090909091,6.768339164971872,22,9.0,0.4090909090909091,0.0,0.0,6,9.0,9.0,4.563003017798618,0.6,0.6,15,6,9.0,0.3211290532232331
88.0,5,10.0,0.4347826086956521,5.604736915818444,23,35.0,1.5217391304347827,26.0,1.1304347826086956,5,15.0,6.0,3.529892052995618,0.9375,0.9375,16,5,15.0,0.2482308145029942
96.0,4,35.0,1.5217391304347827,6.303890229164233,23,56.0,2.4347826086956523,21.0,0.9130434782608696,4,38.0,23.0,3.6576507964607834,2.533333333333333,2.533333333333333,15,4,38.0,0.2533532367802613
104.0,6,75.0,3.260869565217391,6.149266428281593,23,81.0,3.5217391304347827,25.0,1.0869565217391304,6,78.0,40.0,4.072308861112612,4.875,4.875,16,6,78.0,0.3014054232695969
112.0,7,116.0,5.8,5.919399741743476,20,121.0,6.05,40.0,2.0,7,118.0,40.0,4.554721344986848,7.866666666666666,7.866666666666666,15,7,118.0,0.3410834342821946
120.0,1,2.0,0.0869565217391304,7.336249465029508,23,146.0,6.3478260869565215,25.0,1.0869565217391304,0,27.0,0.0,6.389895066615562,2.076923076923077,2.076923076923077,13,0,27.0,0.4717816841182106
128.0,2,11.0,0.4782608695652174,7.144646521379207,23,168.0,7.304347826086956,22.0,0.9565217391304348,2,11.0,0.0,3.4142426973757005,1.2222222222222223,1.2222222222222223,9,2,11.0,0.2648750926213359
136.0,0,0.0,0.0,7.5751498614824015,20,40.0,2.0,0.0,0.0,0,3.0,0.0,3.697459916532355,0.375,0.375,8,0,3.0,0.2458894284376444
144.0,5,14.0,0.7368421052631579,5.725651974177586,19,21.0,1.105263157894737,0.0,0.0,4,17.0,14.0,2.870222911209092,1.5454545454545454,1.5454545454545454,11,4,17.0,0.197641253056044
152.0,0,0.0,0.0,8.066397714888502,21,42.0,2.0,21.0,1.0,0,13.0,0.0,6.618070650902039,1.4444444444444444,1.4444444444444444,9,0,13.0,0.4656117104461701
160.0,1,0.0,0.0,9.55470096267296,21,40.0,1.9047619047619049,0.0,0.0,1,0.0,0.0,6.893563899828114,0.0,0.0,9,1,0.0,0.5113604072952478
168.0,1,1.0,0.0625,8.095308866506496,16,9.0,0.5625,0.0,0.0,0,0.0,0.0,7.343659185890234,0.0,0.0,6,0,0.0,0.528550253863388
176.0,1,2.0,0.1666666666666666,7.77524210412604,12,21.0,1.75,12.0,1.0,1,6.0,6.0,3.4401833941311484,1.5,1.5,4,1,6.0,0.244007161223086
184.0,0,0.0,0.0,9.07751407270008,7,16.0,2.2857142857142856,0.0,0.0,0,0.0,0.0,6.73542021677327,0.0,0.0,1,0,0.0,0.461008587745674
192.0,0,0.0,0.0,12.02502078983584,5,2.0,0.4,0.0,0.0,0,0.0,0.0,9.302167469309644,0.0,0.0,1,0,0.0,0.7319629050721431
200.0,0,0.0,0.0,10.2793942454063,2,0.0,0.0,0.0,0.0,0,0.0,0.0,9.841139859659595,0.0,0.0,1,0,0.0,0.6827521092490383
208.0,1,0.0,0.0,8.45836902767119,3,0.0,0.0,0.0,0.0,1,0.0,0.0,6.569747150146621,0.0,0.0,2,1,0.0,0.4557915838979466
216.0,0,0.0,0.0,9.227033971293316,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.994405795948115,0.0,0.0,2,0,0.0,0.5820502596840138
224.0,1,2.0,0.25,7.310683689389626,8,2.0,0.25,2.0,0.25,1,2.0,2.0,4.809534353713124,0.5,0.5,4,1,2.0,0.3346821051382158
232.0,0,0.0,0.0,10.340613449846174,8,5.0,0.625,3.0,0.375,0,0.0,0.0,9.736025658653991,0.0,0.0,4,0,0.0,0.7076186341346262
240.0,2,7.0,0.6363636363636364,8.7053755685986,11,12.0,1.0909090909090908,7.0,0.6363636363636364,0,0.0,0.0,9.19011053797544,0.0,0.0,5,0,0.0,0.6793853347717626
248.0,1,0.0,0.0,8.604198234289457,10,10.0,1.0,0.0,0.0,1,0.0,0.0,6.172949733281456,0.0,0.0,5,1,0.0,0.4357819300276687
256.0,0,0.0,0.0,10.055082649726568,8,2.0,0.25,0.0,0.0,0,0.0,0.0,5.442838945508043,0.0,0.0,2,0,0.0,0.3573730055501591
264.0,0,0.0,0.0,8.209408531553008,7,2.0,0.2857142857142857,0.0,0.0,0,0.0,0.0,6.74334339943016,0.0,0.0,2,0,0.0,0.4171763169573118
