step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.800391006004064,7,0.0,0.0,0.0,0.0,0,0.0,0.0,4.746689628243136,0.0,0.0,3,0.0,0.0,0.1288630904576185,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.107940463347601,0.0,0.0,0.8496344525137846,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1,1.0,0.0769230769230769,7.809458270979375,13,1.0,0.0769230769230769,1.0,0.0769230769230769,1,1.0,1.0,6.916254934172245,0.1428571428571428,0.1428571428571428,7,0.0,0.0,0.9780344375299173,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5077562840907733,0.0,0.0,1.0,0.0,0.0,0.9767958338177748,1.0,1.0,0.2454901376509373,0.0,0.0,0.1745598566728309,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,4,20.0,1.0,7.46032133936487,20,20.0,1.0,19.0,0.95,4,20.0,19.0,5.802752630075649,2.0,2.0,10,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9816008371187468,0.0,0.0,1.0,1.0,3.0,0.0002969603374131,3.0,17.0,0.0445184040325959,0.0,0.0,0.7207669995489363,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,9,66.0,2.357142857142857,6.53231276205112,28,72.0,2.571428571428572,52.0,1.8571428571428568,7,66.0,46.0,3.510108589643739,5.5,5.5,12,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,66.0,0.002962165717727,0.0,0.0,0.6323081797620055,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
40.0,1,6.0,0.2,9.055085771575923,30,123.0,4.1,51.0,1.7,0,41.0,0.0,8.337164360495704,3.727272727272727,3.727272727272727,11,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0925147233989461,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9226908109023813,0.0,0.0,1.0,0.0,0.0,0.5812433232999368,0.0,38.0,0.1823793389243818,0.0,0.0,0.9935664273619864,0.0,0.0,1.0,0.0,0.0,0.9116933509182888,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9447686879838384
48.0,12,28.0,0.6829268292682927,6.252699308845907,41,151.0,3.682926829268293,28.0,0.6829268292682927,10,95.0,54.0,3.5537986878953163,4.318181818181818,4.318181818181818,22,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,0.0008762524334277,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0877864707186986,0.0,0.0,1.0,1.0,6.0,0.4726097160222385,0.0,0.0,1.0,0.0,10.0,0.2970705802367691,6.0,70.0,0.0081222285928173,0.0,0.0,0.4274191444143516,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9584976534239597,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7939228739184805
56.0,12,96.0,2.2857142857142856,7.896034705487433,42,247.0,5.880952380952381,96.0,2.2857142857142856,9,144.0,49.0,5.716418869691838,7.578947368421052,7.578947368421052,19,0.0,0.0,0.7023463879568723,0,0.0,0.9192136281188092,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.6462214363190117,1.0,1.0,0.1224603684790375,0.0,8.0,0.2417452812286873,8.0,133.0,0.0,0.0,0.0,0.9390544136777932,0.0,0.0,0.8566862375148323,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.906433043137362
64.0,5,19.0,0.38,8.736411835950769,50,316.0,6.32,69.0,1.38,3,79.0,0.0,6.783771825654654,5.266666666666667,5.266666666666667,15,1.0,0.0,0.2611332889141279,1,3.0,0.0002418333331141,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9265187617031192,0.0,0.0,0.2785714014301904,0.0,0.0,1.0,0.0,71.0,0.290458720311459,1.0,2.0,0.3430349750014287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,12,47.0,0.7966101694915254,8.52823454983127,59,353.0,5.983050847457627,37.0,0.6271186440677966,11,172.0,93.0,5.479236486570227,7.818181818181818,7.818181818181818,22,0.0,5.0,0.9574071643149548,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5232056181788716,2.0,8.0,3.383735275069801e-05,0.0,10.0,0.4617158394270125,7.0,134.0,0.0018402609642553,2.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9262409309105856,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
80.0,19,119.0,1.63013698630137,7.981003123611318,73,468.0,6.410958904109589,115.0,1.5753424657534247,13,225.0,53.0,3.615413942666085,10.714285714285714,10.714285714285714,21,3.0,10.0,0.1853861616300255,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9561298575273766,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.786927885063463e-05,0.0,0.0,1.0,0.0,10.0,0.3352585295575337,8.0,198.0,1.9513465665912874e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9227266391213614,0.0,0.0,0.951880711338209,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
