step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.476416345549904,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.396076872281264,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6140934021868634,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1200927898126732,0.0,0.0,0.8081415790648876
16.0,2,0.0,0.0,5.339343962769743,15.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4.128693847029036,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1132130448772116,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5083128614479403,0.0,0.0,1.0
24.0,3,7.0,0.3043478260869565,7.72657174567653,23.0,12.0,0.5217391304347826,12.0,0.5217391304347826,1,7.0,7.0,9.223110913950352,0.875,0.875,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5657418510044715,0.0,0.0,1.0,0.0,0.0,0.9693268539026514,1.0,7.0,0.46218935076226,0.0,0.0,0.6525190688041089
32.0,3,6.0,0.1875,8.107787147349914,32.0,21.0,0.65625,9.0,0.28125,3,9.0,2.0,7.754643800809585,0.6923076923076923,0.6923076923076923,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9657239200763706,0.0,0.0,1.0,0.0,3.0,0.818394471661792,1.0,1.0,0.4913092990173952,2.0,5.0,0.1603209564159751
40.0,1,4.0,0.0930232558139534,8.664100010376972,43.0,39.0,0.9069767441860463,18.0,0.4186046511627907,1,13.0,4.0,9.682006089592534,0.7222222222222222,0.7222222222222222,18.0,0.0,0.0,0.8343387161796396,0.0,5.0,0.7297441850035944,1.0,4.0,8.719518825091711e-05,0.0,0.0,0.9906814072848668,0.0,3.0,0.8658083736611716,0.0,0.0,0.6834247831790359,0.0,1.0,0.719741969438359
48.0,10,34.0,0.7083333333333334,7.902991012470196,48.0,72.0,1.5,33.0,0.6875,5,44.0,31.0,7.004891661807951,2.2,2.2,20.0,1.0,3.0,6.97537735864731e-05,1.0,7.0,0.2677287963300365,1.0,12.0,0.0,0.0,0.0,1.0,0.0,4.0,0.7501007931762831,2.0,18.0,0.576222285033658,0.0,0.0,0.8475460916441011
56.0,6,24.0,0.4897959183673469,7.91723343620908,49.0,106.0,2.163265306122449,34.0,0.6938775510204082,6,38.0,0.0,5.550416009432789,1.9,1.9,20.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.5701340521182778,0.0,6.0,0.7402935559294553,4.0,18.0,0.2412683997159433,0.0,0.0,0.8229300855255053
64.0,15,78.0,1.471698113207547,7.399264843476148,53.0,173.0,3.2641509433962264,67.0,1.2641509433962264,9,79.0,41.0,6.902841880330236,3.761904761904762,3.761904761904762,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9391148718805924,0.0,0.0,1.0,0.0,7.0,0.875779587358574,8.0,69.0,0.3058398045943326,1.0,0.0,0.4086790872046507
72.0,15,152.0,2.6206896551724137,6.588541793351714,58.0,261.0,4.5,88.0,1.5172413793103448,13,161.0,82.0,5.09868303228217,5.75,5.75,28.0,2.0,12.0,0.0850793812987278,0.0,6.0,0.7601654222322156,1.0,3.0,0.4973157537486498,0.0,0.0,0.6338340858152252,0.0,0.0,0.7863177408305767,10.0,140.0,0.1925115407538375,0.0,0.0,0.6251535860597125
80.0,21,274.0,4.491803278688525,5.119718624093006,61.0,368.0,6.032786885245901,107.0,1.7540983606557377,17,275.0,114.0,2.4060186414223925,10.185185185185183,10.185185185185183,27.0,4.0,42.0,0.2041355200977404,0.0,0.0,1.0,0.0,0.0,0.4061281113014574,0.0,0.0,0.3457827696531673,1.0,3.0,0.0002428323191764,10.0,225.0,0.1498285879714671,2.0,5.0,0.0002100771385535
88.0,12,120.0,2.0,5.828837465601989,60.0,473.0,7.883333333333334,105.0,1.75,11,209.0,0.0,4.965682273802967,6.53125,6.53125,32.0,5.0,82.0,0.0549038452202367,0.0,0.0,0.97599851427229,0.0,0.0,0.4984156742104036,0.0,0.0,1.0,2.0,18.0,0.4433266230028986,2.0,98.0,0.3474952145146279,2.0,11.0,0.3935526774246513
96.0,10,71.0,1.1639344262295082,6.247296768384065,61.0,549.0,9.0,76.0,1.2459016393442623,7,105.0,0.0,6.094997989765986,3.75,3.75,28.0,0.0,1.0,0.3216163758644971,1.0,5.0,0.4696466431121106,3.0,16.0,0.310419443197712,1.0,4.0,0.0098482176203591,0.0,22.0,0.7477170035429178,2.0,54.0,0.2408558568737419,0.0,3.0,0.7555038140766098
104.0,11,109.0,1.7580645161290325,6.942671842352026,62.0,620.0,10.0,71.0,1.1451612903225807,8,130.0,25.0,6.080662780071081,4.482758620689655,4.482758620689655,29.0,0.0,0.0,0.9282722377236152,1.0,7.0,0.4917684526790057,1.0,15.0,0.2689983567827049,0.0,0.0,1.0,3.0,36.0,0.4347988241531154,2.0,66.0,0.4827108447142557,1.0,6.0,7.625638601307275e-05
112.0,11,150.0,2.380952380952381,6.800221451809725,63.0,702.0,11.142857142857142,82.0,1.3015873015873016,7,161.0,31.0,5.110167519146915,5.75,5.75,28.0,1.0,3.0,0.0,0.0,0.0,0.9689892346177488,2.0,20.0,0.0024408881628935,0.0,0.0,1.0,0.0,44.0,0.4539658446147162,4.0,94.0,0.2653809628061941,0.0,0.0,1.0
