step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,6.820850217155697,6,0.0,0.0,0.0,0.0,0,0.0,0.0,6.5425000766053145,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6272270507542237,0,0.0,1.0,0,0.0,1.0,0,0.0,0.111362134057227,0,0.0,0.5911427201891258
16.0,2,0.0,0.0,6.32369861518753,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.401361212639312,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2129460163571981,0,0.0,1.0,0,0.0,0.473258721646758,0,0.0,0.6758199900341348,0,0.0,1.0
24.0,3,4.0,0.1739130434782608,7.370348122108807,23,4.0,0.1739130434782608,4.0,0.1739130434782608,1,4.0,4.0,7.814218167472619,0.4,0.4,10,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5824484343946418,0,0.0,1.0,0,0.0,0.9814451375105216,1,4.0,0.3543974712535389,0,0.0,0.6064518397043579
32.0,7,37.0,1.15625,6.477484391261242,32,37.0,1.15625,33.0,1.03125,7,37.0,33.0,4.976900760844847,2.3125,2.3125,16,0,0.0,1.0,0,0.0,0.9686176321592816,1,2.0,0.4559538438417692,0,0.0,1.0,0,0.0,0.6263037690960777,4,29.0,0.3406244616376712,2,6.0,0.0690316585391582
40.0,7,67.0,1.6341463414634143,7.355415579183743,41,90.0,2.1951219512195124,53.0,1.2926829268292683,6,67.0,30.0,6.924052151015272,3.526315789473684,3.526315789473684,19,0,0.0,1.0,0,0.0,0.8606456985693794,0,0.0,1.0,0,0.0,0.955756814822489,0,0.0,0.4933391161512145,6,67.0,0.3406204358133654,0,0.0,0.4696844627487251
48.0,6,6.0,0.1224489795918367,8.057443172871425,49,122.0,2.489795918367347,32.0,0.6530612244897959,3,43.0,0.0,7.253118014993652,2.263157894736842,2.263157894736842,19,0,0.0,1.0,1,1.0,0.0093899652090308,0,0.0,1.0,1,2.0,0.4239600535471462,0,0.0,0.7454373938252687,1,40.0,0.5290220538930728,0,0.0,0.7823254206499529
56.0,14,37.0,0.7115384615384616,6.824690666841176,52,178.0,3.423076923076923,56.0,1.0769230769230769,13,104.0,61.0,5.562938576268142,3.586206896551724,3.586206896551724,29,1,3.0,0.0002106443935254,0,4.0,0.9505864968991986,0,0.0,0.9271268164290766,0,1.0,0.4351140632685046,4,30.0,0.5423432792560411,8,63.0,0.1081216935310522,0,3.0,0.622293155553146
64.0,22,133.0,2.254237288135593,5.698531886941794,59,308.0,5.220338983050848,130.0,2.2033898305084745,16,173.0,69.0,4.473894653276747,5.965517241379311,5.965517241379311,29,0,3.0,0.940627687850147,0,0.0,0.916212904891536,0,0.0,0.9393760450434596,3,12.0,0.0001426770751556,0,8.0,0.5426756621111297,11,142.0,0.0782216644801884,2,8.0,0.2640241912817958
72.0,8,42.0,0.6363636363636364,6.773322634190463,66,414.0,6.2727272727272725,106.0,1.606060606060606,3,107.0,0.0,6.075858393661893,4.458333333333333,4.458333333333333,24,1,8.0,0.1154714484737385,0,0.0,1.0,0,0.0,0.0077543964886248,1,4.0,0.4899361180598952,1,11.0,0.4234208387473049,0,84.0,0.5017341686813542,0,0.0,0.6323998470558461
80.0,15,62.0,0.8732394366197183,7.147725282794195,71,486.0,6.845070422535211,72.0,1.0140845070422535,10,136.0,29.0,6.325872201870474,3.8857142857142857,3.8857142857142857,35,0,0.0,0.9972741675392748,0,0.0,1.0,1,8.0,0.3190145618556069,5,28.0,3.633158443624538e-05,0,46.0,0.810678003076111,2,49.0,0.3766394208335938,2,5.0,0.4939207022042327
