step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0.0,0.0,0.0,8.013229455457687,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.883121015533567,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7483629144788826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.101159927745356,0.0,0.0,0.8436503305873034
16.0,2.0,0.0,0.0,5.675823157321832,15.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4.888063949180865,0.0,0.0,7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0937133261684053,0.0,0.0,1.0,0.0,0.0,0.5405627722517049,0.0,0.0,0.7593625426757884,0.0,0.0,1.0
24.0,4.0,14.0,0.6086956521739131,7.387705574466416,23.0,14.0,0.6086956521739131,14.0,0.6086956521739131,2,14.0,14.0,7.945309190501314,1.4,1.4,10,0.0,0.0,1.0,0.0,0.0,1.0,2.0,14.0,0.3628302885505107,0.0,0.0,1.0,0.0,0.0,0.8238716955222362,0.0,0.0,0.7349696303733507,0.0,0.0,1.0
32.0,2.0,6.0,0.1875,8.101324366538005,32.0,29.0,0.90625,15.0,0.46875,2,8.0,0.0,7.07598504523189,0.6153846153846154,0.6153846153846154,13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.2602927906164456,0.0,0.0,1.0,0.0,0.0,0.9027306449464496,2.0,6.0,0.4865603442861501,0.0,0.0,1.0
40.0,10.0,44.0,1.0731707317073171,6.646236464118371,41.0,68.0,1.6585365853658536,39.0,0.951219512195122,9,46.0,38.0,4.700965798779948,2.1904761904761907,2.1904761904761907,21,0.0,0.0,0.8206505672608484,0.0,0.0,0.482323546553276,3.0,11.0,5.834869923033249e-05,0.0,0.0,1.0,0.0,0.0,0.5277943782038519,6.0,35.0,0.3234517902661601,0.0,0.0,0.8525988596333811
48.0,4.0,5.0,0.1063829787234042,7.947351150417228,47.0,110.0,2.3404255319148937,42.0,0.8936170212765957,2,39.0,0.0,7.436646567125607,1.7727272727272727,1.7727272727272727,22,0.0,0.0,1.0,0.0,7.0,0.9264935323788606,0.0,6.0,0.3082869216967221,0.0,0.0,0.9210980011094966,0.0,3.0,0.57873950801314,1.0,18.0,0.4547475717127114,1.0,5.0,0.5327689027973784
56.0,12.0,47.0,0.903846153846154,6.668010161699635,52.0,163.0,3.1346153846153846,53.0,1.0192307692307692,11,88.0,49.0,4.583321556622918,2.6666666666666665,2.6666666666666665,33,0.0,0.0,1.0,0.0,7.0,0.4061884466115568,1.0,12.0,0.4539148603074461,0.0,0.0,0.9562278710167448,2.0,22.0,0.5399111721485422,6.0,39.0,0.1128512876545556,2.0,8.0,0.2004798093109702
64.0,17.0,132.0,2.3157894736842106,6.096076300580836,57.0,283.0,4.964912280701754,120.0,2.1052631578947367,17,179.0,91.0,3.3160710449520114,5.966666666666667,5.966666666666667,30,0.0,0.0,1.0,2.0,27.0,0.3932799474129322,1.0,20.0,0.6167628563169928,0.0,0.0,1.0,5.0,44.0,0.2860245523569658,7.0,80.0,0.0628525403540974,2.0,8.0,0.1505024280178354
72.0,12.0,122.0,2.067796610169492,6.774549050609527,59.0,338.0,5.728813559322034,55.0,0.9322033898305084,9,153.0,0.0,4.49580883993307,6.652173913043479,6.652173913043479,23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4995149446641121,1.0,4.0,0.4557523380747309,0.0,19.0,0.3282659537945237,7.0,129.0,0.1320232741211555,0.0,0.0,0.6382776255646833
80.0,14.0,50.0,0.7936507936507936,6.654666139042154,63.0,397.0,6.301587301587301,59.0,0.9365079365079364,11,163.0,10.0,4.484483641703352,6.269230769230769,6.269230769230769,26,0.0,0.0,0.6652394923347162,0.0,0.0,1.0,0.0,0.0,0.5398524909332743,5.0,22.0,0.0010258570134477,4.0,34.0,0.1923418194438818,2.0,107.0,0.4351919546761955,0.0,0.0,0.958627448751738
88.0,8.0,87.0,1.359375,6.738090634439104,64.0,451.0,7.046875,54.0,0.84375,8,135.0,0.0,6.673192823282925,3.4615384615384617,3.4615384615384617,39,2.0,10.0,0.0341908091148445,0.0,3.0,0.94803281699961,0.0,0.0,0.5558323111573443,5.0,62.0,0.1173136262400541,0.0,21.0,0.6059209645772768,1.0,39.0,0.4812436480242498,0.0,0.0,0.719194601011566
