step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,1,4.0,1.3333333333333333,7.402747044725895,3,4.0,1.3333333333333333,4.0,1.3333333333333333,1,4.0,4.0,4.180441902363138,2.0,2.0,2,1,4.0,0.3227476744776441
24.0,3,15.0,1.875,5.178021727530455,8,15.0,1.875,11.0,1.375,3,15.0,11.0,3.886656704174025,2.142857142857143,2.142857142857143,7,3,15.0,0.2579097500482264
32.0,4,38.0,4.75,6.922768066719041,8,38.0,4.75,23.0,2.875,4,38.0,23.0,6.922768066719042,4.75,4.75,8,4,38.0,0.4318073766788686
40.0,4,70.0,7.0,7.660919059501687,10,70.0,7.0,32.0,3.2,4,70.0,32.0,6.822117225293435,8.75,8.75,8,4,70.0,0.4674460711763209
48.0,0,0.0,0.0,8.824272562741944,13,88.0,6.769230769230769,18.0,1.3846153846153846,0,34.0,0.0,7.419140441179873,3.7777777777777777,3.7777777777777777,9,0,34.0,0.4870264627672593
56.0,3,15.0,1.1538461538461535,7.735959954723348,13,51.0,3.923076923076923,0.0,0.0,3,49.0,15.0,5.552037498548766,5.444444444444445,5.444444444444445,9,3,49.0,0.3398964998169497
64.0,4,47.0,3.9166666666666665,5.593099390257511,12,84.0,7.0,33.0,2.75,4,81.0,32.0,4.066955148156518,9.0,9.0,9,4,81.0,0.2346043853365259
72.0,5,45.0,3.4615384615384617,5.561385518518346,13,114.0,8.76923076923077,30.0,2.3076923076923075,5,45.0,0.0,4.160835762196269,4.5,4.5,10,5,45.0,0.2187411592396292
80.0,6,22.0,1.2941176470588236,5.658198031672591,17,81.0,4.764705882352941,0.0,0.0,6,33.0,0.0,4.532500403741757,2.357142857142857,2.357142857142857,14,6,33.0,0.3016376005130582
88.0,9,73.0,3.65,5.301812241826309,20,84.0,4.2,3.0,0.15,9,84.0,51.0,5.255091793188491,4.421052631578948,4.421052631578948,19,9,84.0,0.3446669250454209
96.0,11,134.0,4.962962962962963,4.934023526267648,27,154.0,5.703703703703703,70.0,2.592592592592593,11,134.0,50.0,4.759025232769531,5.153846153846154,5.153846153846154,26,11,134.0,0.3220123555462834
104.0,4,16.0,0.5333333333333333,6.671418577654674,30,203.0,6.766666666666667,49.0,1.6333333333333333,4,101.0,0.0,6.211007058473193,4.04,4.04,25,4,101.0,0.4085731118437031
112.0,5,21.0,0.6774193548387096,8.79960428052903,31,125.0,4.032258064516129,0.0,0.0,5,23.0,0.0,6.739430019282561,1.0952380952380951,1.0952380952380951,21,5,23.0,0.423075071293268
120.0,8,73.0,2.8076923076923075,8.953286748575016,26,75.0,2.8846153846153846,0.0,0.0,8,73.0,50.0,5.777609462567946,4.055555555555555,4.055555555555555,18,8,73.0,0.396297072033089
128.0,8,54.0,2.25,5.953968048243269,24,129.0,5.375,54.0,2.25,8,63.0,0.0,5.02816493903522,3.5,3.5,18,8,63.0,0.3362093447634635
136.0,7,30.0,1.1538461538461535,6.7691267478977535,26,115.0,4.423076923076923,0.0,0.0,7,67.0,4.0,5.352429852170756,3.1904761904761907,3.1904761904761907,21,7,67.0,0.3672175182302255
144.0,5,21.0,0.84,5.960296366908534,25,113.0,4.52,0.0,0.0,5,72.0,5.0,4.855414118844376,4.0,4.0,18,5,72.0,0.3408443497106019
152.0,8,21.0,0.75,5.930789209764096,28,122.0,4.357142857142857,9.0,0.3214285714285714,8,66.0,0.0,4.823077551946121,3.0,3.0,22,8,66.0,0.3262728323596252
