step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.505369043862447,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3268124463580948
16.0,0,0.0,0.0,7.131852017233379,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684315741721536,0.0,0.0,5.0,0.0,0.0,0.897173809132291,0.0,0.0,0.5441184040775258,0.0,0.0,0.525499812690749
24.0,3,9.0,0.5625,7.560034964699397,16.0,11.0,0.6875,11.0,0.6875,2.0,9.0,9.0,4.138407253831942,2.25,2.25,4.0,2.0,9.0,5.325765212457764e-06,0.0,0.0,0.9368411773922416,0.0,0.0,1.0
32.0,4,1.0,0.04,8.122010659073393,25.0,19.0,0.76,8.0,0.32,1.0,0.0,0.0,4.948090876483715,0.0,0.0,4.0,1.0,0.0,0.2988451663688112,0.0,0.0,0.7205931375175709,0.0,0.0,1.0
40.0,5,12.0,0.3870967741935484,8.28097052356455,31.0,28.0,0.9032258064516128,9.0,0.2903225806451613,4.0,9.0,9.0,3.765128235922317,1.125,1.125,8.0,3.0,9.0,0.1861638746000649,1.0,0.0,0.4782283621680181,0.0,0.0,0.7573355720538923
48.0,7,20.0,0.5263157894736842,8.064369003564492,38.0,43.0,1.131578947368421,15.0,0.3947368421052631,5.0,27.0,18.0,5.786815836772274,1.588235294117647,1.588235294117647,17.0,3.0,23.0,0.4644516474619913,1.0,4.0,0.4204550629480214,1.0,0.0,0.0037574057701184
56.0,13,71.0,1.8205128205128205,6.884622992182626,39.0,116.0,2.9743589743589745,73.0,1.871794871794872,11.0,72.0,45.0,2.342262012111498,4.5,4.5,16.0,5.0,29.0,0.1431922212525037,5.0,35.0,0.2068252163389869,1.0,8.0,0.4582253454116453
64.0,3,23.0,0.4791666666666667,9.470415445083953,48.0,179.0,3.7291666666666665,63.0,1.3125,2.0,35.0,0.0,8.278108250532744,2.5,2.5,14.0,2.0,32.0,0.4329528716893526,0.0,3.0,0.8274657510092025,0.0,0.0,0.644600466548569
72.0,9,40.0,0.7692307692307693,9.063579263428752,52.0,200.0,3.8461538461538463,21.0,0.4038461538461538,8.0,58.0,23.0,5.063931709854215,3.8666666666666663,3.8666666666666663,15.0,5.0,34.0,0.0009897490449813,2.0,22.0,0.6039302338793854,1.0,2.0,0.6767419999175506
80.0,10,106.0,1.962962962962963,8.908677492644332,54.0,253.0,4.685185185185185,53.0,0.9814814814814816,9.0,107.0,49.0,4.745171905703078,6.294117647058823,6.294117647058823,17.0,6.0,78.0,0.1723108512436952,3.0,29.0,0.4705253795087303,0.0,0.0,0.8036561335922839
88.0,9,53.0,1.0,7.259105687226708,53.0,308.0,5.811320754716981,55.0,1.0377358490566038,7.0,83.0,0.0,6.487649794749338,3.458333333333333,3.458333333333333,24.0,3.0,57.0,0.4840462785983646,4.0,26.0,0.3889682943764476,0.0,0.0,0.5847880803349345
96.0,9,43.0,0.7413793103448276,7.60223676315503,58.0,334.0,5.758620689655173,26.0,0.4482758620689655,6.0,63.0,0.0,4.399164952414185,3.3157894736842106,3.3157894736842106,19.0,3.0,43.0,0.3776948309523069,1.0,10.0,0.2833029134455054,2.0,10.0,0.2401657789738503
104.0,10,54.0,0.9642857142857144,8.760294698420974,56.0,371.0,6.625,37.0,0.6607142857142857,6.0,49.0,0.0,3.3224769166392125,3.769230769230769,3.769230769230769,13.0,4.0,30.0,0.0826834160758494,2.0,19.0,0.3033553416167077,0.0,0.0,0.6589407613348638
112.0,11,115.0,1.8548387096774197,8.814948978008319,62.0,422.0,6.806451612903226,51.0,0.8225806451612904,6.0,84.0,35.0,6.194602652900197,5.25,5.25,16.0,3.0,41.0,0.2669453881387187,3.0,40.0,0.460843318339466,0.0,3.0,0.9595375362540486
120.0,8,101.0,1.578125,8.57861387156117,64.0,444.0,6.9375,22.0,0.34375,5.0,72.0,0.0,6.931752945940831,3.6,3.6,20.0,0.0,5.0,0.6956207456714876,5.0,67.0,0.4207181732767719,0.0,0.0,0.6386352422696939
128.0,16,112.0,1.696969696969697,7.094206485994245,66.0,490.0,7.424242424242424,46.0,0.696969696969697,11.0,100.0,28.0,3.5628467619912816,4.545454545454546,4.545454545454546,22.0,5.0,24.0,0.278231417665114,6.0,76.0,0.2721584616231296,0.0,0.0,0.8930137797832246
136.0,18,215.0,3.161764705882353,7.189745911688424,68.0,571.0,8.397058823529411,81.0,1.1911764705882353,15.0,233.0,133.0,4.481060821757789,8.321428571428571,8.321428571428571,28.0,5.0,90.0,0.3247854153658221,10.0,143.0,0.2623875607386062,0.0,0.0,0.7417729188916365
144.0,9,114.0,1.7538461538461538,8.13677873523186,65.0,593.0,9.123076923076924,22.0,0.3384615384615385,5.0,87.0,0.0,5.204168996440622,4.578947368421052,4.578947368421052,19.0,2.0,27.0,0.4648171222225826,3.0,60.0,0.3375859051845128,0.0,0.0,0.9601520814716908
152.0,19,186.0,2.6956521739130435,6.591119118491666,69.0,669.0,9.695652173913045,76.0,1.1014492753623188,13.0,151.0,64.0,3.569124081274564,5.033333333333333,5.033333333333333,30.0,5.0,58.0,0.2687977224378694,7.0,93.0,0.1783488209466077,1.0,0.0,0.52558298154923
160.0,28,296.0,4.111111111111111,5.297736014264093,72.0,790.0,10.97222222222222,121.0,1.6805555555555556,24.0,306.0,155.0,2.650785140493535,8.052631578947368,8.052631578947368,38.0,10.0,119.0,0.1763532018189941,13.0,183.0,0.1071009664086152,1.0,4.0,0.6509826798362504
168.0,28,377.0,5.164383561643835,6.326446425956234,73.0,915.0,12.534246575342468,125.0,1.7123287671232876,25.0,512.0,206.0,2.979949522241905,13.128205128205128,13.128205128205128,39.0,8.0,203.0,0.265206595422894,16.0,309.0,0.1468331712665472,1.0,0.0,0.628112893699481
176.0,25,427.0,6.1,5.296953431455454,70.0,1034.0,14.771428571428572,119.0,1.7,23.0,689.0,177.0,2.532479023774824,16.804878048780488,16.804878048780488,41.0,3.0,203.0,0.158832886589372,18.0,480.0,0.0883022472103385,2.0,6.0,0.679876355860015
184.0,35,624.0,8.914285714285715,4.693091611333617,70.0,1187.0,16.957142857142856,153.0,2.185714285714285,32.0,869.0,180.0,1.9152520634804475,19.31111111111111,19.31111111111111,45.0,7.0,175.0,0.0043098250561215,20.0,661.0,0.1617183678212409,5.0,33.0,0.3503193395529776
192.0,12,108.0,1.542857142857143,6.4434894336024975,70.0,1390.0,19.857142857142858,203.0,2.9,12.0,606.0,0.0,2.708762208817994,17.823529411764707,17.823529411764707,34.0,1.0,88.0,0.4074457842758769,7.0,466.0,0.1751678339315334,4.0,52.0,0.000125831412093
