step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1.0,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,2.0,4.0,0.2857142857142857,7.461200469196081,14.0,5.0,0.3571428571428571,4.0,0.2857142857142857,2.0,5.0,5.0,7.562844736174219,0.5,0.5,10.0,0.0,0.0,1.0,1.0,1.0,0.4058697878285949,0.0,0.0,0.6975508425041043,1.0,4.0,0.333659754375158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,1.0,9.0,0.45,7.842759669698559,20.0,20.0,1.0,15.0,0.75,1.0,11.0,6.0,7.537533551581504,0.7857142857142857,0.7857142857142857,14.0,0.0,0.0,0.224224072790711,1.0,9.0,0.3522828982796708,0.0,0.0,0.7262880127585689,0.0,2.0,0.2997058516333872,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,5.0,23.0,0.92,7.361597720119509,25.0,46.0,1.84,26.0,1.04,5.0,28.0,17.0,7.050830875643096,1.3333333333333333,1.3333333333333333,21.0,0.0,3.0,0.6496919625548985,0.0,0.0,0.6145858998597399,2.0,9.0,0.5658333016080581,3.0,16.0,0.0002312933481584,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9037559527243272,0.0,0.0,1.0
40.0,10.0,79.0,2.323529411764706,6.747549226780599,34.0,102.0,3.0,56.0,1.6470588235294117,10.0,84.0,56.0,6.349235892511434,2.8,2.8,30.0,0.0,3.0,0.7471284450081382,1.0,0.0,0.6956457158092075,5.0,36.0,0.447130525245998,3.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,8.245960664339666e-06,0.0,0.0,1.0
48.0,14.0,99.0,2.5384615384615383,5.044890637714614,39.0,185.0,4.743589743589744,83.0,2.128205128205128,14.0,130.0,46.0,4.131404177298204,4.0625,4.0625,32.0,3.0,14.0,0.1975311100778924,4.0,7.0,0.4434326853526599,4.0,45.0,0.3884811315724607,3.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,12.0,159.0,3.613636363636364,5.986972368519608,44.0,281.0,6.386363636363637,96.0,2.1818181818181817,11.0,185.0,55.0,4.684511910780813,5.78125,5.78125,32.0,4.0,49.0,0.2632884410024179,4.0,27.0,0.4025018831690627,0.0,21.0,0.5216017678874901,3.0,88.0,0.2366053093858045,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,12.0,193.0,3.86,6.954454599710966,50.0,376.0,7.52,95.0,1.9,12.0,218.0,33.0,5.686827113707765,6.411764705882353,6.411764705882353,34.0,1.0,24.0,0.576861899578992,8.0,80.0,0.3889388513207084,0.0,2.0,0.6635578046539354,3.0,112.0,0.3697969232152953,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,15.0,182.0,3.4339622641509435,5.94062782533679,53.0,459.0,8.660377358490566,83.0,1.5660377358490567,15.0,248.0,30.0,3.4358585792954472,7.75,7.75,32.0,3.0,40.0,0.2783740349461143,12.0,161.0,0.2701942856389149,0.0,0.0,0.547967443060084,0.0,44.0,0.3039694496624058,0.0,0.0,1.0,0.0,3.0,0.5910092719808168,0.0,0.0,1.0,0.0,0.0,1.0
80.0,11.0,124.0,2.339622641509434,6.635884227751696,53.0,514.0,9.69811320754717,55.0,1.0377358490566038,11.0,205.0,0.0,4.569075622386261,7.068965517241379,7.068965517241379,29.0,1.0,24.0,0.1295406392536598,9.0,175.0,0.3813537276193036,1.0,6.0,0.517704892265483,0.0,0.0,0.5792326922135124,0.0,0.0,1.0,0.0,0.0,0.9320619067813974,0.0,0.0,1.0,0.0,0.0,1.0
