step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,6.059450829855631,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.707124268543368,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.668379203168305,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.17753053721629,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9638615801616975,0,0.0,0.9679691154604665,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3715855080535766,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7692710609249883,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.653135761430203,19,0.0,0.0,0.0,0.0,0,0.0,0.0,12.080896414691939,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8070609913018708,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9152273951544312,0,0.0,1.0,0,0.0,1.0
40.0,4,1.0,0.030303030303030304,10.579955047312218,33,1.0,0.030303030303030304,1.0,0.030303030303030304,2,1.0,1.0,5.800770316549918,0.125,0.125,8,1,0.0,0.0,0,0.0,1.0,0,0.0,0.4893474461068403,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8488180296510481,0,0.0,0.4112458126667483,0,0.0,0.1002376622794065,0,0.0,1.0,1,1.0,0.002982554407048795,0,0.0,1.0,0,0.0,0.4710247657929915
48.0,1,1.0,0.027777777777777776,11.827650827539346,36,5.0,0.1388888888888889,4.0,0.1111111111111111,1,1.0,0.0,9.188004819002144,0.07142857142857142,0.07142857142857142,14,0,0.0,0.41109121632248913,0,0.0,1.0,0,0.0,0.24382806057804599,0,0.0,0.45199849828749833,0,0.0,0.7477817275912126,0,0.0,0.7335027140447535,0,0.0,0.2656100988652312,1,1.0,0.005081951950077243,0,0.0,1.0,0,0.0,0.9572001884009275,0,0.0,1.0,0,0.0,0.6309932249902181
56.0,3,11.0,0.2558139534883721,10.733896186200482,43,24.0,0.5581395348837209,19.0,0.4418604651162791,2,3.0,2.0,9.545307729514938,0.3333333333333333,0.3333333333333333,9,0,0.0,0.8914386813548618,0,0.0,0.9694125020348692,0,0.0,0.3374722970106147,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9208824802161775,0,0.0,1.0,0,0.0,0.5625319340140387,0,0.0,1.0,0,0.0,0.8839503831580918,1,3.0,0.0
64.0,2,3.0,0.06382978723404255,12.024779777236564,47,33.0,0.7021276595744681,9.0,0.19148936170212766,2,6.0,3.0,10.375989013817172,0.375,0.375,16,0,0.0,1.0,0,0.0,0.9663719194033294,0,0.0,0.9746057824133242,0,0.0,1.0,0,0.0,0.4589371141574997,0,0.0,0.9632890035787796,0,3.0,0.6898153757022856,0,0.0,1.0,1,2.0,0.01743658519684567,0,0.0,0.9463737947987447,0,0.0,1.0,1,1.0,0.47153587742577174
72.0,1,0.0,0.0,11.643116219760973,49,44.0,0.8979591836734694,11.0,0.22448979591836735,1,13.0,7.0,11.900657325601482,1.0,1.0,13,0,0.0,0.7108110500960242,0,0.0,0.7583534118048214,0,10.0,0.41021869887411516,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9241941266726938,0,3.0,0.9966805569475541,0,0.0,1.0,0,0.0,0.9599996509314077,1,0.0,0.4309033574318555,0,0.0,1.0,0,0.0,0.9694113168285972
80.0,4,4.0,0.07142857142857142,11.546956255276443,56,40.0,0.7142857142857143,0.0,0.0,4,5.0,0.0,9.577032816689709,0.29411764705882354,0.29411764705882354,17,0,0.0,1.0,0,0.0,0.5961488761893105,1,0.0,0.05931821078248831,0,0.0,0.7960526478919164,0,0.0,1.0,0,0.0,0.931160615874391,1,1.0,0.0011061015674542517,0,1.0,0.9994641829377698,1,2.0,0.4885809578751272,0,0.0,0.7923261864025839,0,0.0,1.0,1,1.0,0.42358190985251426
