step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.32681171013431887
16.0,0,0.0,0.0,8.017034282029307,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.96958059854878,0.0,0.0,3,0,0.0,1.0,0,0.0,0.5441151954828871,0,0.0,0.9594212207408197
24.0,1,0.0,0.0,8.40157945284859,17,0.0,0.0,0.0,0.0,0,0.0,0.0,5.957537269423502,0.0,0.0,3,0,0.0,0.09166500145497665,0,0.0,0.9368409172931258,0,0.0,1.0
32.0,2,0.0,0.0,8.897025708004614,24,0.0,0.0,0.0,0.0,0,0.0,0.0,6.597195025063873,0.0,0.0,3,0,0.0,0.44825236085965625,0,0.0,0.7206093170193927,0,0.0,1.0
40.0,6,17.0,0.5666666666666667,8.20509311887081,30,18.0,0.6,18.0,0.6,4,9.0,9.0,4.640862475518486,1.0,1.0,9,3,9.0,0.18621288652893417,1,0.0,0.6358847536388273,0,0.0,0.7297166648345194
48.0,7,32.0,0.8648648648648649,8.344692165406721,37,52.0,1.4054054054054055,34.0,0.918918918918919,3,3.0,0.0,7.71241077391096,0.25,0.25,12,1,3.0,0.44503110168154675,1,0.0,0.6648421908040557,1,0.0,0.0
56.0,10,74.0,1.8048780487804879,8.550010003212012,41,94.0,2.292682926829268,42.0,1.024390243902439,5,19.0,16.0,4.815303193480647,1.9,1.9,10,3,10.0,0.2987514777848837,2,9.0,0.4455154963206932,0,0.0,0.9416679143289868
64.0,10,130.0,2.6530612244897958,9.187504401871621,49,165.0,3.36734693877551,71.0,1.4489795918367347,3,30.0,11.0,7.124672880774083,3.0,3.0,10,2,24.0,0.4238306150900809,1,6.0,0.7006066380262777,0,0.0,0.7748081457062014
72.0,9,132.0,2.357142857142857,8.326357811830322,56,222.0,3.9642857142857144,57.0,1.0178571428571428,2,13.0,0.0,7.935061040838202,1.0,1.0,13,0,1.0,0.6876370147790798,1,12.0,0.520280291393357,1,0.0,0.5531319946779406
80.0,10,172.0,3.1272727272727274,7.80218761969183,55,255.0,4.636363636363637,33.0,0.6,4,33.0,20.0,5.7898600648556755,2.2,2.2,15,1,5.0,0.25031692688543,3,19.0,0.33208055488869,0,9.0,0.8257958849029909
88.0,7,218.0,3.824561403508772,8.66981894944447,57,331.0,5.807017543859649,76.0,1.3333333333333333,0,3.0,0.0,9.290833328204029,0.3333333333333333,0.3333333333333333,9,0,0.0,0.0228609636606462,0,3.0,0.8747923371532366,0,0.0,0.6313730030206396
96.0,9,95.0,1.7272727272727273,8.693971721967202,55,367.0,6.672727272727273,36.0,0.6545454545454545,3,17.0,14.0,7.414262260823318,1.2142857142857142,1.2142857142857142,14,0,4.0,0.7657518815340923,3,13.0,0.4035099410328935,0,0.0,0.43555220810717926
104.0,11,138.0,2.3793103448275863,8.855602618853299,58,430.0,7.413793103448276,63.0,1.0862068965517242,2,64.0,47.0,6.670002601876913,7.111111111111111,7.111111111111111,9,2,61.0,0.2351271449064971,0,0.0,0.7269108201755762,0,3.0,0.9270537914859951
112.0,16,214.0,3.5081967213114753,7.927223641211061,61,500.0,8.19672131147541,70.0,1.1475409836065573,4,67.0,3.0,5.848166680757985,5.153846153846154,5.153846153846154,13,2,9.0,0.5226504099766843,1,52.0,0.37241212393996204,1,6.0,0.3261164571228911
120.0,5,67.0,1.0806451612903225,8.0014750819415,62,499.0,8.048387096774194,0.0,0.0,1,67.0,0.0,8.375221118042763,3.7222222222222223,3.7222222222222223,18,0,6.0,0.6069964544586918,1,59.0,0.5765859538414805,0,2.0,0.7416166505358049
128.0,8,78.0,1.278688524590164,8.07493938868697,61,482.0,7.901639344262295,0.0,0.0,2,108.0,41.0,5.882015065862734,9.0,9.0,12,2,10.0,0.3122054661338201,0,98.0,0.5840585779030754,0,0.0,0.5538362079282423
136.0,10,133.0,1.9850746268656716,8.200146218615513,67,487.0,7.268656716417911,5.0,0.07462686567164178,1,55.0,0.0,7.927169405423568,3.9285714285714284,3.9285714285714284,14,0,46.0,0.6405941453670009,1,9.0,0.5971318662387943,0,0.0,0.3534364090459447
144.0,13,227.0,3.661290322580645,8.147405085036516,62,514.0,8.290322580645162,27.0,0.43548387096774194,3,33.0,0.0,6.211306946922202,2.357142857142857,2.357142857142857,14,0,0.0,0.6224411194485254,3,33.0,0.33924831166867153,0,0.0,0.7729236699074304
152.0,11,35.0,0.5555555555555556,6.908740474091126,63,498.0,7.904761904761905,0.0,0.0,2,9.0,0.0,6.931172164051359,0.5294117647058824,0.5294117647058824,17,1,6.0,0.4534201778725752,0,3.0,0.5990952703509393,1,0.0,0.5142501950803774
160.0,16,72.0,1.0434782608695652,7.956988560115184,69,588.0,8.521739130434783,90.0,1.3043478260869565,4,53.0,44.0,6.719157859451319,3.7857142857142856,3.7857142857142856,14,4,53.0,0.35006160697499206,0,0.0,0.5295316856141168,0,0.0,0.9125824818324331
168.0,9,93.0,1.3285714285714285,8.016993192379976,70,651.0,9.3,63.0,0.9,3,119.0,66.0,6.344416535363196,9.153846153846153,9.153846153846153,13,1,61.0,0.5709305056414122,1,58.0,0.44126198125200217,1,0.0,0.6147570953933982
176.0,13,129.0,1.9545454545454546,8.006874489025618,66,595.0,9.015151515151516,0.0,0.0,3,48.0,0.0,7.842461236321251,3.0,3.0,16,3,16.0,0.22321624565028222,0,29.0,0.9294034225905443,0,3.0,0.9071178958831241
184.0,9,170.0,2.65625,8.72233751165715,64,608.0,9.5,13.0,0.203125,0,23.0,0.0,8.108949182214646,1.6428571428571428,1.6428571428571428,14,0,6.0,0.4438748464416279,0,14.0,0.8259687249189419,0,3.0,0.7400482603300568
192.0,12,231.0,4.2,7.784220818345069,55,548.0,9.963636363636363,0.0,0.0,4,86.0,63.0,5.538961636114254,5.733333333333333,5.733333333333333,15,2,55.0,0.4490838350374058,2,28.0,0.48679730340338234,0,3.0,0.11888322354851791
200.0,9,144.0,2.88,7.038334520368562,50,547.0,10.94,0.0,0.0,3,111.0,25.0,5.915553181631677,11.1,11.1,10,1,51.0,0.403300451979254,2,60.0,0.45374396738910705,0,0.0,1.0
208.0,11,61.0,1.1730769230769231,7.2960255120500745,52,606.0,11.653846153846153,59.0,1.1346153846153846,5,165.0,54.0,5.999081667670455,13.75,13.75,12,1,42.0,0.6989431346346314,4,123.0,0.27688219143333903,0,0.0,0.7862367171895602
216.0,8,77.0,1.4528301886792452,8.295103006254095,53,602.0,11.358490566037736,0.0,0.0,2,100.0,0.0,8.105223401824203,8.333333333333334,8.333333333333334,12,1,41.0,0.4870634552222195,1,59.0,0.6463790482654387,0,0.0,0.8607931611233824
224.0,10,92.0,1.6140350877192982,7.569807867590904,57,554.0,9.719298245614034,0.0,0.0,6,80.0,0.0,3.5883621333952442,5.0,5.0,16,2,8.0,0.26724532986501964,4,72.0,0.2549845538425277,0,0.0,0.8908295128175895
232.0,14,149.0,2.6140350877192984,7.760127487525444,57,539.0,9.456140350877194,0.0,0.0,2,18.0,0.0,7.204452098978929,1.3846153846153846,1.3846153846153846,13,1,11.0,0.4764807573087962,1,7.0,0.7092490137933416,0,0.0,0.41229437006262015
240.0,16,229.0,4.089285714285714,7.504213537263895,56,578.0,10.321428571428571,39.0,0.6964285714285714,5,51.0,33.0,5.575467973758262,4.25,4.25,12,1,6.0,0.4605867457799766,4,45.0,0.40330461500015474,0,0.0,0.9729233833308334
248.0,19,307.0,5.482142857142857,6.940725988018792,56,676.0,12.071428571428571,98.0,1.75,6,55.0,4.0,5.44549354498454,4.230769230769231,4.230769230769231,13,2,7.0,0.4570010174557588,4,48.0,0.3380311501657809,0,0.0,1.0
256.0,10,122.0,2.259259259259259,7.982954660871237,54,677.0,12.537037037037036,1.0,0.018518518518518517,3,62.0,7.0,6.653384657718391,5.636363636363637,5.636363636363637,11,0,0.0,0.06480115175488224,3,62.0,0.5466379909107228,0,0.0,0.9361069385552687
264.0,8,26.0,0.5,7.2484348658727935,52,652.0,12.538461538461538,0.0,0.0,3,134.0,72.0,6.660019669047567,14.88888888888889,14.88888888888889,9,1,6.0,0.6324204178667042,2,128.0,0.4507345342148282,0,0.0,1.0
272.0,14,66.0,1.1578947368421053,7.042502200982189,57,713.0,12.508771929824562,61.0,1.0701754385964912,5,153.0,19.0,7.21547273409608,7.65,7.65,20,1,87.0,0.6904449994914648,4,56.0,0.4270512899493317,0,10.0,0.6596488579299965
280.0,5,21.0,0.3387096774193548,8.038499932153158,62,721.0,11.629032258064516,8.0,0.12903225806451613,2,148.0,0.0,7.1986474595639365,9.25,9.25,16,2,13.0,0.002738018448476878,0,128.0,0.5721851754387748,0,7.0,0.7814383945080102
288.0,12,64.0,1.103448275862069,7.416446285914741,58,703.0,12.120689655172415,0.0,0.0,4,109.0,0.0,5.3364160874978515,7.266666666666667,7.266666666666667,15,1,49.0,0.5660287412245625,3,57.0,0.38637967212143504,0,3.0,0.5857215158509113
296.0,9,68.0,1.1929824561403508,7.677008861295326,57,748.0,13.12280701754386,45.0,0.7894736842105263,4,62.0,0.0,6.050646686310901,5.166666666666667,5.166666666666667,12,2,5.0,0.433502106431564,2,54.0,0.5121055424730525,0,3.0,0.9628183549143288
304.0,14,87.0,1.5535714285714286,8.015642396055899,56,762.0,13.607142857142858,14.0,0.25,3,101.0,39.0,7.275846675882539,6.733333333333333,6.733333333333333,15,1,7.0,0.5045136599761413,2,87.0,0.4824299817074441,0,7.0,0.9785131022472378
312.0,15,140.0,2.3728813559322033,7.359397547296212,59,738.0,12.508474576271187,0.0,0.0,6,80.0,0.0,6.331739241734459,4.0,4.0,20,4,8.0,0.15599114777267986,2,68.0,0.5217486811405128,0,4.0,0.6741179585901351
320.0,15,209.0,3.3174603174603177,7.471027322054346,63,751.0,11.920634920634921,13.0,0.20634920634920634,6,132.0,52.0,5.5677844108224175,6.0,6.0,22,1,50.0,0.30431685949640563,5,81.0,0.2572826258126392,0,1.0,0.773345378542693
328.0,6,118.0,1.903225806451613,7.910489161944518,62,757.0,12.209677419354838,6.0,0.0967741935483871,1,17.0,0.0,7.755824862796861,1.4166666666666667,1.4166666666666667,12,1,11.0,0.623836892885985,0,3.0,0.3663150001730549,0,3.0,0.7438013830818134
336.0,11,128.0,2.1333333333333333,7.770043030135492,60,705.0,11.75,0.0,0.0,2,79.0,62.0,6.3610438639422195,7.181818181818182,7.181818181818182,11,0,1.0,0.08522558335091235,1,67.0,0.33793424133356414,1,11.0,0.7144755502565895
344.0,10,193.0,3.2711864406779663,8.783341151534524,59,719.0,12.186440677966102,14.0,0.23728813559322035,1,30.0,0.0,10.17353375622354,1.875,1.875,16,0,10.0,0.8224681781584546,1,6.0,0.7349221923877944,0,14.0,0.7850347881968489
352.0,8,164.0,2.8275862068965516,8.216931769445283,58,724.0,12.482758620689655,5.0,0.08620689655172414,2,27.0,0.0,4.956751635532546,2.25,2.25,12,1,14.0,0.2369474853204769,0,4.0,0.6626822940887778,1,9.0,0.3070320957484241
360.0,8,54.0,0.9,7.503543847551273,60,723.0,12.05,0.0,0.0,2,210.0,183.0,6.954270158243008,12.352941176470589,12.352941176470589,17,0,64.0,0.5173504042051018,1,146.0,0.5897890344291986,1,0.0,0.6178657107206329
368.0,14,142.0,2.2903225806451615,8.078171386251752,62,801.0,12.919354838709678,78.0,1.2580645161290323,2,76.0,0.0,8.61523648432701,4.75,4.75,16,0,62.0,0.7127352132752225,2,14.0,0.5659417870521679,0,0.0,0.6990026675875106
376.0,16,168.0,2.7096774193548385,7.372879832866321,62,745.0,12.016129032258064,0.0,0.0,7,90.0,14.0,4.305052179585408,5.294117647058823,5.294117647058823,17,3,75.0,0.18876988988801738,4,15.0,0.27566363926236936,0,0.0,0.6654458257302747
384.0,14,198.0,3.142857142857143,7.8782486917565056,63,842.0,13.365079365079366,97.0,1.5396825396825398,1,75.0,0.0,9.028024118213422,5.769230769230769,5.769230769230769,13,1,75.0,0.4040279123269677,0,0.0,0.9573468159402343,0,0.0,0.7873363507640179
392.0,19,169.0,2.449275362318841,6.978369206301852,69,917.0,13.289855072463768,75.0,1.0869565217391304,4,50.0,0.0,6.21190139890495,4.166666666666667,4.166666666666667,12,1,0.0,0.47711443152137056,2,46.0,0.3136278418380888,1,4.0,0.44429187346786686
400.0,14,213.0,2.9583333333333335,8.164567170340561,72,1022.0,14.194444444444445,105.0,1.4583333333333333,2,95.0,45.0,9.375244201048904,8.636363636363637,8.636363636363637,11,1,6.0,0.4732263468786802,1,86.0,0.7211282248652324,0,3.0,0.9711738081149576
408.0,16,286.0,3.7142857142857144,7.640018551851534,77,1021.0,13.25974025974026,0.0,0.0,4,261.0,166.0,7.306393929759694,12.428571428571429,12.428571428571429,21,1,13.0,0.5417523240688357,3,245.0,0.48979261860820783,0,3.0,0.8565736529979289
416.0,16,296.0,4.054794520547945,6.272571774249202,73,980.0,13.424657534246576,0.0,0.0,5,143.0,0.0,4.571897967223717,7.526315789473684,7.526315789473684,19,2,18.0,0.4200473038743278,2,118.0,0.22965493876895968,1,7.0,0.39296890362764303
424.0,16,76.0,1.0410958904109588,6.8002452607444965,73,1019.0,13.95890410958904,39.0,0.5342465753424658,5,161.0,18.0,4.4748714362103925,10.733333333333333,10.733333333333333,15,2,142.0,0.3307289721879775,2,17.0,0.3283091123618001,1,2.0,0.0017232471798169953
432.0,17,144.0,2.0869565217391304,7.205639759184674,69,944.0,13.681159420289855,0.0,0.0,3,76.0,0.0,7.707757518252366,7.6,7.6,10,2,12.0,0.4608538070468161,1,64.0,0.6958818014704815,0,0.0,0.9907535175728982
440.0,19,213.0,2.8026315789473686,6.972668809721108,76,1060.0,13.947368421052632,116.0,1.5263157894736843,5,114.0,38.0,5.6980493163118835,6.0,6.0,19,3,16.0,0.3706513577174391,2,98.0,0.49734751752962747,0,0.0,0.963099708346902
448.0,18,279.0,3.875,6.992759722559277,72,1089.0,15.125,29.0,0.4027777777777778,3,47.0,0.0,7.578723660574834,2.9375,2.9375,16,2,17.0,0.39429780082570137,1,10.0,0.6829230842650489,0,20.0,0.680458707182176
456.0,18,261.0,3.5753424657534247,6.595351273375684,73,1213.0,16.616438356164384,124.0,1.6986301369863013,6,108.0,61.0,4.999681695100936,6.0,6.0,18,2,34.0,0.4597471255673379,3,74.0,0.3753537500648252,1,0.0,0.46067431435869916
464.0,11,246.0,3.671641791044776,7.568830521500422,67,1103.0,16.46268656716418,0.0,0.0,3,324.0,216.0,6.58083994299239,20.25,20.25,16,2,151.0,0.45058849083969843,1,173.0,0.46274279924211575,0,0.0,0.9346317065649088
472.0,23,356.0,5.393939393939394,6.650951952624413,66,1193.0,18.075757575757574,90.0,1.3636363636363635,7,303.0,0.0,4.094325015317566,23.307692307692307,23.307692307692307,13,4,165.0,0.19123240504538777,3,138.0,0.37702530486127733,0,0.0,0.9404560434303754
480.0,19,403.0,6.2,6.605660510678181,65,1225.0,18.846153846153847,32.0,0.49230769230769234,5,293.0,0.0,6.395816269843216,18.3125,18.3125,16,2,103.0,0.42325607179427605,2,184.0,0.5822898736613501,1,6.0,0.35996905563940435
488.0,11,111.0,1.608695652173913,7.3446451071356345,69,1268.0,18.3768115942029,43.0,0.6231884057971014,4,119.0,0.0,5.835902659849657,8.5,8.5,14,3,101.0,0.21069282285344595,0,4.0,0.7445590352576025,1,14.0,0.5670675924367263
496.0,11,106.0,1.5820895522388059,7.477452977747737,67,1167.0,17.417910447761194,0.0,0.0,4,217.0,98.0,6.890557871405828,16.692307692307693,16.692307692307693,13,2,91.0,0.3018979338426088,1,107.0,0.6342714228949352,1,19.0,0.6045522591100194
504.0,10,73.0,1.140625,8.063064949662348,64,1064.0,16.625,0.0,0.0,3,145.0,0.0,6.0852168323453695,16.11111111111111,16.11111111111111,9,1,140.0,0.45036427954800506,1,3.0,0.4558042008897131,1,2.0,0.4714910810757906
512.0,14,155.0,2.8181818181818183,7.99135211646376,55,927.0,16.854545454545455,0.0,0.0,1,86.0,0.0,8.920318105145082,7.166666666666667,7.166666666666667,12,0,68.0,0.6368763869074044,1,18.0,0.7221258473638263,0,0.0,0.8791250608213201
