step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.32681171013431887
16.0,0,0.0,0.0,8.017034282029307,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.96958059854878,0.0,0.0,3,0,0.0,1.0,0,0.0,0.5441151954828871,0,0.0,0.9594212207408197
24.0,2,3.0,0.17647058823529413,7.728622915845934,17,3.0,0.17647058823529413,3.0,0.17647058823529413,1,3.0,3.0,4.46831734926635,0.75,0.75,4,0,0.0,0.09166500145497665,0,0.0,0.9368409172931258,1,3.0,5.2070617932042884e-05
32.0,2,0.0,0.0,9.308852195081885,24,6.0,0.25,3.0,0.125,0,0.0,0.0,6.597195025063873,0.0,0.0,3,0,0.0,0.44825236085965625,0,0.0,0.7206093170193927,0,0.0,1.0
40.0,6,17.0,0.5666666666666667,8.203086093624595,30,23.0,0.7666666666666667,17.0,0.5666666666666667,4,9.0,9.0,4.856820451792213,1.0,1.0,9,3,9.0,0.18621288652893417,1,0.0,0.6325334929308827,0,0.0,0.7365684717279597
48.0,7,32.0,0.8648648648648649,8.487030769036892,37,57.0,1.5405405405405406,34.0,0.918918918918919,3,3.0,0.0,8.21369352737709,0.2727272727272727,0.2727272727272727,11,1,3.0,0.44503110168154675,1,0.0,0.7377092824810607,1,0.0,0.0
56.0,10,69.0,1.6829268292682926,8.572861028529148,41,94.0,2.292682926829268,37.0,0.9024390243902439,4,11.0,8.0,4.3498786081336105,1.375,1.375,8,3,9.0,0.28365503361051003,1,2.0,0.44252229353287714,0,0.0,0.9229935211051468
64.0,10,114.0,2.326530612244898,9.032699822510063,49,161.0,3.2857142857142856,67.0,1.3673469387755102,3,13.0,2.0,8.337003902729228,1.0833333333333333,1.0833333333333333,12,3,13.0,0.4608318593479404,0,0.0,0.8626667219439996,0,0.0,0.9342789983516497
72.0,13,143.0,2.6481481481481484,7.893267659262461,54,217.0,4.018518518518518,56.0,1.037037037037037,6,43.0,30.0,6.649899335708092,2.6875,2.6875,16,4,13.0,0.18684255249938814,1,30.0,0.6337905419950921,1,0.0,0.6289755654055502
80.0,9,74.0,1.3214285714285714,8.2350752598044,56,288.0,5.142857142857143,71.0,1.2678571428571428,5,76.0,33.0,6.048947504953988,4.75,4.75,16,2,50.0,0.43421005106419797,3,26.0,0.43046006475114745,0,0.0,0.7165739766231476
88.0,12,103.0,1.7758620689655173,7.301723017801309,58,355.0,6.120689655172414,67.0,1.1551724137931034,7,37.0,0.0,3.577442608918363,2.3125,2.3125,16,3,16.0,0.04690902958259291,4,21.0,0.2355209915399854,0,0.0,0.6521004168071862
96.0,11,128.0,2.1333333333333333,8.154194451596634,60,436.0,7.266666666666667,81.0,1.35,2,40.0,3.0,7.591410711457226,2.857142857142857,2.857142857142857,14,0,0.0,0.7550347634693432,1,38.0,0.5167954342709339,1,2.0,0.426641765207761
104.0,14,156.0,2.7857142857142856,8.099811147878336,56,414.0,7.392857142857143,0.0,0.0,5,71.0,31.0,6.353076599685297,4.733333333333333,4.733333333333333,15,2,13.0,0.4082758296265847,2,48.0,0.45396131344231794,1,10.0,0.6501050636046529
112.0,15,201.0,3.0923076923076924,7.761822921169271,65,505.0,7.769230769230769,91.0,1.4,3,33.0,0.0,7.082554334248453,2.2,2.2,15,1,22.0,0.35487426473578904,1,7.0,0.6156976016325201,1,4.0,0.4812761332442425
120.0,9,79.0,1.234375,8.013752488966556,64,510.0,7.96875,5.0,0.078125,5,29.0,0.0,6.096870572198632,1.6111111111111112,1.6111111111111112,18,0,7.0,0.617842762155728,5,22.0,0.35004813050006567,0,0.0,0.5980714153640612
128.0,9,105.0,1.5909090909090908,7.556588988943997,66,531.0,8.045454545454545,21.0,0.3181818181818182,3,121.0,92.0,6.513154775439872,8.642857142857142,8.642857142857142,14,2,19.0,0.37210573294121146,1,102.0,0.5513224492457545,0,0.0,0.7073362337636581
136.0,16,158.0,2.257142857142857,7.307420022826946,70,586.0,8.371428571428572,55.0,0.7857142857142857,4,85.0,0.0,6.964910999251041,4.722222222222222,4.722222222222222,18,2,70.0,0.5900147161343646,2,15.0,0.4697975349363116,0,0.0,0.3188616135182477
144.0,14,203.0,2.985294117647059,8.069074639126438,68,652.0,9.588235294117647,66.0,0.9705882352941176,2,12.0,0.0,7.392227792141637,1.2,1.2,10,0,3.0,0.6163843316679452,2,9.0,0.4831587057261253,0,0.0,0.890152296855515
152.0,17,212.0,3.0285714285714285,7.5176167414152895,70,703.0,10.042857142857143,51.0,0.7285714285714285,3,79.0,67.0,6.665067544205702,4.647058823529412,4.647058823529412,17,1,33.0,0.4022517443265389,1,46.0,0.5181044860989196,1,0.0,0.5301708802007742
160.0,17,169.0,2.315068493150685,7.985584060880331,73,721.0,9.876712328767123,18.0,0.2465753424657534,4,107.0,28.0,6.803313209965599,5.944444444444445,5.944444444444445,18,3,66.0,0.42618438840702044,1,41.0,0.5020506216675225,0,0.0,0.9019835598891619
168.0,16,139.0,1.9305555555555556,7.717675699628296,72,737.0,10.23611111111111,16.0,0.2222222222222222,7,163.0,56.0,5.296675922652751,7.761904761904762,7.761904761904762,21,2,94.0,0.5192467432260747,4,66.0,0.2339835797034669,1,3.0,0.6455599009329831
176.0,18,223.0,3.328358208955224,7.136919567868179,67,775.0,11.567164179104477,38.0,0.5671641791044776,6,142.0,0.0,6.1627287675334905,6.761904761904762,6.761904761904762,21,3,23.0,0.2633930892437937,1,115.0,0.5743313979431562,2,4.0,0.6138919805364758
184.0,8,101.0,1.578125,7.948375413594304,64,732.0,11.4375,0.0,0.0,4,92.0,0.0,6.989757518619487,4.842105263157895,4.842105263157895,19,0,17.0,0.5900688933125746,3,66.0,0.5690220332710905,1,9.0,0.6607280702036546
192.0,9,111.0,1.9137931034482758,8.571155989056711,58,704.0,12.137931034482758,0.0,0.0,6,128.0,36.0,4.965762274582994,8.533333333333333,8.533333333333333,15,2,8.0,0.3733135450362477,2,71.0,0.38074078260403077,2,49.0,0.32603403036680884
200.0,9,132.0,2.490566037735849,7.794706090808948,53,593.0,11.18867924528302,0.0,0.0,2,52.0,0.0,4.7717628249583806,6.5,6.5,8,0,0.0,0.4940387763180592,2,52.0,0.3057246805939581,0,0.0,1.0
208.0,7,35.0,0.6862745098039216,8.139590565304378,51,511.0,10.019607843137255,0.0,0.0,4,86.0,34.0,6.7374108314026655,7.166666666666667,7.166666666666667,12,1,6.0,0.6263499817105415,3,77.0,0.33037158176967546,0,3.0,0.8923182762785851
216.0,8,35.0,0.6363636363636364,8.323765443913315,55,538.0,9.781818181818181,27.0,0.4909090909090909,1,115.0,29.0,8.417233036993458,7.666666666666667,7.666666666666667,15,0,45.0,0.761655453680273,1,70.0,0.5062755639290906,0,0.0,0.8058576458234673
224.0,14,66.0,1.11864406779661,7.183843053994367,59,534.0,9.05084745762712,0.0,0.0,8,47.0,0.0,2.8473087079459503,2.764705882352941,2.764705882352941,17,2,3.0,0.13846745597996246,6,44.0,0.2209710290339331,0,0.0,0.8135355895777168
232.0,13,106.0,1.8275862068965518,7.415897578705149,58,533.0,9.189655172413794,0.0,0.0,2,22.0,0.0,7.24363153537241,1.6923076923076923,1.6923076923076923,13,1,5.0,0.643195852610877,1,17.0,0.6131250853981198,0,0.0,0.5158851095644367
240.0,12,108.0,1.894736842105263,8.37184141441103,57,526.0,9.228070175438596,0.0,0.0,7,69.0,47.0,3.473927773880956,6.2727272727272725,6.2727272727272725,11,1,5.0,5.358897495366993e-05,6,64.0,0.33029892673306227,0,0.0,1.0
248.0,15,147.0,2.672727272727273,7.549515052187578,55,571.0,10.381818181818181,45.0,0.8181818181818182,6,89.0,20.0,5.5366372602915375,6.357142857142857,6.357142857142857,14,1,7.0,0.5209742419251947,5,79.0,0.31064537709872175,0,3.0,0.9727203957543363
256.0,11,118.0,2.269230769230769,7.777655693212059,52,567.0,10.903846153846153,0.0,0.0,6,107.0,18.0,5.7339200313046,7.133333333333334,7.133333333333334,15,1,5.0,0.3466925866747914,5,101.0,0.40452967277245266,0,1.0,0.9667016770299105
264.0,9,14.0,0.2692307692307692,6.813385589025983,52,608.0,11.692307692307692,41.0,0.7884615384615384,5,120.0,13.0,4.860340376953802,10.0,10.0,12,2,7.0,0.472769900555583,3,113.0,0.29172185455568467,0,0.0,1.0
272.0,11,43.0,0.7543859649122807,7.337414617477572,57,606.0,10.631578947368421,0.0,0.0,6,100.0,0.0,6.094782704158647,4.761904761904762,4.761904761904762,21,1,34.0,0.7117817133844364,5,56.0,0.2915918906202961,0,10.0,0.6496986794043181
280.0,8,79.0,1.2741935483870968,8.091798771948554,62,582.0,9.387096774193548,0.0,0.0,1,94.0,0.0,7.335515425053767,5.222222222222222,5.222222222222222,18,1,20.0,0.32621760296651936,0,67.0,0.48153534508122586,0,7.0,0.8400403610391622
288.0,8,40.0,0.7142857142857143,7.604772158416956,56,562.0,10.035714285714286,0.0,0.0,5,127.0,33.0,4.659874745848837,8.466666666666667,8.466666666666667,15,1,4.0,0.5676893461348503,4,120.0,0.33097942183608314,0,3.0,0.5051417342870198
296.0,11,45.0,0.8181818181818182,7.714731891084911,55,589.0,10.709090909090909,27.0,0.4909090909090909,4,155.0,28.0,6.447657127380401,10.333333333333334,10.333333333333334,15,2,25.0,0.5704216185878757,2,127.0,0.459256173434681,0,3.0,0.9032275116081515
304.0,14,112.0,2.074074074074074,7.758140307986367,54,583.0,10.796296296296296,0.0,0.0,6,168.0,13.0,5.8749242216921544,10.5,10.5,16,2,28.0,0.47655065972906224,4,138.0,0.3330870580314882,0,2.0,0.8295599802578197
312.0,13,163.0,2.8596491228070176,7.38577274101967,57,652.0,11.43859649122807,69.0,1.2105263157894737,6,23.0,0.0,5.7611981353546335,1.2105263157894737,1.2105263157894737,19,4,9.0,0.16110627721177181,2,11.0,0.49951275341065915,0,3.0,0.6418399963640647
320.0,15,240.0,4.0,6.953338920464895,60,647.0,10.783333333333333,0.0,0.0,6,38.0,15.0,5.028496551814198,1.9,1.9,20,1,10.0,0.18513708558626824,5,28.0,0.2384097004000275,0,0.0,0.8399448330231117
328.0,11,299.0,4.901639344262295,7.789635287872844,61,716.0,11.737704918032787,69.0,1.1311475409836065,1,17.0,0.0,7.378156808347159,1.3076923076923077,1.3076923076923077,13,1,7.0,0.5788144381193854,0,3.0,0.3011085076427487,0,7.0,0.7400169952050809
336.0,16,397.0,6.728813559322034,7.307093318337685,59,795.0,13.474576271186441,79.0,1.3389830508474576,3,30.0,13.0,5.320387368855837,3.3333333333333335,3.3333333333333335,9,2,9.0,0.002111647958376847,1,9.0,0.11755345302078417,0,12.0,0.6872090383840005
344.0,12,456.0,7.862068965517241,8.259445927652132,58,793.0,13.672413793103448,0.0,0.0,1,19.0,0.0,9.71691745033274,1.4615384615384615,1.4615384615384615,13,0,6.0,0.7880335814763751,1,3.0,0.6658785639344981,0,10.0,0.9714543351265662
352.0,11,179.0,3.1403508771929824,7.175948845484553,57,752.0,13.192982456140351,0.0,0.0,2,18.0,0.0,4.730299348780716,1.3846153846153846,1.3846153846153846,13,0,3.0,0.5166352682960221,2,8.0,0.3240744523899976,0,7.0,0.5256595978342339
360.0,13,76.0,1.2881355932203389,6.917241905907269,59,811.0,13.745762711864407,59.0,1.0,4,86.0,68.0,6.529587352491708,5.733333333333333,5.733333333333333,15,2,7.0,0.10091756473937157,1,79.0,0.6725841352994908,1,0.0,0.5205685237012551
368.0,10,94.0,1.540983606557377,8.20796681718706,61,868.0,14.229508196721312,57.0,0.9344262295081968,3,210.0,124.0,7.555414279286792,13.125,13.125,16,0,12.0,0.8410920824335795,3,198.0,0.3859129166103059,0,0.0,0.6275583042770241
376.0,10,139.0,2.2063492063492065,8.470840976877172,63,887.0,14.079365079365079,19.0,0.30158730158730157,1,352.0,142.0,7.339815828980779,22.0,22.0,16,1,100.0,0.35178585630124193,0,166.0,0.5435294100936633,0,86.0,0.7600273473743739
384.0,19,252.0,3.9375,7.462279150275373,64,995.0,15.546875,108.0,1.6875,5,196.0,0.0,6.22782795326359,13.066666666666666,13.066666666666666,15,1,10.0,0.49580882060874937,4,186.0,0.43960819812059504,0,0.0,0.7066651079272259
392.0,20,311.0,4.442857142857143,6.793260446887285,70,1122.0,16.02857142857143,127.0,1.8142857142857143,4,21.0,0.0,7.667469690492451,1.2352941176470589,1.2352941176470589,17,1,8.0,0.5219602679146195,2,7.0,0.37976490864643764,1,6.0,0.621008802688456
400.0,17,335.0,4.589041095890411,7.919123652565111,73,1051.0,14.397260273972602,0.0,0.0,7,186.0,165.0,5.855964209137452,12.4,12.4,15,3,26.0,0.36521397179509596,4,157.0,0.47749426931023403,0,3.0,0.8995640594414672
408.0,16,412.0,5.282051282051282,7.869931823192443,78,1004.0,12.871794871794872,0.0,0.0,2,83.0,0.0,6.676177256233241,5.928571428571429,5.928571428571429,14,1,72.0,0.33520413672419863,0,6.0,0.6844881207648214,1,5.0,0.5549243828649018
416.0,15,135.0,1.7532467532467533,7.721660137961218,77,1048.0,13.61038961038961,44.0,0.5714285714285714,8,154.0,71.0,5.543799347381343,8.555555555555555,8.555555555555555,18,3,136.0,0.382931239925475,5,15.0,0.24171937057105758,0,3.0,0.935699134587157
424.0,17,201.0,2.7916666666666665,7.654183383067732,72,1004.0,13.944444444444445,0.0,0.0,4,167.0,13.0,7.134620949888333,12.846153846153847,12.846153846153847,13,3,42.0,0.3271440929750641,0,124.0,0.7369682485052631,1,1.0,0.0034897800311679663
432.0,14,138.0,1.8904109589041096,7.453842435114283,73,989.0,13.547945205479452,0.0,0.0,5,436.0,269.0,5.824861142005385,20.761904761904763,20.761904761904763,21,1,73.0,0.48136491525986136,4,363.0,0.35750039113748394,0,0.0,0.9332973101282507
440.0,15,167.0,2.287671232876712,7.050227245341524,73,983.0,13.465753424657533,0.0,0.0,3,222.0,0.0,6.881577828227137,13.058823529411764,13.058823529411764,17,3,43.0,0.30638603993242836,0,179.0,0.7040798266609145,0,0.0,0.9919653310927926
448.0,19,219.0,3.0416666666666665,6.72377231429896,72,1090.0,15.13888888888889,107.0,1.4861111111111112,9,300.0,78.0,3.7917859289101044,15.0,15.0,20,3,53.0,0.2778613748131744,6,247.0,0.3508605302426868,0,0.0,0.20650481240116703
456.0,16,273.0,4.136363636363637,6.1596092218624925,66,922.0,13.969696969696969,0.0,0.0,4,155.0,0.0,5.420728138556664,9.117647058823529,9.117647058823529,17,2,18.0,0.0807221294556017,1,137.0,0.5007254660470948,1,0.0,0.6330828856622314
464.0,9,82.0,1.2615384615384615,7.552731134235969,65,991.0,15.246153846153845,69.0,1.0615384615384615,4,75.0,0.0,5.269364009609859,5.769230769230769,5.769230769230769,13,1,16.0,0.5226313804249558,3,59.0,0.21847141847467147,0,0.0,0.955125401837996
472.0,18,124.0,2.0,6.691328331565064,62,993.0,16.016129032258064,2.0,0.03225806451612903,9,244.0,169.0,4.943917065376399,14.352941176470589,14.352941176470589,17,3,95.0,0.4777466150148196,6,149.0,0.2105223535075925,0,0.0,0.9846178394885043
480.0,13,153.0,2.353846153846154,7.0541254153376,65,1045.0,16.076923076923077,52.0,0.8,4,225.0,0.0,6.194876144468556,11.25,11.25,20,3,102.0,0.43369124694394384,0,116.0,0.507023306457273,1,7.0,0.48579475929907834
488.0,15,242.0,3.611940298507463,7.258319748011983,67,1053.0,15.716417910447761,8.0,0.11940298507462686,3,52.0,0.0,5.945833822438619,3.25,3.25,16,2,31.0,0.22058486429891613,0,10.0,0.8149087156729005,1,11.0,0.4982770078121376
496.0,20,350.0,5.147058823529412,7.433261648012215,68,1065.0,15.661764705882353,12.0,0.17647058823529413,7,90.0,38.0,4.333092691579188,6.428571428571429,6.428571428571429,14,4,50.0,0.1435781271596342,2,21.0,0.33902018568753267,1,19.0,0.6151366976418307
504.0,13,268.0,4.123076923076923,7.675432958564906,65,1031.0,15.861538461538462,0.0,0.0,2,45.0,0.0,7.579791765739117,4.090909090909091,4.090909090909091,11,0,40.0,0.6156521330118974,1,3.0,0.45483389481226555,1,2.0,0.6101897730938296
