step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,12.802473036036828,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,7.344821678157147,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.199907935422741,0.0,0.0,3,0,0.0,0.5593871836512104
24.0,1,0.0,0.0,8.112777616348154,9,1.0,0.1111111111111111,1.0,0.1111111111111111,0,0.0,0.0,9.821785893191906,0.0,0.0,4,0,0.0,0.699974796103055
32.0,2,6.0,0.42857142857142855,8.510936787214984,14,7.0,0.5,6.0,0.42857142857142855,2,6.0,6.0,6.197310122289085,1.0,1.0,6,2,6.0,0.4442821494274995
40.0,0,0.0,0.0,9.290318759570033,17,13.0,0.7647058823529411,6.0,0.35294117647058826,0,0.0,0.0,7.612234484823157,0.0,0.0,8,0,0.0,0.5683869613680964
48.0,2,6.0,0.3157894736842105,7.451142581879258,19,19.0,1.0,6.0,0.3157894736842105,2,6.0,6.0,5.134813358698954,0.46153846153846156,0.46153846153846156,13,2,6.0,0.3731200636480835
56.0,0,0.0,0.0,7.980281400876959,19,18.0,0.9473684210526315,0.0,0.0,0,0.0,0.0,8.84495093384751,0.0,0.0,10,0,0.0,0.637366217480947
64.0,1,3.0,0.13043478260869565,9.143053029562205,23,33.0,1.434782608695652,15.0,0.6521739130434783,1,6.0,6.0,6.157777588220823,0.6666666666666666,0.6666666666666666,9,1,6.0,0.42797720515625315
72.0,0,0.0,0.0,9.935071453297443,23,18.0,0.782608695652174,0.0,0.0,0,0.0,0.0,8.302730385965244,0.0,0.0,10,0,0.0,0.5770392242587998
80.0,7,19.0,0.8636363636363636,5.928825730037179,22,21.0,0.9545454545454546,3.0,0.13636363636363635,7,19.0,19.0,3.596472906519928,1.1875,1.1875,16,7,19.0,0.26204634417736256
88.0,4,3.0,0.13043478260869565,5.728859608874497,23,51.0,2.217391304347826,30.0,1.3043478260869565,4,22.0,3.0,3.3319791137775985,1.6923076923076923,1.6923076923076923,13,4,22.0,0.2504570934531613
96.0,7,23.0,0.92,5.370927301800973,25,75.0,3.0,24.0,0.96,5,31.0,9.0,1.993568210961458,2.066666666666667,2.066666666666667,15,5,31.0,0.1411021079090687
104.0,2,2.0,0.08695652173913043,4.845682999825355,23,89.0,3.869565217391304,14.0,0.6086956521739131,2,29.0,0.0,2.595945291372702,1.7058823529411764,1.7058823529411764,17,2,29.0,0.1809157321209818
112.0,2,2.0,0.09523809523809523,4.018932635550261,21,50.0,2.380952380952381,0.0,0.0,1,21.0,0.0,2.5310759451471077,1.3125,1.3125,16,1,21.0,0.18428369309163437
120.0,0,0.0,0.0,5.8894903139833605,25,45.0,1.8,0.0,0.0,0,15.0,0.0,4.018698207695753,0.8333333333333334,0.8333333333333334,18,0,15.0,0.28991025616699007
128.0,3,9.0,0.36,4.114273000431427,25,47.0,1.88,2.0,0.08,3,26.0,11.0,2.311642754679348,1.5294117647058822,1.5294117647058822,17,3,26.0,0.15896185807112975
136.0,4,7.0,0.2692307692307692,4.417646956287178,26,66.0,2.5384615384615383,19.0,0.7307692307692307,3,33.0,7.0,2.0390272841710897,2.0625,2.0625,16,3,33.0,0.14513526183538245
144.0,10,24.0,0.8,4.0650645024305385,30,104.0,3.466666666666667,38.0,1.2666666666666666,8,65.0,32.0,1.039560605906719,3.823529411764706,3.823529411764706,17,8,65.0,0.07727530278072466
152.0,3,6.0,0.2,4.339465728502047,30,129.0,4.3,25.0,0.8333333333333334,3,99.0,34.0,1.8338260510512463,4.95,4.95,20,3,99.0,0.13140339700996648
160.0,4,11.0,0.3793103448275862,4.846530178468574,29,145.0,5.0,16.0,0.5517241379310345,4,103.0,4.0,2.6153312682565404,4.904761904761905,4.904761904761905,21,4,103.0,0.18540899724680387
