step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.3869326770060795,7,0.0,0.0,0.0,0.0,0,0.0,0.0,4.717787023020598,0.0,0.0,3,0,0.0,0.14045370173383975,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09457687165012449,0,0.0,0.7426707556725586,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,8.820715353166637,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.837388889806293,0.0,0.0,6,0,0.0,0.9953043994778618,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5135965533363366,0,0.0,1.0,0,0.0,0.8654535373541532,0,0.0,0.8631400921071329,0,0.0,0.20924113614675252,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6767439016666722,0,0.0,1.0
24.0,0,0.0,0.0,10.6131148168165,19,1.0,0.05263157894736842,1.0,0.05263157894736842,0,0.0,0.0,12.693461171683817,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8454507072909079,0,0.0,1.0,0,0.0,0.9809199724467623,0,0.0,0.7443179178887017,0,0.0,0.7110742731543404,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,10.59705613310205,26,1.0,0.038461538461538464,0.0,0.0,0,0.0,0.0,11.3386828011263,0.0,0.0,9,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9537447968108208,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48106974959670096,0,0.0,0.5616677358946659,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,1,0.0,0.0,11.589183559170177,31,1.0,0.03225806451612903,0.0,0.0,0,0.0,0.0,12.360116189263088,0.0,0.0,9,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9103972535559448,0,0.0,1.0,0,0.0,0.670435619346697,0,0.0,0.7028943803956909,0,0.0,0.9560240463011871,0,0.0,1.0,0,0.0,0.9394767666793266,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,5,6.0,0.15,8.419552562817534,40,7.0,0.175,6.0,0.15,4,7.0,7.0,7.154964041925654,0.3888888888888889,0.3888888888888889,18,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.010866992213813388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8913614431250979,0,0.0,0.25190500006139294,3,6.0,0.06980764549303879,0,0.0,0.7342082209119737,0,0.0,0.5522307265230356,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9293622866708138,0,0.0,1.0,0,0.0,1.0,0,1.0,0.929506486439943
56.0,1,2.0,0.046511627906976744,9.726105776280843,43,34.0,0.7906976744186046,27.0,0.627906976744186,0,18.0,11.0,9.146955652909856,1.3846153846153846,1.3846153846153846,13,0,0.0,1.0,0,0.0,0.9788708168331799,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9162504825600736,0,0.0,1.0,0,3.0,0.7361980617264801,0,0.0,0.29987732712486553,0,14.0,0.1957190327406613,0,0.0,0.4556954705247936,0,0.0,0.9485523317238582,0,0.0,0.53927450686878,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.904040442243276
64.0,2,0.0,0.0,11.249381465998473,53,34.0,0.6415094339622641,0.0,0.0,1,9.0,0.0,12.946260547007528,0.6923076923076923,0.6923076923076923,13,1,2.0,0.5555755983375922,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,7.0,0.9023056176599147,0,0.0,0.9928976960235979,0,0.0,0.5150709676787313,0,0.0,0.8517262679389115,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,2,3.0,0.04838709677419355,10.819486733006872,62,37.0,0.5967741935483871,3.0,0.04838709677419355,2,6.0,0.0,11.62682370102646,0.3157894736842105,0.3157894736842105,19,0,1.0,0.8253961553149919,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.7820971194593225,0,0.0,1.0,0,0.0,0.895618695005489,2,3.0,0.11156057895842103,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9570733821055507,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,6,7.0,0.09090909090909091,9.384650856858121,77,56.0,0.7272727272727273,19.0,0.24675324675324675,3,12.0,6.0,6.93812830564647,0.631578947368421,0.631578947368421,19,2,7.0,0.16092764297221576,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9832617573442902,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.31779034311227133,0,0.0,0.6607652837527924,0,0.0,1.0,0,0.0,0.4331953447646882,0,5.0,0.3032714749994041,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.954627932621441,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
