step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.8414620557916335,6,0.0,0.0,0.0,0.0,0,0.0,0.0,8.229666145675584,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7280654883808646,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10730709603575521,0,0.0,0.759687030551544
16.0,2,0.0,0.0,6.469981510573744,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.106253466644124,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2531978124946372,0,0.0,1.0,0,0.0,0.5325277949142841,0,0.0,0.713179853291349,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.424577222548725,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,7.899935977019974,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7043684432079206,0,0.0,1.0,0,0.0,0.8131628670185044,0,0.0,0.6701449815462724,1,3.0,0.22717777917092358
32.0,0,0.0,0.0,8.955272906883632,33,10.0,0.30303030303030304,7.0,0.21212121212121213,0,0.0,0.0,11.399595245634783,0.0,0.0,11,0,0.0,1.0,0,0.0,0.9425125878982891,0,0.0,0.9337495022571257,0,0.0,1.0,0,0.0,0.9562224264028049,0,0.0,0.6403614595889698,0,0.0,0.5397704821841475
40.0,2,2.0,0.04878048780487805,9.215939176195851,41,10.0,0.24390243902439024,0.0,0.0,1,2.0,2.0,8.622952414561814,0.11764705882352941,0.11764705882352941,17,0,0.0,1.0,0,0.0,0.6162770130661257,0,0.0,1.0,1,2.0,0.2670171831724902,0,0.0,1.0,0,0.0,0.7602731822000915,0,0.0,0.8777438993782529
48.0,9,29.0,0.6304347826086957,8.207314446463133,46,46.0,1.0,36.0,0.782608695652174,5,26.0,24.0,7.874974231704283,1.3,1.3,20,1,2.0,0.002381328518242941,1,6.0,0.6126371586617946,0,0.0,1.0,0,1.0,0.7325795771518999,0,4.0,0.8736690049701702,2,12.0,0.4804538468083331,1,1.0,0.0038895962876500908
56.0,8,24.0,0.5,7.680695900560288,48,82.0,1.7083333333333333,36.0,0.75,7,30.0,4.0,5.818973475295606,1.3043478260869565,1.3043478260869565,23,0,0.0,1.0,0,0.0,0.9677134748175407,0,0.0,1.0,0,0.0,0.8034603293607643,0,6.0,0.756425236627387,5,19.0,0.1617923719869474,2,5.0,0.07891279958546008
64.0,7,27.0,0.4909090909090909,8.138121584965292,55,139.0,2.5272727272727273,57.0,1.0363636363636364,5,41.0,11.0,7.573310689343734,1.8636363636363635,1.8636363636363635,22,0,0.0,1.0,0,3.0,0.9507675372693765,0,2.0,0.9311181500285949,2,7.0,0.3288214373546788,1,10.0,0.6967149869826755,1,19.0,0.4573180311992054,1,0.0,0.20272816298046922
72.0,9,18.0,0.2857142857142857,7.502838831917811,63,180.0,2.857142857142857,41.0,0.6507936507936508,7,57.0,16.0,5.586801922548312,1.9,1.9,30,0,0.0,0.9867152880160587,0,0.0,1.0,1,4.0,0.34084847661696216,3,5.0,0.25173227972898227,0,16.0,0.7528502860149546,3,29.0,0.21933515158757846,0,3.0,0.5835413893716758
80.0,8,15.0,0.23809523809523808,6.809330592089465,63,188.0,2.984126984126984,8.0,0.12698412698412698,6,59.0,2.0,4.728167864030961,2.269230769230769,2.269230769230769,26,0,0.0,1.0,0,0.0,0.947542513599315,0,0.0,0.5035893271118579,0,0.0,1.0,3,21.0,0.2764824806469122,2,33.0,0.28968463625748614,1,5.0,0.37176507032501926
88.0,6,23.0,0.36507936507936506,7.954324212020377,63,227.0,3.6031746031746033,39.0,0.6190476190476191,3,31.0,0.0,7.129149291644823,1.1923076923076923,1.1923076923076923,26,0,0.0,1.0,0,0.0,0.8405134076088672,0,0.0,0.6200539800128486,0,0.0,1.0,0,8.0,0.6816899568602605,3,23.0,0.21229481570018321,0,0.0,0.6461270661210039
96.0,16,106.0,1.8596491228070176,5.781805652678807,57,283.0,4.964912280701754,56.0,0.9824561403508771,12,98.0,67.0,4.243176046749393,3.161290322580645,3.161290322580645,31,0,0.0,1.0,2,9.0,0.47080428617376857,0,0.0,0.4984412962669263,0,3.0,0.1837994915202556,2,15.0,0.3127392320533703,8,71.0,0.1757518549130063,0,0.0,0.9018994491436383
104.0,17,211.0,3.7017543859649122,6.389204166084058,57,411.0,7.2105263157894735,128.0,2.245614035087719,14,178.0,80.0,4.032496620203062,5.5625,5.5625,32,0,0.0,0.9498324855168677,0,0.0,0.9572134940899018,1,13.0,0.20999950308377843,1,6.0,0.3496562184985343,0,4.0,0.4194686253403905,12,155.0,0.06546802082249123,0,0.0,1.0
112.0,16,323.0,5.666666666666667,6.02736885217523,57,495.0,8.68421052631579,84.0,1.4736842105263157,12,261.0,83.0,4.253117033064865,8.7,8.7,30,0,0.0,1.0,0,0.0,0.9352569084769867,0,0.0,0.011981182099128492,0,0.0,1.0,0,10.0,0.4026407805041616,12,251.0,0.06720316162001569,0,0.0,1.0
120.0,18,240.0,4.0,4.967863240043816,60,588.0,9.8,93.0,1.55,15,375.0,114.0,2.5598787738687587,11.71875,11.71875,32,2,10.0,0.19622512864734223,0,0.0,1.0,0,0.0,0.934599562799931,0,0.0,1.0,3,23.0,0.26849135821591613,10,342.0,0.033092039171011056,0,0.0,1.0
128.0,17,150.0,2.3076923076923075,5.847492854970244,65,593.0,9.123076923076923,5.0,0.07692307692307693,15,449.0,74.0,3.6492517782756977,11.81578947368421,11.81578947368421,38,0,0.0,0.8493670064045349,0,4.0,0.956338109921561,0,0.0,0.537014317392149,0,0.0,0.6995777396184347,8,76.0,0.11371193667680622,7,369.0,0.0653470654649039,0,0.0,1.0
136.0,23,220.0,3.142857142857143,5.907342487359969,70,746.0,10.657142857142857,153.0,2.1857142857142855,21,549.0,100.0,1.9983634587033696,14.076923076923077,14.076923076923077,39,1,2.0,0.0001956995239198869,0,5.0,0.3479013275344411,0,0.0,0.3634633782622149,1,6.0,0.48358742171204977,13,159.0,0.012519999763298189,6,377.0,0.1436967308101516,0,0.0,1.0
144.0,23,174.0,2.25974025974026,5.556638881665126,77,909.0,11.805194805194805,163.0,2.116883116883117,20,649.0,100.0,2.5741953580112056,15.829268292682928,15.829268292682928,41,2,6.0,0.35824233782012815,0,0.0,0.9533286466858075,1,0.0,0.0,1,13.0,0.0,9,212.0,0.1346313067867044,7,418.0,0.15296333290626435,0,0.0,1.0
152.0,19,123.0,1.5375,6.593305550675858,80,920.0,11.5,11.0,0.1375,19,766.0,117.0,3.874615280473955,15.958333333333334,15.958333333333334,48,1,1.0,0.4106949060859057,1,2.0,0.3689122298866788,0,0.0,0.931318369411351,1,21.0,0.0,6,254.0,0.26722776495441025,10,488.0,0.2054921701207375,0,0.0,0.41249557991509755
160.0,21,115.0,1.3372093023255813,5.3214901154831,86,1038.0,12.069767441860465,118.0,1.372093023255814,20,731.0,0.0,3.2149477409546363,14.62,14.62,50,1,8.0,0.010952524072296752,1,16.0,0.736519849067691,1,2.0,0.3284959619486613,0,0.0,0.9863085026509715,4,227.0,0.1938527683249781,12,476.0,0.10178579743976227,1,2.0,0.0012158193501184255
168.0,24,124.0,1.4588235294117646,5.419552616798371,85,1095.0,12.882352941176471,57.0,0.6705882352941176,22,747.0,16.0,2.3306754559726706,15.244897959183673,15.244897959183673,49,0,0.0,0.9661800410879937,4,30.0,0.15801355411032275,0,0.0,0.25728187161409927,3,7.0,0.2114050574003062,8,263.0,0.040711130702137034,7,447.0,0.1615582969502428,0,0.0,1.0
176.0,15,72.0,0.8888888888888888,6.376401947840573,81,1077.0,13.296296296296296,0.0,0.0,15,727.0,0.0,2.311953271182778,17.30952380952381,17.30952380952381,42,2,5.0,0.5002525784879784,0,0.0,1.0,0,0.0,0.9886865000441762,1,12.0,0.0,4,238.0,0.13964704916365037,8,472.0,0.057046615126859414,0,0.0,0.1868788626759588
184.0,11,73.0,0.9864864864864865,7.264091290975389,74,1066.0,14.405405405405405,0.0,0.0,11,633.0,0.0,4.195935322376045,16.23076923076923,16.23076923076923,39,1,3.0,2.942081421353418e-05,0,8.0,0.9663398151398125,0,0.0,0.9608036167921222,1,1.0,0.4791477875570704,2,150.0,0.17849911144058905,7,471.0,0.06099913008966048,0,0.0,0.4845007914767802
192.0,10,27.0,0.40298507462686567,7.044683821042733,67,999.0,14.91044776119403,0.0,0.0,10,573.0,0.0,2.9986268834896332,17.90625,17.90625,32,1,6.0,2.185428326006279e-05,0,0.0,1.0,0,10.0,0.8090565797287074,1,5.0,0.0,3,126.0,0.1795382915226589,5,426.0,0.09684735649852798,0,0.0,1.0
200.0,8,35.0,0.5645161290322581,6.167347731559454,62,863.0,13.919354838709678,0.0,0.0,6,558.0,0.0,3.346047141876876,15.08108108108108,15.08108108108108,37,0,0.0,0.6514082841989234,0,0.0,0.9536071474466912,0,4.0,0.5077873272884447,1,16.0,0.3422005852534573,2,85.0,0.07266758901838073,3,453.0,0.10924331469815873,0,0.0,1.0
208.0,12,63.0,0.9264705882352942,6.833624940031713,68,911.0,13.397058823529411,48.0,0.7058823529411765,7,489.0,0.0,3.9247887113300006,15.774193548387096,15.774193548387096,31,1,6.0,0.0,0,3.0,0.957836515657231,1,11.0,0.49692440357133105,1,21.0,0.6397808037476905,0,32.0,0.23718893820861314,4,416.0,0.14369501942659618,0,0.0,1.0
216.0,12,96.0,1.411764705882353,6.754473782072792,68,874.0,12.852941176470589,0.0,0.0,9,453.0,0.0,3.151751373948191,13.727272727272727,13.727272727272727,33,1,14.0,0.0,1,4.0,0.47376223913604376,3,23.0,0.4118015454529273,2,32.0,0.07497000821429091,0,26.0,0.18006948218196556,2,354.0,0.15907698292606068,0,0.0,1.0
224.0,9,74.0,1.1044776119402986,7.423764405802003,67,790.0,11.791044776119403,0.0,0.0,8,443.0,0.0,4.359635444393777,14.290322580645162,14.290322580645162,31,0,0.0,0.013909957018676318,1,16.0,0.65976065963818,1,20.0,0.5665443695421658,1,37.0,0.0,0,13.0,0.48370033955941744,5,357.0,0.1415792578881506,0,0.0,0.9868537993609012
232.0,13,51.0,0.796875,6.521648993505124,64,753.0,11.765625,0.0,0.0,9,352.0,0.0,4.206927398902183,11.0,11.0,32,0,0.0,0.5438779553252503,0,3.0,0.6375491709037147,1,10.0,0.5374950374803227,0,0.0,0.008386060674048465,3,24.0,0.28648165183692254,5,315.0,0.13217961387868804,0,0.0,0.972013168645153
240.0,14,93.0,1.4761904761904763,6.041428724726453,63,729.0,11.571428571428571,0.0,0.0,10,417.0,65.0,3.4155715780496982,13.9,13.9,30,0,0.0,0.9664102065075248,1,5.0,0.7095035213378854,0,0.0,0.03202835021158632,0,0.0,1.0,4,59.0,0.2959576757019174,5,353.0,0.09226769897941238,0,0.0,1.0
248.0,14,137.0,2.2459016393442623,6.544743133425255,61,757.0,12.40983606557377,28.0,0.45901639344262296,10,352.0,0.0,3.9167891550268155,11.733333333333333,11.733333333333333,30,0,0.0,0.9518804046621027,0,3.0,0.7712545144700385,0,0.0,1.0,0,0.0,1.0,4,86.0,0.3712393000437106,6,260.0,0.14077491052209132,0,3.0,0.9822447772630759
256.0,10,113.0,1.9824561403508771,6.140314591407747,57,670.0,11.75438596491228,0.0,0.0,10,412.0,60.0,2.8536067309233513,13.733333333333333,13.733333333333333,30,0,0.0,0.651341228974537,1,7.0,0.4857847805557183,0,0.0,0.6055911015349564,0,0.0,1.0,6,126.0,0.09178531061893028,3,279.0,0.12818990332057434,0,0.0,1.0
264.0,10,22.0,0.3728813559322034,6.188264001106498,59,709.0,12.016949152542374,39.0,0.6610169491525424,10,367.0,0.0,4.130536133541712,10.485714285714286,10.485714285714286,35,2,6.0,0.436878157218443,0,3.0,0.9551718510988222,0,0.0,0.642680596678232,1,2.0,0.4490294878883512,3,150.0,0.24661716417076243,4,206.0,0.17462274732946886,0,0.0,1.0
272.0,11,36.0,0.6101694915254238,6.196809495320324,59,585.0,9.915254237288135,0.0,0.0,11,343.0,0.0,3.353271104359734,10.393939393939394,10.393939393939394,33,3,10.0,0.34784771485897104,0,0.0,0.7470304682739384,0,0.0,0.9602264233404275,0,3.0,0.4930720663337599,1,98.0,0.2061523333887701,6,228.0,0.07996399747640866,1,4.0,0.32887820086855996
280.0,11,31.0,0.5344827586206896,6.190871602057346,58,610.0,10.517241379310345,25.0,0.43103448275862066,10,222.0,0.0,3.556813142479222,6.9375,6.9375,32,2,16.0,0.08780932659545478,1,7.0,0.5692336420106138,1,1.0,0.48908453707461585,2,12.0,0.011237546237549105,0,18.0,0.7647982033067119,4,168.0,0.10377494751308411,0,0.0,1.0
