step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.5271325762683965,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.7783295390646625,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6235615783241708,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13953203627788602,0,0.0,0.8742142960351978
16.0,2,0.0,0.0,6.4234607514272914,14,0.0,0.0,0.0,0.0,1,0.0,0.0,6.853848510940432,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2672722839729049,0,0.0,1.0,0,0.0,0.4896600592134784,0,0.0,0.6565986186983697,0,0.0,0.919308903228328
24.0,2,0.0,0.0,8.619181440446528,23,0.0,0.0,0.0,0.0,0,0.0,0.0,9.613297163229868,0.0,0.0,8,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6858883934029837,0,0.0,1.0,0,0.0,0.8395883286412419,0,0.0,0.7482798861946577,0,0.0,1.0
32.0,1,0.0,0.0,9.254080769015115,32,0.0,0.0,0.0,0.0,0,0.0,0.0,11.321787557419013,0.0,0.0,14,0,0.0,1.0,0,0.0,0.9385151136585779,0,0.0,0.9405823230104555,0,0.0,1.0,0,0.0,0.8599480008765317,0,0.0,0.7149387997222593,0,0.0,0.834303643781798
40.0,4,8.0,0.1951219512195122,9.011847836512036,41,10.0,0.24390243902439024,10.0,0.24390243902439024,4,8.0,8.0,7.875944618066441,0.4444444444444444,0.4444444444444444,18,0,0.0,1.0,1,1.0,0.3848968559387047,0,0.0,1.0,0,0.0,0.8532898686504684,0,0.0,0.727310728748589,3,7.0,0.5201733532604752,0,0.0,0.7646886843375789
48.0,6,12.0,0.2553191489361702,8.112011076080073,47,34.0,0.723404255319149,24.0,0.5106382978723404,4,19.0,11.0,8.061414164468088,0.9047619047619048,0.9047619047619048,21,1,1.0,0.4518717072451077,0,0.0,0.9441340785752977,0,0.0,1.0,0,1.0,0.9317195138581631,0,3.0,0.8608991687895741,1,5.0,0.5042841352485982,2,9.0,0.21575546978197735
56.0,3,15.0,0.3191489361702128,9.315007940371785,47,62.0,1.3191489361702127,28.0,0.5957446808510638,2,24.0,5.0,8.764287232167751,1.0,1.0,24,0,0.0,1.0,0,0.0,0.9376162770003871,0,0.0,1.0,0,0.0,0.545211638009142,0,6.0,0.9306237742082938,2,15.0,0.38642003544030956,0,3.0,0.6021769421764845
64.0,9,32.0,0.6037735849056604,7.491325532278312,53,88.0,1.6603773584905661,26.0,0.49056603773584906,9,55.0,31.0,6.045284795340369,1.8333333333333333,1.8333333333333333,30,0,0.0,1.0,0,3.0,0.971014395770908,0,3.0,0.9026095715460644,2,10.0,0.41637130830977426,0,3.0,0.8118269642280571,3,25.0,0.3641888340341559,4,11.0,0.16334819319983332
72.0,7,16.0,0.26229508196721313,7.465643687615759,61,148.0,2.4262295081967213,60.0,0.9836065573770492,4,49.0,0.0,6.700431085355063,1.96,1.96,25,0,0.0,0.9597741865852178,0,0.0,1.0,1,5.0,0.46943165388718144,0,0.0,0.4556234814616241,0,5.0,0.7874920318176111,3,38.0,0.17071272863607467,0,1.0,0.6626969214958515
80.0,11,58.0,0.9206349206349206,7.991754997891697,63,200.0,3.1746031746031744,52.0,0.8253968253968254,6,63.0,14.0,6.032066410415661,3.15,3.15,20,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4893786940962165,1,5.0,8.259116267221354e-06,0,5.0,0.8567875035279228,3,43.0,0.3426400407018285,2,10.0,0.3036767456325497
