step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.5271325762683965,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.7783295390646625,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6235615783241708,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13953203627788602,0,0.0,0.8742142960351978
16.0,2,0.0,0.0,6.4234607514272914,14,0.0,0.0,0.0,0.0,1,0.0,0.0,6.853848510940432,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,1,0.0,0.2672722839729049,0,0.0,1.0,0,0.0,0.4896600592134784,0,0.0,0.6565986186983697,0,0.0,0.919308903228328
24.0,2,0.0,0.0,8.619181440446528,23,0.0,0.0,0.0,0.0,0,0.0,0.0,9.613297163229868,0.0,0.0,8,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6858883934029837,0,0.0,1.0,0,0.0,0.8395883286412419,0,0.0,0.7482798861946577,0,0.0,1.0
32.0,1,0.0,0.0,9.254080769015115,32,0.0,0.0,0.0,0.0,0,0.0,0.0,11.321787557419013,0.0,0.0,14,0,0.0,1.0,0,0.0,0.9385151136585779,0,0.0,0.9405823230104555,0,0.0,1.0,0,0.0,0.8599480008765317,0,0.0,0.7149387997222593,0,0.0,0.834303643781798
40.0,4,12.0,0.2926829268292683,8.8749520413855,41,13.0,0.3170731707317073,13.0,0.3170731707317073,3,5.0,5.0,8.655505992619286,0.2631578947368421,0.2631578947368421,19,0,0.0,1.0,1,1.0,0.3848968559387047,1,3.0,0.001100192850151381,1,1.0,0.4915120554793555,0,0.0,0.8554099505878998,0,0.0,0.6692651628786102,0,0.0,0.8098384664667673
48.0,9,18.0,0.375,7.304072476000928,48,45.0,0.9375,32.0,0.6666666666666666,7,22.0,17.0,5.671317167854653,1.0476190476190477,1.0476190476190477,21,1,1.0,0.45554348288468594,0,0.0,0.9355747522349201,0,0.0,1.0,0,1.0,0.7330207506335271,0,3.0,0.7592772003838477,4,11.0,0.3084562313289182,2,6.0,0.056047190746076364
56.0,3,3.0,0.06666666666666667,8.74057250060112,45,74.0,1.6444444444444444,29.0,0.6444444444444445,2,13.0,0.0,7.4372048597399045,0.8125,0.8125,16,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.5371522199577545,0,7.0,0.9059477406605583,1,4.0,0.29127431901479267,0,0.0,0.4316129644744596
64.0,7,16.0,0.2962962962962963,8.543890320932977,54,98.0,1.8148148148148149,24.0,0.4444444444444444,6,48.0,35.0,8.161992962486215,1.8461538461538463,1.8461538461538463,26,0,0.0,1.0,0,6.0,0.955138140902281,0,3.0,0.927303688923519,2,5.0,0.31220750420254445,0,12.0,0.8147687280083986,3,22.0,0.4243796518556597,1,0.0,0.3929009028401436
72.0,5,6.0,0.1,7.739947987466953,60,120.0,2.0,22.0,0.36666666666666664,3,22.0,0.0,7.319237839831208,0.88,0.88,25,0,0.0,0.9668833356567578,0,0.0,1.0,1,5.0,0.4618004455995955,0,0.0,0.9354426459453364,0,0.0,0.7166617562056137,0,13.0,0.4114842508396211,2,4.0,0.4249264930894709
80.0,7,22.0,0.3793103448275862,8.384541931862534,58,138.0,2.3793103448275863,18.0,0.3103448275862069,3,17.0,0.0,7.833643162994683,0.7391304347826086,0.7391304347826086,23,0,0.0,0.931564893951853,0,0.0,0.9805851797345131,0,0.0,0.4358203949228426,0,0.0,1.0,0,4.0,0.8766387869000137,2,10.0,0.37101588541443514,1,3.0,0.543994872133359
