step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.696823426932617,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.47888904829298,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9414201854774159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.988337542915469,19,0.0,0.0,0.0,0.0,0,0.0,0.0,14.43306614024959,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9396848514153127,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.711650603945932,33,0.0,0.0,0.0,0.0,1,0.0,0.0,7.609502228433622,0.0,0.0,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.2443016894767972,0,0.0,0.4825178975384113,0,0.0,1.0,0,0.0,0.9576402677538706,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,0,0.0,0.0,13.036791200923814,36,0.0,0.0,0.0,0.0,0,0.0,0.0,8.997293774074194,0.0,0.0,8,0,0.0,0.012472992572931859,0,0.0,1.0,0,0.0,0.34046956187044786,0,0.0,1.0,0,0.0,0.7193267769505143,0,0.0,0.9187987052086054,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,4,7.0,0.16279069767441862,10.491514748335065,43,10.0,0.23255813953488372,10.0,0.23255813953488372,4,7.0,7.0,5.988261651297796,0.5384615384615384,0.5384615384615384,13,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.38279575243047514,0,0.0,1.0,0,0.0,1.0,2,3.0,0.23503405350346138,0,0.0,0.9743085771156877,1,1.0,0.3673859720304471,0,0.0,0.14101929787476333,0,0.0,0.01393129881108266,0,0.0,0.7332316151169976,1,3.0,0.00011059486547520564
64.0,2,2.0,0.044444444444444446,11.21572078710413,45,24.0,0.5333333333333333,14.0,0.3111111111111111,2,8.0,1.0,9.497359882628173,0.5333333333333333,0.5333333333333333,15,0,0.0,1.0,0,0.0,0.91964611224449,0,0.0,0.9128493915648007,0,0.0,1.0,0,0.0,0.26273542930449095,1,4.0,0.5112263481016623,0,0.0,0.9129442444327251,0,0.0,1.0,0,3.0,0.3347944352417312,0,0.0,0.9648595144726577,0,0.0,1.0,1,1.0,0.017803758109778918
72.0,2,2.0,0.041666666666666664,10.862187574274925,48,37.0,0.7708333333333334,13.0,0.2708333333333333,2,8.0,0.0,7.510234476423193,0.6153846153846154,0.6153846153846154,13,0,0.0,0.01808758955675312,0,0.0,0.6835938854841933,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9490932674681871,0,3.0,0.6603132485616199,0,0.0,1.0,0,3.0,0.019285154271224885,1,0.0,0.4677641994426913,0,0.0,1.0,1,2.0,0.002457278261488584
80.0,2,2.0,0.03636363636363636,11.630446847927432,55,46.0,0.8363636363636363,9.0,0.16363636363636364,2,4.0,0.0,9.84054511269157,0.2222222222222222,0.2222222222222222,18,0,0.0,1.0,0,0.0,0.6237301276461513,1,0.0,0.06565823421404719,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9640062033581507,1,4.0,0.4083077762622847,0,0.0,1.0,0,0.0,0.6692682652925356,0,0.0,0.7238886020288741,0,0.0,1.0,0,0.0,0.5386474190969825
88.0,5,17.0,0.2698412698412698,10.859327305342088,63,71.0,1.126984126984127,25.0,0.3968253968253968,4,28.0,24.0,8.725203488199872,1.2173913043478262,1.2173913043478262,23,0,0.0,0.6083614712381351,0,0.0,0.8695770421736705,0,0.0,0.4765848703756579,0,0.0,0.9483486071391937,0,0.0,1.0,0,3.0,0.5024285344519831,1,6.0,8.57543109440239e-06,0,3.0,0.23660611569109116,2,6.0,0.45438557950405756,1,7.0,0.6418645948454867,0,0.0,1.0,0,3.0,0.7041830644005587
96.0,9,30.0,0.42857142857142855,10.133791697850985,70,125.0,1.7857142857142858,54.0,0.7714285714285715,9,45.0,17.0,6.51120683211991,2.25,2.25,20,1,6.0,0.0,0,0.0,1.0,1,3.0,0.0,2,5.0,0.2883691488826735,0,0.0,1.0,1,2.0,0.45270578876701756,0,0.0,1.0,0,3.0,0.7630357034728374,2,12.0,0.3997973722679457,1,4.0,0.08524737207563221,0,0.0,0.8548147771262922,1,10.0,0.6107373412572451
104.0,6,25.0,0.3246753246753247,12.26238770482959,77,171.0,2.220779220779221,46.0,0.5974025974025974,6,37.0,0.0,8.972287329352927,1.7619047619047619,1.7619047619047619,21,1,2.0,6.575686816514199e-05,0,3.0,0.6733713533998845,1,2.0,0.40015820997603874,1,3.0,0.3672634782658197,0,0.0,1.0,0,0.0,0.5731982771214394,0,2.0,0.8065528591630107,0,0.0,1.0,1,7.0,0.6261265877208397,0,0.0,0.9751072744396558,1,3.0,0.00017154524610212219,1,15.0,0.49893301006912255
112.0,5,35.0,0.4430379746835443,11.637825876151386,79,197.0,2.4936708860759493,26.0,0.3291139240506329,5,55.0,18.0,7.708125507583837,2.75,2.75,20,0,0.0,1.0,0,1.0,0.02492693736303608,0,0.0,0.1759667775696242,0,0.0,0.6541483551614601,0,0.0,1.0,0,0.0,0.8614643585679373,0,0.0,0.9567765276772257,0,3.0,0.5228188530199558,4,26.0,0.26235107228447785,0,2.0,0.7921410214402744,0,0.0,1.0,1,23.0,0.4635025934936937
120.0,7,31.0,0.36046511627906974,11.584337844166503,86,240.0,2.7906976744186047,43.0,0.5,7,57.0,2.0,6.810846137115922,2.85,2.85,20,0,0.0,0.6428893618679515,0,0.0,0.8901972107073937,0,0.0,0.006134639230250306,0,0.0,1.0,0,0.0,1.0,0,6.0,0.47464162744129096,0,3.0,0.5329767094753299,0,0.0,1.0,5,41.0,0.2870035909521137,0,0.0,0.9825984989489154,0,0.0,1.0,2,7.0,0.30760343031602005
