step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B10_stopped,B10_accumulated_waiting_time,B10_average_speed,B11_stopped,B11_accumulated_waiting_time,B11_average_speed,B12_stopped,B12_accumulated_waiting_time,B12_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,B6_stopped,B6_accumulated_waiting_time,B6_average_speed,B7_stopped,B7_accumulated_waiting_time,B7_average_speed,B8_stopped,B8_accumulated_waiting_time,B8_average_speed,B9_stopped,B9_accumulated_waiting_time,B9_average_speed
8.0,1,0.0,0.0,5.756783934560371,4,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,6.757634963984452,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,0.0,0.0,10.696823426932617,17,0.0,0.0,0.0,0.0,0,0.0,0.0,10.47888904829298,0.0,0.0,5,0,0.0,1.0,0,0.0,0.9905703300036803,0,0.0,0.9414201854774159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3353196798256178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6896494227658329,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,12.988337542915469,19,0.0,0.0,0.0,0.0,0,0.0,0.0,14.43306614024959,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9396848514153127,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9512696924763466,0,0.0,1.0,0,0.0,1.0
40.0,3,0.0,0.0,10.711650603945932,33,0.0,0.0,0.0,0.0,1,0.0,0.0,7.609502228433622,0.0,0.0,9,1,0.0,0.0,0,0.0,1.0,0,0.0,0.2443016894767972,0,0.0,0.4825178975384113,0,0.0,1.0,0,0.0,0.9576402677538706,0,0.0,0.31832676431930657,0,0.0,0.07890634429854008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48709747590817265
48.0,0,0.0,0.0,13.428199772882488,36,0.0,0.0,0.0,0.0,0,0.0,0.0,10.255653611315848,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,0.34046956187044786,0,0.0,1.0,0,0.0,0.7193267769505143,0,0.0,0.9187987052086054,0,0.0,0.24607453920193167,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625111381039025,0,0.0,1.0,0,0.0,0.6453146544351939
56.0,4,7.0,0.16279069767441862,10.959818467539893,43,7.0,0.16279069767441862,7.0,0.16279069767441862,4,7.0,7.0,7.119617266395849,0.5384615384615384,0.5384615384615384,13,0,0.0,1.0,0,0.0,0.9306584071588214,0,0.0,0.38279575243047514,0,0.0,1.0,0,0.0,1.0,2,3.0,0.2422122317633623,0,0.0,0.9743085771156877,1,1.0,0.3673859720304471,0,0.0,0.5342613477514777,0,0.0,1.0,0,0.0,0.7201296310288275,1,3.0,0.00011059486547520564
64.0,3,6.0,0.13333333333333333,10.486248287761098,45,22.0,0.4888888888888889,15.0,0.3333333333333333,3,6.0,0.0,8.385489959647183,0.375,0.375,16,0,0.0,1.0,0,0.0,0.9867893356333333,1,4.0,0.5399956723223978,0,0.0,1.0,0,0.0,0.05946984634094772,0,0.0,0.48211427315269617,0,0.0,0.953189140317924,0,0.0,1.0,1,1.0,0.00571905104847413,0,0.0,0.9341054436924225,0,0.0,1.0,1,1.0,0.017803758109778918
72.0,3,5.0,0.10638297872340426,9.82968192064442,47,42.0,0.8936170212765957,20.0,0.425531914893617,3,11.0,5.0,5.860999884081711,0.6875,0.6875,16,0,0.0,0.014364493289259683,0,0.0,0.6717180915585421,1,3.0,0.02116235576601179,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9604663720511484,0,3.0,0.6407996514613824,0,0.0,1.0,0,3.0,0.1469322390360243,1,0.0,0.4500778642961538,0,0.0,1.0,1,2.0,0.00014451598551817573
80.0,2,2.0,0.03636363636363636,10.99557282848754,55,61.0,1.1090909090909091,19.0,0.34545454545454546,2,2.0,0.0,9.950674834378013,0.1111111111111111,0.1111111111111111,18,0,0.0,1.0,0,0.0,0.6105612089381146,1,0.0,0.04705386830961301,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9413445018980983,1,2.0,0.001514341622482913,0,0.0,1.0,0,0.0,0.9854841983663845,0,0.0,0.75665812347815,0,0.0,1.0,0,0.0,0.6815673301761179
88.0,4,20.0,0.31746031746031744,11.820129121637706,63,86.0,1.3650793650793651,25.0,0.3968253968253968,3,26.0,24.0,9.841477300105808,1.5294117647058822,1.5294117647058822,17,0,0.0,0.5562784041430163,0,0.0,1.0,0,0.0,0.9645164591708787,0,0.0,0.9429818425659371,0,0.0,1.0,0,3.0,0.5413622027034187,1,10.0,0.0,0,0.0,1.0,0,0.0,0.8469179405855053,1,7.0,0.6310264332725785,0,0.0,1.0,1,6.0,0.38497424955499443
96.0,7,39.0,0.5571428571428572,10.330162569645193,70,126.0,1.8,40.0,0.5714285714285714,7,62.0,36.0,7.085290295772448,2.5833333333333335,2.5833333333333335,24,1,7.0,0.0,0,3.0,0.6073410388550834,0,0.0,0.014970444406646098,0,2.0,0.8717872353884277,0,0.0,1.0,1,10.0,0.4588494206815461,0,0.0,0.6288704121251332,0,0.0,0.011267583534018138,3,16.0,0.42697757467193476,1,15.0,0.0,0,0.0,0.7626924148793567,1,9.0,0.4703441105731514
104.0,4,11.0,0.14285714285714285,11.857219135247757,77,166.0,2.155844155844156,40.0,0.5194805194805194,3,20.0,0.0,8.118121146685853,1.25,1.25,16,1,3.0,1.448299409373439e-05,0,3.0,0.8862532821896218,0,2.0,0.43892109893114295,1,6.0,0.4942533072986541,0,0.0,1.0,0,0.0,0.9126334399261508,0,2.0,0.692264771959835,0,0.0,1.0,0,0.0,0.020842737444705838,0,0.0,0.9299731590661245,0,0.0,1.0,1,4.0,0.019202664172914014
112.0,2,13.0,0.1625,12.46292190428672,80,179.0,2.2375,13.0,0.1625,2,30.0,10.0,8.869358792252848,1.5789473684210527,1.5789473684210527,19,0,0.0,1.0,0,0.0,0.2196078790680811,0,0.0,0.18819959415462553,1,14.0,0.4536962342323129,0,0.0,1.0,0,0.0,0.9449996626818923,0,0.0,0.9084826952183944,0,3.0,0.28902419078927005,1,8.0,0.44357514196787573,0,2.0,0.8804560210203785,0,0.0,1.0,0,3.0,0.5109654664681044
120.0,3,29.0,0.3333333333333333,12.155279462479195,87,203.0,2.3333333333333335,24.0,0.27586206896551724,3,45.0,15.0,9.342985209236263,2.6470588235294117,2.6470588235294117,17,0,0.0,0.4758823293913642,0,0.0,0.9566917446591026,0,0.0,1.0,1,22.0,0.0,0,0.0,1.0,0,5.0,0.6844547443324568,1,4.0,6.019541401935405e-05,0,0.0,1.0,0,0.0,0.7460709505911817,0,0.0,0.9913164533101647,0,0.0,1.0,1,14.0,0.4289317106560247
128.0,2,3.0,0.03225806451612903,12.118344095783206,93,221.0,2.3763440860215055,18.0,0.1935483870967742,1,8.0,0.0,9.259108496689102,0.4444444444444444,0.4444444444444444,18,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7531262116729605,0,0.0,1.0,0,2.0,0.5430540561316336,1,4.0,0.05898301897894814,0,2.0,0.5074928062575086,0,0.0,0.8148321863509835,0,0.0,1.0,0,0.0,0.8816697812376719
