step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,6.5241891981938345,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.035310305602331,0.0,0.0,3,0,0.0,0.514096896952094
24.0,1,0.0,0.0,8.924388102637959,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.595102538469298,15,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,1,0.0,0.0,9.564767925652077,16,0.0,0.0,0.0,0.0,1,0.0,0.0,8.250401420071253,0.0,0.0,8,1,0.0,0.5861179374666691
48.0,0,0.0,0.0,9.851441652374884,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.924226305526002,0.0,0.0,8,0,0.0,0.6445046854050824
56.0,1,3.0,0.16666666666666666,8.776085850612318,18,5.0,0.2777777777777778,5.0,0.2777777777777778,1,3.0,3.0,6.519164734537539,0.2727272727272727,0.2727272727272727,11,1,3.0,0.4633217665487182
64.0,0,0.0,0.0,7.570369355592108,16,13.0,0.8125,8.0,0.5,0,0.0,0.0,9.17935961207037,0.0,0.0,7,0,0.0,0.6559116820225585
72.0,3,7.0,0.2916666666666667,8.237940004695576,24,21.0,0.875,8.0,0.3333333333333333,3,7.0,7.0,5.479893365532265,0.5,0.5,14,3,7.0,0.39570234924624875
80.0,1,0.0,0.0,7.345955390274719,22,27.0,1.2272727272727273,6.0,0.2727272727272727,1,9.0,2.0,6.188811359244948,0.75,0.75,12,1,9.0,0.4767731941703737
88.0,5,6.0,0.2222222222222222,7.601764046028558,27,34.0,1.2592592592592593,7.0,0.25925925925925924,3,7.0,0.0,4.370322897270705,0.5,0.5,14,3,7.0,0.31548409705050645
96.0,9,50.0,2.272727272727273,3.8440410577503568,22,67.0,3.0454545454545454,33.0,1.5,7,37.0,30.0,2.1707796229258047,2.3125,2.3125,16,7,37.0,0.1570080111595154
104.0,7,30.0,1.25,4.817464409554023,24,124.0,5.166666666666667,57.0,2.375,7,64.0,27.0,2.8813419824239603,3.5555555555555554,3.5555555555555554,18,7,64.0,0.19899985302178608
112.0,6,39.0,1.625,4.220095922405686,24,138.0,5.75,14.0,0.5833333333333334,6,114.0,50.0,2.4304523104495726,6.333333333333333,6.333333333333333,18,6,114.0,0.1747406988729726
120.0,2,3.0,0.1111111111111111,5.608671154353554,27,148.0,5.481481481481482,10.0,0.37037037037037035,2,124.0,10.0,2.816904458402194,6.888888888888889,6.888888888888889,18,2,124.0,0.20300076764670194
128.0,4,10.0,0.4,4.189118544502478,25,139.0,5.56,0.0,0.0,3,119.0,0.0,2.4158484258280133,7.0,7.0,17,3,119.0,0.17183220585326311
136.0,6,13.0,0.52,3.7286335146831795,25,171.0,6.84,32.0,1.28,5,126.0,7.0,1.1132184715984281,7.875,7.875,16,5,126.0,0.08101380898037525
144.0,10,44.0,1.4666666666666666,4.147550780591086,30,216.0,7.2,45.0,1.5,9,175.0,49.0,1.0889171463489076,9.210526315789474,9.210526315789474,19,9,175.0,0.07631791520927615
152.0,10,61.0,1.967741935483871,4.298201050074718,31,253.0,8.161290322580646,37.0,1.1935483870967742,10,189.0,14.0,1.3609447586059644,9.947368421052632,9.947368421052632,19,10,189.0,0.09557897206919072
160.0,9,48.0,1.6,5.69218935381347,30,328.0,10.933333333333334,75.0,2.5,9,206.0,17.0,3.043696456988306,10.842105263157896,10.842105263157896,19,9,206.0,0.21406428539570582
168.0,8,40.0,1.5384615384615385,4.625330130603042,26,317.0,12.192307692307692,0.0,0.0,6,253.0,47.0,3.057729116545369,13.31578947368421,13.31578947368421,19,6,253.0,0.21903945808334924
176.0,9,40.0,1.7391304347826086,3.4126274775770353,23,379.0,16.47826086956522,62.0,2.6956521739130435,9,272.0,19.0,1.3135353651353452,16.0,16.0,17,9,272.0,0.09752677785774919
