step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,6.5241891981938345,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.035310305602331,0.0,0.0,3,0,0.0,0.514096896952094
24.0,1,0.0,0.0,8.924388102637959,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.595102538469298,15,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,1,0.0,0.0,9.564767925652077,16,0.0,0.0,0.0,0.0,1,0.0,0.0,8.250401420071253,0.0,0.0,8,1,0.0,0.5861179374666691
48.0,0,0.0,0.0,9.851441652374884,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.924226305526002,0.0,0.0,8,0,0.0,0.6445046854050824
56.0,1,3.0,0.16666666666666666,8.776085850612318,18,5.0,0.2777777777777778,5.0,0.2777777777777778,1,3.0,3.0,6.519164734537539,0.2727272727272727,0.2727272727272727,11,1,3.0,0.4633217665487182
64.0,0,0.0,0.0,7.570369355592108,16,13.0,0.8125,8.0,0.5,0,0.0,0.0,9.17935961207037,0.0,0.0,7,0,0.0,0.6559116820225585
72.0,0,0.0,0.0,9.537667845348233,24,14.0,0.5833333333333334,1.0,0.041666666666666664,0,0.0,0.0,7.619136432145197,0.0,0.0,10,0,0.0,0.547437087691407
80.0,3,2.0,0.09090909090909091,6.201883852503813,22,11.0,0.5,0.0,0.0,3,4.0,4.0,4.637015076509626,0.26666666666666666,0.26666666666666666,15,3,4.0,0.3569588253312116
88.0,3,3.0,0.13043478260869565,6.870513945794953,23,23.0,1.0,12.0,0.5217391304347826,3,6.0,2.0,4.144473029487679,0.5,0.5,12,3,6.0,0.2886309091127654
96.0,5,22.0,0.9166666666666666,6.213345194860634,24,44.0,1.8333333333333333,21.0,0.875,3,12.0,6.0,3.1030641504418064,0.8571428571428571,0.8571428571428571,14,3,12.0,0.22787744249570935
104.0,2,3.0,0.13043478260869565,4.620087487906685,23,62.0,2.6956521739130435,18.0,0.782608695652174,2,22.0,10.0,2.1862041803912424,1.2941176470588236,1.2941176470588236,17,2,22.0,0.1558388085446015
112.0,2,1.0,0.043478260869565216,4.576550151231624,23,46.0,2.0,0.0,0.0,1,24.0,2.0,2.9304283599769865,1.411764705882353,1.411764705882353,17,1,24.0,0.21217211017658089
120.0,0,0.0,0.0,5.991408259869394,26,45.0,1.7307692307692308,0.0,0.0,0,22.0,0.0,3.782815426553372,1.2222222222222223,1.2222222222222223,18,0,22.0,0.2741485325637415
128.0,3,7.0,0.2916666666666667,4.215170800109192,24,41.0,1.7083333333333333,0.0,0.0,2,21.0,0.0,2.4055652682611717,1.3125,1.3125,16,2,21.0,0.17010713314081033
136.0,3,5.0,0.20833333333333334,3.640172466757329,24,59.0,2.4583333333333335,18.0,0.75,2,29.0,8.0,0.7995861698019995,1.9333333333333333,1.9333333333333333,15,2,29.0,0.05960132839799711
144.0,5,9.0,0.3103448275862069,4.2631590903579255,29,77.0,2.6551724137931036,18.0,0.6206896551724138,3,38.0,9.0,1.8854680495451273,2.235294117647059,2.235294117647059,17,3,38.0,0.13222828381062043
152.0,1,1.0,0.03333333333333333,4.8103999010618645,30,77.0,2.566666666666667,0.0,0.0,1,37.0,0.0,1.958608294004554,1.9473684210526316,1.9473684210526316,19,1,37.0,0.13853300984097178
160.0,4,9.0,0.32142857142857145,4.813681605375223,28,85.0,3.0357142857142856,8.0,0.2857142857142857,4,48.0,11.0,2.6449380276792764,2.4,2.4,20,4,48.0,0.1803914392670779
168.0,6,20.0,0.7407407407407407,3.59785132548401,27,93.0,3.4444444444444446,8.0,0.2962962962962963,5,61.0,13.0,1.7241792978542052,2.9047619047619047,2.9047619047619047,21,5,61.0,0.12078101387137966
