step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing1_1_stopped,Ing1_1_accumulated_waiting_time,Ing1_1_average_speed
8.0,0,0.0,0.0,11.392585175787099,1,0.0,0.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,0,0.0,1.0
16.0,0,0.0,0.0,6.5241891981938345,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.035310305602331,0.0,0.0,3,0,0.0,0.514096896952094
24.0,1,0.0,0.0,8.924388102637959,10,0.0,0.0,0.0,0.0,0,0.0,0.0,10.309642855343805,0.0,0.0,3,0,0.0,0.7378882135824177
32.0,1,0.0,0.0,9.595102538469298,15,0.0,0.0,0.0,0.0,1,0.0,0.0,7.6764295545214,0.0,0.0,5,1,0.0,0.5237791076780229
40.0,1,0.0,0.0,9.564767925652077,16,0.0,0.0,0.0,0.0,1,0.0,0.0,8.250401420071253,0.0,0.0,8,1,0.0,0.5861179374666691
48.0,0,0.0,0.0,9.851441652374884,17,0.0,0.0,0.0,0.0,0,0.0,0.0,8.924226305526002,0.0,0.0,8,0,0.0,0.6445046854050824
56.0,2,12.0,0.6666666666666666,9.6940219259407,18,12.0,0.6666666666666666,12.0,0.6666666666666666,0,0.0,0.0,8.721104557678544,0.0,0.0,8,0,0.0,0.6225521455013914
64.0,1,4.0,0.2222222222222222,7.931784777049316,18,33.0,1.8333333333333333,21.0,1.1666666666666667,1,10.0,10.0,5.988761208952803,1.1111111111111112,1.1111111111111112,9,1,10.0,0.43115504295867324
72.0,0,0.0,0.0,8.97744138696869,20,21.0,1.05,0.0,0.0,0,0.0,0.0,7.2107303917194905,0.0,0.0,11,0,0.0,0.5190466638462913
80.0,5,11.0,0.5,5.782181156046807,22,14.0,0.6363636363636364,0.0,0.0,5,11.0,11.0,4.107118120279478,0.6875,0.6875,16,5,11.0,0.31534812604116125
88.0,1,0.0,0.0,5.985656075943559,24,37.0,1.5416666666666667,23.0,0.9583333333333334,1,14.0,3.0,3.9769921023830603,1.0,1.0,14,1,14.0,0.29565002024868814
96.0,5,16.0,0.6153846153846154,4.945477421328677,26,53.0,2.0384615384615383,16.0,0.6153846153846154,3,19.0,5.0,2.225015841543876,1.1176470588235294,1.1176470588235294,17,3,19.0,0.16522214361126508
104.0,3,7.0,0.28,4.064162737657593,25,80.0,3.2,27.0,1.08,3,27.0,8.0,2.0951373489307485,1.4210526315789473,1.4210526315789473,19,3,27.0,0.14812173247247307
112.0,1,2.0,0.08,3.8746225110261157,25,66.0,2.64,0.0,0.0,0,36.0,9.0,2.172816544997978,1.894736842105263,1.894736842105263,19,0,36.0,0.15743621198552307
120.0,3,15.0,0.5769230769230769,5.068765616909996,26,70.0,2.6923076923076925,4.0,0.15384615384615385,3,36.0,0.0,2.0988975850684204,2.0,2.0,18,3,36.0,0.15003117447018316
128.0,3,10.0,0.38461538461538464,4.446963258939464,26,59.0,2.269230769230769,0.0,0.0,2,39.0,3.0,2.980906311243709,2.1666666666666665,2.1666666666666665,18,2,39.0,0.21274862667358635
136.0,2,3.0,0.11538461538461539,4.384801508461732,26,70.0,2.6923076923076925,11.0,0.4230769230769231,1,37.0,0.0,2.3777746229250982,2.176470588235294,2.176470588235294,17,1,37.0,0.17091596004582166
144.0,9,22.0,0.7096774193548387,3.7787909534706237,31,90.0,2.903225806451613,20.0,0.6451612903225806,7,45.0,8.0,0.8912203727369621,2.5,2.5,18,7,45.0,0.06290189159450538
152.0,13,93.0,2.90625,4.736897494864133,32,159.0,4.96875,69.0,2.15625,13,126.0,81.0,2.0162668613447856,6.0,6.0,21,13,126.0,0.13778166309636375
160.0,17,161.0,5.366666666666666,3.345915775358016,30,255.0,8.5,96.0,3.2,17,206.0,80.0,1.3563113166030887,9.363636363636363,9.363636363636363,22,17,206.0,0.099214882951267
168.0,21,282.0,9.4,3.4927677419444767,30,394.0,13.133333333333333,139.0,4.633333333333334,19,338.0,132.0,1.3444604961199251,15.363636363636363,15.363636363636363,22,19,338.0,0.09941120674669116
