step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.621794970092806,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.103594083587362,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4941451681154079,0,0.0,1.0,0,0.0,0.9591769441699695,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6240338066772932,0,0.0,1.0
24.0,0,0.0,0.0,10.840600402460842,19,0.0,0.0,0.0,0.0,0,0.0,0.0,11.786779701640427,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8413902821767403,0,0.0,1.0,0,0.0,0.5209089598533768,0,0.0,0.7102191171336407,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,2,3.0,0.11538461538461539,10.232023661946439,26,3.0,0.11538461538461539,3.0,0.11538461538461539,1,3.0,3.0,10.247457605032022,0.21428571428571427,0.21428571428571427,14,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.7334546270360951,0,0.0,1.0,0,0.0,0.9514765339066324,0,0.0,0.5260902278243645,0,0.0,0.4997813797306467,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,1,0.0,0.0,9.698874274758925,31,8.0,0.25806451612903225,5.0,0.16129032258064516,0,0.0,0.0,9.332507223836888,0.0,0.0,12,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48185567016864717,0,0.0,1.0,0,0.0,0.8401956126802065,0,0.0,0.7051274791241089,0,0.0,0.7197983238587025,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,6,13.0,0.325,8.077306717832405,40,22.0,0.55,14.0,0.35,5,14.0,14.0,6.330230417700262,0.7,0.7,20,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.2798712503761649,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5907297839758626,0,0.0,1.0,1,3.0,0.22106804198907004,0,0.0,0.7049389134422797,2,7.0,0.2744225721021226,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.969882957592445
56.0,2,4.0,0.09090909090909091,8.884710235003702,44,49.0,1.1136363636363635,27.0,0.6136363636363636,2,13.0,0.0,6.663363080377274,0.8666666666666667,0.8666666666666667,15,0,0.0,1.0,0,0.0,0.9493475959389933,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.034994202602612504,0,0.0,1.0,0,0.0,0.7587287562545666,1,4.0,0.13666901444744045,0,4.0,0.14207854118549765,0,0.0,0.6848105686382489,0,3.0,0.6896475763606036,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0030930413557685972,0,0.0,1.0,0,0.0,1.0,0,0.0,0.901613055745406
64.0,2,0.0,0.0,10.540901193331297,54,60.0,1.1111111111111112,11.0,0.2037037037037037,1,5.0,0.0,9.823215160047864,0.5555555555555556,0.5555555555555556,9,1,0.0,0.20290965083873203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,5.0,0.959747646449644,0,0.0,1.0,0,0.0,0.5396257841543664,0,0.0,0.837849522324861,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,2,3.0,0.04838709677419355,10.772167235658022,62,61.0,0.9838709677419355,1.0,0.016129032258064516,2,15.0,10.0,11.2437411037794,0.75,0.75,20,0,5.0,0.9445522944194642,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8568900031010555,0,7.0,0.3683922110618414,0,0.0,0.9257691221192238,2,3.0,0.12329898153779535,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9337988117225418,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,8,16.0,0.2077922077922078,8.61302140928604,77,87.0,1.12987012987013,26.0,0.33766233766233766,6,30.0,15.0,5.513082702165986,1.5,1.5,20,1,2.0,0.2913935218969451,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.018505610107934157,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9806044962234657,0,0.0,0.5717656768686109,3,20.0,8.693736203892396e-05,1,3.0,0.18724621387628196,0,2.0,0.3831697649474708,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8793938005377743,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
