step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing21_1_stopped,Ing21_1_accumulated_waiting_time,Ing21_1_average_speed,Ing21_10_stopped,Ing21_10_accumulated_waiting_time,Ing21_10_average_speed,Ing21_11_stopped,Ing21_11_accumulated_waiting_time,Ing21_11_average_speed,Ing21_12_stopped,Ing21_12_accumulated_waiting_time,Ing21_12_average_speed,Ing21_13_stopped,Ing21_13_accumulated_waiting_time,Ing21_13_average_speed,Ing21_14_stopped,Ing21_14_accumulated_waiting_time,Ing21_14_average_speed,Ing21_15_stopped,Ing21_15_accumulated_waiting_time,Ing21_15_average_speed,Ing21_16_stopped,Ing21_16_accumulated_waiting_time,Ing21_16_average_speed,Ing21_17_stopped,Ing21_17_accumulated_waiting_time,Ing21_17_average_speed,Ing21_18_stopped,Ing21_18_accumulated_waiting_time,Ing21_18_average_speed,Ing21_19_stopped,Ing21_19_accumulated_waiting_time,Ing21_19_average_speed,Ing21_2_stopped,Ing21_2_accumulated_waiting_time,Ing21_2_average_speed,Ing21_20_stopped,Ing21_20_accumulated_waiting_time,Ing21_20_average_speed,Ing21_21_stopped,Ing21_21_accumulated_waiting_time,Ing21_21_average_speed,Ing21_3_stopped,Ing21_3_accumulated_waiting_time,Ing21_3_average_speed,Ing21_4_stopped,Ing21_4_accumulated_waiting_time,Ing21_4_average_speed,Ing21_5_stopped,Ing21_5_accumulated_waiting_time,Ing21_5_average_speed,Ing21_6_stopped,Ing21_6_accumulated_waiting_time,Ing21_6_average_speed,Ing21_7_stopped,Ing21_7_accumulated_waiting_time,Ing21_7_average_speed,Ing21_8_stopped,Ing21_8_accumulated_waiting_time,Ing21_8_average_speed,Ing21_9_stopped,Ing21_9_accumulated_waiting_time,Ing21_9_average_speed
8.0,0,0.0,0.0,5.641248743161216,7,0.0,0.0,0.0,0.0,0,0.0,0.0,5.028504853361908,0.0,0.0,3,0,0.0,0.1757290212889994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.10001175667687548,0,0.0,0.8368242681550757,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.621794970092806,13,0.0,0.0,0.0,0.0,0,0.0,0.0,9.103594083587362,0.0,0.0,6,0,0.0,0.9575656623415475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4941451681154079,0,0.0,1.0,0,0.0,0.9591769441699695,0,0.0,0.5297116034424184,0,0.0,0.22700411842176027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6240338066772932,0,0.0,1.0
24.0,2,4.0,0.2,8.834583522301328,20,4.0,0.2,4.0,0.2,1,4.0,4.0,8.866219344617683,0.4444444444444444,0.4444444444444444,9,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8413902821767403,0,0.0,1.0,0,0.0,0.5209089598533768,1,4.0,0.17067777122900252,0,0.0,0.7758499539837294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,0.0,0.0,9.832509948109813,26,11.0,0.4230769230769231,7.0,0.2692307692307692,0,0.0,0.0,10.860199034473222,0.0,0.0,10,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8628933348135214,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48193038321351267,0,0.0,0.6112011723381778,0,0.0,1.0,0,0.0,0.9685615687124135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
40.0,0,0.0,0.0,11.097057390702012,31,11.0,0.3548387096774194,0.0,0.0,0,0.0,0.0,11.667137442403607,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5177210026715572,0,0.0,1.0,0,0.0,0.8451051101478674,0,0.0,0.546619605457388,0,0.0,0.9425089269200635,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,5,6.0,0.14634146341463414,9.290466725544917,41,18.0,0.43902439024390244,7.0,0.17073170731707318,3,14.0,14.0,8.819062203149777,0.7777777777777778,0.7777777777777778,18,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.27260875622764236,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,7.0,0.9274008369713144,0,0.0,0.8728230719297098,1,3.0,0.38539702947676885,0,0.0,1.0,0,0.0,0.3774563490232878,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9033334210982742,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9331899469896829
56.0,1,11.0,0.25,11.60688210676564,44,35.0,0.7954545454545454,17.0,0.38636363636363635,1,12.0,0.0,12.349027038542767,0.75,0.75,16,0,0.0,0.9752047494555682,0,0.0,0.9629819324938024,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.03356054125880445,0,0.0,1.0,0,1.0,0.7553986591371775,0,0.0,0.9587565553771117,1,11.0,0.34799205711350184,0,0.0,0.856049655075978,0,0.0,0.9329111235783824,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9366737595852047
64.0,4,8.0,0.14814814814814814,9.789743938187756,54,49.0,0.9074074074074074,14.0,0.25925925925925924,4,11.0,0.0,7.012042576508879,0.6875,0.6875,16,1,0.0,0.4799863437775379,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7469305483834378,0,0.0,1.0,2,7.0,0.22168383560947683,0,0.0,0.49615490765373044,1,1.0,0.1108524528708262,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,3,5.0,0.07936507936507936,9.336881933258141,63,70.0,1.1111111111111112,21.0,0.3333333333333333,2,23.0,12.0,6.983356108238624,1.6428571428571428,1.6428571428571428,14,1,4.0,0.671821660781214,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,6.0,0.720991188966527,1,5.0,0.073396370822332,0,8.0,0.2038611013134887,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8355020291944657,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,7,27.0,0.35064935064935066,9.525569295859738,77,95.0,1.2337662337662338,25.0,0.3246753246753247,5,38.0,15.0,7.257686525016955,2.111111111111111,2.111111111111111,18,2,12.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.020344503716616426,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.946732330130017,0,7.0,0.9227032384441936,2,19.0,0.0,0,0.0,0.5061273090521218,0,0.0,0.7006165187779817,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9091924625032863,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
