step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,1,0.0,0.0,7.750406784894253,8,0.0,0.0,0.0,0.0,0,0.0,0.0,10.589639128254413,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8007488980067791,0,0.0,1.0
16.0,1,0.0,0.0,5.667655277329677,22,0.0,0.0,0.0,0.0,0,0.0,0.0,4.852915796135692,0.0,0.0,8,0,0.0,1.0,0,0.0,0.9136916839770165,0,0.0,0.11892006819653932,0,0.0,1.0,0,0.0,0.42361402808877013,0,0.0,0.4301222759512739,0,0.0,0.14445040448421465
24.0,3,3.0,0.07692307692307693,7.75864150778204,39,8.0,0.20512820512820512,8.0,0.20512820512820512,2,5.0,5.0,7.74482667470585,0.38461538461538464,0.38461538461538464,13,0,0.0,1.0,0,0.0,0.3598553471422252,0,0.0,0.8586020684505147,0,0.0,0.9393359910580465,0,0.0,0.77035916486659,2,5.0,0.3989331470983403,0,0.0,0.4376883457372094
32.0,5,4.0,0.07272727272727272,7.889882310762895,55,21.0,0.38181818181818183,13.0,0.23636363636363636,4,9.0,4.0,6.895910322771939,0.47368421052631576,0.47368421052631576,19,0,0.0,1.0,1,1.0,0.5858382510285541,1,0.0,0.3618062916600891,0,0.0,0.9683470666473364,1,4.0,0.40547002739974075,1,4.0,0.4291177802270968,0,0.0,0.6522667422322468
40.0,9,21.0,0.328125,7.587378972041804,64,49.0,0.765625,28.0,0.4375,7,29.0,20.0,6.379313206912762,1.380952380952381,1.380952380952381,21,0,0.0,0.02745051091685178,1,4.0,0.5306427359153293,0,0.0,0.63355233480969,1,3.0,0.00026561123550861615,1,6.0,0.5366946369880223,3,10.0,0.39053517835522833,1,6.0,0.5524415128075384
48.0,14,53.0,0.726027397260274,7.869465262393065,73,133.0,1.821917808219178,84.0,1.1506849315068493,6,50.0,21.0,7.666467637477056,2.1739130434782608,2.1739130434782608,23,0,0.0,0.9843647027625562,1,5.0,0.3245888051758881,1,6.0,0.6621290564668844,1,4.0,0.4757434634794226,1,11.0,0.59859103356865,1,13.0,0.49964487641037036,1,11.0,0.48001928078294126
56.0,17,126.0,1.5949367088607596,7.662384778496807,79,241.0,3.050632911392405,108.0,1.3670886075949367,6,45.0,0.0,7.330162350111331,1.5,1.5,30,1,4.0,0.49350757983455057,0,0.0,0.018024318627190634,0,3.0,0.7422224325087956,1,3.0,0.5102062869260006,3,18.0,0.43918931704167175,1,17.0,0.6420766862722014,0,0.0,0.3115406751228173
64.0,19,208.0,2.311111111111111,7.9494901132758224,90,376.0,4.177777777777778,135.0,1.5,2,27.0,0.0,8.456421019391682,1.173913043478261,1.173913043478261,23,1,1.0,0.46073368342294585,0,3.0,0.6946723835813614,0,3.0,0.8694699706370915,0,0.0,1.0,0,3.0,0.8286540292648984,1,17.0,0.24322430230427664,0,0.0,0.7337267236015202
72.0,24,326.0,3.5053763440860215,7.636470869245165,93,500.0,5.376344086021505,124.0,1.3333333333333333,8,46.0,19.0,7.275529653440909,1.4838709677419355,1.4838709677419355,31,1,1.0,0.4284258064294633,0,5.0,0.9392247404536617,2,7.0,0.5304460928623107,2,9.0,0.09881387952358418,1,7.0,0.6136410085206899,1,13.0,0.6980776898650912,1,4.0,9.850549351654507e-06
80.0,21,344.0,3.474747474747475,6.947580140617008,99,664.0,6.707070707070707,164.0,1.6565656565656566,8,52.0,6.0,6.768061027382127,1.5757575757575757,1.5757575757575757,33,1,2.0,0.3824343256641401,2,4.0,0.0006743740937486876,1,9.0,0.6561355732193739,2,14.0,0.37184386709089357,1,10.0,0.6594368681669445,1,11.0,0.36414069501732643,0,2.0,0.6488282670252326
88.0,31,358.0,3.2844036697247705,6.729913240000141,109,841.0,7.715596330275229,177.0,1.6238532110091743,11,111.0,59.0,6.284977466219886,3.264705882352941,3.264705882352941,34,2,5.0,0.20860477635015595,1,12.0,0.4834844369335751,3,62.0,0.5504745637657906,1,7.0,0.490222241273026,4,17.0,0.25110354446544814,0,8.0,0.5853086322292684,0,0.0,0.8249208412654909
96.0,28,432.0,3.6923076923076925,7.012904773656561,117,1005.0,8.58974358974359,164.0,1.4017094017094016,9,140.0,29.0,6.570210966664839,4.0,4.0,35,0,0.0,1.0,0,4.0,0.7547853417153739,6,106.0,0.4101334238872777,0,3.0,0.4936537609303337,1,9.0,0.4537539007286988,1,14.0,0.31869354719869325,1,4.0,0.5387237535845177
104.0,28,301.0,2.2977099236641223,6.835763643223527,131,1222.0,9.32824427480916,217.0,1.6564885496183206,19,322.0,182.0,4.755255089475785,8.702702702702704,8.702702702702704,37,1,4.0,0.39611313060613246,3,110.0,0.4436686465456552,7,156.0,0.18417113087271328,1,1.0,0.00019039142691264406,5,27.0,0.3924059162269843,2,24.0,0.4584248118365067,0,0.0,0.18719784682653692
112.0,25,212.0,1.50354609929078,6.891650612683002,141,1410.0,10.0,188.0,1.3333333333333333,14,302.0,0.0,5.157501909582636,6.163265306122449,6.163265306122449,49,0,0.0,0.8319537161542117,4,91.0,0.37946578747658916,6,145.0,0.311897612776162,1,12.0,0.38838864617798474,0,22.0,0.5048273313162127,1,24.0,0.37452423538684926,2,8.0,0.24006366811385751
120.0,41,268.0,1.8356164383561644,6.143240466037367,146,1622.0,11.10958904109589,212.0,1.452054794520548,19,284.0,0.0,4.090573612464435,5.3584905660377355,5.3584905660377355,53,1,5.0,0.6385487811814446,2,101.0,0.3345742019991962,4,89.0,0.14193541373825497,3,12.0,0.1978827442857381,4,38.0,0.40111559736186175,4,36.0,0.44272606180150675,1,3.0,0.0010351951761405254
128.0,45,361.0,2.390728476821192,5.154384625177644,151,1926.0,12.754966887417218,304.0,2.013245033112583,23,284.0,0.0,3.7767150343736735,4.982456140350878,4.982456140350878,57,2,12.0,0.22407503680371912,4,97.0,0.2860930442280503,3,50.0,0.3918652773725841,7,46.0,0.07514606498171666,1,21.0,0.5039693571163973,6,56.0,0.164353083386534,0,2.0,0.5769638425979678
136.0,41,531.0,3.4705882352941178,6.282226118830633,153,2214.0,14.470588235294118,288.0,1.8823529411764706,13,262.0,0.0,4.568404978356667,5.574468085106383,5.574468085106383,47,2,13.0,0.2465272031503852,0,67.0,0.4331869709274598,6,80.0,0.21680511510197817,3,46.0,0.25974035393323636,0,8.0,0.85855394231283,2,45.0,0.34205656851315425,0,3.0,0.59977590609276
144.0,45,719.0,4.608974358974359,5.867706016453169,156,2517.0,16.134615384615383,303.0,1.9423076923076923,15,332.0,70.0,4.204667725553507,6.384615384615385,6.384615384615385,52,4,26.0,0.008708134027558689,3,89.0,0.4202760197226178,2,131.0,0.191035072886352,3,19.0,0.2248804375856758,0,9.0,0.8917000546384781,2,47.0,0.2671594203710816,1,11.0,0.49935133062848214
152.0,39,906.0,5.770700636942675,6.667796200927339,157,2780.0,17.70700636942675,263.0,1.6751592356687899,6,172.0,0.0,5.356751493725254,4.3,4.3,40,1,13.0,0.21272223727702466,0,20.0,0.2825062267689226,1,53.0,0.630988295746628,1,11.0,0.5030124041598774,0,11.0,0.9404280884244977,3,64.0,0.1431971364128017,0,0.0,0.46889423208727316
160.0,60,1197.0,7.72258064516129,5.504117630858168,155,2988.0,19.27741935483871,208.0,1.3419354838709678,21,225.0,53.0,5.206175683637587,4.090909090909091,4.090909090909091,55,3,19.0,0.029705829870070328,1,25.0,0.7524338822614943,3,50.0,0.42660385719523214,5,20.0,0.2561946175102775,0,6.0,0.8423681232310423,8,100.0,0.2587857672064902,1,5.0,0.0
168.0,50,1432.0,9.063291139240507,5.68144073357207,158,3349.0,21.196202531645568,361.0,2.2848101265822787,12,249.0,24.0,4.975844388824491,5.1875,5.1875,48,0,0.0,0.32004526464814415,1,25.0,0.6422486931689054,1,50.0,0.45866366895234656,3,32.0,0.2369958891156447,3,28.0,0.47504437878957906,4,114.0,0.06620615686818049,0,0.0,0.9949394753976107
176.0,52,1755.0,10.96875,6.111097892314321,160,3699.0,23.11875,350.0,2.1875,12,293.0,44.0,5.75508767260405,5.425925925925926,5.425925925925926,54,1,5.0,0.5834545194020605,2,38.0,0.32388439809937475,3,98.0,0.4696003372455331,1,17.0,0.4778953359877109,0,19.0,0.6888785475712023,4,116.0,0.21502332089264295,1,0.0,0.3344912026375912
184.0,56,2060.0,12.335329341317365,5.875959576997134,167,4063.0,24.32934131736527,364.0,2.179640718562874,13,309.0,16.0,5.458545729143527,5.722222222222222,5.722222222222222,54,0,0.0,1.0,1,50.0,0.5905877769851552,7,127.0,0.33801161871247315,3,14.0,0.28094603094912646,0,9.0,0.8602490227823427,2,109.0,0.37067112003014707,0,0.0,0.4737502321397636
192.0,64,2446.0,15.098765432098766,5.1656217039952255,162,4359.0,26.90740740740741,296.0,1.8271604938271604,19,331.0,22.0,3.9547534864972302,7.5227272727272725,7.5227272727272725,44,0,0.0,0.12822140877321914,0,0.0,0.6605446329567761,11,192.0,0.13805480487581953,2,18.0,0.5707046643457111,0,6.0,0.8029152552213124,6,115.0,0.12984286665295605,0,0.0,1.0
200.0,60,2464.0,14.754491017964073,5.4666605393100225,167,4713.0,28.221556886227546,354.0,2.1197604790419162,14,341.0,10.0,4.71237167192584,7.75,7.75,44,0,0.0,0.9907450686871689,3,22.0,0.3738344162615822,3,172.0,0.21683413983151195,3,21.0,0.3325892083546064,0,10.0,0.8772704137918165,5,113.0,0.20113717239077022,0,3.0,0.49784631169112703
208.0,56,2733.0,15.982456140350877,5.511854624434714,171,4951.0,28.953216374269005,238.0,1.391812865497076,10,254.0,0.0,5.879341828794018,6.35,6.35,40,0,0.0,1.0,0,7.0,0.9691996928219241,1,119.0,0.4733733502370939,1,12.0,0.5851632567457206,1,14.0,0.6308740991281433,6,91.0,0.2220054884053005,1,11.0,0.40926316635971516
216.0,61,3120.0,17.627118644067796,5.539566208752523,177,5258.0,29.706214689265536,307.0,1.734463276836158,11,176.0,0.0,4.070172760740519,4.888888888888889,4.888888888888889,36,1,5.0,0.2278621385073939,0,14.0,0.7437534858845608,0,21.0,0.6030255039774175,4,32.0,0.04062514503122085,2,16.0,0.4413655023539828,4,88.0,0.2684083122840139,0,0.0,1.0
224.0,59,3376.0,18.65193370165746,5.375776791734658,181,5559.0,30.712707182320443,301.0,1.6629834254143647,8,178.0,2.0,5.694622707884092,4.564102564102564,4.564102564102564,39,1,1.0,0.4280482462556416,1,31.0,0.5808447146709652,0,19.0,0.9724087703766042,1,20.0,0.33153500284988363,1,6.0,0.3680753844534496,4,98.0,0.2604348113822287,0,3.0,0.7767519222197046
232.0,64,3355.0,18.535911602209946,5.104665617512952,181,5904.0,32.61878453038674,345.0,1.9060773480662982,15,251.0,73.0,5.337777601226233,5.340425531914893,5.340425531914893,47,2,4.0,0.41439144168555636,2,24.0,0.3786523579577665,0,80.0,0.8853898118033549,4,26.0,0.2914867275305519,3,18.0,0.3282888946616774,3,96.0,0.28160748520347173,1,3.0,0.347191108788158
240.0,65,3197.0,17.860335195530727,4.272062325055707,179,6310.0,35.25139664804469,406.0,2.2681564245810057,13,241.0,0.0,4.324448657714246,5.355555555555555,5.355555555555555,45,1,4.0,0.4731547899205398,3,24.0,0.22247306113390497,0,80.0,0.6398316702953076,3,16.0,0.11781791065671966,0,21.0,0.43257788797473534,6,96.0,0.17155551816117237,0,0.0,0.30607521063856535
248.0,60,3383.0,18.188172043010752,5.0918203246137,186,6740.0,36.236559139784944,430.0,2.3118279569892475,14,248.0,7.0,4.235961422432653,5.511111111111111,5.511111111111111,45,2,14.0,0.35677796889703656,0,3.0,0.46217265258151025,1,62.0,0.5603140653119011,4,37.0,0.025026246977673222,4,33.0,0.30439073114368365,3,96.0,0.25250698695866464,0,3.0,0.43701133808832476
256.0,71,3743.0,19.39378238341969,4.9852088794154295,193,7064.0,36.601036269430054,324.0,1.6787564766839378,13,374.0,126.0,4.5537790341322895,7.1923076923076925,7.1923076923076925,52,1,6.0,0.03415109553888572,0,32.0,0.8796975521782263,3,86.0,0.3754829171595079,3,120.0,0.021362394621755612,1,28.0,0.3456385466488226,5,102.0,0.1845672405488665,0,0.0,0.5829053539034045
264.0,69,4100.0,21.1340206185567,5.108418967779072,194,7317.0,37.71649484536083,253.0,1.3041237113402062,14,384.0,10.0,5.4500954132299695,7.384615384615385,7.384615384615385,52,2,14.0,0.43154194470783835,0,126.0,0.9551827348883678,3,61.0,0.3791011076973166,1,11.0,0.15640176772558023,4,62.0,0.3053881503261905,3,108.0,0.22932295883387044,1,2.0,0.0009120164819696479
272.0,70,4312.0,22.458333333333332,4.855758836485358,192,7677.0,39.984375,360.0,1.875,15,353.0,0.0,5.116771402586479,5.883333333333334,5.883333333333334,60,0,1.0,0.2845630014490503,4,124.0,0.36743646884095765,4,59.0,0.3339540007452613,0,7.0,0.6618312613244356,2,48.0,0.45456091055910397,5,114.0,0.25999050555174935,0,0.0,0.84940921152173
