step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,3,3.0,0.13043478260869565,7.873482301302321,23,3.0,0.13043478260869565,3.0,0.13043478260869565,1,3.0,3.0,8.524715243162175,0.23076923076923078,0.23076923076923078,13,0,0.0,1.0,0,0.0,0.9391003736591941,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7685302413424365,1,3.0,0.20261343953631603
32.0,0,0.0,0.0,8.874621411875347,33,12.0,0.36363636363636365,9.0,0.2727272727272727,0,0.0,0.0,10.38289619857996,0.0,0.0,11,0,0.0,1.0,0,0.0,0.5340822059226928,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9278331665782527,0,0.0,0.677696325066054,0,0.0,0.4703776348343769
40.0,2,4.0,0.1,8.816450882725395,40,15.0,0.375,3.0,0.075,2,10.0,10.0,7.5966727058673005,0.5263157894736842,0.5263157894736842,19,0,0.0,1.0,1,1.0,0.5055852588991543,0,0.0,1.0,0,0.0,0.8758230580649461,0,0.0,0.4811004888192658,1,9.0,0.5129259541326939,0,0.0,0.6799345587781301
48.0,6,12.0,0.2553191489361702,7.740039817220948,47,41.0,0.8723404255319149,26.0,0.5531914893617021,4,14.0,4.0,7.1001846096498324,0.6363636363636364,0.6363636363636364,22,1,2.0,0.0019055306422503162,0,0.0,0.8157374656830326,0,0.0,1.0,0,0.0,0.9167090698737962,0,2.0,0.692034936884552,1,4.0,0.44980377265137644,2,6.0,0.04480846305664071
56.0,3,15.0,0.3191489361702128,9.52489969736268,47,77.0,1.6382978723404256,36.0,0.7659574468085106,3,22.0,8.0,8.859796927452802,1.0,1.0,22,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9487150724792229,0,4.0,0.8422663447882901,3,15.0,0.3302219467744684,0,3.0,0.7263387167930456
64.0,6,9.0,0.16363636363636364,8.675833670997203,55,78.0,1.4181818181818182,1.0,0.01818181818181818,4,29.0,7.0,7.993290900450874,1.0740740740740742,1.0740740740740742,27,0,0.0,0.9194807062612043,0,3.0,0.9436755128138204,0,3.0,0.9552641014816396,1,3.0,0.4918907208485375,0,3.0,0.5597919839945102,2,17.0,0.43192959217389587,1,0.0,0.600537468136679
72.0,4,15.0,0.2459016393442623,7.5988272373327765,61,109.0,1.7868852459016393,31.0,0.5081967213114754,3,40.0,11.0,6.110538635399297,1.4814814814814814,1.4814814814814814,27,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0048311276675211505,2,13.0,0.20345850487714506,0,10.0,0.7544304316252436,0,12.0,0.2135503746553214,0,0.0,0.7674310606344094
80.0,7,24.0,0.3870967741935484,8.224545939561136,62,134.0,2.161290322580645,25.0,0.4032258064516129,3,23.0,0.0,7.17689304767703,1.0,1.0,23,0,0.0,0.43189116230817676,0,0.0,1.0,0,0.0,0.6271152653289475,0,3.0,0.34225046293868894,0,4.0,0.926873940819951,1,8.0,0.3777871428285812,2,8.0,2.819375319532077e-05
88.0,12,78.0,1.2380952380952381,7.558811823904806,63,200.0,3.1746031746031744,66.0,1.0476190476190477,8,45.0,22.0,6.155632663855013,1.4516129032258065,1.4516129032258065,31,0,0.0,1.0,0,0.0,0.9555256474629865,0,0.0,0.4658222945656463,0,0.0,0.9686266215830523,0,0.0,0.7302232529567187,6,42.0,0.18992134135009628,2,3.0,0.2652520355682237
96.0,16,125.0,2.232142857142857,5.167729752939138,56,281.0,5.017857142857143,81.0,1.4464285714285714,16,136.0,91.0,2.8028492956206783,4.25,4.25,32,0,0.0,1.0,1,4.0,0.6338229440646782,1,2.0,0.29047383942999,1,4.0,2.704239359453076e-05,2,9.0,0.3147076317624865,11,116.0,0.03350334715544409,0,1.0,0.08163704676523766
104.0,8,52.0,0.9811320754716981,6.591791961309992,53,285.0,5.377358490566038,4.0,0.07547169811320754,8,198.0,62.0,3.3758506855872525,6.1875,6.1875,32,0,0.0,1.0,0,1.0,0.4886737188607782,1,10.0,0.31746303385309305,0,5.0,0.13277037179397858,0,5.0,0.2861943405653185,7,177.0,0.09874596715578036,0,0.0,0.895778554750866
112.0,5,12.0,0.23076923076923078,6.314957139797248,52,302.0,5.8076923076923075,17.0,0.3269230769230769,4,195.0,0.0,4.9588849149517635,7.5,7.5,26,1,3.0,0.00028765790869576726,0,6.0,0.9616837265391225,0,0.0,0.00950314294888287,0,0.0,1.0,0,3.0,0.5857983393748764,3,183.0,0.12200211533663409,0,0.0,1.0
120.0,8,26.0,0.4727272727272727,6.71765589718955,55,322.0,5.8545454545454545,20.0,0.36363636363636365,6,193.0,0.0,4.186044227153541,8.041666666666666,8.041666666666666,24,0,0.0,0.3695566235376649,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,11.0,0.482221944514788,3,182.0,0.13049289816168116,0,0.0,1.0
128.0,9,21.0,0.3333333333333333,5.799738395903427,63,392.0,6.222222222222222,70.0,1.1111111111111112,9,243.0,50.0,3.870464964013266,6.394736842105263,6.394736842105263,38,2,6.0,0.23755726479303205,0,0.0,0.8922490651859113,0,0.0,0.563691823263165,1,1.0,0.38151855485770053,2,19.0,0.27185283338223076,4,217.0,0.15812620996368393,0,0.0,1.0
136.0,10,37.0,0.5606060606060606,6.408631054781383,66,414.0,6.2727272727272725,22.0,0.3333333333333333,8,197.0,0.0,3.6192770761956634,5.794117647058823,5.794117647058823,34,1,3.0,0.19312065383357555,0,3.0,0.9099681084370175,0,0.0,0.7234784330740215,1,5.0,0.3158187205525516,3,30.0,0.10819210439654899,3,156.0,0.24103316760404117,0,0.0,1.0
144.0,14,48.0,0.6857142857142857,6.120667703748729,70,354.0,5.057142857142857,0.0,0.0,11,233.0,36.0,3.1423513549221807,6.472222222222222,6.472222222222222,36,2,13.0,0.25098885452759584,1,7.0,0.4666162731127404,1,0.0,0.0,1,11.0,0.0,2,36.0,0.2933515854831257,4,166.0,0.16144823999762337,0,0.0,1.0
152.0,9,38.0,0.4935064935064935,6.889737453254196,77,409.0,5.311688311688312,55.0,0.7142857142857143,8,182.0,0.0,3.7874305298708166,4.918918918918919,4.918918918918919,37,1,1.0,0.2857903935635592,0,0.0,0.8837174145959433,0,0.0,0.9310484648124365,0,0.0,0.09827324379231078,1,39.0,0.238250836831036,6,142.0,0.1562262555231009,0,0.0,0.6068380896902287
160.0,9,51.0,0.6455696202531646,6.938629841014243,79,354.0,4.481012658227848,0.0,0.0,7,205.0,23.0,3.310642947125464,6.40625,6.40625,32,0,0.0,1.0,0,0.0,0.3433734664931761,0,0.0,1.0,0,0.0,0.9504469738057537,1,31.0,0.3665208787503214,6,174.0,0.14756822581743692,0,0.0,1.0
168.0,16,48.0,0.6486486486486487,6.636737441220889,74,394.0,5.324324324324325,40.0,0.5405405405405406,15,220.0,15.0,3.764801470143947,5.238095238095238,5.238095238095238,42,0,0.0,0.971295330055657,2,17.0,0.29407124960179976,0,0.0,0.9012746749330245,1,2.0,0.10745844478293837,6,46.0,0.19825067132842306,6,155.0,0.0760442349254888,0,0.0,1.0
176.0,8,52.0,0.7428571428571429,7.010725093292039,70,380.0,5.428571428571429,0.0,0.0,8,223.0,3.0,3.199110424062029,6.757575757575758,6.757575757575758,33,1,3.0,0.643466945414461,0,0.0,1.0,0,0.0,0.9767550988636212,0,3.0,0.06993837906347317,2,52.0,0.09140251620704996,5,165.0,0.14169985287524797,0,0.0,0.11838141785695655
184.0,7,81.0,1.2272727272727273,8.38299425287912,66,379.0,5.742424242424242,0.0,0.0,7,180.0,0.0,5.8046826255431885,5.454545454545454,5.454545454545454,33,2,8.0,0.3183752657062728,0,4.0,0.9492104677619465,0,2.0,0.953835201935298,1,2.0,0.0004895169863010201,1,40.0,0.15701305554224848,3,124.0,0.17328642213945486,0,0.0,0.22603007124163593
192.0,5,15.0,0.2631578947368421,8.849115353864548,57,330.0,5.7894736842105265,0.0,0.0,5,104.0,0.0,4.433678723572158,4.521739130434782,4.521739130434782,23,0,0.0,1.0,0,0.0,0.9899514947008043,0,2.0,0.6552490034526925,0,0.0,0.9449722451159951,1,14.0,0.2999087004491565,4,88.0,0.1940960254323313,0,0.0,1.0
200.0,6,20.0,0.37037037037037035,8.057830001314521,54,346.0,6.407407407407407,16.0,0.2962962962962963,4,92.0,0.0,6.093455269037626,3.5384615384615383,3.5384615384615383,26,0,0.0,0.6165630950352238,0,4.0,0.8862381108220403,0,0.0,0.5397531703184602,0,0.0,1.0,0,10.0,0.9491826835075985,4,78.0,0.1389136640630069,0,0.0,1.0
208.0,6,29.0,0.5,8.512459088964336,58,367.0,6.327586206896552,21.0,0.3620689655172414,4,97.0,5.0,6.912947601479768,3.88,3.88,25,1,8.0,0.0,0,3.0,0.9869042398210399,1,2.0,0.6852220297170835,0,0.0,0.6839524297214609,0,3.0,0.9716456646850538,2,78.0,0.21087490136460402,0,3.0,0.9982171655331543
216.0,9,41.0,0.7592592592592593,7.1699128296804515,54,296.0,5.481481481481482,0.0,0.0,7,85.0,0.0,3.233208205848352,3.8636363636363638,3.8636363636363638,22,1,16.0,0.0,0,3.0,0.5139519258515617,1,12.0,0.2720834619100699,2,11.0,3.599007983220214e-05,0,4.0,0.8402310408232924,3,39.0,0.08098231699274334,0,0.0,1.0
224.0,8,46.0,0.8214285714285714,8.227880690665744,56,346.0,6.178571428571429,50.0,0.8928571428571429,6,91.0,6.0,6.045241900127603,4.136363636363637,4.136363636363637,22,0,0.0,0.9909239913329168,1,10.0,0.6527182230620302,2,28.0,0.48312648991499435,1,12.0,0.0,0,7.0,0.94865419700928,2,34.0,0.25403584988329053,0,0.0,1.0
232.0,10,68.0,1.2830188679245282,7.107942644372269,53,367.0,6.9245283018867925,21.0,0.39622641509433965,8,88.0,0.0,6.401419122357328,2.838709677419355,2.838709677419355,31,0,1.0,0.8541671286145452,1,10.0,0.5152123579054559,2,30.0,0.23889524782246965,2,22.0,0.00016953634288429753,0,3.0,0.9876263955893827,3,21.0,0.43025374640947867,0,1.0,0.7309811610466719
240.0,9,55.0,1.0784313725490196,7.354369211995009,51,391.0,7.666666666666667,24.0,0.47058823529411764,5,55.0,0.0,5.239064303301878,3.0555555555555554,3.0555555555555554,18,0,0.0,1.0,0,0.0,0.9143670052174072,1,1.0,0.03449138888782982,1,28.0,0.47185886623956563,0,3.0,0.73677722572344,3,23.0,0.21139383823367217,0,0.0,0.9422412413407577
248.0,9,87.0,1.6730769230769231,8.20276767045302,52,405.0,7.788461538461538,14.0,0.2692307692307692,5,87.0,32.0,7.28477742213026,4.142857142857143,4.142857142857143,21,0,0.0,0.7952987416472741,0,3.0,0.7616729983365227,0,0.0,1.0,1,36.0,0.0,0,3.0,0.942158580150244,4,38.0,0.3579565605808962,0,7.0,0.9424359481632073
256.0,9,63.0,1.3125,7.3862766249783425,48,378.0,7.875,0.0,0.0,7,61.0,0.0,4.044027077708715,3.05,3.05,20,0,0.0,0.7976760320718106,2,11.0,0.30803904349954186,0,0.0,0.28623393338896186,0,0.0,1.0,2,12.0,0.3343616647842819,3,38.0,0.216275998121585,0,0.0,1.0
264.0,5,17.0,0.3333333333333333,7.652025462708741,51,420.0,8.235294117647058,42.0,0.8235294117647058,5,81.0,20.0,5.284919464459414,3.6818181818181817,3.6818181818181817,22,0,0.0,0.39019997904520715,0,3.0,0.9277681629484684,0,0.0,0.9290083993315141,0,0.0,0.028425786953608662,1,27.0,0.46802967128134426,4,51.0,0.10968945722390042,0,0.0,0.996432693175578
272.0,9,25.0,0.5102040816326531,7.043821915080896,49,262.0,5.346938775510204,0.0,0.0,9,78.0,0.0,2.5872267246637457,3.9,3.9,20,3,9.0,0.06319042619095111,0,0.0,0.7114355208577454,1,3.0,0.006940616079419435,1,4.0,0.0002369297465184907,0,3.0,0.6240489252322409,3,57.0,0.10549111767170372,1,2.0,0.3813241760488991
280.0,6,16.0,0.35555555555555557,7.002892398452745,45,257.0,5.711111111111111,0.0,0.0,5,78.0,0.0,5.207601115588075,3.391304347826087,3.391304347826087,23,2,17.0,0.0882478646543839,0,5.0,0.5606014064003706,0,3.0,0.9462712103322313,1,2.0,0.13347795134469037,0,2.0,0.9512667216450025,2,49.0,0.19056795314247124,0,0.0,1.0
288.0,9,42.0,0.9333333333333333,7.726832922211974,45,275.0,6.111111111111111,18.0,0.4,5,61.0,0.0,6.333645284498051,3.8125,3.8125,16,3,28.0,4.116875140433373e-06,0,0.0,0.3624006585310356,0,0.0,0.8834443270763873,0,0.0,0.976805333864469,0,3.0,0.9266510072674217,2,30.0,0.3181488376136434,0,0.0,0.1952976111043498
296.0,3,28.0,0.56,8.426103062088492,50,320.0,6.4,45.0,0.9,3,56.0,0.0,5.47886047021127,3.7333333333333334,3.7333333333333334,15,0,5.0,0.5336810268092914,0,5.0,0.9454584283944265,0,0.0,0.9910526799079408,1,4.0,0.06815689876248582,0,2.0,0.5205239379789057,2,40.0,0.25010558363303925,0,0.0,1.0
304.0,8,26.0,0.5652173913043478,8.78862935424644,46,270.0,5.869565217391305,0.0,0.0,7,50.0,0.0,6.092907107557124,2.9411764705882355,2.9411764705882355,17,0,0.0,0.9184404168106812,0,0.0,0.595986452804063,1,5.0,0.7770901668632407,2,14.0,0.0034256508060866563,1,6.0,0.41362171728403624,3,25.0,0.05496642536978007,0,0.0,1.0
312.0,2,21.0,0.4666666666666667,9.075740443963305,45,217.0,4.822222222222222,0.0,0.0,1,41.0,0.0,7.977212669265366,3.727272727272727,3.727272727272727,11,0,0.0,0.9347995957225576,0,0.0,0.9823070012986567,0,3.0,0.638260497441021,1,23.0,0.011189961729257576,0,7.0,0.7479469177933099,0,8.0,0.3689615812616257,0,0.0,1.0
320.0,7,21.0,0.45652173913043476,8.886068656384893,46,213.0,4.630434782608695,0.0,0.0,5,26.0,0.0,7.007022159603146,1.5294117647058822,1.5294117647058822,17,1,2.0,0.3585260380811185,1,3.0,0.3447412805811989,0,0.0,0.8984027204738285,1,2.0,0.0003234742471670328,1,5.0,0.5277036771814281,1,13.0,0.7209537712864312,0,1.0,0.7198509371013724
328.0,6,15.0,0.36585365853658536,8.767974671087046,41,196.0,4.780487804878049,0.0,0.0,5,38.0,12.0,7.0722662862181735,2.0,2.0,19,1,2.0,0.37497417206003736,0,0.0,0.9027226420998192,1,0.0,0.7177323733838062,0,0.0,0.9260886457227805,0,11.0,0.32020728296790346,2,22.0,0.42411438456361744,1,3.0,0.48158142105940305
336.0,1,1.0,0.02564102564102564,10.653994738157994,39,142.0,3.641025641025641,0.0,0.0,0,4.0,0.0,11.794335036121469,0.6666666666666666,0.6666666666666666,6,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9013904012858566,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6019968901145613,0,1.0,0.6970903181510051
344.0,1,3.0,0.08333333333333333,8.538525124664718,36,56.0,1.5555555555555556,0.0,0.0,1,9.0,5.0,7.460888346373637,0.6428571428571429,0.6428571428571429,14,0,0.0,0.865098090626527,0,3.0,0.5413575758008817,1,3.0,0.04728809322549094,0,0.0,0.11445437721994638,0,0.0,1.0,0,0.0,0.3362557847215439,0,3.0,0.9416757428682386
352.0,4,8.0,0.2,8.803133637602361,40,57.0,1.425,1.0,0.025,3,9.0,0.0,8.21370696887913,0.6,0.6,15,2,8.0,0.4047133866037994,0,1.0,0.802782968404053,0,0.0,0.8697028469078564,0,0.0,0.9986146900595652,0,0.0,0.8716248446836701,1,0.0,0.39162914467295257,0,0.0,0.8116941551211335
360.0,5,16.0,0.3902439024390244,8.205157976560246,41,73.0,1.7804878048780488,16.0,0.3902439024390244,4,12.0,3.0,5.924226941941498,0.8,0.8,15,2,9.0,0.25873094577420297,1,2.0,0.00028535247640842855,1,1.0,0.005075833981529926,0,0.0,1.0,0,0.0,0.8060777228569255,0,0.0,0.8237826055265987,0,0.0,0.9201271460612171
368.0,5,27.0,0.675,7.8692203259185955,40,93.0,2.325,20.0,0.5,4,28.0,16.0,5.881502883965724,1.5555555555555556,1.5555555555555556,18,3,23.0,0.04243154184246331,0,0.0,0.9128956887501009,0,3.0,0.9299686675933991,0,0.0,1.0,1,2.0,0.416313299944179,0,0.0,0.8702445802567093,0,0.0,1.0
376.0,4,24.0,0.5714285714285714,7.131480816870697,42,130.0,3.0952380952380953,37.0,0.8809523809523809,3,31.0,3.0,6.355030734326349,1.55,1.55,20,2,13.0,0.0,0,3.0,0.5661525870980392,0,6.0,0.9363745333475428,0,2.0,0.9326168154478495,0,5.0,0.3680132477718708,1,2.0,0.4165338984497394,0,0.0,1.0
384.0,12,71.0,1.42,6.967762397362107,50,200.0,4.0,70.0,1.4,7,47.0,16.0,7.214884302757172,2.35,2.35,20,0,0.0,1.0,0,3.0,0.7803582368077633,0,0.0,0.9267241494373888,0,0.0,1.0,5,26.0,0.2817201989940103,2,18.0,0.6434791746119716,0,0.0,1.0
392.0,15,145.0,2.7358490566037736,6.561810142599304,53,275.0,5.188679245283019,75.0,1.4150943396226414,9,84.0,37.0,5.096125597305849,3.5,3.5,24,0,0.0,0.12447252102671844,0,4.0,0.9861360887689941,0,0.0,0.7468022887769803,0,3.0,0.4124078636969311,7,69.0,1.9549023206304834e-05,2,5.0,0.4446969955056217,0,3.0,0.8391401202526294
400.0,10,110.0,1.9298245614035088,7.122541516794078,57,389.0,6.824561403508772,114.0,2.0,5,135.0,51.0,5.554082981129433,5.4,5.4,25,0,0.0,1.0,0,5.0,0.8717743444091443,0,2.0,0.9020003069869357,1,11.0,0.0,2,97.0,0.21094783703843567,1,15.0,0.2723167454554943,1,5.0,0.526157535244414
408.0,9,109.0,2.0185185185185186,7.888375015865369,54,439.0,8.12962962962963,50.0,0.9259259259259259,6,107.0,0.0,6.3157442340200465,3.962962962962963,3.962962962962963,27,0,0.0,0.9030016139423759,2,4.0,0.16531043848646063,0,6.0,0.8912857891391326,0,0.0,1.0,1,75.0,0.3892329636277332,3,22.0,0.1815654081147431,0,0.0,0.26794527224399173
416.0,7,124.0,2.6956521739130435,6.657267000343931,46,359.0,7.804347826086956,0.0,0.0,4,96.0,0.0,4.695222770716445,5.052631578947368,5.052631578947368,19,2,7.0,4.999490052266546e-06,1,4.0,0.30144088048557016,0,14.0,0.5320164850900041,0,0.0,1.0,1,68.0,0.23241774574885815,0,0.0,0.998410842123017,0,3.0,0.7646558337242204
424.0,6,147.0,3.0,7.011210202890837,49,383.0,7.816326530612245,24.0,0.4897959183673469,1,96.0,0.0,5.886422382605638,4.8,4.8,20,0,0.0,1.0,0,0.0,0.8614922085142075,0,14.0,0.6629759677725673,0,0.0,0.11484194575283736,1,69.0,0.15786726674452461,0,3.0,0.9832537313703463,0,10.0,0.7184665898048079
432.0,9,192.0,3.9183673469387754,7.5693689100721455,49,381.0,7.775510204081633,0.0,0.0,3,69.0,0.0,4.717690045785679,5.75,5.75,12,0,0.0,0.9776310333991933,0,0.0,1.0,0,3.0,0.8679596466348339,0,0.0,1.0,3,66.0,0.05806793035840084,0,0.0,0.9479257570198645,0,0.0,0.5977279401478696
