step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,2,0.0,0.0,9.302270127990287,23,0.0,0.0,0.0,0.0,0,0.0,0.0,11.049213038428375,0.0,0.0,10,0,0.0,1.0,0,0.0,0.9790447483474307,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7717480911338859,0,0.0,0.716076823753415
32.0,3,6.0,0.1875,8.63409011730354,32,6.0,0.1875,6.0,0.1875,2,5.0,5.0,9.191933096736319,0.38461538461538464,0.38461538461538464,13,0,0.0,1.0,0,0.0,0.9254663599670049,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9155735054807189,0,0.0,0.677696325066054,2,5.0,0.04384233967196457
40.0,4,9.0,0.21428571428571427,7.931095757767837,42,27.0,0.6428571428571429,21.0,0.5,3,9.0,4.0,7.443527546043828,0.4090909090909091,0.4090909090909091,22,0,0.0,0.959530824599963,0,0.0,0.5234507468898105,1,4.0,4.9786394008197536e-05,1,2.0,0.29217189169704216,0,0.0,0.5986724149428954,1,3.0,0.5590386914971545,0,0.0,0.5824021984322657
48.0,8,34.0,0.723404255319149,7.404286542863311,47,69.0,1.4680851063829787,42.0,0.8936170212765957,6,44.0,35.0,5.679105430230677,2.0,2.0,22,0,0.0,1.0,0,0.0,0.7112644090078801,0,0.0,1.0,0,1.0,0.567163632883525,0,0.0,0.9487685668035086,3,31.0,0.34695515261317983,3,12.0,0.015467015229483943
56.0,4,5.0,0.10416666666666667,8.244014799710909,48,116.0,2.4166666666666665,47.0,0.9791666666666666,3,21.0,0.0,6.148260046948653,1.4,1.4,15,0,0.0,1.0,0,0.0,0.9963867562595161,0,0.0,1.0,1,2.0,0.45278435831328573,0,1.0,0.8355176879944266,2,15.0,0.2601337611257844,0,3.0,0.358447482315172
64.0,9,37.0,0.6607142857142857,8.943366282613404,56,155.0,2.767857142857143,39.0,0.6964285714285714,5,48.0,27.0,9.047572734700228,1.7777777777777777,1.7777777777777777,27,0,0.0,0.9780794556682321,0,3.0,0.9109565945013931,0,3.0,0.9418174824338346,1,2.0,0.0008729112047556031,0,6.0,0.9320696788574417,3,31.0,0.46314373066774134,1,3.0,0.5612737649912435
72.0,8,20.0,0.3225806451612903,7.682201284535147,62,199.0,3.2096774193548385,44.0,0.7096774193548387,6,55.0,7.0,5.734937456338741,2.391304347826087,2.391304347826087,23,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0005854331479719861,0,0.0,1.0,0,9.0,0.7786246834090255,5,45.0,0.21202719371288603,0,0.0,0.6634773357344017
80.0,13,31.0,0.49206349206349204,6.627368639183725,63,202.0,3.2063492063492065,3.0,0.047619047619047616,7,80.0,25.0,4.570218589150648,2.857142857142857,2.857142857142857,28,0,0.0,1.0,0,0.0,1.0,1,9.0,0.4566111739482509,0,0.0,1.0,4,16.0,0.23010427899350813,0,43.0,0.29162057528190505,2,12.0,0.49775260348871286
88.0,12,85.0,1.328125,6.7882064056495075,64,271.0,4.234375,69.0,1.078125,9,101.0,21.0,5.681753260595375,3.15625,3.15625,32,1,3.0,0.00037873171944210684,0,0.0,1.0,2,18.0,0.37871411117652926,0,0.0,1.0,0,10.0,0.7796854326116672,4,45.0,0.164549208802076,2,25.0,0.5236196019559827
96.0,21,184.0,3.066666666666667,5.345243227708482,60,390.0,6.5,119.0,1.9833333333333334,15,175.0,74.0,4.2917675368515145,4.72972972972973,4.72972972972973,37,0,0.0,1.0,0,0.0,0.7499105946572516,1,6.0,0.30939287119651426,1,8.0,0.43137999774834784,2,19.0,0.5056896145535927,9,103.0,0.09763342371848133,2,39.0,0.3258945774922994
104.0,30,375.0,6.147540983606557,5.150103638235622,61,583.0,9.557377049180328,193.0,3.1639344262295084,25,316.0,141.0,3.136256944494472,8.31578947368421,8.31578947368421,38,0,0.0,1.0,0,0.0,0.9602501012970067,3,13.0,0.18457378775254432,0,0.0,1.0,6,50.0,0.3090525143738532,14,198.0,0.05354134955815433,2,55.0,0.2938887789499582
112.0,32,595.0,9.296875,4.354086343758376,64,823.0,12.859375,240.0,3.75,26,509.0,193.0,2.076548658621464,13.051282051282051,13.051282051282051,39,0,0.0,1.0,0,7.0,0.9314978109497128,0,8.0,0.28469891219314536,0,0.0,1.0,10,113.0,0.1670538821766584,14,310.0,0.022573414983350564,2,71.0,0.0
120.0,27,406.0,6.059701492537314,4.9728789390792665,67,1024.0,15.283582089552239,201.0,3.0,25,565.0,56.0,1.6806718961017606,15.694444444444445,15.694444444444445,36,0,0.0,0.5757703708747461,0,0.0,0.9877148714592583,0,0.0,1.0,0,0.0,1.0,12,185.0,0.11701166885018978,13,380.0,0.015721732778920913,0,0.0,1.0
128.0,17,194.0,2.8955223880597014,5.843307556591501,67,837.0,12.492537313432836,0.0,0.0,15,643.0,78.0,4.0850237322088265,14.28888888888889,14.28888888888889,45,1,7.0,0.6373822364868921,0,7.0,0.9024249317774844,0,3.0,0.6407157741743533,1,2.0,0.44032147307186853,7,215.0,0.14163602668514796,6,409.0,0.12109516490845162,0,0.0,1.0
136.0,8,33.0,0.4583333333333333,5.517728988374742,72,916.0,12.722222222222221,79.0,1.0972222222222223,8,644.0,1.0,2.8299491000799604,14.0,14.0,46,2,17.0,0.001464983900099199,1,5.0,0.3503976257153065,0,0.0,0.1967509484787203,1,11.0,0.29243615496251946,1,198.0,0.2548168066361001,3,413.0,0.1221880878701146,0,0.0,1.0
144.0,19,80.0,0.9876543209876543,5.37005078459601,81,904.0,11.160493827160494,0.0,0.0,16,703.0,59.0,2.323570003817992,14.346938775510203,14.346938775510203,49,0,0.0,0.38164807184258137,3,26.0,0.23188368675043433,3,13.0,2.9044446600300688e-05,1,13.0,0.0,4,216.0,0.17380268889546707,5,435.0,0.14524282123873972,0,0.0,1.0
152.0,12,102.0,1.2439024390243902,6.496645479855636,82,933.0,11.378048780487806,29.0,0.35365853658536583,12,719.0,16.0,3.88388589376499,15.297872340425531,15.297872340425531,47,0,0.0,0.3591759194261491,0,0.0,0.7899898618105676,0,0.0,0.8497289779900545,1,23.0,0.28167645380463335,2,200.0,0.2748501176453231,9,496.0,0.21924338950495825,0,0.0,0.5977283908565967
160.0,22,198.0,2.1758241758241756,6.1744808497663515,91,1056.0,11.604395604395604,123.0,1.3516483516483517,21,775.0,56.0,2.354953488677748,17.22222222222222,17.22222222222222,45,0,0.0,1.0,3,7.0,0.10525584438653975,0,0.0,1.0,0,0.0,0.9202645246354787,1,158.0,0.21963344663105522,17,610.0,0.12766447779122184,0,0.0,1.0
168.0,24,235.0,2.640449438202247,5.363070482760974,89,1155.0,12.97752808988764,99.0,1.1123595505617978,22,842.0,67.0,3.035643752720561,15.88679245283019,15.88679245283019,53,0,0.0,0.9771530894061293,0,21.0,0.48995545741092156,0,0.0,0.9276116261267177,2,3.0,0.165769397627936,2,141.0,0.07206558294847708,18,677.0,0.07810255082556719,0,0.0,1.0
176.0,22,343.0,3.942528735632184,6.265495224978891,87,1255.0,14.425287356321839,100.0,1.1494252873563218,22,884.0,42.0,1.4281897798982977,21.047619047619047,21.047619047619047,42,1,2.0,0.4655195252320187,3,18.0,0.16591892823926224,0,0.0,1.0,0,0.0,1.0,0,125.0,0.136728281515995,18,739.0,0.038521839678917674,0,0.0,0.11405106515559413
184.0,19,368.0,4.717948717948718,7.877098471179702,78,1175.0,15.064102564102564,0.0,0.0,19,856.0,0.0,4.379517757091423,21.94871794871795,21.94871794871795,39,2,9.0,0.26941938224802836,1,9.0,0.8029355891852933,0,0.0,0.9391647541371767,0,0.0,0.5179978552896577,0,63.0,0.3514148326581531,16,775.0,0.08834752452179205,0,0.0,0.32642046854952955
192.0,12,248.0,3.5428571428571427,8.17532928496685,70,1125.0,16.071428571428573,0.0,0.0,12,739.0,0.0,5.188631533559751,23.09375,23.09375,32,0,2.0,0.5206084466917009,1,13.0,0.6202984703993123,0,0.0,0.707067760806543,1,5.0,0.48022374759230163,0,16.0,0.6211045924743451,10,703.0,0.14179369715341683,0,0.0,0.9742214326840904
200.0,12,58.0,0.8656716417910447,7.123857895918273,67,1084.0,16.17910447761194,0.0,0.0,10,742.0,3.0,4.530959636637535,20.61111111111111,20.61111111111111,36,0,0.0,0.5312405429426792,1,25.0,0.4221816226341878,1,8.0,0.6144202074745011,1,13.0,0.0,0,3.0,0.4173473497575941,7,693.0,0.1597047251839445,0,0.0,1.0
208.0,6,42.0,0.6461538461538462,7.843490022795697,65,1009.0,15.523076923076923,0.0,0.0,3,688.0,0.0,5.794932395195265,24.571428571428573,24.571428571428573,28,1,8.0,0.0,1,32.0,0.6535448252404225,0,3.0,0.7306119181703422,0,0.0,0.9068802285926437,0,0.0,0.8367218200836468,1,645.0,0.151087273128845,0,0.0,0.9636136665533706
216.0,8,83.0,1.3833333333333333,7.641137332681409,60,824.0,13.733333333333333,0.0,0.0,7,624.0,0.0,4.136552703934582,23.11111111111111,23.11111111111111,27,1,16.0,0.0,1,38.0,0.6163276539586925,1,3.0,0.005237168404958252,1,3.0,0.5093113767366239,1,3.0,0.19627077060036732,2,561.0,0.1853987953211602,0,0.0,1.0
224.0,8,72.0,1.3584905660377358,7.991186554101759,53,743.0,14.018867924528301,0.0,0.0,7,631.0,7.0,4.621925665065024,27.434782608695652,27.434782608695652,23,0,0.0,0.9746972790141579,3,54.0,7.058940463845672e-05,1,17.0,0.6272944270679167,0,0.0,1.0,0,3.0,0.7711779385509493,3,557.0,0.25635776122813486,0,0.0,1.0
232.0,6,104.0,2.0,7.765336249985119,52,785.0,15.096153846153847,42.0,0.8076923076923077,6,526.0,0.0,5.695055105725269,16.967741935483872,16.967741935483872,31,0,0.0,0.9346724855776407,3,80.0,0.2051410813498412,1,19.0,0.4193672815481415,0,0.0,0.9617784690088077,0,4.0,0.7695553578771972,2,423.0,0.28401579333008636,0,0.0,0.9179693773939138
240.0,10,127.0,2.4423076923076925,6.768763990195928,52,671.0,12.903846153846153,0.0,0.0,8,354.0,0.0,3.4577986269414898,16.09090909090909,16.09090909090909,22,0,0.0,1.0,4,109.0,0.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.5824092407526873,4,242.0,0.23913942965798593,0,0.0,0.9681116838946313
248.0,9,30.0,0.5660377358490566,6.939201393610294,53,504.0,9.50943396226415,0.0,0.0,6,289.0,0.0,3.8606704835328474,13.136363636363637,13.136363636363637,22,0,0.0,1.0,2,40.0,0.28063848551660026,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8034457998552857,4,246.0,0.2430216672228257,0,0.0,1.0
256.0,10,42.0,0.8571428571428571,6.930993794987293,49,549.0,11.204081632653061,45.0,0.9183673469387755,9,237.0,0.0,4.611621094964918,9.115384615384615,9.115384615384615,26,0,0.0,0.9434869767702315,3,47.0,0.37738963719422236,0,0.0,0.32035358023278243,0,0.0,0.09319407084805162,0,15.0,0.9078556533421875,6,172.0,0.06288638394126576,0,3.0,0.9153961784539002
264.0,6,16.0,0.3076923076923077,6.539404364160267,52,489.0,9.403846153846153,0.0,0.0,6,205.0,0.0,3.842448713055184,8.541666666666666,8.541666666666666,24,1,5.0,0.5334357846958832,2,14.0,0.09702250129210256,0,0.0,0.9520788710796088,0,0.0,0.2596711972515409,0,3.0,0.6570025242357204,3,183.0,0.17733900978747286,0,0.0,1.0
272.0,9,45.0,0.8490566037735849,7.422115265230765,53,494.0,9.320754716981131,5.0,0.09433962264150944,9,146.0,0.0,4.170343222594258,6.083333333333333,6.083333333333333,24,2,4.0,0.0475300935710166,2,24.0,0.32960412887405,0,7.0,0.918411012518385,0,0.0,1.0,0,4.0,0.9154302089499333,5,107.0,0.07199032104638735,0,0.0,0.8903630857991852
280.0,7,52.0,1.1063829787234043,7.15648878055686,47,322.0,6.851063829787234,0.0,0.0,6,168.0,22.0,5.50296592223047,6.222222222222222,6.222222222222222,27,0,3.0,0.4118816778686149,3,47.0,0.29405971494031247,0,1.0,0.9642455756387728,0,0.0,0.9910819393933045,0,5.0,0.8407078846486563,3,112.0,0.17439873291154975,0,0.0,0.9827853588462343
288.0,8,30.0,0.6,7.660639763245315,50,360.0,7.2,38.0,0.76,7,110.0,0.0,5.1115065190361255,5.238095238095238,5.238095238095238,21,2,15.0,0.3280989071264578,0,6.0,0.37898478765976673,0,0.0,0.8330955253649099,0,0.0,1.0,1,13.0,0.6918098888391432,4,76.0,0.149836635136069,0,0.0,1.0
296.0,2,18.0,0.35294117647058826,8.532247152958249,51,301.0,5.901960784313726,0.0,0.0,2,73.0,0.0,6.666287680593714,4.055555555555555,4.055555555555555,18,0,0.0,0.9284192274918371,0,3.0,0.9104361516073183,0,0.0,0.9224254986100584,0,0.0,0.5998227949414687,0,1.0,0.6816777485995701,2,69.0,0.23946271033092506,0,0.0,1.0
304.0,11,26.0,0.5652173913043478,7.293049702319399,46,268.0,5.826086956521739,0.0,0.0,9,87.0,14.0,4.920926565741605,3.9545454545454546,3.9545454545454546,22,2,10.0,0.3152560686343851,0,0.0,0.6418837566467838,0,7.0,0.8992787820894352,2,3.0,0.2418640869265452,2,9.0,0.21871897112148667,3,58.0,0.1459975771122251,0,0.0,1.0
312.0,9,64.0,1.3061224489795917,7.214610643782933,49,341.0,6.959183673469388,73.0,1.489795918367347,8,114.0,27.0,5.0854656083915595,4.75,4.75,24,2,26.0,0.3244194339596143,2,14.0,0.24439704963611772,0,4.0,0.6516321560212436,3,20.0,0.042649974035831595,0,7.0,0.7854770892424053,1,43.0,0.23432434827522225,0,0.0,0.8273465801148784
320.0,10,99.0,1.9411764705882353,7.688923894025822,51,382.0,7.490196078431373,41.0,0.803921568627451,9,104.0,0.0,4.351406140534974,4.9523809523809526,4.9523809523809526,21,3,43.0,0.17234964233248604,0,2.0,0.4473674455805722,0,0.0,0.939413923995079,2,33.0,0.0,3,17.0,0.14902610757424473,1,9.0,0.47821399222195254,0,0.0,0.768571711067627
328.0,8,70.0,1.6666666666666667,7.860267691349783,42,317.0,7.5476190476190474,0.0,0.0,7,88.0,0.0,4.619298825591456,6.285714285714286,6.285714285714286,14,3,67.0,0.24780485232655808,1,4.0,0.49983852780304233,1,0.0,0.0,0,0.0,0.4943747990253424,0,3.0,0.505879722261831,2,14.0,0.2172000336027943,0,0.0,1.0
336.0,5,99.0,2.5384615384615383,9.603917728995523,39,332.0,8.512820512820513,15.0,0.38461538461538464,3,107.0,19.0,9.478166075920099,7.642857142857143,7.642857142857143,14,3,94.0,0.34504252454712475,0,0.0,0.9676013320330409,0,3.0,0.8897851820510221,0,0.0,1.0,0,3.0,0.9415655736663018,0,7.0,0.9532688338876426,0,0.0,0.4807981594928495
344.0,4,36.0,0.8571428571428571,9.088922695510869,42,336.0,8.0,4.0,0.09523809523809523,2,18.0,0.0,8.915307845501534,1.125,1.125,16,0,0.0,0.8836394533563531,0,0.0,0.626175012231989,1,5.0,0.48782536428863443,0,0.0,0.2606791957488641,1,10.0,0.49680777040476143,0,0.0,0.5742530930607481,0,3.0,0.9675835981605687
352.0,5,11.0,0.23404255319148937,8.709242128349967,47,353.0,7.51063829787234,17.0,0.3617021276595745,4,17.0,0.0,7.761279641709931,0.8947368421052632,0.8947368421052632,19,2,6.0,0.42565146979429314,0,0.0,1.0,0,6.0,0.933056997330061,0,0.0,1.0,0,0.0,0.6786176071687391,0,0.0,0.4192483351194742,2,5.0,0.47322091317884585
360.0,3,9.0,0.1836734693877551,9.186082379166406,49,326.0,6.653061224489796,0.0,0.0,2,11.0,0.0,7.001731865493925,0.7333333333333333,0.7333333333333333,15,2,11.0,0.27881508857942194,0,0.0,1.0,0,0.0,0.4159502787461088,0,0.0,1.0,0,0.0,0.8326188245578814,0,0.0,0.9433710076983333,0,0.0,0.9515759830467906
368.0,7,38.0,0.8837209302325582,7.912835010275244,43,156.0,3.627906976744186,0.0,0.0,7,41.0,30.0,6.912291577097697,2.1578947368421053,2.1578947368421053,19,5,30.0,0.00046309965270855183,0,0.0,0.8826348515258073,1,8.0,0.0,1,3.0,0.46840074579195157,0,0.0,0.6986764690533367,0,0.0,0.8330384780741262,0,0.0,1.0
376.0,11,53.0,1.2619047619047619,6.597302604352006,42,196.0,4.666666666666667,40.0,0.9523809523809523,9,77.0,36.0,5.268425315590904,3.347826086956522,3.347826086956522,23,0,24.0,0.12049740956420862,4,20.0,0.09054913650104716,1,19.0,0.5946129834545564,0,3.0,0.30318706275293394,3,9.0,0.2205749654652761,1,2.0,0.663254378998711,0,0.0,0.9322806098121456
384.0,3,30.0,0.6,7.627005127850512,50,242.0,4.84,46.0,0.92,3,48.0,0.0,7.314043500864957,2.526315789473684,2.526315789473684,19,0,0.0,0.9340798796955359,0,6.0,0.5916469567814108,1,24.0,0.15191908470498,0,0.0,1.0,1,17.0,0.51987454253358,1,1.0,0.5565567785877022,0,0.0,1.0
392.0,11,65.0,1.25,7.886777629124667,52,264.0,5.076923076923077,22.0,0.4230769230769231,9,90.0,42.0,4.84799630585045,4.090909090909091,4.090909090909091,22,0,0.0,0.2389365233928343,1,18.0,0.5724125267324685,1,32.0,0.0,0,0.0,0.6144005333034254,4,32.0,0.3091379225897366,3,5.0,0.13309796440443927,0,3.0,0.7920575746801208
400.0,13,147.0,2.7735849056603774,7.359915683068843,53,343.0,6.471698113207547,79.0,1.490566037735849,12,180.0,90.0,5.619209582992971,6.428571428571429,6.428571428571429,28,1,8.0,0.0,1,21.0,0.4831621973266911,1,53.0,0.7310532496852548,1,4.0,0.5372047210976306,8,85.0,0.08178289938594835,0,9.0,0.210103485237619,0,0.0,0.9426012911241761
408.0,13,192.0,4.085106382978723,6.952193360031035,47,426.0,9.063829787234043,83.0,1.7659574468085106,13,221.0,41.0,4.803038736805402,7.620689655172414,7.620689655172414,29,1,3.0,0.6983928371840304,1,3.0,0.24489277611837187,1,55.0,0.6710205094077795,0,0.0,1.0,9,159.0,0.23576983285304556,1,1.0,0.0017767960605428318,0,0.0,1.0
416.0,6,22.0,0.46808510638297873,7.4058817794536775,47,452.0,9.617021276595745,26.0,0.5531914893617021,6,135.0,0.0,3.7112653477324837,7.105263157894737,7.105263157894737,19,1,2.0,0.0011500377098431162,0,0.0,1.0,2,9.0,0.4628343215180502,0,0.0,1.0,3,121.0,0.18778898654911877,0,3.0,0.6950745179046166,0,0.0,1.0
424.0,7,15.0,0.3,7.716271416005092,50,428.0,8.56,0.0,0.0,3,118.0,0.0,6.559485629725313,6.2105263157894735,6.2105263157894735,19,0,0.0,1.0,0,0.0,0.9565089395696422,0,6.0,0.00982149445670078,0,0.0,0.941865486741872,3,105.0,0.15713211745432934,0,7.0,0.8660626953326055,0,0.0,1.0
432.0,7,26.0,0.48148148148148145,8.5226573542107,54,468.0,8.666666666666666,40.0,0.7407407407407407,3,109.0,0.0,6.67541722589637,5.7368421052631575,5.7368421052631575,19,0,0.0,0.9175743271794841,0,0.0,1.0,1,16.0,0.6376317201210915,1,1.0,0.006528599940605662,1,92.0,0.05386722463644931,0,0.0,0.877592430152412,0,0.0,0.966264000368587
