step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.531279036709265,6,0.0,0.0,0.0,0.0,0,0.0,0.0,7.490428757807241,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5043512714263886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.09846949023213313,0,0.0,0.9165310857323508
16.0,2,0.0,0.0,7.192257573234551,15,0.0,0.0,0.0,0.0,1,0.0,0.0,6.9311642679757455,0.0,0.0,6,0,0.0,1.0,0,0.0,1.0,1,0.0,0.29567369938500637,0,0.0,1.0,0,0.0,0.4806666406487711,0,0.0,0.8112658184917265,0,0.0,1.0
24.0,2,0.0,0.0,9.302270127990287,23,0.0,0.0,0.0,0.0,0,0.0,0.0,11.049213038428375,0.0,0.0,10,0,0.0,1.0,0,0.0,0.9790447483474307,0,0.0,0.5681968499267809,0,0.0,1.0,0,0.0,0.9373558487747223,0,0.0,0.7717480911338859,0,0.0,0.716076823753415
32.0,1,1.0,0.03125,9.752293420381138,32,1.0,0.03125,1.0,0.03125,0,0.0,0.0,11.987074466174528,0.0,0.0,11,0,0.0,1.0,0,0.0,0.9254663599670049,0,0.0,0.9672399671630878,0,0.0,1.0,0,0.0,0.9129909533164106,0,0.0,0.7384719669360018,0,0.0,1.0
40.0,5,18.0,0.42857142857142855,7.703591849002843,42,19.0,0.4523809523809524,18.0,0.42857142857142855,3,9.0,9.0,7.825096281980438,0.375,0.375,24,0,0.0,0.9736113950104023,0,0.0,0.5085631065166158,1,4.0,0.0,1,2.0,0.28785575000401525,0,0.0,0.6832750029708257,0,0.0,0.6767362952092878,1,3.0,0.4639033973593724
48.0,6,20.0,0.4166666666666667,7.887827676812985,48,63.0,1.3125,44.0,0.9166666666666666,4,22.0,13.0,6.516557259353812,1.2941176470588236,1.2941176470588236,17,0,0.0,1.0,0,0.0,0.7242964766724523,0,0.0,1.0,0,1.0,0.540395734531607,1,5.0,0.4025005102263487,2,12.0,0.5052099883402733,1,4.0,0.17174209981758226
56.0,5,17.0,0.3617021276595745,8.414262584296086,47,81.0,1.7234042553191489,18.0,0.3829787234042553,4,28.0,6.0,5.748388928059402,1.6470588235294117,1.6470588235294117,17,0,0.0,1.0,0,0.0,0.9524406603960565,0,0.0,1.0,0,0.0,0.9905185919324944,0,3.0,0.6349682221396657,3,14.0,0.24302101174023588,1,11.0,0.0
64.0,8,41.0,0.7454545454545455,7.9536992622408,55,129.0,2.3454545454545452,48.0,0.8727272727272727,5,52.0,24.0,7.832575125181058,2.0,2.0,26,0,0.0,0.9194807062612043,0,3.0,0.9680893411512601,0,3.0,0.9579919454755318,1,4.0,0.2169932103184572,1,11.0,0.7438876154892833,1,12.0,0.4427342296177789,2,19.0,0.265949256121911
72.0,9,71.0,1.1451612903225807,8.450686982294789,62,196.0,3.161290322580645,67.0,1.0806451612903225,5,81.0,29.0,7.578486500508683,3.1153846153846154,3.1153846153846154,26,0,0.0,1.0,0,0.0,1.0,1,5.0,0.005906583911807237,0,0.0,0.5084990158450142,0,22.0,0.7442997234580173,3,27.0,0.45816119549592116,1,27.0,0.308280710424402
80.0,17,40.0,0.6060606060606061,6.615698201026108,66,255.0,3.8636363636363638,59.0,0.8939393939393939,14,83.0,2.0,4.189185316248256,2.4411764705882355,2.4411764705882355,34,0,0.0,1.0,0,0.0,0.9315419596196761,0,0.0,0.6169417273300876,0,0.0,1.0,7,49.0,0.17604707786456994,5,28.0,0.23661601793726472,2,6.0,0.4870316623395185
88.0,9,24.0,0.39344262295081966,6.35300861114213,61,249.0,4.081967213114754,0.0,0.0,7,83.0,0.0,4.527893963845483,2.515151515151515,2.515151515151515,33,1,2.0,0.0009140239608760265,0,0.0,0.9304083461520308,1,1.0,0.49077454249098,0,0.0,1.0,3,41.0,0.3081273327736578,1,30.0,0.21826120677301775,1,9.0,0.3351329009234476
96.0,13,69.0,1.15,6.171779919579692,60,328.0,5.466666666666667,79.0,1.3166666666666667,9,107.0,24.0,4.317509013350578,3.242424242424242,3.242424242424242,33,0,0.0,1.0,1,4.0,0.6142997544973113,1,2.0,0.28083484210592785,0,7.0,0.3634245822011417,2,51.0,0.3093435197164448,4,30.0,0.20649460261376787,1,13.0,0.47526717534412605
104.0,15,152.0,2.5762711864406778,6.167055192193213,59,392.0,6.6440677966101696,64.0,1.0847457627118644,12,149.0,42.0,3.7112226909146333,4.382352941176471,4.382352941176471,34,0,0.0,0.01725525006728682,0,0.0,0.673165530919538,2,5.0,0.24243325456532774,0,5.0,0.17424639165209374,0,33.0,0.4038355524583687,9,85.0,0.05933650652591827,1,21.0,0.4042713872418686
112.0,17,269.0,4.559322033898305,5.9146064776553064,59,479.0,8.11864406779661,87.0,1.4745762711864407,12,221.0,72.0,3.823723506750211,7.620689655172414,7.620689655172414,29,0,0.0,1.0,0,4.0,0.9801722522602969,0,0.0,0.3834794723785674,0,0.0,1.0,0,15.0,0.37277949171355523,11,173.0,0.062279619799824354,1,29.0,0.0
120.0,17,209.0,3.4262295081967213,5.606333420723877,61,558.0,9.147540983606557,79.0,1.2950819672131149,14,291.0,70.0,1.7555562999589214,10.777777777777779,10.777777777777779,27,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,30.0,0.22549613292538284,10,261.0,0.023912518335813586,0,0.0,1.0
128.0,16,133.0,1.9850746268656716,6.064533182817002,67,558.0,8.328358208955224,0.0,0.0,14,374.0,83.0,3.8798387995905106,9.121951219512194,9.121951219512194,41,0,0.0,0.997756866195754,0,7.0,0.9082503839344661,0,3.0,0.6235722770141571,1,3.0,0.37952739090362914,9,90.0,0.14163886300620665,4,271.0,0.0903558049473461,0,0.0,1.0
136.0,28,267.0,3.869565217391304,5.0627218499536015,69,669.0,9.695652173913043,111.0,1.608695652173913,26,511.0,137.0,2.573477009697054,11.613636363636363,11.613636363636363,44,1,1.0,0.2481238462075154,2,11.0,0.19968853813067022,0,0.0,0.7767223572977261,1,5.0,0.21898551236457356,14,181.0,0.16199335177315094,8,313.0,0.15572494235597067,0,0.0,1.0
144.0,31,273.0,3.5,5.065702697090797,78,896.0,11.487179487179487,227.0,2.91025641025641,26,615.0,104.0,1.661282926195423,14.642857142857142,14.642857142857142,42,0,0.0,0.9867436009444686,3,34.0,0.0,1,0.0,0.0,1,11.0,0.0,11,261.0,0.13446121042042525,10,309.0,0.09114170763110031,0,0.0,1.0
152.0,17,133.0,1.6625,6.021783859879844,80,939.0,11.7375,43.0,0.5375,17,724.0,109.0,3.3943797015006503,14.775510204081632,14.775510204081632,49,0,0.0,0.3691106290407001,0,4.0,0.9254219937526884,0,0.0,0.9806615529251216,1,19.0,0.0,8,326.0,0.11237867440405526,8,375.0,0.1350208669498441,0,0.0,0.5439500811642929
160.0,14,81.0,0.9418604651162791,5.827975039637052,86,967.0,11.244186046511627,28.0,0.32558139534883723,13,735.0,11.0,3.3427338046504707,14.7,14.7,50,0,0.0,1.0,3,8.0,0.2656960537449153,0,0.0,1.0,1,30.0,0.46441368239466835,2,275.0,0.2026028558960543,7,422.0,0.24927419200896753,0,0.0,1.0
168.0,22,111.0,1.2906976744186047,5.689020645113717,86,1117.0,12.988372093023257,150.0,1.744186046511628,20,713.0,0.0,2.8708773299058707,14.26,14.26,50,0,0.0,0.9398922799007388,5,45.0,0.15670045330345997,0,3.0,0.8941714755041228,0,0.0,0.22904416270577563,2,255.0,0.126955011476164,13,410.0,0.14474460183498267,0,0.0,1.0
176.0,13,74.0,0.8604651162790697,6.802077216337276,86,1157.0,13.453488372093023,40.0,0.46511627906976744,13,669.0,0.0,2.6991268837357536,16.317073170731707,16.317073170731707,41,1,3.0,0.6087246650316098,1,6.0,0.0,0,0.0,0.9486607218874032,0,0.0,0.9147006860507091,2,222.0,0.16275075806684064,9,438.0,0.05068229055640857,0,0.0,0.21826684228914806
184.0,9,47.0,0.6266666666666667,7.476907364119509,75,946.0,12.613333333333333,0.0,0.0,9,605.0,0.0,4.404375367896196,14.404761904761905,14.404761904761905,42,2,14.0,0.0,0,3.0,0.8413880588367476,0,0.0,0.9489663168519338,0,0.0,0.6654115337780209,0,131.0,0.2915099583576045,7,457.0,0.05777993088743986,0,0.0,0.23897509247082874
192.0,8,41.0,0.6119402985074627,7.504591624835009,67,894.0,13.343283582089553,0.0,0.0,8,528.0,0.0,5.378110409868628,14.27027027027027,14.27027027027027,37,1,5.0,0.00017294750971761597,0,0.0,0.8003281343046498,0,10.0,0.8146631532384384,1,5.0,4.389349043913967e-05,0,57.0,0.6032560924942253,6,448.0,0.09379563049246684,0,3.0,0.9206269927911783
200.0,11,39.0,0.6,7.0969327541657234,65,887.0,13.646153846153846,0.0,0.0,9,455.0,0.0,3.6383931180911473,14.67741935483871,14.67741935483871,31,0,0.0,0.6753516224128423,0,0.0,1.0,1,5.0,0.47507857710912293,0,0.0,1.0,0,12.0,0.4075543118297225,8,435.0,0.09833040376236504,0,3.0,0.8909882269141743
208.0,12,32.0,0.47761194029850745,6.924553338008459,67,833.0,12.432835820895523,0.0,0.0,10,441.0,0.0,4.050837987863709,12.970588235294118,12.970588235294118,34,4,12.0,0.00891802989325883,0,3.0,0.9966980202833831,2,12.0,0.6461040919919016,0,0.0,0.07275915248176876,0,3.0,0.7305919077016013,4,411.0,0.0751774308792266,0,0.0,1.0
216.0,6,23.0,0.3709677419354839,7.582138443115208,62,666.0,10.741935483870968,0.0,0.0,4,326.0,0.0,5.135816301213657,12.074074074074074,12.074074074074074,27,0,9.0,0.3118953765635291,0,1.0,0.7921057332835434,1,4.0,0.40849940774073895,2,6.0,0.20830393465276353,0,0.0,0.977053598284571,1,306.0,0.21516862917697627,0,0.0,1.0
224.0,11,58.0,1.0,7.683519223057273,58,528.0,9.10344827586207,0.0,0.0,7,342.0,16.0,5.756680728892905,14.25,14.25,24,0,0.0,0.9568858873796078,1,7.0,0.4545425226715065,2,24.0,0.3191842894387818,0,0.0,1.0,0,5.0,0.7222445226221543,4,306.0,0.2677260740091702,0,0.0,1.0
232.0,7,63.0,1.0862068965517242,8.184873921401756,58,583.0,10.051724137931034,55.0,0.9482758620689655,5,262.0,0.0,5.662074449089751,10.916666666666666,10.916666666666666,24,0,0.0,0.9173099754116815,0,0.0,0.6796231647268186,1,20.0,0.45233673285348946,0,0.0,1.0,0,7.0,0.8275651654180721,4,235.0,0.21586937096191458,0,0.0,0.9323195024170269
240.0,9,62.0,1.24,6.887176709675076,50,442.0,8.84,0.0,0.0,6,263.0,1.0,5.40290382934505,10.958333333333334,10.958333333333334,24,0,0.0,0.48920460980894526,1,2.0,0.6563528614389731,0,0.0,1.0,0,3.0,0.9540884509459158,1,6.0,0.5595701270558194,4,252.0,0.2556361795457459,0,0.0,0.9433203832205921
248.0,10,90.0,1.6666666666666667,6.365411901727566,54,492.0,9.11111111111111,50.0,0.9259259259259259,6,214.0,0.0,4.2356093322538815,7.925925925925926,7.925925925925926,27,1,7.0,0.06782656287186357,0,0.0,0.6971450620917071,0,0.0,1.0,0,0.0,0.9431519827260875,1,14.0,0.6114166140019109,4,191.0,0.1502037399735097,0,2.0,0.9269027241410752
256.0,6,32.0,0.5818181818181818,7.868498215755254,55,499.0,9.072727272727272,7.0,0.12727272727272726,6,114.0,0.0,5.078658375087552,5.428571428571429,5.428571428571429,21,0,0.0,0.7829515506436389,1,6.0,0.6358364948932262,0,0.0,0.27342610475935697,0,0.0,1.0,0,0.0,0.5893750605330227,5,108.0,0.2214367497029239,0,0.0,1.0
264.0,9,23.0,0.45098039215686275,6.77305376776545,51,278.0,5.450980392156863,0.0,0.0,6,113.0,0.0,4.754593292511448,5.136363636363637,5.136363636363637,22,1,1.0,0.5042838208478018,0,0.0,1.0,0,0.0,0.95043144170444,0,0.0,0.04593688324617052,0,3.0,0.830551770627973,5,109.0,0.20851231659316885,0,0.0,1.0
272.0,10,30.0,0.5660377358490566,7.035171423301863,53,301.0,5.679245283018868,23.0,0.4339622641509434,10,94.0,0.0,3.9515094734596907,3.76,3.76,25,2,2.0,0.4388483557345545,0,0.0,0.7224546280437403,1,2.0,0.007817578560926495,1,6.0,0.0,0,7.0,0.9444789426890279,5,71.0,0.061733755646434296,1,6.0,0.46050812810478536
280.0,6,15.0,0.3409090909090909,7.810983424623469,44,222.0,5.045454545454546,0.0,0.0,5,97.0,3.0,5.444693070154369,4.619047619047619,4.619047619047619,21,1,7.0,0.14938016385033517,1,4.0,0.49462368534481216,0,3.0,0.9377974305855125,0,0.0,0.9910819393933045,0,3.0,0.7868789136115816,3,77.0,0.1732846830714817,0,3.0,0.9247692792079834
288.0,5,23.0,0.5,8.15828892193903,46,261.0,5.673913043478261,39.0,0.8478260869565217,4,100.0,3.0,4.738595258442888,5.882352941176471,5.882352941176471,17,1,12.0,0.0,0,7.0,0.2340166636843728,0,0.0,0.7100377016552568,0,0.0,1.0,0,7.0,0.9776233670932948,3,74.0,0.17044471635000433,0,0.0,0.06286937735527767
296.0,5,24.0,0.47058823529411764,8.130885824366892,51,290.0,5.686274509803922,29.0,0.5686274509803921,5,85.0,0.0,5.713216110088215,4.722222222222222,4.722222222222222,18,0,0.0,0.9037256903438974,0,3.0,0.9631132443964218,0,2.0,0.9737100906587273,0,0.0,0.22772335204621483,3,20.0,0.32013052309111545,2,60.0,0.13630712921969868,0,0.0,1.0
304.0,4,8.0,0.16666666666666666,8.851406692187416,48,241.0,5.020833333333333,0.0,0.0,3,60.0,0.0,6.852682062753212,3.75,3.75,16,0,0.0,0.9215488097872407,0,0.0,0.6144096811950351,0,5.0,0.9567354104618134,1,5.0,0.3316958726427856,0,3.0,0.7146841109281906,2,47.0,0.14475487812867896,0,0.0,1.0
312.0,1,1.0,0.021739130434782608,9.489459317648338,46,232.0,5.043478260869565,0.0,0.0,1,40.0,0.0,7.8637381975929594,2.857142857142857,2.857142857142857,14,0,0.0,0.9339237663998337,0,0.0,1.0,0,0.0,0.8655535445753177,1,5.0,0.33999282048751317,0,7.0,0.7324741017010016,0,28.0,0.4493750473362349,0,0.0,1.0
320.0,5,18.0,0.4186046511627907,8.428462156943105,43,160.0,3.7209302325581395,0.0,0.0,4,26.0,0.0,6.395392844024329,1.625,1.625,16,1,2.0,0.3639585485004691,1,3.0,0.3527953413289567,0,0.0,0.9908730254582593,1,11.0,0.0,0,1.0,0.5530965386955033,1,9.0,0.39003287435910117,0,0.0,0.8603981399290274
328.0,5,11.0,0.28205128205128205,7.848478042718156,39,161.0,4.128205128205129,1.0,0.02564102564102564,4,23.0,0.0,6.745819151024813,1.3529411764705883,1.3529411764705883,17,1,1.0,0.40940228015691393,0,0.0,0.9947225173473663,1,0.0,0.4161129979170323,0,0.0,0.26902353426012765,0,3.0,0.5853756087850103,1,16.0,0.7305452484843327,1,3.0,0.0
336.0,1,4.0,0.10256410256410256,10.238223538611534,39,176.0,4.512820512820513,15.0,0.38461538461538464,1,11.0,0.0,9.881266483749782,1.1,1.1,10,0,1.0,0.030668285637646026,0,0.0,1.0,1,7.0,0.7053744566675435,0,0.0,1.0,0,3.0,0.9908425356603751,0,0.0,0.9138571942007226,0,0.0,0.7719602414487827
344.0,2,16.0,0.42105263157894735,9.185786050712293,38,76.0,2.0,0.0,0.0,2,22.0,11.0,8.76735933994632,1.5714285714285714,1.5714285714285714,14,0,0.0,0.9718271303255404,0,3.0,0.329659081143703,2,18.0,0.33214409187869676,0,0.0,0.5060610338673811,0,1.0,0.9860808893933468,0,0.0,0.6091693461865157,0,0.0,0.9365914515029892
352.0,1,0.0,0.0,9.462356720057029,39,61.0,1.564102564102564,0.0,0.0,0,7.0,0.0,8.226038159063142,0.5833333333333334,0.5833333333333334,12,0,0.0,0.5780152424834424,0,6.0,0.7658657655197512,0,0.0,0.8911372390835798,0,0.0,1.0,0,1.0,0.727656311823575,0,0.0,0.3744594985186865,0,0.0,0.8275703769107526
360.0,2,7.0,0.1794871794871795,9.548235826991313,39,64.0,1.641025641025641,3.0,0.07692307692307693,2,11.0,4.0,8.634753298513619,0.6470588235294118,0.6470588235294118,17,2,7.0,0.27717820933478227,0,3.0,0.8269990683855022,0,0.0,1.0,0,0.0,1.0,0,1.0,0.8254874446391195,0,0.0,0.901328868645761,0,0.0,0.9002802720592092
368.0,5,22.0,0.5365853658536586,8.98329265339869,41,89.0,2.1707317073170733,25.0,0.6097560975609756,4,27.0,16.0,9.193583677733711,1.35,1.35,20,4,21.0,9.020164267481145e-05,0,3.0,0.8899024484913245,0,3.0,0.979877038827657,0,0.0,0.9535042162391445,0,0.0,0.7117853747192285,0,0.0,0.902485161895798,0,0.0,1.0
376.0,9,36.0,0.8372093023255814,7.386448787869347,43,136.0,3.1627906976744184,47.0,1.0930232558139534,6,35.0,8.0,6.164865860401081,1.8421052631578947,1.8421052631578947,19,0,15.0,0.07476850023019602,2,10.0,3.34534202908727e-05,0,0.0,0.8209811863917028,0,0.0,1.0,2,6.0,0.4560100665373177,2,4.0,0.5709801247774602,0,0.0,1.0
384.0,7,23.0,0.45098039215686275,7.478958068434549,51,179.0,3.5098039215686274,43.0,0.8431372549019608,5,51.0,16.0,6.347560607704959,2.125,2.125,24,0,0.0,1.0,2,20.0,0.25298177173668934,0,0.0,0.7780055596284337,0,0.0,0.014499161299945993,3,31.0,0.3310666907118465,0,0.0,0.7265391398912281,0,0.0,0.9340127128648253
392.0,14,79.0,1.5192307692307692,7.021410699680402,52,215.0,4.134615384615385,36.0,0.6923076923076923,11,100.0,49.0,5.247840093555348,3.5714285714285716,3.5714285714285716,28,0,0.0,0.17924066208792125,0,5.0,0.8490065720743527,0,0.0,0.7447963850939825,0,0.0,0.5626668580600783,9,86.0,0.1708931040141456,2,6.0,0.2670511155386272,0,3.0,0.9496399584406432
400.0,15,179.0,3.4423076923076925,7.295947046904382,52,312.0,6.0,97.0,1.8653846153846154,14,205.0,105.0,4.4681082834829535,8.91304347826087,8.91304347826087,23,0,0.0,1.0,0,9.0,0.886147186123792,0,0.0,1.0,0,0.0,0.849443014158997,11,168.0,0.23935668904539667,3,28.0,0.0,0,0.0,1.0
408.0,8,56.0,1.1428571428571428,7.700521923398454,49,392.0,8.0,80.0,1.6326530612244898,8,162.0,0.0,5.551113589407829,6.0,6.0,27,0,0.0,0.9378699941187195,1,4.0,0.4690368522878453,0,6.0,0.918926551541593,0,0.0,1.0,6,144.0,0.1700799322019553,0,3.0,0.7913936568400319,1,5.0,0.36774124545766756
416.0,10,45.0,0.9375,7.1679887055329194,48,393.0,8.1875,1.0,0.020833333333333332,7,186.0,24.0,5.5204358407986875,7.153846153846154,7.153846153846154,26,2,6.0,0.0029394114270830125,1,14.0,0.26349602589693844,1,2.0,0.5345933704784525,0,0.0,1.0,3,151.0,0.1412216946428683,0,7.0,0.8970190592727698,0,6.0,0.950564697699066
424.0,8,34.0,0.6538461538461539,7.538372881557142,52,438.0,8.423076923076923,45.0,0.8653846153846154,5,136.0,0.0,7.102886071372089,6.181818181818182,6.181818181818182,22,0,0.0,0.8045911298629705,0,0.0,0.9270932035099302,1,10.0,0.35487680567688346,0,0.0,0.9996448772417906,4,126.0,0.15464178376506255,0,0.0,0.8685411390139636,0,0.0,0.9690137309843783
432.0,5,41.0,0.7884615384615384,8.45383762038989,52,368.0,7.076923076923077,0.0,0.0,2,135.0,0.0,6.217970754377222,6.75,6.75,20,0,0.0,0.9076951663761761,0,0.0,1.0,2,22.0,0.3207446626388494,0,0.0,0.03945130119463111,0,113.0,0.16038379734936795,0,0.0,0.742350790215797,0,0.0,0.8113823422376604
