step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,2,4.0,0.2857142857142857,7.461200469196081,14,5.0,0.3571428571428571,4.0,0.2857142857142857,2,5.0,5.0,7.562844736174219,0.5,0.5,10,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,8.448935300863358,20,15.0,0.75,10.0,0.5,0,5.0,0.0,8.094509878264288,0.3571428571428571,0.3571428571428571,14,0,3.0,0.383267418326752,0,0.0,0.6044487403637576,0,0.0,0.7467422251582096,0,2.0,0.2829429123462076,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.770232712631245,25,15.0,0.6,0.0,0.0,0,3.0,0.0,10.25586849770175,0.2,0.2,15,0,3.0,0.7521760451040376,0,0.0,0.5810912136030595,0,0.0,0.809179637605357,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,4,6.0,0.1714285714285714,8.62515112684503,35,21.0,0.6,6.0,0.1714285714285714,4,6.0,3.0,8.004514187130892,0.2608695652173913,0.2608695652173913,23,2,3.0,0.5669500445514764,2,3.0,0.671001424686368,0,0.0,0.6762361447984848,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,8,39.0,1.054054054054054,6.968385399913875,37,53.0,1.4324324324324325,32.0,0.8648648648648649,8,39.0,33.0,5.787303528530047,1.56,1.56,25,4,24.0,0.3248279516617363,4,15.0,0.4557279689026536,0,0.0,0.5722061022702475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,2,2.0,0.0476190476190476,7.846920660882155,42,89.0,2.119047619047619,36.0,0.8571428571428571,1,25.0,0.0,7.149136921838554,1.0,1.0,25,0,7.0,0.6543934596278784,1,18.0,0.5016779802881915,0,0.0,0.685697693768773,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,7,42.0,0.8936170212765957,8.162564919342,47,129.0,2.74468085106383,40.0,0.851063829787234,7,51.0,26.0,6.938842704891141,1.8888888888888888,1.8888888888888888,27,1,6.0,0.5247956197867116,3,25.0,0.6287957759665617,3,17.0,0.315223129261074,0,3.0,0.8846246126977295,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,16,119.0,2.5319148936170213,5.9055355883594345,47,181.0,3.851063829787234,52.0,1.1063829787234043,16,130.0,79.0,3.5146871765154093,4.482758620689655,4.482758620689655,29,1,14.0,0.6475036647689085,7,52.0,0.2425310049170391,5,51.0,0.1557369190788934,3,10.0,0.0800531551203449,0,0.0,1.0,0,3.0,0.8220785917639686,0,0.0,1.0,0,0.0,1.0
80.0,1,3.0,0.0625,8.171687797435222,48,238.0,4.958333333333333,57.0,1.1875,1,67.0,0.0,6.941749237130449,2.68,2.68,25,1,9.0,0.6627384849418416,0,15.0,0.6966717271402296,0,40.0,0.4397998559347963,0,3.0,0.4607949028642624,0,0.0,1.0,0,0.0,0.6284912533031847,0,0.0,1.0,0,0.0,1.0
