step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,3,2.0,0.1333333333333333,6.256291727177165,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1,2.0,2.0,7.84456830850273,0.5,0.5,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0006441555081676,0,0.0,1.0,0,0.0,0.6432496943295225,0,0.0,0.8240232973990487,0,0.0,1.0
24.0,7,23.0,1.0,5.145653179411054,23,23.0,1.0,21.0,0.9130434782608696,2,13.0,11.0,5.885478487968841,1.8571428571428568,1.8571428571428568,7,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,0,0.0,0.9841161778534026,1,3.0,0.3726725078667912,0,0.0,1.0
32.0,7,35.0,1.09375,5.789501155305531,32,72.0,2.25,49.0,1.53125,2,9.0,0.0,7.422199911506065,1.125,1.125,8,0,0.0,1.0,0,0.0,1.0,0,2.0,0.2946571236536374,0,0.0,1.0,1,4.0,0.4247214236498702,1,3.0,0.5947168244624516,0,0.0,1.0
40.0,4,9.0,0.2045454545454545,7.612029075788337,44,115.0,2.613636363636364,43.0,0.9772727272727272,2,16.0,7.0,8.80969047415429,1.0,1.0,16,0,0.0,1.0,0,0.0,0.6738840889998557,0,0.0,1.0,1,1.0,0.515079117952697,0,6.0,0.8719879174370765,1,9.0,0.5883935927051821,0,0.0,0.805544916906961
48.0,10,24.0,0.4528301886792453,6.760876004923775,53,148.0,2.792452830188679,33.0,0.6226415094339622,3,32.0,16.0,8.075393394537244,1.8823529411764703,1.8823529411764703,17,0,4.0,0.7828679153880739,0,12.0,0.9817980085923752,0,0.0,1.0,0,1.0,0.9767793397530612,1,8.0,0.3921837321000408,1,4.0,0.5198383536439678,1,3.0,3.128689360050338e-05
56.0,7,21.0,0.3962264150943396,8.203056079586693,53,213.0,4.018867924528302,65.0,1.2264150943396226,4,56.0,24.0,8.734660322690644,2.6666666666666665,2.6666666666666665,21,0,0.0,0.6213356586180917,0,1.0,0.8987643162281842,0,0.0,0.9878189922544052,0,0.0,0.9534849684370068,0,35.0,0.8676265658872225,4,20.0,0.16465254712479,0,0.0,1.0
64.0,9,25.0,0.4310344827586206,7.478149285390802,58,227.0,3.913793103448276,14.0,0.2413793103448276,8,97.0,41.0,4.076857162264693,4.409090909090909,4.409090909090909,22,0,0.0,0.9671640647590946,0,0.0,1.0,0,0.0,1.0,2,4.0,0.2709406152792174,3,17.0,0.3222638148481453,2,76.0,0.2310560742077434,1,0.0,0.0
72.0,12,39.0,0.639344262295082,6.345738207444493,61,264.0,4.327868852459017,37.0,0.6065573770491803,4,54.0,0.0,5.560045605125443,2.7,2.7,20,0,0.0,0.8647880420677505,0,0.0,1.0,1,1.0,0.4602707359481026,2,12.0,0.3230498559682709,0,9.0,0.2877307683854484,1,32.0,0.3419551188891443,0,0.0,0.6982561864598883
80.0,17,113.0,1.6865671641791045,6.984681235048246,67,345.0,5.149253731343284,81.0,1.208955223880597,6,66.0,12.0,6.909494443621253,3.0,3.0,22,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4748724311265743,0,0.0,1.0,4,29.0,0.5060869394654288,1,36.0,0.5357959395773563,0,0.0,1.0
