Type,Score,Model,Position
system_total_waiting_time,49.87630933808781,ob10,1
system_total_waiting_time,55.90244449428123,ob11,2
system_total_waiting_time,59.26178244360062,ob6,3
system_total_waiting_time,72.7568950177936,ob1,4
system_total_waiting_time,79.75691347011596,ob5,5
system_total_waiting_time,88.08711190529372,ob9,6
system_total_waiting_time,192.13073496659243,ob4,7
system_total_waiting_time,768.4421193232413,ob2,8
system_total_waiting_time,3072.1081382385732,ob3,9
system_total_waiting_time,6996.736782902137,ob7,10
system_total_waiting_time,16285.940125111707,ob8,11
system_total_waiting_time,17899.109775105768,ob12,12
system_accumulated_waiting_time (100),374.13394250055717,ob10,1
system_accumulated_waiting_time (100),421.6568737385064,ob11,2
system_accumulated_waiting_time (100),422.714764351128,ob6,3
system_accumulated_waiting_time (100),424.0751561106155,ob5,4
system_accumulated_waiting_time (100),534.0071476435113,ob9,5
system_accumulated_waiting_time (100),535.959074733096,ob1,6
system_accumulated_waiting_time (100),831.5723830734967,ob4,7
system_accumulated_waiting_time (100),1005.5959483526269,ob2,8
system_accumulated_waiting_time (100),2238.9491638795985,ob3,9
system_accumulated_waiting_time (100),6771.373903262092,ob7,10
system_accumulated_waiting_time (100),9995.212243074173,ob8,11
system_accumulated_waiting_time (100),14365.708750835003,ob12,12
system_total_stopped,7.934254513037664,ob10,1
system_total_stopped,8.33028545941124,ob5,2
system_total_stopped,8.583538910069523,ob11,3
system_total_stopped,8.856600402054948,ob6,4
system_total_stopped,9.18025463480009,ob9,5
system_total_stopped,9.652580071174377,ob1,6
system_total_stopped,10.42742474916388,ob3,7
system_total_stopped,10.493544078361532,ob2,8
system_total_stopped,10.995768374164811,ob4,9
system_total_stopped,19.74977658623771,ob8,10
system_total_stopped,23.595500562429695,ob7,11
system_total_stopped,29.443108439100424,ob12,12
system_mean_waiting_time,0.7862896648314742,ob10,1
system_mean_waiting_time,0.8560604105068812,ob11,2
system_mean_waiting_time,0.9134020327880744,ob6,3
