step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.700110875718139,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5363885675789788,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1075147044862445,0,0.0,1.0
16.0,3,1.0,0.0666666666666666,5.71026572412228,15,1.0,0.0666666666666666,1.0,0.0666666666666666,1,1.0,1.0,6.8375299863210985,0.25,0.25,4,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0019234511449608,0,0.0,1.0,0,0.0,0.4996961643503555,0,0.0,0.6422053712575548,0,0.0,1.0
24.0,4,8.0,0.3478260869565217,7.116708777932602,23,15.0,0.6521739130434783,14.0,0.6086956521739131,2,8.0,7.0,6.828658106707131,1.1428571428571428,1.1428571428571428,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8951181199062125,2,8.0,0.3161337931647147,0,0.0,1.0
32.0,1,0.0,0.0,8.375457846200764,32,25.0,0.78125,10.0,0.3125,0,6.0,0.0,8.124483283825764,0.8571428571428571,0.8571428571428571,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6799399000211598,0,3.0,0.5545812713126123,0,0.0,1.0
40.0,5,12.0,0.2857142857142857,8.670661337499293,42,40.0,0.9523809523809524,15.0,0.3571428571428571,4,28.0,22.0,8.33262331517099,1.1666666666666667,1.1666666666666667,24,0,0.0,1.0,0,6.0,0.7258170202777192,0,0.0,1.0,0,0.0,0.996883450929516,0,7.0,0.8273421551761826,4,15.0,0.3741353780214977,0,0.0,0.7692458758088613
48.0,7,19.0,0.3958333333333333,7.000582566817044,48,85.0,1.7708333333333333,45.0,0.9375,4,41.0,13.0,7.070096687191619,1.64,1.64,25,0,0.0,0.9010800965992304,1,7.0,0.4357965561393884,0,0.0,1.0,1,2.0,0.5728049506000517,0,6.0,0.8634130203949809,1,17.0,0.3699340615845032,1,9.0,0.3555497452387963
56.0,6,26.0,0.5098039215686274,7.846158378902339,51,135.0,2.647058823529412,50.0,0.9803921568627452,4,35.0,0.0,7.462088404097624,1.6666666666666667,1.6666666666666667,21,0,0.0,1.0,0,0.0,0.9624370515757223,0,0.0,1.0,1,7.0,0.2015174821095862,0,10.0,0.9188637962101088,3,18.0,0.3865366171262819,0,0.0,1.0
64.0,8,45.0,0.7894736842105263,8.132837429961251,57,157.0,2.754385964912281,22.0,0.3859649122807017,7,63.0,28.0,5.535185148136773,2.863636363636364,2.863636363636364,22,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7468891896700828,3,13.0,0.2498925520052962,0,0.0,0.8353257578496055,3,47.0,0.3370201694499795,1,0.0,0.0
72.0,17,55.0,0.9166666666666666,5.837829974257948,60,219.0,3.65,62.0,1.0333333333333334,14,67.0,4.0,3.470733598372424,2.576923076923077,2.576923076923077,26,0,0.0,1.0,0,0.0,1.0,2,10.0,0.002573243300348,1,3.0,0.1274439025086797,0,4.0,0.5504546193290596,11,50.0,0.1676196989053227,0,0.0,0.7318149782918415
80.0,12,55.0,0.859375,6.415414185760508,64,321.0,5.015625,102.0,1.59375,4,94.0,27.0,5.464292835238044,4.086956521739131,4.086956521739131,23,0,0.0,0.979588187229863,0,0.0,1.0,2,25.0,0.325398546959519,1,5.0,0.0,0,12.0,0.5525881916537858,1,46.0,0.2917976615407544,0,6.0,0.7363646336867951
