step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694927,0.0,0.0,1,0,0.0,0.6897058233002138
16.0,1,4.0,1.3333333333333333,7.402747044725895,3,4.0,1.3333333333333333,4.0,1.3333333333333333,1,4.0,4.0,4.180441902363138,2.0,2.0,2,1,4.0,0.3227476744776441
24.0,3,15.0,1.875,5.178021727530455,8,15.0,1.875,11.0,1.375,3,15.0,11.0,3.886656704174025,2.142857142857143,2.142857142857143,7,3,15.0,0.2579097500482264
32.0,4,38.0,4.75,6.922768066719041,8,38.0,4.75,23.0,2.875,4,38.0,23.0,6.922768066719042,4.75,4.75,8,4,38.0,0.4318073766788686
40.0,4,70.0,7.0,7.660919059501687,10,70.0,7.0,32.0,3.2,4,70.0,32.0,6.822117225293435,8.75,8.75,8,4,70.0,0.4674460711763209
48.0,4,102.0,7.846153846153846,6.330932522801185,13,102.0,7.846153846153846,32.0,2.4615384615384617,4,102.0,32.0,5.775849843043591,9.272727272727272,9.272727272727272,11,4,102.0,0.3778480979850753
56.0,1,4.0,0.25,7.204266096416722,16,128.0,8.0,26.0,1.625,1,54.0,0.0,5.679588056153445,6.0,6.0,9,1,54.0,0.3452180865013498
64.0,6,27.0,1.6875,5.552917270861576,16,147.0,9.1875,19.0,1.1875,5,26.0,0.0,3.90497161078269,2.363636363636364,2.363636363636364,11,5,26.0,0.2330986775199739
72.0,2,1.0,0.0588235294117647,5.864309334326928,17,104.0,6.117647058823529,0.0,0.0,2,15.0,0.0,3.346327814389191,1.3636363636363635,1.3636363636363635,11,2,15.0,0.1888045315767318
80.0,7,20.0,1.1764705882352942,4.228762855530382,17,48.0,2.823529411764706,0.0,0.0,7,36.0,21.0,3.445256000397089,2.25,2.25,16,7,36.0,0.2201220266965491
88.0,8,52.0,2.260869565217391,4.698010693186683,23,98.0,4.260869565217392,50.0,2.1739130434782608,8,86.0,50.0,4.395134738594196,4.095238095238095,4.095238095238095,21,8,86.0,0.2917395643621539
96.0,13,131.0,4.678571428571429,4.267052046344837,28,168.0,6.0,70.0,2.5,13,168.0,82.0,4.267052046344837,6.0,6.0,28,13,168.0,0.2889343964817881
104.0,9,60.0,1.7647058823529411,5.794169310325445,34,267.0,7.852941176470588,99.0,2.911764705882353,9,168.0,0.0,5.360562112188552,5.793103448275862,5.793103448275862,29,9,168.0,0.349884996861824
112.0,7,33.0,0.9166666666666666,7.854266028873448,36,209.0,5.805555555555555,0.0,0.0,7,75.0,0.0,5.934477371510405,2.7777777777777777,2.7777777777777777,27,7,75.0,0.3689736554950735
120.0,14,105.0,3.5,3.8935095856375264,30,136.0,4.533333333333333,0.0,0.0,14,136.0,61.0,3.5548519898820854,4.689655172413793,4.689655172413793,29,14,136.0,0.2414306870985265
128.0,15,182.0,5.2,4.023708005973158,35,265.0,7.571428571428571,129.0,3.6857142857142855,15,210.0,74.0,3.030379339327554,7.241379310344827,7.241379310344827,29,15,210.0,0.2009165790188604
136.0,14,157.0,4.361111111111111,3.891405713232567,36,315.0,8.75,50.0,1.3888888888888888,14,217.0,7.0,3.060143240302954,7.0,7.0,31,14,217.0,0.2159321908869181
144.0,23,318.0,9.085714285714284,2.948434505725776,35,378.0,10.8,63.0,1.8,23,362.0,145.0,1.8736401773704288,11.3125,11.3125,32,23,362.0,0.1392756441702224
152.0,20,316.0,7.9,3.659995612803964,40,553.0,13.825,175.0,4.375,20,451.0,89.0,2.8224747379849755,12.885714285714286,12.885714285714286,35,20,451.0,0.1961116255124309
