step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3268124463580948
16.0,0,0.0,0.0,8.01692360566698,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.969504840951399,0.0,0.0,3,0,0.0,1.0,0,0.0,0.5441184040775258,0,0.0,0.959419166900201
24.0,4,11.0,0.6875,6.986947214487442,16,11.0,0.6875,11.0,0.6875,3,11.0,11.0,3.3115097547366785,2.2,2.2,5,2,8.0,0.0001351782361109,0,0.0,0.9368411773922416,1,3.0,5.207325341604691e-05
32.0,4,14.0,0.56,7.534151877797456,25,29.0,1.16,18.0,0.72,2,14.0,3.0,3.250082892002311,2.0,2.0,7,0,0.0,0.3496679424127911,1,3.0,0.2722803810732592,1,11.0,0.0
40.0,7,38.0,1.2258064516129032,6.70412288010866,31,58.0,1.870967741935484,29.0,0.935483870967742,6,35.0,21.0,3.618065111645676,2.9166666666666665,2.9166666666666665,12,4,16.0,0.2215239519905434,1,0.0,0.3942130593535209,1,19.0,0.3518044061899999
48.0,11,51.0,1.3076923076923077,7.89242331399963,39,100.0,2.5641025641025643,42.0,1.0769230769230769,7,45.0,10.0,5.793481896002259,3.75,3.75,12,3,33.0,0.3626000346022552,3,12.0,0.4771700736283887,1,0.0,0.0
56.0,14,136.0,3.4,7.333725876630723,40,175.0,4.375,75.0,1.875,8,95.0,50.0,2.95396818152538,7.916666666666667,7.916666666666667,12,4,61.0,0.1866203013701965,4,34.0,0.1876122446162817,0,0.0,0.9899590123064912
64.0,7,83.0,1.7291666666666667,8.582915736583667,48,250.0,5.208333333333333,75.0,1.5625,5,104.0,9.0,7.381783890565832,4.9523809523809526,4.9523809523809526,21,0,30.0,0.7093077881072806,5,74.0,0.4596583949043865,0,0.0,0.7720544879715379
72.0,19,159.0,2.9444444444444446,5.694943773581081,54,312.0,5.777777777777778,62.0,1.148148148148148,18,214.0,110.0,1.6682261079986174,8.23076923076923,8.23076923076923,26,5,58.0,0.0812876945826812,11,151.0,0.0669812361883196,2,5.0,0.4515474636647426
80.0,10,84.0,1.4736842105263157,7.413761829728885,57,432.0,7.578947368421052,120.0,2.1052631578947367,8,173.0,0.0,3.733838639006589,7.521739130434782,7.521739130434782,23,6,104.0,0.1682275185676746,1,56.0,0.3487383099071005,1,13.0,0.4499043716039425
