step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,3.0,0.2142857142857142,8.284117628126944,14,4.0,0.2857142857142857,3.0,0.2142857142857142,1,4.0,4.0,8.714928758677427,0.4,0.4,10,0,0.0,0.6673908485509094,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,4,24.0,1.2,7.619265194085713,20,25.0,1.25,21.0,1.05,4,25.0,21.0,6.976324981995818,1.6666666666666667,1.6666666666666667,15,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7467422251582096,4,25.0,0.0540607930259989,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,2.0,0.08,8.585068624291528,25,50.0,2.0,25.0,1.0,1,25.0,0.0,8.01702606781685,1.3888888888888888,1.3888888888888888,18,1,2.0,0.5022581301647838,0,0.0,0.5614921008010101,0,0.0,0.809179637605357,0,23.0,0.1776309581737938,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,6,26.0,0.7428571428571429,7.739554101636682,35,74.0,2.1142857142857143,24.0,0.6857142857142857,6,49.0,24.0,7.056341298703327,1.8148148148148149,1.8148148148148149,27,1,10.0,0.5587843322198802,1,0.0,0.7334047239408635,0,0.0,0.7083969836330788,3,34.0,0.0003531280575797,0,0.0,1.0,0,0.0,1.0,1,5.0,8.08614303070768e-06,0,0.0,1.0
48.0,11,72.0,1.894736842105263,6.152019820827681,38,136.0,3.5789473684210527,62.0,1.631578947368421,11,98.0,49.0,5.089825984565246,3.2666666666666666,3.2666666666666666,30,0,0.0,0.6052180052715719,4,10.0,0.4994230242762884,3,17.0,0.4545349324465258,3,58.0,0.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0
56.0,7,30.0,0.7142857142857143,6.708961347001797,42,200.0,4.761904761904762,64.0,1.5238095238095235,6,77.0,0.0,5.363749092221637,2.851851851851852,2.851851851851852,27,1,6.0,0.3362533431967988,3,28.0,0.4489972221470813,2,23.0,0.4568507765398524,0,20.0,0.6241274848254961,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,10,71.0,1.5434782608695652,7.220082268702796,46,243.0,5.282608695652174,43.0,0.9347826086956522,10,83.0,6.0,5.476462967794634,3.074074074074074,3.074074074074074,27,0,0.0,0.7083482224162054,10,80.0,0.321923956616991,0,3.0,0.5943579124414466,0,0.0,0.839193567656967,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,8,60.0,1.25,7.040118051747773,48,302.0,6.291666666666667,59.0,1.2291666666666667,8,93.0,10.0,4.383185096015939,4.227272727272728,4.227272727272728,22,0,3.0,0.8804046131743142,5,78.0,0.330043810640661,0,0.0,0.9917291236376802,3,12.0,0.2419935611006354,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,9,58.0,1.2083333333333333,7.079398729345662,48,349.0,7.270833333333333,47.0,0.9791666666666666,9,137.0,44.0,5.723834510413914,4.419354838709677,4.419354838709677,31,1,16.0,0.7585045509398268,3,78.0,0.5230326685864832,0,0.0,0.7100022216323524,5,39.0,0.1575312951814678,0,0.0,1.0,0,4.0,0.9467909811774629,0,0.0,1.0,0,0.0,1.0
