step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,10.06415229579676,14,1.0,0.0714285714285714,0.0,0.0,0,1.0,1.0,11.04020644347495,0.125,0.125,8,0,0.0,0.7668233822748977,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,5.0,0.25,8.936020449433762,20,6.0,0.3,5.0,0.25,2,6.0,5.0,8.402774299587989,0.4615384615384615,0.4615384615384615,13,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7467422251582096,2,6.0,0.194738749544345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,4,29.0,1.16,8.22507904008416,25,30.0,1.2,24.0,0.96,4,30.0,24.0,7.3819732213288445,1.5789473684210529,1.5789473684210529,19,0,0.0,0.6688090828813836,0,0.0,0.6139259829653365,1,2.0,0.6485009429853301,3,28.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,3,9.0,0.28125,8.078538956344488,32,56.0,1.75,26.0,0.8125,3,20.0,0.0,7.957755977329622,0.8333333333333334,0.8333333333333334,24,0,0.0,0.9130925463611428,2,4.0,0.628821776150964,0,0.0,0.6028824284482046,0,11.0,0.3518189068109033,0,0.0,1.0,0,0.0,1.0,1,5.0,8.245960664339666e-06,0,0.0,1.0
48.0,8,43.0,1.162162162162162,7.916912585054934,37,90.0,2.4324324324324325,34.0,0.918918918918919,8,56.0,36.0,6.631611588916027,2.24,2.24,25,2,5.0,0.4915996058300406,4,21.0,0.5426385357245735,0,0.0,0.6631955063396697,1,17.0,0.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0
56.0,9,68.0,1.6585365853658536,6.154918722269961,41,149.0,3.634146341463415,59.0,1.4390243902439024,8,96.0,40.0,5.014863358039992,3.310344827586207,3.310344827586207,29,2,21.0,0.4783579689119004,1,20.0,0.4046475693016044,3,9.0,0.4170006224067249,1,25.0,0.473210618771609,0,0.0,1.0,0,0.0,1.0,1,21.0,0.0,0,0.0,1.0
64.0,12,109.0,2.369565217391304,6.70450335070999,46,235.0,5.108695652173913,86.0,1.8695652173913044,12,114.0,18.0,5.26951255255066,3.931034482758621,3.931034482758621,29,1,6.0,0.4164130322195759,4,32.0,0.4720186646026807,6,47.0,0.241441975776603,0,0.0,0.8710657827192398,0,0.0,1.0,0,0.0,0.7047960467745691,1,29.0,0.0,0,0.0,1.0
72.0,15,160.0,3.404255319148936,5.853175417967906,47,323.0,6.872340425531915,88.0,1.872340425531915,15,171.0,57.0,3.364144091595316,6.576923076923077,6.576923076923077,26,1,11.0,0.6910385492867003,2,8.0,0.3073008152268914,7,99.0,0.115618857911352,3,11.0,0.0792183139714774,0,0.0,1.0,1,5.0,0.0,1,37.0,0.0,0,0.0,1.0
80.0,8,119.0,2.38,7.247917655636083,50,420.0,8.4,97.0,1.94,8,207.0,36.0,5.631497205905405,6.9,6.9,30,2,29.0,0.6667764552807771,3,31.0,0.3824376909753266,2,94.0,0.3115107119507522,0,5.0,0.3856582938811883,0,0.0,1.0,0,3.0,0.9295122712382544,1,45.0,0.0,0,0.0,1.0
96.0,19,278.0,6.043478260869565,6.024543596508621,46,590.0,12.826086956521738,129.0,2.8043478260869565,19,398.0,132.0,3.591704452521472,13.724137931034482,13.724137931034482,29,2,10.0,0.0011893056525691,7,128.0,0.2726374656433563,5,150.0,0.358287551881553,4,45.0,0.1796617509636019,0,0.0,0.923405942518431,0,0.0,1.0,1,65.0,0.4953990533362159,0,0.0,1.0
104.0,15,269.0,5.723404255319149,5.716174716333673,47,703.0,14.95744680851064,113.0,2.404255319148936,14,435.0,37.0,2.794080278817498,17.4,17.4,25,2,26.0,0.0,4,107.0,0.4107332865215155,7,203.0,0.1511600397740144,0,27.0,0.4994418351248376,0,0.0,1.0,0,3.0,0.9561068430716576,1,69.0,0.0,0,0.0,1.0
112.0,15,301.0,6.543478260869565,5.928422847192344,46,790.0,17.17391304347826,87.0,1.891304347826087,15,433.0,0.0,3.3878846357658183,18.041666666666668,18.041666666666668,24,2,45.0,0.4428169862575359,2,31.0,0.4117246641586119,9,274.0,0.0853561800447905,0,0.0,1.0,0,0.0,1.0,1,6.0,4.537297195857649e-05,1,77.0,0.6498973188170006,0,0.0,1.0
120.0,6,106.0,2.355555555555556,7.300208080499974,45,796.0,17.68888888888889,6.0,0.1333333333333333,6,281.0,0.0,6.152378572587499,10.807692307692308,10.807692307692308,26,2,71.0,0.6417224622850692,0,7.0,0.9118095646208768,2,184.0,0.2348562235038391,0,0.0,0.4028386909186833,0,0.0,1.0,1,17.0,0.4421311776151584,1,2.0,0.3839380178434319,0,0.0,1.0
128.0,8,86.0,1.7551020408163265,7.001075226134113,49,836.0,17.06122448979592,40.0,0.8163265306122449,7,202.0,0.0,5.644173403084309,7.769230769230769,7.769230769230769,26,2,87.0,0.5112036615750007,2,16.0,0.5597318158037882,0,88.0,0.4263718487327015,2,9.0,0.1865739069078241,0,0.0,1.0,1,2.0,0.0004677930152653,0,0.0,1.0,0,0.0,1.0
136.0,6,46.0,0.92,8.31865683685809,50,847.0,16.94,11.0,0.22,6,143.0,0.0,6.251386122433258,5.296296296296297,5.296296296296297,27,2,29.0,0.3402512248990693,0,19.0,0.8010896490741884,1,51.0,0.3749124459270564,2,28.0,0.3330076674850767,0,0.0,1.0,1,13.0,0.3332516335772165,0,3.0,0.69351624913757,0,0.0,1.0
144.0,12,105.0,2.1,7.4838444378201405,50,889.0,17.78,42.0,0.84,11,165.0,22.0,5.568478992624416,6.346153846153846,6.346153846153846,26,5,59.0,0.2756343714182256,3,34.0,0.5621735736959065,1,22.0,0.6635498961889229,2,47.0,0.4673267430439743,0,0.0,1.0,0,3.0,0.9458876405126114,0,0.0,1.0,0,0.0,0.9153261043414644
152.0,11,118.0,2.36,6.976353424766168,50,917.0,18.34,28.0,0.56,11,188.0,23.0,4.840662548557519,6.482758620689655,6.482758620689655,29,1,43.0,0.3856749030774801,4,49.0,0.5114907780429123,2,31.0,0.4800692804873284,4,65.0,0.1352500622627594,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7248617362242452,0,0.0,0.6653343968536803
168.0,7,73.0,1.697674418604651,7.789381094712684,43,917.0,21.32558139534884,36.0,0.8372093023255814,7,152.0,0.0,6.827093779243891,5.62962962962963,5.62962962962963,27,1,20.0,0.7207587090142565,1,8.0,0.7904934258855388,3,77.0,0.3879269172167838,2,43.0,0.086936479876543,0,0.0,1.0,0,4.0,0.8952896407089443,0,0.0,1.0,0,0.0,0.992077190223461
176.0,10,85.0,1.9318181818181817,7.340474145398992,44,866.0,19.681818181818183,0.0,0.0,9,113.0,0.0,5.759507936649743,4.913043478260869,4.913043478260869,23,0,5.0,0.7297406387277029,4,19.0,0.4991990912034243,1,58.0,0.6113153972960786,2,22.0,0.0,0,0.0,0.827680095943928,2,9.0,0.0024179939685535,0,0.0,0.9292256810215196,0,0.0,1.0
184.0,6,40.0,0.9090909090909092,8.108831529347432,44,826.0,18.772727272727277,0.0,0.0,5,60.0,0.0,6.452646667907705,3.0,3.0,20,1,1.0,0.6305562091236627,2,26.0,0.6375205240826533,0,8.0,0.9278921410109668,0,0.0,0.591909206859223,0,0.0,1.0,2,25.0,0.2902108176317642,0,0.0,1.0,0,0.0,1.0
192.0,5,57.0,1.2391304347826086,8.728819184943463,46,802.0,17.434782608695652,0.0,0.0,5,73.0,13.0,7.411937073028736,3.65,3.65,20,0,1.0,0.923881323657756,3,46.0,0.5046595250170656,0,11.0,0.7977379685218456,2,14.0,0.0,0,0.0,1.0,0,1.0,0.4184333828399182,0,0.0,1.0,0,0.0,1.0
200.0,5,62.0,1.55,9.006859718528462,40,719.0,17.975,0.0,0.0,5,85.0,12.0,8.120127874701451,3.863636363636364,3.863636363636364,22,1,3.0,0.7579206921882812,1,28.0,0.5683207352448345,0,11.0,0.9582598858113358,2,30.0,0.0,0,0.0,1.0,1,6.0,0.6295137140599568,0,7.0,0.7450185308079282,0,0.0,1.0
208.0,8,66.0,1.6097560975609757,7.050617881300135,41,689.0,16.804878048780488,0.0,0.0,8,80.0,0.0,4.522896274617932,4.2105263157894735,4.2105263157894735,19,1,11.0,0.5479912517555554,4,47.0,0.1696634820202856,1,11.0,0.6221437952714082,0,0.0,0.5999347466512189,0,0.0,1.0,1,5.0,0.3208528732417703,1,6.0,1.3438077738088464e-05,0,0.0,1.0
216.0,9,76.0,1.7674418604651163,7.308949306315664,43,650.0,15.116279069767442,0.0,0.0,8,94.0,14.0,5.336757334376322,4.086956521739131,4.086956521739131,23,2,21.0,0.3220617751071666,4,43.0,0.2391849031249691,2,23.0,0.3284626948921814,0,0.0,0.6191053130371122,0,0.0,0.4353515267810953,0,7.0,0.687174637813858,0,0.0,1.0,0,0.0,0.9493461722379368
224.0,10,68.0,1.619047619047619,7.224417944928555,42,638.0,15.19047619047619,0.0,0.0,9,97.0,3.0,5.784484066790686,4.409090909090909,4.409090909090909,22,2,40.0,0.373354450508966,1,11.0,0.6150790943503927,0,4.0,0.8383824069689741,3,14.0,0.000562680058958,0,0.0,1.0,3,25.0,0.3770601620124805,0,3.0,0.5593291894817698,0,0.0,0.9140426778055282
232.0,9,90.0,2.25,7.747211472391099,40,612.0,15.3,0.0,0.0,9,113.0,16.0,5.562371814269433,5.947368421052632,5.947368421052632,19,0,7.0,0.9363478630065144,2,16.0,0.3470871633257224,0,4.0,0.9688912830909636,3,38.0,0.0,0,0.0,1.0,4,48.0,7.736260669838204e-05,0,0.0,0.7456968162011254,0,0.0,1.0
240.0,5,39.0,1.1142857142857143,7.638471903991256,35,622.0,17.771428571428572,10.0,0.2857142857142857,5,75.0,0.0,5.510627253814934,5.0,5.0,15,1,6.0,0.4353930596847609,3,39.0,0.3847959237442188,1,6.0,0.4892325360791343,0,0.0,0.9849302375748552,0,0.0,1.0,0,24.0,0.3252742729139792,0,0.0,1.0,0,0.0,1.0
248.0,4,21.0,0.65625,7.63115464440451,32,421.0,13.15625,0.0,0.0,4,32.0,0.0,4.809971717797347,3.555555555555556,3.555555555555556,9,3,22.0,0.2319181898348187,0,5.0,0.8178604009583685,1,5.0,0.4382835582975937,0,0.0,0.9319126811472532,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
256.0,5,56.0,1.8064516129032255,7.73186725874504,31,412.0,13.290322580645162,0.0,0.0,5,75.0,43.0,5.901541286536274,5.769230769230769,5.769230769230769,13,3,47.0,0.4736896776712687,0,5.0,0.9203850325106284,1,13.0,0.4503642713040275,1,6.0,0.4202443908419009,0,0.0,1.0,0,4.0,0.8773518334474739,0,0.0,1.0,0,0.0,1.0
264.0,5,83.0,2.7666666666666666,7.256685610480978,30,339.0,11.3,0.0,0.0,5,98.0,23.0,6.229561631659689,6.533333333333333,6.533333333333333,15,3,71.0,0.4827954951263175,1,10.0,0.5203942966139169,0,3.0,0.9810175709257032,1,14.0,0.3794570704198866,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9356925344613496,0,0.0,1.0
272.0,6,109.0,2.945945945945946,7.306445465087866,37,382.0,10.324324324324325,43.0,1.162162162162162,6,121.0,23.0,6.103532314813831,6.368421052631579,6.368421052631579,19,5,100.0,0.2684873625013615,1,18.0,0.628496575278945,0,3.0,0.9424683495758897,0,0.0,0.462164590752269,0,0.0,1.0,0,0.0,0.9659960386385956,0,0.0,0.9257723549881504,0,0.0,1.0
280.0,4,34.0,0.8947368421052632,7.574153130859718,38,404.0,10.63157894736842,22.0,0.5789473684210527,3,56.0,0.0,6.683269773445966,3.294117647058824,3.294117647058824,17,1,18.0,0.6791818974158924,1,26.0,0.5077094761374796,0,3.0,0.8570642228273054,1,6.0,0.0,0,0.0,0.6409127119786026,0,3.0,0.3562544354484482,0,0.0,1.0,0,0.0,1.0
