step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,10.06415229579676,14,1.0,0.0714285714285714,0.0,0.0,0,1.0,1.0,11.04020644347495,0.125,0.125,8,0,0.0,0.7668233822748977,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,5.0,0.25,8.548584926411976,20,6.0,0.3,5.0,0.25,2,6.0,5.0,8.353412038994609,0.4285714285714285,0.4285714285714285,14,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7262880127585689,2,6.0,0.194738749544345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,4,30.0,1.2,7.897880014151404,25,32.0,1.28,26.0,1.04,4,31.0,25.0,7.601466533904876,1.631578947368421,1.631578947368421,19,1,3.0,0.5017393977163687,0,0.0,0.6139259829653365,0,0.0,0.7652455609923097,3,28.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,4,20.0,0.6060606060606061,8.380354630302532,33,61.0,1.8484848484848484,29.0,0.8787878787878788,4,31.0,0.0,7.948967516740382,1.2916666666666667,1.2916666666666667,24,1,11.0,0.5587843322198802,2,4.0,0.6619806373620691,0,0.0,0.8045276477749951,0,11.0,0.3518189068109033,0,0.0,1.0,0,0.0,1.0,1,5.0,8.245960664339666e-06,0,0.0,1.0
48.0,8,52.0,1.3333333333333333,7.44872455551805,39,101.0,2.58974358974359,40.0,1.0256410256410255,8,52.0,21.0,5.442178763843738,2.1666666666666665,2.1666666666666665,24,3,31.0,0.1970100556748952,5,21.0,0.4086769048505523,0,0.0,0.7063767393294293,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,5,20.0,0.4761904761904761,6.83549196133039,42,151.0,3.595238095238096,50.0,1.1904761904761905,4,42.0,0.0,5.997916155656696,1.5555555555555556,1.5555555555555556,27,0,5.0,0.4444925782767288,3,36.0,0.4428854804639051,1,1.0,0.5777077159565203,0,0.0,0.9314968355009487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,5,19.0,0.4130434782608695,7.838647087474054,46,191.0,4.152173913043479,40.0,0.8695652173913043,5,51.0,9.0,7.092576356866866,1.7586206896551724,1.7586206896551724,29,1,12.0,0.5811697129873481,4,36.0,0.529998059144393,0,3.0,0.5983808667786611,0,0.0,0.778436641308559,0,0.0,1.0,0,0.0,0.7221260173757279,0,0.0,1.0,0,0.0,1.0
72.0,18,101.0,2.1041666666666665,5.643481313904613,48,252.0,5.25,61.0,1.2708333333333333,17,136.0,85.0,3.735591099567515,4.533333333333333,4.533333333333333,30,0,10.0,0.9725711354656692,10,93.0,0.2447996906702825,3,17.0,0.2270175265570181,3,11.0,0.0456410851333676,0,0.0,1.0,1,5.0,0.0,0,0.0,1.0,0,0.0,1.0
80.0,9,100.0,2.0,6.881814458190632,50,362.0,7.24,110.0,2.2,9,185.0,49.0,4.705156568133561,6.607142857142857,6.607142857142857,28,0,4.0,0.9789004642184348,5,125.0,0.4432235449951243,0,10.0,0.6121481039023745,4,43.0,0.1256322599689524,0,0.0,1.0,0,3.0,0.8984085971942802,0,0.0,1.0,0,0.0,1.0
88.0,13,100.0,1.96078431372549,6.696940891686744,51,438.0,8.588235294117647,76.0,1.4901960784313726,12,199.0,14.0,3.936113656455485,6.862068965517241,6.862068965517241,29,1,13.0,0.4500786735258161,3,84.0,0.4317665692642193,0,3.0,0.8476159070070789,7,91.0,0.116720921559373,0,0.0,1.0,1,8.0,0.1938833107256548,0,0.0,1.0,0,0.0,1.0
96.0,5,34.0,0.7727272727272727,7.411599470715666,44,471.0,10.704545454545457,33.0,0.75,5,166.0,0.0,6.512974295677488,5.928571428571429,5.928571428571429,28,1,27.0,0.7084648539597338,2,71.0,0.5390757962910977,0,3.0,0.9056055629428136,2,61.0,0.2566179400742996,0,0.0,0.9558265340565464,0,4.0,0.4373642690891551,0,0.0,1.0,0,0.0,1.0
104.0,9,44.0,1.0,7.773779808136154,44,468.0,10.636363636363637,0.0,0.0,8,128.0,0.0,7.051337369185178,5.12,5.12,25,0,13.0,0.8912922629017616,5,89.0,0.4041748930746583,2,8.0,0.4219594288371911,1,14.0,0.6338083060426762,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9646845911060432,0,0.0,1.0
112.0,6,47.0,1.0444444444444445,7.860936497438372,45,500.0,11.11111111111111,32.0,0.7111111111111111,6,112.0,0.0,5.501188565438863,7.0,7.0,16,0,11.0,0.6645065258900943,5,93.0,0.4305613847798105,0,3.0,0.982133112157793,1,5.0,9.578558407186156e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9273857927895088,0,0.0,1.0
120.0,0,0.0,0.0,9.54821532295562,48,520.0,10.833333333333334,20.0,0.4166666666666667,0,39.0,0.0,9.22597863360116,2.1666666666666665,2.1666666666666665,18,0,6.0,0.8460404133987882,0,27.0,0.8248177697310851,0,6.0,0.6681324181909312,0,0.0,0.6996534487287986,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9218630915083398,0,0.0,1.0
128.0,4,8.0,0.1632653061224489,8.884376471873944,49,469.0,9.571428571428571,0.0,0.0,3,28.0,0.0,8.189847206795132,1.4,1.4,20,1,7.0,0.8161270601790814,0,7.0,0.8280319445019968,0,8.0,0.6332147468167648,0,0.0,0.422938553166655,0,0.0,1.0,1,1.0,0.000576838493773,1,5.0,7.771356322373317e-06,0,0.0,1.0
136.0,3,8.0,0.1777777777777777,9.229399773756436,45,326.0,7.2444444444444445,0.0,0.0,3,29.0,1.0,7.997820115677562,1.380952380952381,1.380952380952381,21,2,7.0,0.5300284964508284,1,11.0,0.6761977669307273,0,5.0,0.7193165214301858,0,3.0,0.9207979319687928,0,0.0,1.0,0,3.0,0.8526449674891852,0,0.0,1.0,0,0.0,1.0
144.0,5,28.0,0.6363636363636364,8.692429586664991,44,336.0,7.636363636363637,10.0,0.2272727272727272,4,46.0,17.0,7.087236706384527,2.421052631578948,2.421052631578948,19,0,0.0,0.9035679003394392,3,31.0,0.4471272024166226,1,15.0,0.4276488872355142,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9630963597607058,0,0.0,1.0,0,0.0,1.0
152.0,6,37.0,0.8409090909090909,8.353915854769141,44,337.0,7.659090909090909,1.0,0.0227272727272727,5,54.0,8.0,6.420494706327823,2.571428571428572,2.571428571428572,21,1,7.0,0.5746499125396745,3,41.0,0.3841902148693184,0,0.0,0.704379777355848,0,0.0,0.427555623178351,0,0.0,1.0,1,3.0,0.4576421801116642,0,0.0,0.6686877302347218,0,3.0,0.9331508915930806
160.0,5,38.0,0.9743589743589745,7.732998134632078,39,319.0,8.179487179487179,0.0,0.0,5,62.0,8.0,6.066605373112134,3.1,3.1,20,2,26.0,0.6202963433795621,0,10.0,0.684241723277458,1,8.0,0.3893874805657551,0,0.0,0.2383762554757682,0,0.0,1.0,2,18.0,0.4531835502406037,0,0.0,1.0,0,0.0,1.0
168.0,3,25.0,0.6578947368421053,8.78451840422915,38,321.0,8.447368421052632,2.0,0.0526315789473684,3,53.0,0.0,6.826534405259068,2.9444444444444446,2.9444444444444446,18,1,28.0,0.5534830339016725,2,21.0,0.5640345047745678,0,3.0,0.9540068692923876,0,0.0,1.0,0,0.0,1.0,0,1.0,0.4784074689637712,0,0.0,1.0,0,0.0,1.0
176.0,4,20.0,0.5714285714285714,9.157829416037488,35,255.0,7.285714285714286,0.0,0.0,3,43.0,0.0,8.681657621719964,2.6875,2.6875,16,0,0.0,0.8896369311589647,2,29.0,0.5714042821122216,1,7.0,0.6611491233845995,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,7.0,0.8906154561426888,0,0.0,1.0
184.0,6,45.0,1.1538461538461535,8.372738841066864,39,281.0,7.205128205128205,26.0,0.6666666666666666,5,61.0,18.0,6.605697194623887,3.588235294117647,3.588235294117647,17,1,0.0,0.4885436565299176,3,45.0,0.4356975336775449,1,16.0,0.645424146197568,0,0.0,0.6624277897206049,0,0.0,1.0,0,0.0,0.9554701423920202,0,0.0,0.9440418249991266,0,0.0,1.0
192.0,9,95.0,2.7142857142857144,7.160258404006255,35,178.0,5.085714285714285,0.0,0.0,9,111.0,50.0,5.409026081620759,5.285714285714286,5.285714285714286,21,0,0.0,0.9443434737372132,5,78.0,0.2031990423765082,2,28.0,0.4068767218863003,1,3.0,0.0005181061085234,0,0.0,1.0,1,2.0,0.0017916706455152,0,0.0,1.0,0,0.0,0.9363874851072278
200.0,2,18.0,0.5806451612903226,8.230161522805009,31,214.0,6.903225806451613,36.0,1.1612903225806452,2,30.0,0.0,8.38270874235213,1.6666666666666667,1.6666666666666667,18,0,0.0,0.6010269386490118,2,24.0,0.4483066254010802,0,3.0,0.6369616664572603,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9375742107646088,0,0.0,0.4528927301488324,0,1.0,0.9648514480089568
208.0,8,68.0,1.9428571428571428,7.053750364218391,35,245.0,7.0,31.0,0.8857142857142857,8,79.0,49.0,5.196203181326799,4.647058823529412,4.647058823529412,17,3,18.0,0.3727772205382297,3,45.0,0.2294970718106213,0,3.0,0.974830512249386,0,0.0,0.578387835561425,0,0.0,1.0,1,6.0,0.0,1,7.0,0.0,0,0.0,0.9189946041280171
216.0,6,45.0,1.2162162162162162,6.767293298129112,37,222.0,6.0,0.0,0.0,5,64.0,0.0,5.594172974797276,3.555555555555556,3.555555555555556,18,4,43.0,0.1826395993443401,0,16.0,0.6969922892940233,1,5.0,0.4643425156484182,0,0.0,0.5949945986831221,0,0.0,0.3919606354516271,0,0.0,1.0,0,0.0,0.8915912841928219,0,0.0,1.0
224.0,5,24.0,0.6666666666666666,8.168069649572047,36,196.0,5.444444444444445,0.0,0.0,5,30.0,0.0,6.427743085514736,2.3076923076923075,2.3076923076923075,13,1,9.0,0.6098994986364265,1,2.0,0.6550210916183682,0,3.0,0.9357130154873368,3,13.0,0.0014983529810066,0,0.0,1.0,0,3.0,0.9685950584693488,0,0.0,0.1993092598934011,0,0.0,1.0
232.0,5,48.0,1.5,8.16067910781201,32,172.0,5.375,0.0,0.0,5,55.0,25.0,6.4434948420676665,3.928571428571429,3.928571428571429,14,0,0.0,0.958173272447326,2,14.0,0.4044930309624016,0,3.0,0.8869501307352318,3,37.0,0.0,0,0.0,1.0,0,1.0,0.6260373544085239,0,0.0,0.9718567077845066,0,0.0,1.0
240.0,4,36.0,1.2413793103448276,8.515705997520074,29,189.0,6.517241379310345,17.0,0.5862068965517241,4,39.0,0.0,6.311506795418772,4.333333333333333,4.333333333333333,9,1,2.0,0.4744024242727027,3,37.0,0.3634461461324413,0,0.0,0.9934945941375825,0,0.0,0.9521887840925052,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
248.0,5,66.0,2.4444444444444446,7.030975431348768,27,182.0,6.7407407407407405,0.0,0.0,5,72.0,33.0,4.722918761151703,6.545454545454546,6.545454545454546,11,0,0.0,0.9237528384049668,4,65.0,0.2917451042002869,1,4.0,4.640015289872095e-05,0,0.0,0.977250888042276,0,0.0,1.0,0,3.0,0.9057357423914022,0,0.0,1.0,0,0.0,1.0
256.0,0,0.0,0.0,8.924500939824803,26,179.0,6.884615384615385,0.0,0.0,0,6.0,0.0,9.9999935437393,1.0,1.0,6,0,0.0,0.9486612756773553,0,3.0,0.9789360485735896,0,3.0,0.961230638400808,0,0.0,0.9341882715263832,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
264.0,1,2.0,0.0714285714285714,8.985000898174267,28,170.0,6.071428571428571,0.0,0.0,1,12.0,6.0,9.00599619463756,1.3333333333333333,1.3333333333333333,9,0,0.0,0.923663543541208,0,3.0,0.845391846363077,0,7.0,0.9656561056675232,1,2.0,0.4769978114842171,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
