step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,3.0,0.2142857142857142,8.284117628126944,14,4.0,0.2857142857142857,3.0,0.2142857142857142,1,4.0,4.0,8.714928758677427,0.4,0.4,10,0,0.0,0.6673908485509094,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,8.784366881986617,20,11.0,0.55,7.0,0.35,0,2.0,0.0,8.60112275079008,0.1538461538461538,0.1538461538461538,13,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7467422251582096,0,2.0,0.2525436441693368,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,2.0,0.08,9.072828682341449,25,13.0,0.52,2.0,0.08,1,2.0,0.0,9.17968510255002,0.1333333333333333,0.1333333333333333,15,1,2.0,0.5022581301647838,0,0.0,0.6139259829653365,0,0.0,0.809179637605357,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,4,11.0,0.3235294117647059,8.561224865344112,34,27.0,0.7941176470588235,14.0,0.4117647058823529,4,11.0,9.0,8.151992814592903,0.4583333333333333,0.4583333333333333,24,0,0.0,0.9130925463611428,2,4.0,0.6968513523948916,1,2.0,0.5908532148201953,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,8.245960664339666e-06,0,0.0,1.0
48.0,4,8.0,0.2162162162162162,7.304437214281464,37,47.0,1.2702702702702702,20.0,0.5405405405405406,4,14.0,3.0,6.307937327694454,0.5833333333333334,0.5833333333333334,24,2,5.0,0.3252676014001742,2,3.0,0.5904022935208956,0,6.0,0.482158450304694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,8,25.0,0.6097560975609756,6.900588184128684,41,77.0,1.8780487804878048,30.0,0.7317073170731707,7,37.0,23.0,5.7770721569225065,1.4230769230769231,1.4230769230769231,26,0,3.0,0.654345190691018,3,11.0,0.4741069348175782,4,23.0,0.3743885912212821,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,6,23.0,0.5111111111111111,7.491956193742707,45,142.0,3.1555555555555554,65.0,1.4444444444444444,6,62.0,25.0,6.313593582319301,2.2962962962962963,2.2962962962962963,27,1,9.0,0.6800682719726204,2,18.0,0.5550089527761888,3,35.0,0.3062596716864134,0,0.0,0.8469093806287599,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,7,43.0,0.8775510204081632,7.063018786123664,49,179.0,3.653061224489796,37.0,0.7551020408163265,7,62.0,0.0,5.427036075036034,2.2142857142857144,2.2142857142857144,28,0,3.0,0.6340917014643886,4,33.0,0.3123012270213021,0,10.0,0.5563768484588061,3,13.0,0.2246233348163089,0,0.0,1.0,0,3.0,0.8880909506979984,0,0.0,1.0,0,0.0,1.0
80.0,2,5.0,0.1020408163265306,8.904115807087177,49,194.0,3.959183673469388,15.0,0.3061224489795918,2,25.0,0.0,7.544741527797068,1.0869565217391304,1.0869565217391304,23,0,6.0,0.8338840973501348,0,7.0,0.7921487122078773,0,3.0,0.8023558992622868,0,4.0,0.5115658278346636,0,0.0,1.0,2,5.0,0.250526270732151,0,0.0,1.0,0,0.0,1.0
