step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,2,4.0,0.2857142857142857,7.461200469196081,14,5.0,0.3571428571428571,4.0,0.2857142857142857,2,5.0,5.0,7.562844736174219,0.5,0.5,10,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,8.216709279101455,20,15.0,0.75,10.0,0.5,0,5.0,0.0,8.12098939646538,0.3333333333333333,0.3333333333333333,15,0,3.0,0.383267418326752,0,0.0,0.6044487403637576,0,0.0,0.7336603251845109,0,2.0,0.2829429123462076,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,5,17.0,0.68,7.896353776489036,25,32.0,1.28,17.0,0.68,5,22.0,17.0,7.486039069087564,1.0476190476190477,1.0476190476190477,21,0,3.0,0.7292215498482022,1,5.0,0.4358223567186167,1,2.0,0.6622751110189021,3,12.0,0.0003061796456556,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,2,4.0,0.1142857142857142,8.968649933600473,35,58.0,1.6571428571428573,26.0,0.7428571428571429,2,12.0,0.0,8.430690034695653,0.5217391304347826,0.5217391304347826,23,0,0.0,0.9223074028651626,2,4.0,0.6538815441207444,0,1.0,0.6204703408572452,0,7.0,0.260957554701885,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,8,36.0,0.9473684210526316,6.813060019329577,38,80.0,2.1052631578947367,22.0,0.5789473684210527,8,40.0,28.0,5.514254536127565,1.5384615384615383,1.5384615384615383,26,0,0.0,0.9742090127445258,4,23.0,0.4940186215855754,4,17.0,0.3412670130597484,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,8,31.0,0.7380952380952381,6.2165962676269855,42,142.0,3.380952380952381,62.0,1.4761904761904765,7,66.0,26.0,4.636399202619457,2.5384615384615383,2.5384615384615383,26,0,0.0,0.7721049454130374,4,35.0,0.3296537066318384,3,31.0,0.3805682745095455,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,9,72.0,1.5319148936170213,6.858467037672972,47,192.0,4.085106382978723,50.0,1.0638297872340423,9,97.0,31.0,4.952420579339207,3.4642857142857144,3.4642857142857144,28,0,0.0,0.4921491695126543,9,86.0,0.2810026912826204,0,11.0,0.5191248298646024,0,0.0,0.870008455647533,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,11,62.0,1.2653061224489797,6.060978283024186,49,265.0,5.408163265306122,73.0,1.489795918367347,10,118.0,21.0,3.6794941029655863,4.538461538461538,4.538461538461538,26,1,12.0,0.6225603056349641,6,82.0,0.2560615242692452,3,21.0,0.1575362196084873,0,0.0,0.880830659479805,0,0.0,1.0,0,3.0,0.5993309039460302,0,0.0,1.0,0,0.0,1.0
80.0,5,30.0,0.6122448979591837,7.021943246024022,49,317.0,6.469387755102041,52.0,1.0612244897959184,5,140.0,22.0,6.240483440515707,4.666666666666667,4.666666666666667,30,0,14.0,0.9374287824321668,4,90.0,0.3897061641526508,0,21.0,0.4195963737493156,0,4.0,0.7077045639027075,0,0.0,1.0,1,11.0,0.6307228949577249,0,0.0,1.0,0,0.0,1.0
