step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,3.0,0.2142857142857142,8.394132728675547,14,4.0,0.2857142857142857,3.0,0.2142857142857142,1,4.0,4.0,8.868949899445472,0.4,0.4,10,0,0.0,0.7561700835978863,0,0.0,0.8062056269030679,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,8.552140860224714,20,11.0,0.55,7.0,0.35,0,2.0,0.0,8.59330702939655,0.1428571428571428,0.1428571428571428,14,0,0.0,0.5829723183660007,0,0.0,0.6805801720514635,0,0.0,0.7336603251845109,0,2.0,0.2525436441693368,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,5,18.0,0.72,7.5660972336455,25,29.0,1.16,18.0,0.72,5,20.0,18.0,7.038388912301625,1.0,1.0,20,1,3.0,0.5017542113299795,0,0.0,0.5614921008010101,1,2.0,0.6622751110189021,3,15.0,0.0003318891633017,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,2,11.0,0.3142857142857143,8.312334786541891,35,56.0,1.6,27.0,0.7714285714285715,2,20.0,0.0,7.889453833842944,0.8333333333333334,0.8333333333333334,24,1,11.0,0.5587843322198802,1,0.0,0.7137640182035437,0,1.0,0.6554243208356973,0,8.0,0.2793869107460918,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,11,54.0,1.4210526315789471,5.771658045433362,38,93.0,2.4473684210526314,37.0,0.9736842105263158,11,58.0,38.0,4.710274576453683,2.0,2.0,29,3,31.0,0.1970100556748952,4,10.0,0.4879320309434026,4,17.0,0.3991510718920014,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,8,42.0,0.9767441860465116,6.3860661597506265,43,175.0,4.069767441860465,82.0,1.9069767441860463,7,77.0,19.0,5.515702393236631,2.75,2.75,28,0,8.0,0.5275940104094952,4,37.0,0.4146329700082661,3,32.0,0.4147909231037074,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,10,95.0,1.9791666666666667,7.362875279814072,48,237.0,4.9375,62.0,1.2916666666666667,10,120.0,43.0,6.117091258692415,3.870967741935484,3.870967741935484,31,2,21.0,0.5561255326171068,8,90.0,0.3908272023434955,0,9.0,0.4745025232020789,0,0.0,0.8822395953403078,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,19,198.0,3.807692307692308,4.931870096823935,52,327.0,6.288461538461538,90.0,1.7307692307692308,18,216.0,96.0,2.382884689029868,6.967741935483871,6.967741935483871,31,1,14.0,0.6097749996261245,12,169.0,0.1820984190806795,3,20.0,0.1738676102491423,2,10.0,0.0697508637687368,0,0.0,1.0,0,3.0,0.8993127074855799,0,0.0,1.0,0,0.0,1.0
80.0,15,156.0,2.943396226415094,5.924810968275653,53,443.0,8.358490566037736,116.0,2.188679245283019,15,268.0,52.0,3.781211811371133,8.121212121212121,8.121212121212121,33,2,6.0,0.0002262281127314,8,190.0,0.3302702059312231,5,58.0,0.1945510193609426,0,7.0,0.495038520428198,0,0.0,1.0,0,7.0,0.892744566814376,0,0.0,1.0,0,0.0,1.0
96.0,9,188.0,4.0,7.497337484275255,47,538.0,11.4468085106383,0.0,0.0,9,237.0,10.0,5.523687670069558,9.48,9.48,25,0,0.0,0.7549266782662252,9,224.0,0.325860234334053,0,0.0,0.9516274334363496,0,12.0,0.4890802405261658,0,0.0,1.0,0,1.0,0.6742026125332459,0,0.0,1.0,0,0.0,1.0
104.0,3,24.0,0.5,9.100100214248634,48,547.0,11.395833333333334,9.0,0.1875,2,110.0,0.0,7.558214584869415,5.789473684210527,5.789473684210527,19,0,6.0,0.5481876211756858,2,101.0,0.5646176739493551,0,0.0,0.9463725833635518,0,0.0,0.9835719579082186,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9319646431719252,0,0.0,1.0
112.0,6,30.0,0.6521739130434783,8.519580602030782,46,539.0,11.717391304347826,0.0,0.0,6,108.0,0.0,7.036124884383308,4.695652173913044,4.695652173913044,23,2,26.0,0.6532397847182275,3,74.0,0.5427922958563551,0,0.0,0.0221651986016557,1,8.0,0.6271653352062069,0,0.0,0.923405942518431,0,0.0,1.0,0,0.0,0.9506409488617248,0,0.0,1.0
120.0,3,22.0,0.4680851063829787,9.32157249285823,47,522.0,11.106382978723405,0.0,0.0,3,43.0,0.0,8.864410204480068,1.72,1.72,25,0,14.0,0.8874930702187026,0,4.0,0.91688396803644,1,8.0,0.4853939367978712,2,14.0,0.4828566261783517,0,0.0,1.0,0,3.0,0.9014079475572088,0,0.0,0.9199799809696564,0,0.0,1.0
128.0,7,57.0,1.2391304347826086,7.501241326128342,46,494.0,10.73913043478261,0.0,0.0,7,75.0,32.0,6.195304394477271,3.0,3.0,25,2,21.0,0.5730231287382335,0,4.0,0.8506715032523137,1,16.0,0.253942516785567,3,33.0,0.3008453301481457,0,0.0,1.0,1,1.0,0.0030646158930468,0,0.0,0.0144498888482106,0,0.0,1.0
136.0,3,18.0,0.375,9.067628699616334,48,493.0,10.270833333333334,0.0,0.0,3,31.0,0.0,8.367301875683031,1.2916666666666667,1.2916666666666667,24,2,18.0,0.5052665912213764,0,4.0,0.8512341818971473,0,0.0,0.9722289120067142,1,6.0,0.420874817245277,0,0.0,1.0,0,3.0,0.8850820529604341,0,0.0,0.9438755044889768,0,0.0,0.9306062602771288
144.0,8,52.0,1.1063829787234043,9.12571158206362,47,500.0,10.638297872340424,7.0,0.1489361702127659,7,65.0,34.0,8.184696198467424,2.708333333333333,2.708333333333333,24,4,44.0,0.5598316359423058,2,14.0,0.5740225886342912,0,0.0,0.8917241979220667,1,4.0,0.0,0,0.0,0.953110690770826,0,3.0,0.9867782176420096,0,0.0,1.0,0,0.0,0.9168424191691478
160.0,7,22.0,0.5,7.866378840225104,44,442.0,10.045454545454543,0.0,0.0,7,56.0,16.0,5.693704230721824,2.6666666666666665,2.6666666666666665,21,4,37.0,0.4704120148443768,2,14.0,0.595431527282012,0,3.0,0.6134351402175703,0,0.0,0.2899510278203129,1,2.0,0.0001324357605945,0,0.0,0.917259616067794,0,0.0,1.0,0,0.0,1.0
168.0,1,2.0,0.0512820512820512,9.079430907255205,39,375.0,9.615384615384617,0.0,0.0,1,28.0,0.0,7.822467687995277,1.8666666666666667,1.8666666666666667,15,1,18.0,0.3212213546349685,0,7.0,0.7430932713535694,0,0.0,0.9698172930419596,0,0.0,1.0,0,0.0,1.0,0,0.0,0.850606132950054,0,3.0,0.9657538605364132,0,0.0,1.0
176.0,8,29.0,0.7435897435897436,8.49138337792632,39,330.0,8.461538461538462,0.0,0.0,7,49.0,21.0,5.645866358198363,2.8823529411764706,2.8823529411764706,17,1,17.0,0.5621196813944916,3,19.0,0.4354827359904404,0,0.0,0.9250609478972904,0,0.0,1.0,0,0.0,1.0,1,4.0,0.4547688818605409,2,9.0,0.0017100073912062,0,0.0,1.0
184.0,4,10.0,0.2631578947368421,7.956164456188877,38,328.0,8.631578947368421,0.0,0.0,3,33.0,0.0,6.915113730038132,1.65,1.65,20,2,4.0,0.4308214793236515,0,4.0,0.7514431852333916,0,5.0,0.9253537809840322,0,0.0,0.5059753558888874,0,0.0,1.0,1,16.0,0.3952728999817235,0,4.0,0.4702516004635924,0,0.0,1.0
192.0,2,8.0,0.2051282051282051,8.92868967993682,39,248.0,6.358974358974359,0.0,0.0,2,19.0,0.0,6.268783634740951,1.4615384615384617,1.4615384615384617,13,0,0.0,0.8826325254512707,2,12.0,0.3505510960066846,0,0.0,0.7208437609394265,0,0.0,1.0,0,0.0,1.0,0,7.0,0.3852274794906419,0,0.0,1.0,0,0.0,1.0
200.0,5,28.0,0.875,8.90568242666266,32,196.0,6.125,0.0,0.0,5,52.0,33.0,7.831487966446971,2.6,2.6,20,0,3.0,0.7330550797660664,2,22.0,0.4439638567412758,1,1.0,0.6309349975006117,0,0.0,1.0,0,0.0,1.0,2,19.0,0.4737683074326818,0,3.0,0.6926783921861752,0,4.0,0.9474424141511698
208.0,5,21.0,0.6363636363636364,7.203864090713885,33,181.0,5.484848484848484,0.0,0.0,5,39.0,0.0,5.779102470127596,2.294117647058824,2.294117647058824,17,2,14.0,0.472774594320106,0,5.0,0.5621830805013599,0,0.0,0.9326771891906542,0,0.0,0.598243602373201,0,0.0,1.0,2,10.0,0.1761591452007747,1,6.0,1.0767946424799696e-05,0,4.0,0.4700202519354686
216.0,6,44.0,1.2571428571428571,7.163229538420538,35,167.0,4.771428571428571,0.0,0.0,5,58.0,19.0,6.1078463238971565,3.2222222222222223,3.2222222222222223,18,1,19.0,0.4615873466397284,1,11.0,0.5951179625860413,1,5.0,0.4292832203284321,0,0.0,0.6816987882773263,0,0.0,0.343923853319392,2,23.0,1.5414348789471635e-05,0,0.0,1.0,0,0.0,0.919464650928942
224.0,9,59.0,1.6388888888888888,6.995424147124569,36,190.0,5.277777777777778,23.0,0.6388888888888888,9,77.0,19.0,4.296566851113624,4.8125,4.8125,16,1,9.0,0.4982907255571892,3,28.0,0.3994112102560845,1,2.0,0.0003503621112356,3,15.0,0.0007752976864392,0,0.0,1.0,1,23.0,0.6154538734892592,0,0.0,0.1254651281437416,0,0.0,1.0
232.0,8,87.0,2.5588235294117645,7.178449392231489,34,231.0,6.794117647058823,41.0,1.2058823529411764,8,106.0,29.0,4.943547400185226,6.625,6.625,16,0,6.0,0.8511701880728118,2,16.0,0.351309206574805,1,10.0,0.0,3,39.0,0.0,0,0.0,1.0,2,32.0,8.46060307101849e-06,0,3.0,0.9314240750215236,0,0.0,1.0
240.0,1,3.0,0.09375,9.74264015750162,32,251.0,7.84375,20.0,0.625,1,15.0,0.0,9.608730782267475,1.6666666666666667,1.6666666666666667,9,0,3.0,0.9285714194903384,0,3.0,0.943072357490738,0,3.0,0.9469018663928824,0,0.0,0.956901467884984,0,0.0,1.0,0,0.0,0.9693805440045749,1,6.0,0.0014616817666039,0,0.0,1.0
248.0,2,4.0,0.1379310344827586,8.479492792415988,29,207.0,7.137931034482759,0.0,0.0,2,13.0,0.0,5.402252483944135,1.625,1.625,8,0,3.0,0.4917941904796499,1,5.0,0.5137465884922044,0,3.0,0.90963278217103,0,0.0,0.8823697017275385,0,0.0,1.0,1,2.0,0.0070617326301474,0,0.0,1.0,0,0.0,1.0
256.0,2,11.0,0.4583333333333333,8.13715447851285,24,142.0,5.916666666666667,0.0,0.0,2,26.0,13.0,7.470960190599227,2.888888888888889,2.888888888888889,9,1,14.0,0.6462571439318355,0,3.0,0.9556408149901612,0,3.0,0.8927727099774271,1,6.0,0.4319023052576593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
264.0,0,0.0,0.0,9.498828522919297,27,148.0,5.481481481481482,6.0,0.2222222222222222,0,12.0,0.0,10.991446315804032,1.3333333333333333,1.3333333333333333,9,0,3.0,0.9230480933363536,0,3.0,0.8634478958327358,0,3.0,0.9943749760406148,0,0.0,0.918781551077584,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9971532950786162,0,0.0,1.0
272.0,2,1.0,0.0303030303030303,8.372343608294479,33,143.0,4.333333333333333,0.0,0.0,2,13.0,1.0,7.726340233451619,0.8666666666666667,0.8666666666666667,15,1,3.0,0.47231869500395,0,3.0,0.7407726809984968,0,3.0,0.9361334242425704,1,1.0,0.0034901286591502,0,0.0,1.0,0,0.0,0.9396647855292868,0,3.0,0.9778738890215856,0,0.0,1.0
280.0,8,32.0,1.0666666666666669,6.774109064408541,30,130.0,4.333333333333333,0.0,0.0,7,44.0,31.0,6.081939449305518,2.4444444444444446,2.4444444444444446,18,3,20.0,0.4724208859425349,2,8.0,0.4995842840196809,0,3.0,0.967636032476288,1,9.0,0.0,0,0.0,0.6066127262569571,1,4.0,0.3407737297906443,0,0.0,0.9716976858085304,0,0.0,1.0
288.0,5,47.0,1.5666666666666669,7.666198071821613,30,173.0,5.766666666666667,43.0,1.4333333333333331,5,57.0,13.0,5.68039759247468,4.384615384615385,4.384615384615385,13,1,15.0,0.6247060611080015,2,15.0,0.3248976622188867,0,3.0,0.9278248276152212,0,0.0,0.9086831895356158,0,0.0,1.0,2,24.0,0.3201233099298538,0,0.0,1.0,0,0.0,1.0
296.0,6,44.0,1.5172413793103448,7.352974424238047,29,183.0,6.310344827586207,10.0,0.3448275862068966,6,57.0,0.0,4.7744325740365685,4.071428571428571,4.071428571428571,14,1,8.0,0.5709076710898461,1,1.0,0.0144597276889448,1,4.0,0.7083857978748331,0,0.0,0.9811058119704072,0,0.0,0.2022698059440991,3,44.0,0.0,0,0.0,1.0,0,0.0,1.0
304.0,3,39.0,1.2580645161290325,7.98381977394497,31,211.0,6.806451612903226,28.0,0.9032258064516128,3,49.0,0.0,5.785782484176246,4.454545454545454,4.454545454545454,11,0,7.0,0.8959756181993188,1,9.0,0.3399753993619211,0,3.0,0.6181876352941997,1,5.0,0.4376890527823266,0,0.0,0.335559947128894,1,25.0,0.0,0,0.0,1.0,0,0.0,1.0
312.0,5,71.0,2.6296296296296298,8.996910699189835,27,216.0,8.0,5.0,0.1851851851851851,5,75.0,26.0,5.169574199171583,7.5,7.5,10,0,4.0,0.871605435687494,1,17.0,0.3616276538177704,1,5.0,0.0,1,13.0,0.6423557244069068,1,3.0,0.0001728979787504,1,33.0,0.0,0,0.0,1.0,0,0.0,1.0
320.0,3,43.0,1.5925925925925926,8.194861194717642,27,180.0,6.666666666666667,0.0,0.0,3,43.0,0.0,6.1678595703150885,3.909090909090909,3.909090909090909,11,0,0.0,0.5602944848871088,2,30.0,0.1091048122611999,1,13.0,0.5398323850832706,0,0.0,0.8791913740372529,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
328.0,3,46.0,1.7692307692307692,9.157563914640706,26,170.0,6.538461538461538,0.0,0.0,2,47.0,4.0,7.868961776359052,5.875,5.875,8,0,0.0,0.9511567083728796,2,46.0,0.3300434350994818,0,1.0,0.3162460517267239,0,0.0,0.9442004680810764,0,0.0,1.0,0,0.0,0.923559377308014,0,0.0,1.0,0,0.0,1.0
336.0,6,76.0,3.1666666666666665,6.263591561528667,24,136.0,5.666666666666667,0.0,0.0,5,78.0,31.0,4.489504741294179,6.0,6.0,13,0,0.0,0.4965109135186534,3,67.0,0.3551161550187541,0,0.0,1.0,1,6.0,0.4678943579395942,0,0.0,1.0,1,5.0,3.822287781469028e-05,0,0.0,1.0,0,0.0,1.0
344.0,9,76.0,2.814814814814815,5.496803046387455,27,190.0,7.037037037037037,54.0,2.0,7,85.0,7.0,3.959002970260104,5.666666666666667,5.666666666666667,15,2,8.0,0.3239519908655463,1,38.0,0.5200913542100529,0,0.0,1.0,3,26.0,0.2224625539053694,0,0.0,1.0,1,13.0,0.0,0,0.0,0.727859018359416,0,0.0,1.0
352.0,7,71.0,2.290322580645161,6.584181741061175,31,232.0,7.483870967741935,42.0,1.3548387096774193,7,76.0,0.0,4.4547646216545065,4.75,4.75,16,0,3.0,0.7413442114913086,1,6.0,0.6403768379035973,0,0.0,1.0,5,62.0,0.0515129361768538,0,0.0,1.0,0,0.0,1.0,1,5.0,6.51841840260646e-05,0,0.0,1.0
360.0,5,10.0,0.2439024390243902,6.880353975541919,41,234.0,5.7073170731707314,2.0,0.048780487804878,5,64.0,0.0,5.639267469631361,3.3684210526315788,3.3684210526315788,19,2,6.0,0.6207289236942647,0,2.0,0.8543791690396286,0,0.0,1.0,3,56.0,0.1261902290870396,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
368.0,3,6.0,0.1428571428571428,7.281855404958336,42,203.0,4.833333333333333,0.0,0.0,1,28.0,0.0,6.265089636464779,1.4736842105263157,1.4736842105263157,19,0,3.0,0.9631184867384256,1,7.0,0.5468507019733996,0,0.0,0.7260444533543526,0,18.0,0.1767769684789003,0,0.0,0.4119230964353633,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
376.0,7,25.0,0.5102040816326531,6.76030298360474,49,223.0,4.551020408163265,20.0,0.4081632653061224,6,45.0,17.0,4.570809512742426,2.142857142857143,2.142857142857143,21,0,0.0,0.9102496953095645,2,17.0,0.5290141242011056,0,0.0,0.5657080107384992,3,28.0,0.1057768439910924,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
384.0,13,96.0,1.8461538461538465,6.419141403459376,52,294.0,5.653846153846154,71.0,1.3653846153846154,13,116.0,71.0,4.687703305412223,4.461538461538462,4.461538461538462,26,0,0.0,0.9312284845010128,3,34.0,0.4064104418255359,1,6.0,0.737240654038564,8,74.0,0.002037264721407,1,2.0,0.1442486163518027,0,0.0,0.2919337198152988,0,0.0,1.0,0,0.0,1.0
