step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,2,4.0,0.2857142857142857,7.461200469196081,14,5.0,0.3571428571428571,4.0,0.2857142857142857,2,5.0,5.0,7.562844736174219,0.5,0.5,10,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,1,4.0,0.333659754375158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,4,23.0,1.15,6.886632645224465,20,28.0,1.4,23.0,1.15,4,27.0,22.0,6.584636816236045,1.588235294117647,1.588235294117647,17,0,3.0,0.3659997079114849,0,0.0,0.6044487403637576,0,0.0,0.7262880127585689,4,24.0,0.054321111141388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,5.0,0.2,8.364456382784457,25,57.0,2.28,29.0,1.16,1,30.0,3.0,8.34468246552286,1.5,1.5,20,0,3.0,0.7292215498482022,1,5.0,0.4358223567186167,0,0.0,0.7625958798918042,0,22.0,0.1734683102525603,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976478809477064,0,0.0,1.0
40.0,6,22.0,0.6285714285714286,8.011983734830219,35,74.0,2.1142857142857143,17.0,0.4857142857142857,6,22.0,0.0,7.364297592369976,0.88,0.88,25,1,2.0,0.5741036609112118,3,17.0,0.5960094627494331,1,1.0,0.683353460930614,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0001201337203244,0,0.0,1.0
48.0,13,69.0,1.6829268292682926,6.225089187198359,41,137.0,3.341463414634146,63.0,1.5365853658536586,13,69.0,47.0,4.544971000082944,2.3793103448275863,2.3793103448275863,29,4,22.0,0.1957962410933432,4,19.0,0.4526398232274827,4,18.0,0.3999439907849377,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0
56.0,14,116.0,2.697674418604651,5.785188181162871,43,227.0,5.27906976744186,90.0,2.0930232558139537,13,130.0,61.0,4.837970371846407,4.333333333333333,4.333333333333333,30,0,11.0,0.5493293325946829,6,55.0,0.3665558015008339,7,64.0,0.2731977826776868,0,0.0,0.946421237543218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,14,149.0,3.1702127659574466,6.060326346678834,47,321.0,6.829787234042553,94.0,2.0,14,200.0,70.0,5.219439245047755,6.0606060606060606,6.0606060606060606,33,1,16.0,0.6448498107793096,4,59.0,0.48767269483001,9,125.0,0.0771090280824913,0,0.0,0.8520769879735207,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,18,139.0,2.7254901960784315,4.111859064128318,51,430.0,8.431372549019608,109.0,2.1372549019607843,18,275.0,75.0,1.7896914345938535,8.333333333333334,8.333333333333334,33,2,28.0,0.3641512036968575,8,100.0,0.0995700295186933,5,136.0,0.1508963025849176,3,11.0,0.0565195948638574,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
80.0,14,115.0,2.169811320754717,5.354363401242174,53,535.0,10.09433962264151,105.0,1.981132075471698,14,337.0,62.0,3.905515339697616,9.36111111111111,9.36111111111111,36,4,58.0,0.2662488531901608,6,113.0,0.2909074591325113,4,160.0,0.2055842462228725,0,2.0,0.3979184050724111,0,0.0,1.0,0,4.0,0.7864417382473075,0,0.0,1.0,0,0.0,1.0
